origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AGEN,BORDEAUX ST JEAN,29,12,29,286
ARLES,AGEN,13,8,29,229
ARLES,BORDEAUX ST JEAN,13,8,29,229
ARLES,CARCASSONNE,12,7,29,244
ARLES,MONTAUBAN VILLE BOURBON,13,8,29,229
ARLES,MONTPELLIER SAINT ROCH,11,6,29,261
ARLES,NARBONNE,12,7,29,244
ARLES,NIMES CENTRE,11,6,29,261
ARLES,SETE,11,6,29,261
ARLES,TOULOUSE MATABIAU,12,7,29,244
BEZIERS,AGEN,29,11,29,251
BEZIERS,BORDEAUX ST JEAN,29,12,29,262
BEZIERS,CARCASSONNE,29,28,29,282
BEZIERS,MARMANDE,29,7,29,222
BEZIERS,MONTAUBAN VILLE BOURBON,29,12,29,262
BEZIERS,NARBONNE,29,28,29,282
BEZIERS,TOULOUSE MATABIAU,29,25,29,286
CARCASSONNE,AGEN,29,11,29,266
CARCASSONNE,BORDEAUX ST JEAN,29,11,29,270
CARCASSONNE,MARMANDE,29,7,29,222
CARCASSONNE,MONTAUBAN VILLE BOURBON,29,11,29,270
CARCASSONNE,TOULOUSE MATABIAU,29,29,29,288
MARMANDE,BORDEAUX ST JEAN,22,10,29,278
MARSEILLE ST CHARLES,AGEN,29,10,29,244
MARSEILLE ST CHARLES,ARLES,11,6,29,261
MARSEILLE ST CHARLES,BEZIERS,29,20,29,279
MARSEILLE ST CHARLES,BORDEAUX ST JEAN,29,11,29,250
MARSEILLE ST CHARLES,CARCASSONNE,29,21,29,284
MARSEILLE ST CHARLES,MARMANDE,29,7,29,218
MARSEILLE ST CHARLES,MONTAUBAN VILLE BOURBON,29,11,29,250
MARSEILLE ST CHARLES,MONTPELLIER SAINT ROCH,29,17,29,290
MARSEILLE ST CHARLES,NARBONNE,29,21,29,284
MARSEILLE ST CHARLES,NIMES CENTRE,29,17,29,290
MARSEILLE ST CHARLES,SETE,11,6,29,261
MARSEILLE ST CHARLES,TOULOUSE MATABIAU,29,21,29,284
MONTAUBAN VILLE BOURBON,AGEN,29,13,29,295
MONTAUBAN VILLE BOURBON,BORDEAUX ST JEAN,29,18,29,300
MONTAUBAN VILLE BOURBON,MARMANDE,23,11,29,285
MONTPELLIER SAINT ROCH,AGEN,29,11,29,260
MONTPELLIER SAINT ROCH,BEZIERS,29,28,29,281
MONTPELLIER SAINT ROCH,BORDEAUX ST JEAN,29,11,29,263
MONTPELLIER SAINT ROCH,CARCASSONNE,29,27,29,291
MONTPELLIER SAINT ROCH,MARMANDE,29,7,29,218
MONTPELLIER SAINT ROCH,MONTAUBAN VILLE BOURBON,29,11,29,263
MONTPELLIER SAINT ROCH,NARBONNE,29,29,29,287
MONTPELLIER SAINT ROCH,SETE,24,11,29,236
MONTPELLIER SAINT ROCH,TOULOUSE MATABIAU,29,27,29,291
NARBONNE,AGEN,29,11,29,266
NARBONNE,BORDEAUX ST JEAN,29,11,29,270
NARBONNE,CARCASSONNE,29,29,29,288
NARBONNE,MARMANDE,29,7,29,222
NARBONNE,MONTAUBAN VILLE BOURBON,29,11,29,270
NARBONNE,TOULOUSE MATABIAU,29,29,29,288
NIMES CENTRE,AGEN,29,11,29,260
NIMES CENTRE,BEZIERS,29,22,29,286
NIMES CENTRE,BORDEAUX ST JEAN,29,11,29,262
NIMES CENTRE,CARCASSONNE,29,27,29,291
NIMES CENTRE,MARMANDE,29,7,29,218
NIMES CENTRE,MONTAUBAN VILLE BOURBON,29,11,29,263
NIMES CENTRE,MONTPELLIER SAINT ROCH,29,20,29,297
NIMES CENTRE,NARBONNE,29,27,29,291
NIMES CENTRE,SETE,24,11,29,236
NIMES CENTRE,TOULOUSE MATABIAU,29,24,29,290
SETE,AGEN,13,8,29,229
SETE,BORDEAUX ST JEAN,13,8,29,229
SETE,CARCASSONNE,22,7,29,244
SETE,MONTAUBAN VILLE BOURBON,13,8,29,229
SETE,NARBONNE,24,11,29,236
SETE,TOULOUSE MATABIAU,22,7,29,244
TOULOUSE MATABIAU,AGEN,29,13,29,295
TOULOUSE MATABIAU,BORDEAUX ST JEAN,29,18,29,300
TOULOUSE MATABIAU,MARMANDE,23,11,29,285
TOULOUSE MATABIAU,MONTAUBAN VILLE BOURBON,29,18,29,300
