origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
AGEN,ARLES,11,3,24,219
AGEN,BEZIERS,29,11,29,298
AGEN,CARCASSONNE,29,11,29,298
AGEN,MARSEILLE ST CHARLES,29,10,29,295
AGEN,MONTAUBAN VILLE BOURBON,29,11,29,328
AGEN,MONTPELLIER SAINT ROCH,29,11,29,296
AGEN,NARBONNE,29,11,29,298
AGEN,NIMES CENTRE,29,11,29,296
AGEN,TOULOUSE MATABIAU,29,11,29,328
ARLES,MARSEILLE ST CHARLES,14,3,29,265
BEZIERS,ARLES,11,3,27,252
BEZIERS,MARSEILLE ST CHARLES,29,15,29,328
BEZIERS,MONTPELLIER SAINT ROCH,29,19,29,322
BEZIERS,NIMES CENTRE,29,15,29,328
BORDEAUX ST JEAN,AGEN,29,11,29,323
BORDEAUX ST JEAN,ARLES,11,3,29,243
BORDEAUX ST JEAN,BEZIERS,29,11,29,298
BORDEAUX ST JEAN,CARCASSONNE,29,14,29,314
BORDEAUX ST JEAN,MARMANDE,29,12,29,311
BORDEAUX ST JEAN,MARSEILLE ST CHARLES,29,11,29,295
BORDEAUX ST JEAN,MONTAUBAN VILLE BOURBON,29,28,29,331
BORDEAUX ST JEAN,MONTPELLIER SAINT ROCH,29,13,29,312
BORDEAUX ST JEAN,NARBONNE,29,14,29,314
BORDEAUX ST JEAN,NIMES CENTRE,29,12,29,311
BORDEAUX ST JEAN,SETE,29,13,29,270
BORDEAUX ST JEAN,TOULOUSE MATABIAU,29,28,29,331
CARCASSONNE,ARLES,11,4,29,252
CARCASSONNE,BEZIERS,29,20,29,324
CARCASSONNE,MARSEILLE ST CHARLES,29,14,29,325
CARCASSONNE,MONTPELLIER SAINT ROCH,29,26,29,335
CARCASSONNE,NARBONNE,29,28,29,334
CARCASSONNE,NIMES CENTRE,29,26,29,335
CARCASSONNE,SETE,29,11,29,295
MARMANDE,ARLES,13,6,29,180
MARMANDE,BEZIERS,29,23,29,4
MARMANDE,CARCASSONNE,29,16,29,272
MARMANDE,MARSEILLE ST CHARLES,13,6,29,180
MARMANDE,MONTAUBAN VILLE BOURBON,29,19,29,319
MARMANDE,MONTPELLIER SAINT ROCH,29,13,29,270
MARMANDE,NARBONNE,29,16,29,272
MARMANDE,NIMES CENTRE,29,12,29,270
MARMANDE,SETE,29,13,29,270
MARMANDE,TOULOUSE MATABIAU,29,19,29,319
MONTAUBAN VILLE BOURBON,ARLES,11,3,29,243
MONTAUBAN VILLE BOURBON,BEZIERS,29,11,29,298
MONTAUBAN VILLE BOURBON,CARCASSONNE,29,14,29,314
MONTAUBAN VILLE BOURBON,MARSEILLE ST CHARLES,29,11,29,295
MONTAUBAN VILLE BOURBON,MONTPELLIER SAINT ROCH,29,13,29,312
MONTAUBAN VILLE BOURBON,NARBONNE,29,14,29,314
MONTAUBAN VILLE BOURBON,NIMES CENTRE,29,12,29,312
MONTAUBAN VILLE BOURBON,SETE,29,13,29,270
MONTAUBAN VILLE BOURBON,TOULOUSE MATABIAU,29,28,29,331
MONTPELLIER SAINT ROCH,ARLES,14,3,29,265
MONTPELLIER SAINT ROCH,MARSEILLE ST CHARLES,29,18,29,328
MONTPELLIER SAINT ROCH,NIMES CENTRE,29,28,29,337
NARBONNE,ARLES,11,4,29,252
NARBONNE,BEZIERS,29,20,29,324
NARBONNE,MARSEILLE ST CHARLES,29,14,29,325
NARBONNE,MONTPELLIER SAINT ROCH,29,27,29,333
NARBONNE,NIMES CENTRE,29,26,29,335
NARBONNE,SETE,29,11,29,289
NIMES CENTRE,ARLES,14,3,29,265
NIMES CENTRE,MARSEILLE ST CHARLES,29,18,29,328
SETE,ARLES,13,6,29,200
SETE,MARSEILLE ST CHARLES,13,6,29,200
SETE,MONTPELLIER SAINT ROCH,29,11,29,289
SETE,NIMES CENTRE,29,11,29,289
TOULOUSE MATABIAU,ARLES,11,4,29,252
TOULOUSE MATABIAU,BEZIERS,29,15,29,325
TOULOUSE MATABIAU,CARCASSONNE,29,28,29,334
TOULOUSE MATABIAU,MARSEILLE ST CHARLES,29,14,29,325
TOULOUSE MATABIAU,MONTPELLIER SAINT ROCH,29,26,29,335
TOULOUSE MATABIAU,NARBONNE,29,28,29,334
TOULOUSE MATABIAU,NIMES CENTRE,29,26,29,336
TOULOUSE MATABIAU,SETE,29,11,29,295
