origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
BAYONNE,BIARRITZ,3,3,11,30
BAYONNE,HENDAYE,3,3,12,28
BAYONNE,ST JEAN DE LUZ CIBOURE,3,3,12,28
BIARRITZ,HENDAYE,3,3,12,28
BIARRITZ,ST JEAN DE LUZ CIBOURE,3,3,12,28
LANNEMEZAN,BAYONNE,3,3,12,28
LANNEMEZAN,BIARRITZ,3,3,12,28
LANNEMEZAN,HENDAYE,3,3,12,28
LANNEMEZAN,LOURDES,3,3,12,28
LANNEMEZAN,ORTHEZ,3,3,12,28
LANNEMEZAN,PAU,3,3,12,28
LANNEMEZAN,ST JEAN DE LUZ CIBOURE,3,3,12,28
LANNEMEZAN,TARBES,3,3,12,28
LOURDES,BAYONNE,11,3,29,60
LOURDES,BIARRITZ,3,3,11,30
LOURDES,HENDAYE,3,3,11,30
LOURDES,ORTHEZ,11,3,29,58
LOURDES,PAU,11,3,29,58
LOURDES,ST JEAN DE LUZ CIBOURE,3,3,11,30
MONTREJEAU GOURDAN POLIGNAN,BAYONNE,8,3,29,51
MONTREJEAU GOURDAN POLIGNAN,LOURDES,8,3,29,51
MONTREJEAU GOURDAN POLIGNAN,ORTHEZ,8,3,29,51
MONTREJEAU GOURDAN POLIGNAN,PAU,8,3,29,49
MONTREJEAU GOURDAN POLIGNAN,TARBES,8,3,29,51
ORTHEZ,BAYONNE,11,3,29,60
ORTHEZ,BIARRITZ,3,3,11,30
ORTHEZ,HENDAYE,3,3,11,30
ORTHEZ,ST JEAN DE LUZ CIBOURE,3,3,11,30
PAU,BAYONNE,11,3,29,60
PAU,BIARRITZ,3,3,11,30
PAU,HENDAYE,3,3,11,30
PAU,ORTHEZ,11,3,29,58
PAU,ST JEAN DE LUZ CIBOURE,3,3,11,30
ST GAUDENS,BAYONNE,5,3,12,35
ST GAUDENS,LOURDES,5,3,12,35
ST GAUDENS,ORTHEZ,5,3,12,35
ST GAUDENS,PAU,8,3,11,37
ST GAUDENS,TARBES,5,3,12,35
ST JEAN DE LUZ CIBOURE,HENDAYE,3,3,12,28
TARBES,BAYONNE,11,3,29,60
TARBES,BIARRITZ,3,3,11,30
TARBES,HENDAYE,3,3,11,30
TARBES,LOURDES,11,3,29,58
TARBES,ORTHEZ,11,3,29,58
TARBES,PAU,11,3,29,58
TARBES,ST JEAN DE LUZ CIBOURE,3,3,11,30
TOULOUSE MATABIAU,BAYONNE,11,3,29,61
TOULOUSE MATABIAU,BIARRITZ,3,3,12,28
TOULOUSE MATABIAU,HENDAYE,3,3,12,28
TOULOUSE MATABIAU,LANNEMEZAN,3,3,12,28
TOULOUSE MATABIAU,LOURDES,11,3,29,61
TOULOUSE MATABIAU,MONTREJEAU GOURDAN POLIGNAN,8,3,29,51
TOULOUSE MATABIAU,ORTHEZ,11,3,29,61
TOULOUSE MATABIAU,PAU,11,3,29,61
TOULOUSE MATABIAU,ST GAUDENS,5,3,12,35
TOULOUSE MATABIAU,ST JEAN DE LUZ CIBOURE,3,3,12,28
TOULOUSE MATABIAU,TARBES,11,3,29,61
