origine,destination,delta_days,proba_open
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,0,0.1738060636229072
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,1,0.1499622263396994
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,2,0.1166082203366614
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,3,0.1026968272886425
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,4,0.0747338441285694
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,5,0.0801736581666525
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,6,0.0773586798168861
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,7,0.0392581080619385
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,8,0.0293928742296843
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,9,0.0198114509191813
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,10,0.0199460667264853
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,11,0.0232186348504543
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,12,0.003429900942745
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,13,0.0018292384095958
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,14,0.0007747578295323
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,15,0.0007248234641356
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,16,0.0006026684029028
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,17,0.0006228305148324
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,18,0.0005301647498614
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,19,0.0006707277976926
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,20,0.0005092363670872
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,21,0.0004196105489592
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,22,0.0005263537670359
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,23,0.0004423630912454
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,24,0.000135392629886
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,25,7.589979987236443e-05
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,26,0.0003455693433667
