origine,destination,delta_days,proba_open
AIME LA PLAGNE,ALBERTVILLE,0,0.3903846153846154
AIME LA PLAGNE,ALBERTVILLE,1,0.40925925925925927
AIME LA PLAGNE,ALBERTVILLE,2,0.41428571428571426
AIME LA PLAGNE,ALBERTVILLE,3,0.39821428571428574
AIME LA PLAGNE,ALBERTVILLE,4,0.18928571428571428
AIME LA PLAGNE,ALBERTVILLE,5,0.18035714285714285
AIME LA PLAGNE,ALBERTVILLE,6,0.20535714285714285
AIME LA PLAGNE,ALBERTVILLE,7,0.1875
AIME LA PLAGNE,ALBERTVILLE,8,0.2017857142857143
AIME LA PLAGNE,ALBERTVILLE,9,0.17857142857142858
AIME LA PLAGNE,ALBERTVILLE,10,0.16785714285714287
AIME LA PLAGNE,ALBERTVILLE,11,0.1392857142857143
AIME LA PLAGNE,ALBERTVILLE,12,0.10714285714285714
AIME LA PLAGNE,ALBERTVILLE,13,0.10535714285714286
AIME LA PLAGNE,ALBERTVILLE,14,0.10892857142857142
AIME LA PLAGNE,ALBERTVILLE,15,0.10892857142857142
AIME LA PLAGNE,ALBERTVILLE,16,0.10892857142857142
AIME LA PLAGNE,ALBERTVILLE,17,0.10535714285714286
AIME LA PLAGNE,ALBERTVILLE,18,0.10714285714285714
AIME LA PLAGNE,ALBERTVILLE,19,0.10714285714285714
AIME LA PLAGNE,ALBERTVILLE,20,0.10714285714285714
AIME LA PLAGNE,ALBERTVILLE,21,0.10714285714285714
AIME LA PLAGNE,ALBERTVILLE,22,0.10344827586206896
AIME LA PLAGNE,ALBERTVILLE,23,0.10344827586206896
AIME LA PLAGNE,ALBERTVILLE,24,0.10172413793103449
AIME LA PLAGNE,ALBERTVILLE,25,0.10517241379310344
AIME LA PLAGNE,ALBERTVILLE,26,0.10172413793103449
AIME LA PLAGNE,ALBERTVILLE,27,0.10172413793103449
AIME LA PLAGNE,ALBERTVILLE,28,0.09833333333333333
AIME LA PLAGNE,ALBERTVILLE,29,0.08225806451612903
AIME LA PLAGNE,ALBERTVILLE,30,0.020967741935483872
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,0,0.8500000000000001
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,1,0.85
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,2,0.8107142857142857
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,3,0.6660714285714285
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,4,0.5267857142857143
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,5,0.5267857142857143
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,6,0.5
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,7,0.43928571428571433
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,8,0.39999999999999997
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,9,0.3803571428571429
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,10,0.3821428571428571
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,11,0.3553571428571428
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,12,0.21785714285714283
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,13,0.2125
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,14,0.21428571428571427
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,15,0.21428571428571427
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,16,0.21964285714285717
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,17,0.24285714285714285
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,18,0.25
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,19,0.25
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,20,0.25
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,21,0.2517857142857143
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,22,0.2775862068965517
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,23,0.303448275862069
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,24,0.2775862068965517
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,25,0.27586206896551724
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,26,0.2706896551724138
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,27,0.27241379310344827
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,28,0.26833333333333337
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,29,0.2241935483870968
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,30,0.054838709677419356
AIME LA PLAGNE,MACON LOCHE TGV,0,0.64375
AIME LA PLAGNE,MACON LOCHE TGV,1,0.65
AIME LA PLAGNE,MACON LOCHE TGV,2,0.5970588235294118
AIME LA PLAGNE,MACON LOCHE TGV,3,0.5323529411764706
AIME LA PLAGNE,MACON LOCHE TGV,4,0.4058823529411764
AIME LA PLAGNE,MACON LOCHE TGV,5,0.3941176470588235
AIME LA PLAGNE,MACON LOCHE TGV,6,0.3470588235294118
AIME LA PLAGNE,MACON LOCHE TGV,7,0.3382352941176471
AIME LA PLAGNE,MACON LOCHE TGV,8,0.3
AIME LA PLAGNE,MACON LOCHE TGV,9,0.29411764705882354
AIME LA PLAGNE,MACON LOCHE TGV,10,0.29411764705882354
AIME LA PLAGNE,MACON LOCHE TGV,11,0.2823529411764706
AIME LA PLAGNE,MACON LOCHE TGV,12,0.23823529411764705
AIME LA PLAGNE,MACON LOCHE TGV,13,0.23529411764705882
AIME LA PLAGNE,MACON LOCHE TGV,14,0.23529411764705882
AIME LA PLAGNE,MACON LOCHE TGV,15,0.23529411764705882
AIME LA PLAGNE,MACON LOCHE TGV,16,0.23529411764705882
AIME LA PLAGNE,MACON LOCHE TGV,17,0.23823529411764705
AIME LA PLAGNE,MACON LOCHE TGV,18,0.23823529411764705
AIME LA PLAGNE,MACON LOCHE TGV,19,0.23823529411764705
AIME LA PLAGNE,MACON LOCHE TGV,20,0.23529411764705882
AIME LA PLAGNE,MACON LOCHE TGV,21,0.23529411764705882
AIME LA PLAGNE,MACON LOCHE TGV,22,0.23529411764705882
AIME LA PLAGNE,MACON LOCHE TGV,23,0.23529411764705882
AIME LA PLAGNE,MACON LOCHE TGV,24,0.2323529411764706
AIME LA PLAGNE,MACON LOCHE TGV,25,0.2323529411764706
AIME LA PLAGNE,MACON LOCHE TGV,26,0.23529411764705882
AIME LA PLAGNE,MACON LOCHE TGV,27,0.23529411764705882
AIME LA PLAGNE,MACON LOCHE TGV,28,0.23823529411764705
AIME LA PLAGNE,MACON LOCHE TGV,29,0.19999999999999998
AIME LA PLAGNE,MACON LOCHE TGV,30,0.03529411764705883
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,0,0.37884615384615383
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,1,0.4055555555555555
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,2,0.425
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,3,0.4160714285714286
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,4,0.18214285714285713
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,5,0.1732142857142857
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,6,0.2089285714285714
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,7,0.18214285714285713
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,8,0.1982142857142857
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,9,0.17857142857142858
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,10,0.17857142857142858
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,11,0.14464285714285713
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,12,0.11607142857142858
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,13,0.10714285714285714
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,14,0.10714285714285714
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,15,0.10714285714285714
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,16,0.10714285714285714
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,17,0.10714285714285714
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,18,0.10714285714285714
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,19,0.10714285714285714
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,20,0.10714285714285714
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,21,0.10714285714285714
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,22,0.10517241379310344
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,23,0.10517241379310344
