origine,destination,delta_days,proba_open
ARRAS,PARIS (intramuros),0,0.9676706827309236
ARRAS,PARIS (intramuros),1,0.9759036144578314
ARRAS,PARIS (intramuros),2,0.9769076305220884
ARRAS,PARIS (intramuros),3,0.9845381526104418
ARRAS,PARIS (intramuros),4,0.9781124497991969
ARRAS,PARIS (intramuros),5,0.9817269076305221
ARRAS,PARIS (intramuros),6,0.9777108433734939
ARRAS,PARIS (intramuros),7,0.9773092369477911
ARRAS,PARIS (intramuros),8,0.9799196787148594
ARRAS,PARIS (intramuros),9,0.9845381526104418
ARRAS,PARIS (intramuros),10,0.9829317269076305
ARRAS,PARIS (intramuros),11,0.9829317269076305
ARRAS,PARIS (intramuros),12,0.9582329317269076
ARRAS,PARIS (intramuros),13,0.9506024096385541
ARRAS,PARIS (intramuros),14,0.9510040160642571
ARRAS,PARIS (intramuros),15,0.9526104417670682
ARRAS,PARIS (intramuros),16,0.9582329317269076
ARRAS,PARIS (intramuros),17,0.9666666666666667
ARRAS,PARIS (intramuros),18,0.9630522088353414
ARRAS,PARIS (intramuros),19,0.9606425702811244
ARRAS,PARIS (intramuros),20,0.9568273092369478
ARRAS,PARIS (intramuros),21,0.9572289156626506
ARRAS,PARIS (intramuros),22,0.9556224899598393
ARRAS,PARIS (intramuros),23,0.9528112449799196
ARRAS,PARIS (intramuros),24,0.9522088353413655
ARRAS,PARIS (intramuros),25,0.9463855421686748
ARRAS,PARIS (intramuros),26,0.9491967871485943
ARRAS,PARIS (intramuros),27,0.9491935483870968
ARRAS,PARIS (intramuros),28,0.942741935483871
ARRAS,PARIS (intramuros),29,0.9387096774193548
ARRAS,PARIS (intramuros),30,0.04554655870445344
BETHUNE,PARIS (intramuros),0,0.9129955947136564
BETHUNE,PARIS (intramuros),1,0.9211453744493392
BETHUNE,PARIS (intramuros),2,0.9315789473684211
BETHUNE,PARIS (intramuros),3,0.9389130434782608
BETHUNE,PARIS (intramuros),4,0.9097402597402597
BETHUNE,PARIS (intramuros),5,0.9004310344827586
