origine,destination,delta_days,proba_open
AURILLAC,PARIS (intramuros),0,0.6856540084388185
AURILLAC,PARIS (intramuros),1,0.556875
AURILLAC,PARIS (intramuros),2,0.5556016597510374
AURILLAC,PARIS (intramuros),3,0.5819502074688797
AURILLAC,PARIS (intramuros),4,0.5625
AURILLAC,PARIS (intramuros),5,0.5783333333333334
AURILLAC,PARIS (intramuros),6,0.5822175732217574
AURILLAC,PARIS (intramuros),7,0.3294117647058824
AURILLAC,PARIS (intramuros),8,0.3221518987341772
AURILLAC,PARIS (intramuros),9,0.33016877637130804
AURILLAC,PARIS (intramuros),10,0.3336864406779661
AURILLAC,PARIS (intramuros),11,0.3363829787234042
AURILLAC,PARIS (intramuros),12,0.3472222222222222
AURILLAC,PARIS (intramuros),13,0.3521459227467811
AURILLAC,PARIS (intramuros),14,0.3568965517241379
AURILLAC,PARIS (intramuros),15,0.3653679653679654
AURILLAC,PARIS (intramuros),16,0.3670305676855895
AURILLAC,PARIS (intramuros),17,0.36858407079646016
AURILLAC,PARIS (intramuros),18,0.3698660714285714
AURILLAC,PARIS (intramuros),19,0.36463963963963963
AURILLAC,PARIS (intramuros),20,0.36704545454545456
AURILLAC,PARIS (intramuros),21,0.3698630136986301
AURILLAC,PARIS (intramuros),22,0.3676605504587156
AURILLAC,PARIS (intramuros),23,0.3701388888888889
AURILLAC,PARIS (intramuros),24,0.3686046511627907
AURILLAC,PARIS (intramuros),25,0.36690140845070424
AURILLAC,PARIS (intramuros),26,0.3725118483412322
AURILLAC,PARIS (intramuros),27,0.379047619047619
AURILLAC,PARIS (intramuros),28,0.37942583732057417
AURILLAC,PARIS (intramuros),29,0.37956730769230773
AURILLAC,PARIS (intramuros),30,0.04563106796116505
BRETENOUX BIARS,PARIS (intramuros),0,0.6816455696202532
BRETENOUX BIARS,PARIS (intramuros),1,0.5525
BRETENOUX BIARS,PARIS (intramuros),2,0.5514522821576764
BRETENOUX BIARS,PARIS (intramuros),3,0.5823651452282157
BRETENOUX BIARS,PARIS (intramuros),4,0.5583333333333333
BRETENOUX BIARS,PARIS (intramuros),5,0.5733333333333334
BRETENOUX BIARS,PARIS (intramuros),6,0.5822175732217574
BRETENOUX BIARS,PARIS (intramuros),7,0.3243697478991597
BRETENOUX BIARS,PARIS (intramuros),8,0.32236286919831225
BRETENOUX BIARS,PARIS (intramuros),9,0.3295358649789029
BRETENOUX BIARS,PARIS (intramuros),10,0.3307203389830508
BRETENOUX BIARS,PARIS (intramuros),11,0.3393617021276596
BRETENOUX BIARS,PARIS (intramuros),12,0.34615384615384615
BRETENOUX BIARS,PARIS (intramuros),13,0.3521459227467811
BRETENOUX BIARS,PARIS (intramuros),14,0.3573275862068966
BRETENOUX BIARS,PARIS (intramuros),15,0.36645021645021647
BRETENOUX BIARS,PARIS (intramuros),16,0.36528384279475984
BRETENOUX BIARS,PARIS (intramuros),17,0.36769911504424774
BRETENOUX BIARS,PARIS (intramuros),18,0.3685267857142857
BRETENOUX BIARS,PARIS (intramuros),19,0.3650900900900901
BRETENOUX BIARS,PARIS (intramuros),20,0.3668181818181818
BRETENOUX BIARS,PARIS (intramuros),21,0.36666666666666664
BRETENOUX BIARS,PARIS (intramuros),22,0.3660550458715596
BRETENOUX BIARS,PARIS (intramuros),23,0.3680555555555556
BRETENOUX BIARS,PARIS (intramuros),24,0.36581395348837215
BRETENOUX BIARS,PARIS (intramuros),25,0.36502347417840375
BRETENOUX BIARS,PARIS (intramuros),26,0.37156398104265403
BRETENOUX BIARS,PARIS (intramuros),27,0.3788095238095238
BRETENOUX BIARS,PARIS (intramuros),28,0.3787081339712919
BRETENOUX BIARS,PARIS (intramuros),29,0.37451923076923077
BRETENOUX BIARS,PARIS (intramuros),30,0.04344660194174757
BRIVE LA GAILLARDE,PARIS (intramuros),1,0.025000000000000005
BRIVE LA GAILLARDE,PARIS (intramuros),2,0.0
BRIVE LA GAILLARDE,PARIS (intramuros),3,0.0
BRIVE LA GAILLARDE,PARIS (intramuros),4,0.0
BRIVE LA GAILLARDE,PARIS (intramuros),5,0.0
LAROQUEBROU BATIMENT VOYAGEURS,PARIS (intramuros),0,0.679957805907173
LAROQUEBROU BATIMENT VOYAGEURS,PARIS (intramuros),1,0.5514583333333333
LAROQUEBROU BATIMENT VOYAGEURS,PARIS (intramuros),2,0.5545643153526971
LAROQUEBROU BATIMENT VOYAGEURS,PARIS (intramuros),3,0.5815352697095436
LAROQUEBROU BATIMENT VOYAGEURS,PARIS (intramuros),4,0.560625
LAROQUEBROU BATIMENT VOYAGEURS,PARIS (intramuros),5,0.5772916666666668
LAROQUEBROU BATIMENT VOYAGEURS,PARIS (intramuros),6,0.5855648535564854
LAROQUEBROU BATIMENT VOYAGEURS,PARIS (intramuros),7,0.32752100840336135
LAROQUEBROU BATIMENT VOYAGEURS,PARIS (intramuros),8,0.3208860759493671
LAROQUEBROU BATIMENT VOYAGEURS,PARIS (intramuros),9,0.3280590717299578
LAROQUEBROU BATIMENT VOYAGEURS,PARIS (intramuros),10,0.3307203389830508
LAROQUEBROU BATIMENT VOYAGEURS,PARIS (intramuros),11,0.33574468085106385
LAROQUEBROU BATIMENT VOYAGEURS,PARIS (intramuros),12,0.34594017094017093
LAROQUEBROU BATIMENT VOYAGEURS,PARIS (intramuros),13,0.3515021459227468
LAROQUEBROU BATIMENT VOYAGEURS,PARIS (intramuros),14,0.3584051724137931
LAROQUEBROU BATIMENT VOYAGEURS,PARIS (intramuros),15,0.3662337662337662
LAROQUEBROU BATIMENT VOYAGEURS,PARIS (intramuros),16,0.36593886462882097
LAROQUEBROU BATIMENT VOYAGEURS,PARIS (intramuros),17,0.36769911504424774
LAROQUEBROU BATIMENT VOYAGEURS,PARIS (intramuros),18,0.3698660714285714
LAROQUEBROU BATIMENT VOYAGEURS,PARIS (intramuros),19,0.36486486486486486
LAROQUEBROU BATIMENT VOYAGEURS,PARIS (intramuros),20,0.36727272727272725
LAROQUEBROU BATIMENT VOYAGEURS,PARIS (intramuros),21,0.36849315068493155
LAROQUEBROU BATIMENT VOYAGEURS,PARIS (intramuros),22,0.36903669724770644
LAROQUEBROU BATIMENT VOYAGEURS,PARIS (intramuros),23,0.3694444444444444
