origine,destination,delta_days,proba_open
AIX EN PROVENCE TGV,AVIGNON TGV,0,0.8590579710144928
AIX EN PROVENCE TGV,AVIGNON TGV,1,0.8518115942028985
AIX EN PROVENCE TGV,AVIGNON TGV,2,0.7733812949640287
AIX EN PROVENCE TGV,AVIGNON TGV,3,0.753956834532374
AIX EN PROVENCE TGV,AVIGNON TGV,4,0.530072463768116
AIX EN PROVENCE TGV,AVIGNON TGV,5,0.5324817518248175
AIX EN PROVENCE TGV,AVIGNON TGV,6,0.5346715328467153
AIX EN PROVENCE TGV,AVIGNON TGV,7,0.49343065693430654
AIX EN PROVENCE TGV,AVIGNON TGV,8,0.5029197080291972
AIX EN PROVENCE TGV,AVIGNON TGV,9,0.5217391304347826
AIX EN PROVENCE TGV,AVIGNON TGV,10,0.5402877697841726
AIX EN PROVENCE TGV,AVIGNON TGV,11,0.5307971014492754
AIX EN PROVENCE TGV,AVIGNON TGV,12,0.3978260869565217
AIX EN PROVENCE TGV,AVIGNON TGV,13,0.38405797101449274
AIX EN PROVENCE TGV,AVIGNON TGV,14,0.36751824817518247
AIX EN PROVENCE TGV,AVIGNON TGV,15,0.3759124087591241
AIX EN PROVENCE TGV,AVIGNON TGV,16,0.404014598540146
AIX EN PROVENCE TGV,AVIGNON TGV,17,0.40948905109489053
AIX EN PROVENCE TGV,AVIGNON TGV,18,0.4165441176470588
AIX EN PROVENCE TGV,AVIGNON TGV,19,0.43333333333333335
AIX EN PROVENCE TGV,AVIGNON TGV,20,0.4335820895522388
AIX EN PROVENCE TGV,AVIGNON TGV,21,0.42781954887218043
AIX EN PROVENCE TGV,AVIGNON TGV,22,0.4325757575757576
AIX EN PROVENCE TGV,AVIGNON TGV,23,0.4363636363636364
AIX EN PROVENCE TGV,AVIGNON TGV,24,0.4382575757575758
AIX EN PROVENCE TGV,AVIGNON TGV,25,0.4473076923076923
AIX EN PROVENCE TGV,AVIGNON TGV,26,0.454296875
AIX EN PROVENCE TGV,AVIGNON TGV,27,0.45944881889763783
AIX EN PROVENCE TGV,AVIGNON TGV,28,0.45674603174603173
AIX EN PROVENCE TGV,AVIGNON TGV,29,0.4365079365079365
AIX EN PROVENCE TGV,AVIGNON TGV,30,0.054
AIX EN PROVENCE TGV,PARIS (intramuros),0,0.39565217391304347
AIX EN PROVENCE TGV,PARIS (intramuros),1,0.37971014492753624
AIX EN PROVENCE TGV,PARIS (intramuros),2,0.3665467625899281
AIX EN PROVENCE TGV,PARIS (intramuros),3,0.3607913669064748
AIX EN PROVENCE TGV,PARIS (intramuros),4,0.2318840579710145
AIX EN PROVENCE TGV,PARIS (intramuros),5,0.23175182481751824
AIX EN PROVENCE TGV,PARIS (intramuros),6,0.2427007299270073
AIX EN PROVENCE TGV,PARIS (intramuros),7,0.2423357664233577
AIX EN PROVENCE TGV,PARIS (intramuros),8,0.25583941605839416
AIX EN PROVENCE TGV,PARIS (intramuros),9,0.25652173913043474
AIX EN PROVENCE TGV,PARIS (intramuros),10,0.2755395683453237
AIX EN PROVENCE TGV,PARIS (intramuros),11,0.2648550724637681
AIX EN PROVENCE TGV,PARIS (intramuros),12,0.16485507246376813
AIX EN PROVENCE TGV,PARIS (intramuros),13,0.1822463768115942
AIX EN PROVENCE TGV,PARIS (intramuros),14,0.18832116788321168
AIX EN PROVENCE TGV,PARIS (intramuros),15,0.19744525547445255
AIX EN PROVENCE TGV,PARIS (intramuros),16,0.22445255474452555
AIX EN PROVENCE TGV,PARIS (intramuros),17,0.22299270072992702
AIX EN PROVENCE TGV,PARIS (intramuros),18,0.23566176470588232
AIX EN PROVENCE TGV,PARIS (intramuros),19,0.24925925925925924
AIX EN PROVENCE TGV,PARIS (intramuros),20,0.2593283582089552
AIX EN PROVENCE TGV,PARIS (intramuros),21,0.24736842105263157
