origine,destination,delta_days,proba_open
ANTIBES,PARIS (intramuros),0,0.867
ANTIBES,PARIS (intramuros),1,0.7924528301886793
ANTIBES,PARIS (intramuros),2,0.7175925925925926
ANTIBES,PARIS (intramuros),3,0.7083333333333334
ANTIBES,PARIS (intramuros),4,0.5594339622641509
ANTIBES,PARIS (intramuros),5,0.5509433962264151
ANTIBES,PARIS (intramuros),6,0.5650943396226416
ANTIBES,PARIS (intramuros),7,0.4314814814814815
ANTIBES,PARIS (intramuros),8,0.42962962962962964
ANTIBES,PARIS (intramuros),9,0.42314814814814816
ANTIBES,PARIS (intramuros),10,0.4863636363636364
ANTIBES,PARIS (intramuros),11,0.5166666666666666
ANTIBES,PARIS (intramuros),12,0.4377358490566038
ANTIBES,PARIS (intramuros),13,0.45
ANTIBES,PARIS (intramuros),14,0.4409090909090909
ANTIBES,PARIS (intramuros),15,0.45181818181818184
ANTIBES,PARIS (intramuros),16,0.45181818181818184
ANTIBES,PARIS (intramuros),17,0.4572727272727272
ANTIBES,PARIS (intramuros),18,0.46
ANTIBES,PARIS (intramuros),19,0.4472222222222222
ANTIBES,PARIS (intramuros),20,0.4601851851851852
ANTIBES,PARIS (intramuros),21,0.48518518518518516
ANTIBES,PARIS (intramuros),22,0.537962962962963
ANTIBES,PARIS (intramuros),23,0.5537037037037037
ANTIBES,PARIS (intramuros),24,0.5750000000000001
ANTIBES,PARIS (intramuros),25,0.5740740740740741
ANTIBES,PARIS (intramuros),26,0.5740740740740741
ANTIBES,PARIS (intramuros),27,0.610909090909091
ANTIBES,PARIS (intramuros),28,0.6196428571428572
ANTIBES,PARIS (intramuros),29,0.5928571428571429
ANTIBES,PARIS (intramuros),30,0.04285714285714286
CANNES,PARIS (intramuros),0,0.873
CANNES,PARIS (intramuros),1,0.7981132075471697
CANNES,PARIS (intramuros),2,0.7240740740740741
CANNES,PARIS (intramuros),3,0.7175925925925926
CANNES,PARIS (intramuros),4,0.5575471698113208
CANNES,PARIS (intramuros),5,0.5499999999999999
CANNES,PARIS (intramuros),6,0.5641509433962264
CANNES,PARIS (intramuros),7,0.42685185185185187
CANNES,PARIS (intramuros),8,0.4388888888888889
CANNES,PARIS (intramuros),9,0.42962962962962964
CANNES,PARIS (intramuros),10,0.4909090909090909
CANNES,PARIS (intramuros),11,0.5194444444444445
CANNES,PARIS (intramuros),12,0.4349056603773585
CANNES,PARIS (intramuros),13,0.4351851851851852
CANNES,PARIS (intramuros),14,0.4390909090909091
CANNES,PARIS (intramuros),15,0.4536363636363636
CANNES,PARIS (intramuros),16,0.45454545454545453
CANNES,PARIS (intramuros),17,0.4581818181818182
CANNES,PARIS (intramuros),18,0.4672727272727273
CANNES,PARIS (intramuros),19,0.4472222222222222
CANNES,PARIS (intramuros),20,0.4611111111111111
CANNES,PARIS (intramuros),21,0.47962962962962963
CANNES,PARIS (intramuros),22,0.5296296296296297
CANNES,PARIS (intramuros),23,0.5518518518518518
CANNES,PARIS (intramuros),24,0.5750000000000001
CANNES,PARIS (intramuros),25,0.5796296296296296
CANNES,PARIS (intramuros),26,0.5833333333333334
CANNES,PARIS (intramuros),27,0.6136363636363636
CANNES,PARIS (intramuros),28,0.6241071428571429
CANNES,PARIS (intramuros),29,0.5964285714285714
CANNES,PARIS (intramuros),30,0.04285714285714286
LES ARCS DRAGUIGNAN,PARIS (intramuros),0,0.873
LES ARCS DRAGUIGNAN,PARIS (intramuros),1,0.8056603773584906
LES ARCS DRAGUIGNAN,PARIS (intramuros),2,0.725
LES ARCS DRAGUIGNAN,PARIS (intramuros),3,0.7018518518518518
LES ARCS DRAGUIGNAN,PARIS (intramuros),4,0.560377358490566
LES ARCS DRAGUIGNAN,PARIS (intramuros),5,0.5481132075471699
LES ARCS DRAGUIGNAN,PARIS (intramuros),6,0.5679245283018868
LES ARCS DRAGUIGNAN,PARIS (intramuros),7,0.43703703703703706
LES ARCS DRAGUIGNAN,PARIS (intramuros),8,0.4388888888888889
LES ARCS DRAGUIGNAN,PARIS (intramuros),9,0.42314814814814816
LES ARCS DRAGUIGNAN,PARIS (intramuros),10,0.4890909090909091
LES ARCS DRAGUIGNAN,PARIS (intramuros),11,0.5231481481481481
LES ARCS DRAGUIGNAN,PARIS (intramuros),12,0.4490566037735849
LES ARCS DRAGUIGNAN,PARIS (intramuros),13,0.4361111111111111
LES ARCS DRAGUIGNAN,PARIS (intramuros),14,0.4409090909090909
LES ARCS DRAGUIGNAN,PARIS (intramuros),15,0.4527272727272727
LES ARCS DRAGUIGNAN,PARIS (intramuros),16,0.4536363636363636
LES ARCS DRAGUIGNAN,PARIS (intramuros),17,0.4581818181818182
LES ARCS DRAGUIGNAN,PARIS (intramuros),18,0.46454545454545454
LES ARCS DRAGUIGNAN,PARIS (intramuros),19,0.44814814814814813
LES ARCS DRAGUIGNAN,PARIS (intramuros),20,0.45925925925925926
LES ARCS DRAGUIGNAN,PARIS (intramuros),21,0.48518518518518516
LES ARCS DRAGUIGNAN,PARIS (intramuros),22,0.5333333333333333
LES ARCS DRAGUIGNAN,PARIS (intramuros),23,0.5546296296296296
LES ARCS DRAGUIGNAN,PARIS (intramuros),24,0.5731481481481482
LES ARCS DRAGUIGNAN,PARIS (intramuros),25,0.5740740740740741
LES ARCS DRAGUIGNAN,PARIS (intramuros),26,0.5787037037037037
LES ARCS DRAGUIGNAN,PARIS (intramuros),27,0.61
LES ARCS DRAGUIGNAN,PARIS (intramuros),28,0.6214285714285713
LES ARCS DRAGUIGNAN,PARIS (intramuros),29,0.5883928571428572
LES ARCS DRAGUIGNAN,PARIS (intramuros),30,0.04017857142857143
MARSEILLE BLANCARDE,PARIS (intramuros),0,0.8740000000000001
MARSEILLE BLANCARDE,PARIS (intramuros),1,0.8018867924528302
MARSEILLE BLANCARDE,PARIS (intramuros),2,0.7212962962962963
MARSEILLE BLANCARDE,PARIS (intramuros),3,0.7166666666666667
MARSEILLE BLANCARDE,PARIS (intramuros),4,0.5518867924528302
MARSEILLE BLANCARDE,PARIS (intramuros),5,0.540566037735849
MARSEILLE BLANCARDE,PARIS (intramuros),6,0.560377358490566
MARSEILLE BLANCARDE,PARIS (intramuros),7,0.4351851851851852
MARSEILLE BLANCARDE,PARIS (intramuros),8,0.44537037037037036
MARSEILLE BLANCARDE,PARIS (intramuros),9,0.4361111111111111
MARSEILLE BLANCARDE,PARIS (intramuros),10,0.48363636363636364
MARSEILLE BLANCARDE,PARIS (intramuros),11,0.5231481481481481
MARSEILLE BLANCARDE,PARIS (intramuros),12,0.43679245283018864
MARSEILLE BLANCARDE,PARIS (intramuros),13,0.44074074074074077
MARSEILLE BLANCARDE,PARIS (intramuros),14,0.44
MARSEILLE BLANCARDE,PARIS (intramuros),15,0.45454545454545453
MARSEILLE BLANCARDE,PARIS (intramuros),16,0.45454545454545453
MARSEILLE BLANCARDE,PARIS (intramuros),17,0.46
MARSEILLE BLANCARDE,PARIS (intramuros),18,0.4672727272727273
MARSEILLE BLANCARDE,PARIS (intramuros),19,0.45185185185185184
MARSEILLE BLANCARDE,PARIS (intramuros),20,0.46481481481481485
MARSEILLE BLANCARDE,PARIS (intramuros),21,0.47870370370370374
MARSEILLE BLANCARDE,PARIS (intramuros),22,0.5314814814814814
MARSEILLE BLANCARDE,PARIS (intramuros),23,0.549074074074074
MARSEILLE BLANCARDE,PARIS (intramuros),24,0.5712962962962963
MARSEILLE BLANCARDE,PARIS (intramuros),25,0.5750000000000001
MARSEILLE BLANCARDE,PARIS (intramuros),26,0.5796296296296296
MARSEILLE BLANCARDE,PARIS (intramuros),27,0.6145454545454545
MARSEILLE BLANCARDE,PARIS (intramuros),28,0.625
MARSEILLE BLANCARDE,PARIS (intramuros),29,0.6026785714285714
MARSEILLE BLANCARDE,PARIS (intramuros),30,0.04642857142857143
NICE VILLE,PARIS (intramuros),0,0.8759999999999999
NICE VILLE,PARIS (intramuros),1,0.8018867924528302
NICE VILLE,PARIS (intramuros),2,0.7203703703703703
NICE VILLE,PARIS (intramuros),3,0.7083333333333334
NICE VILLE,PARIS (intramuros),4,0.5547169811320755
NICE VILLE,PARIS (intramuros),5,0.5518867924528302
NICE VILLE,PARIS (intramuros),6,0.569811320754717
NICE VILLE,PARIS (intramuros),7,0.4314814814814815
NICE VILLE,PARIS (intramuros),8,0.4416666666666667
NICE VILLE,PARIS (intramuros),9,0.4277777777777778
NICE VILLE,PARIS (intramuros),10,0.48363636363636364
NICE VILLE,PARIS (intramuros),11,0.5138888888888888
NICE VILLE,PARIS (intramuros),12,0.44433962264150945
NICE VILLE,PARIS (intramuros),13,0.4435185185185185
NICE VILLE,PARIS (intramuros),14,0.43818181818181823
NICE VILLE,PARIS (intramuros),15,0.45
NICE VILLE,PARIS (intramuros),16,0.45454545454545453
NICE VILLE,PARIS (intramuros),17,0.4590909090909091
NICE VILLE,PARIS (intramuros),18,0.4672727272727273
NICE VILLE,PARIS (intramuros),19,0.45
NICE VILLE,PARIS (intramuros),20,0.4675925925925926
NICE VILLE,PARIS (intramuros),21,0.49537037037037035
NICE VILLE,PARIS (intramuros),22,0.5333333333333333
NICE VILLE,PARIS (intramuros),23,0.5518518518518518
NICE VILLE,PARIS (intramuros),24,0.5722222222222222
NICE VILLE,PARIS (intramuros),25,0.575925925925926
NICE VILLE,PARIS (intramuros),26,0.5777777777777777
NICE VILLE,PARIS (intramuros),27,0.61
NICE VILLE,PARIS (intramuros),28,0.6232142857142857
NICE VILLE,PARIS (intramuros),29,0.59375
NICE VILLE,PARIS (intramuros),30,0.03482142857142857
ST RAPHAEL VALESCURE,PARIS (intramuros),0,0.8740000000000001
ST RAPHAEL VALESCURE,PARIS (intramuros),1,0.7999999999999999
ST RAPHAEL VALESCURE,PARIS (intramuros),2,0.7101851851851853
ST RAPHAEL VALESCURE,PARIS (intramuros),3,0.7148148148148148
ST RAPHAEL VALESCURE,PARIS (intramuros),4,0.5566037735849056
ST RAPHAEL VALESCURE,PARIS (intramuros),5,0.5481132075471699
ST RAPHAEL VALESCURE,PARIS (intramuros),6,0.5669811320754717
ST RAPHAEL VALESCURE,PARIS (intramuros),7,0.4351851851851852
ST RAPHAEL VALESCURE,PARIS (intramuros),8,0.43703703703703706
ST RAPHAEL VALESCURE,PARIS (intramuros),9,0.425
ST RAPHAEL VALESCURE,PARIS (intramuros),10,0.4845454545454545
ST RAPHAEL VALESCURE,PARIS (intramuros),11,0.5212962962962963
ST RAPHAEL VALESCURE,PARIS (intramuros),12,0.44245283018867926
ST RAPHAEL VALESCURE,PARIS (intramuros),13,0.44814814814814813
ST RAPHAEL VALESCURE,PARIS (intramuros),14,0.44181818181818183
ST RAPHAEL VALESCURE,PARIS (intramuros),15,0.45454545454545453
ST RAPHAEL VALESCURE,PARIS (intramuros),16,0.45454545454545453
ST RAPHAEL VALESCURE,PARIS (intramuros),17,0.4572727272727272
ST RAPHAEL VALESCURE,PARIS (intramuros),18,0.47000000000000003
ST RAPHAEL VALESCURE,PARIS (intramuros),19,0.45
ST RAPHAEL VALESCURE,PARIS (intramuros),20,0.46296296296296297
ST RAPHAEL VALESCURE,PARIS (intramuros),21,0.48148148148148145
ST RAPHAEL VALESCURE,PARIS (intramuros),22,0.5342592592592593
ST RAPHAEL VALESCURE,PARIS (intramuros),23,0.5527777777777778
ST RAPHAEL VALESCURE,PARIS (intramuros),24,0.5675925925925925
ST RAPHAEL VALESCURE,PARIS (intramuros),25,0.5722222222222222
ST RAPHAEL VALESCURE,PARIS (intramuros),26,0.575925925925926
