origine,destination,delta_days,proba_open
BORDEAUX ST JEAN,JONZAC,0,0.9686915887850468
BORDEAUX ST JEAN,JONZAC,1,0.961574074074074
BORDEAUX ST JEAN,JONZAC,2,0.95
BORDEAUX ST JEAN,JONZAC,3,0.9365740740740741
BORDEAUX ST JEAN,JONZAC,4,0.8944954128440367
BORDEAUX ST JEAN,JONZAC,5,0.8795454545454545
BORDEAUX ST JEAN,JONZAC,6,0.8684684684684685
BORDEAUX ST JEAN,JONZAC,7,0.8324324324324325
BORDEAUX ST JEAN,JONZAC,8,0.790625
BORDEAUX ST JEAN,JONZAC,9,0.7508928571428571
BORDEAUX ST JEAN,JONZAC,10,0.7486607142857142
BORDEAUX ST JEAN,JONZAC,11,0.7402654867256637
BORDEAUX ST JEAN,JONZAC,12,0.6736842105263158
BORDEAUX ST JEAN,JONZAC,13,0.6847826086956522
BORDEAUX ST JEAN,JONZAC,14,0.6539130434782608
BORDEAUX ST JEAN,JONZAC,15,0.6417391304347826
BORDEAUX ST JEAN,JONZAC,16,0.6439130434782608
BORDEAUX ST JEAN,JONZAC,17,0.6273913043478261
BORDEAUX ST JEAN,JONZAC,18,0.6182608695652173
BORDEAUX ST JEAN,JONZAC,19,0.6169565217391305
BORDEAUX ST JEAN,JONZAC,20,0.6147826086956522
BORDEAUX ST JEAN,JONZAC,21,0.5995652173913044
BORDEAUX ST JEAN,JONZAC,22,0.5834782608695651
BORDEAUX ST JEAN,JONZAC,23,0.578695652173913
BORDEAUX ST JEAN,JONZAC,24,0.5752173913043479
BORDEAUX ST JEAN,JONZAC,25,0.5778260869565217
BORDEAUX ST JEAN,JONZAC,26,0.5747826086956521
BORDEAUX ST JEAN,JONZAC,27,0.591304347826087
BORDEAUX ST JEAN,JONZAC,28,0.6047826086956521
BORDEAUX ST JEAN,JONZAC,29,0.5908695652173913
BORDEAUX ST JEAN,JONZAC,30,0.030869565217391308
BORDEAUX ST JEAN,LA ROCHE SUR YON,0,0.9700934579439252
BORDEAUX ST JEAN,LA ROCHE SUR YON,1,0.9629629629629629
BORDEAUX ST JEAN,LA ROCHE SUR YON,2,0.9532407407407407
BORDEAUX ST JEAN,LA ROCHE SUR YON,3,0.9351851851851852
BORDEAUX ST JEAN,LA ROCHE SUR YON,4,0.8922018348623854
BORDEAUX ST JEAN,LA ROCHE SUR YON,5,0.8818181818181818
BORDEAUX ST JEAN,LA ROCHE SUR YON,6,0.8671171171171171
BORDEAUX ST JEAN,LA ROCHE SUR YON,7,0.831081081081081
BORDEAUX ST JEAN,LA ROCHE SUR YON,8,0.7879464285714286
BORDEAUX ST JEAN,LA ROCHE SUR YON,9,0.7468750000000001
BORDEAUX ST JEAN,LA ROCHE SUR YON,10,0.7495535714285715
BORDEAUX ST JEAN,LA ROCHE SUR YON,11,0.7433628318584071
BORDEAUX ST JEAN,LA ROCHE SUR YON,12,0.6767543859649123
BORDEAUX ST JEAN,LA ROCHE SUR YON,13,0.6826086956521739
BORDEAUX ST JEAN,LA ROCHE SUR YON,14,0.6560869565217392
BORDEAUX ST JEAN,LA ROCHE SUR YON,15,0.6473913043478261
BORDEAUX ST JEAN,LA ROCHE SUR YON,16,0.6408695652173914
BORDEAUX ST JEAN,LA ROCHE SUR YON,17,0.6273913043478261
BORDEAUX ST JEAN,LA ROCHE SUR YON,18,0.6169565217391305
BORDEAUX ST JEAN,LA ROCHE SUR YON,19,0.6169565217391305
BORDEAUX ST JEAN,LA ROCHE SUR YON,20,0.6165217391304348
BORDEAUX ST JEAN,LA ROCHE SUR YON,21,0.5969565217391305
BORDEAUX ST JEAN,LA ROCHE SUR YON,22,0.5821739130434783
BORDEAUX ST JEAN,LA ROCHE SUR YON,23,0.5773913043478262
BORDEAUX ST JEAN,LA ROCHE SUR YON,24,0.5734782608695652
BORDEAUX ST JEAN,LA ROCHE SUR YON,25,0.5773913043478262
BORDEAUX ST JEAN,LA ROCHE SUR YON,26,0.5752173913043479
BORDEAUX ST JEAN,LA ROCHE SUR YON,27,0.5908695652173913
BORDEAUX ST JEAN,LA ROCHE SUR YON,28,0.6065217391304348
BORDEAUX ST JEAN,LA ROCHE SUR YON,29,0.5943478260869565
BORDEAUX ST JEAN,LA ROCHE SUR YON,30,0.02434782608695652
BORDEAUX ST JEAN,LA ROCHELLE VILLE,0,0.9686915887850468
BORDEAUX ST JEAN,LA ROCHELLE VILLE,1,0.9611111111111111
BORDEAUX ST JEAN,LA ROCHELLE VILLE,2,0.950925925925926
BORDEAUX ST JEAN,LA ROCHELLE VILLE,3,0.9365740740740741
BORDEAUX ST JEAN,LA ROCHELLE VILLE,4,0.8940366972477064
BORDEAUX ST JEAN,LA ROCHELLE VILLE,5,0.8813636363636363
BORDEAUX ST JEAN,LA ROCHELLE VILLE,6,0.872072072072072
BORDEAUX ST JEAN,LA ROCHELLE VILLE,7,0.8315315315315315
BORDEAUX ST JEAN,LA ROCHELLE VILLE,8,0.7870535714285715
BORDEAUX ST JEAN,LA ROCHELLE VILLE,9,0.7553571428571428
BORDEAUX ST JEAN,LA ROCHELLE VILLE,10,0.7473214285714286
BORDEAUX ST JEAN,LA ROCHELLE VILLE,11,0.7424778761061948
BORDEAUX ST JEAN,LA ROCHELLE VILLE,12,0.6701754385964913
BORDEAUX ST JEAN,LA ROCHELLE VILLE,13,0.6752173913043479
BORDEAUX ST JEAN,LA ROCHELLE VILLE,14,0.6521739130434783
BORDEAUX ST JEAN,LA ROCHELLE VILLE,15,0.6447826086956522
BORDEAUX ST JEAN,LA ROCHELLE VILLE,16,0.6421739130434783
BORDEAUX ST JEAN,LA ROCHELLE VILLE,17,0.6273913043478261
BORDEAUX ST JEAN,LA ROCHELLE VILLE,18,0.62
BORDEAUX ST JEAN,LA ROCHELLE VILLE,19,0.6147826086956522
BORDEAUX ST JEAN,LA ROCHELLE VILLE,20,0.6126086956521739
BORDEAUX ST JEAN,LA ROCHELLE VILLE,21,0.5952173913043478
