origine,destination,delta_days,proba_open
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,0,0.9977777777777777
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,1,0.9988888888888888
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,2,0.9985185185185186
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,3,0.9988888888888888
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,4,0.9996296296296295
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,5,0.9996296296296295
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,6,0.9992592592592593
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,7,0.9988888888888888
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,8,0.9996296296296295
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,9,0.9992592592592593
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,10,0.9996296296296295
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,11,0.9922222222222221
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,12,0.9403703703703704
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,13,0.9314814814814815
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,14,0.9322222222222222
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,15,0.9318518518518518
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,16,0.9337037037037037
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,17,0.9248148148148148
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,18,0.92
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,19,0.9151851851851852
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,20,0.9062962962962963
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,21,0.9014814814814816
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,22,0.8922222222222222
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,23,0.8888888888888888
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,24,0.8711111111111111
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,25,0.8651851851851852
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,26,0.86
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,27,0.8640740740740741
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,28,0.8674074074074074
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,29,0.8540740740740741
BELFORT MONTBELIARD TGV,BESANCON FRANCHE COMTE TGV,30,0.04402985074626866
BELFORT MONTBELIARD TGV,DIJON VILLE,0,0.9974074074074074
BELFORT MONTBELIARD TGV,DIJON VILLE,1,0.9988888888888888
BELFORT MONTBELIARD TGV,DIJON VILLE,2,0.9988888888888888
BELFORT MONTBELIARD TGV,DIJON VILLE,3,0.9988888888888888
BELFORT MONTBELIARD TGV,DIJON VILLE,4,0.9992592592592593
BELFORT MONTBELIARD TGV,DIJON VILLE,5,0.9985185185185186
BELFORT MONTBELIARD TGV,DIJON VILLE,6,0.9981481481481481
BELFORT MONTBELIARD TGV,DIJON VILLE,7,0.9903703703703702
BELFORT MONTBELIARD TGV,DIJON VILLE,8,0.9796296296296296
BELFORT MONTBELIARD TGV,DIJON VILLE,9,0.9837037037037037
BELFORT MONTBELIARD TGV,DIJON VILLE,10,0.9837037037037037
BELFORT MONTBELIARD TGV,DIJON VILLE,11,0.9648148148148148
BELFORT MONTBELIARD TGV,DIJON VILLE,12,0.8440740740740741
BELFORT MONTBELIARD TGV,DIJON VILLE,13,0.8196296296296297
BELFORT MONTBELIARD TGV,DIJON VILLE,14,0.8240740740740741
BELFORT MONTBELIARD TGV,DIJON VILLE,15,0.8237037037037037
BELFORT MONTBELIARD TGV,DIJON VILLE,16,0.8166666666666667
BELFORT MONTBELIARD TGV,DIJON VILLE,17,0.8174074074074074
BELFORT MONTBELIARD TGV,DIJON VILLE,18,0.8266666666666667
BELFORT MONTBELIARD TGV,DIJON VILLE,19,0.8355555555555555
BELFORT MONTBELIARD TGV,DIJON VILLE,20,0.8292592592592593
BELFORT MONTBELIARD TGV,DIJON VILLE,21,0.8188888888888889
BELFORT MONTBELIARD TGV,DIJON VILLE,22,0.8240740740740741
BELFORT MONTBELIARD TGV,DIJON VILLE,23,0.8144444444444444
BELFORT MONTBELIARD TGV,DIJON VILLE,24,0.7959259259259259
BELFORT MONTBELIARD TGV,DIJON VILLE,25,0.8062962962962963
BELFORT MONTBELIARD TGV,DIJON VILLE,26,0.8081481481481481
BELFORT MONTBELIARD TGV,DIJON VILLE,27,0.8037037037037037
BELFORT MONTBELIARD TGV,DIJON VILLE,28,0.8099999999999999
BELFORT MONTBELIARD TGV,DIJON VILLE,29,0.7977777777777778
BELFORT MONTBELIARD TGV,DIJON VILLE,30,0.03656716417910448
BELFORT MONTBELIARD TGV,MONTBARD,0,0.46111111111111114
BELFORT MONTBELIARD TGV,MONTBARD,1,0.4751851851851852
BELFORT MONTBELIARD TGV,MONTBARD,2,0.47740740740740745
BELFORT MONTBELIARD TGV,MONTBARD,3,0.4837037037037037
BELFORT MONTBELIARD TGV,MONTBARD,4,0.44962962962962966
BELFORT MONTBELIARD TGV,MONTBARD,5,0.4866666666666667
BELFORT MONTBELIARD TGV,MONTBARD,6,0.5018518518518519
BELFORT MONTBELIARD TGV,MONTBARD,7,0.5167910447761194
BELFORT MONTBELIARD TGV,MONTBARD,8,0.5246268656716417
BELFORT MONTBELIARD TGV,MONTBARD,9,0.5671641791044776
BELFORT MONTBELIARD TGV,MONTBARD,10,0.5667910447761194
BELFORT MONTBELIARD TGV,MONTBARD,11,0.5104477611940299
BELFORT MONTBELIARD TGV,MONTBARD,12,0.3902985074626866
BELFORT MONTBELIARD TGV,MONTBARD,13,0.3794776119402985
BELFORT MONTBELIARD TGV,MONTBARD,14,0.3951127819548872
BELFORT MONTBELIARD TGV,MONTBARD,15,0.39210526315789473
BELFORT MONTBELIARD TGV,MONTBARD,16,0.3988721804511278
BELFORT MONTBELIARD TGV,MONTBARD,17,0.4150375939849624
BELFORT MONTBELIARD TGV,MONTBARD,18,0.42406015037593986
BELFORT MONTBELIARD TGV,MONTBARD,19,0.43759398496240604
BELFORT MONTBELIARD TGV,MONTBARD,20,0.44398496240601504
BELFORT MONTBELIARD TGV,MONTBARD,21,0.4507518796992481
BELFORT MONTBELIARD TGV,MONTBARD,22,0.4616541353383459
BELFORT MONTBELIARD TGV,MONTBARD,23,0.4621212121212121
BELFORT MONTBELIARD TGV,MONTBARD,24,0.46742424242424246
BELFORT MONTBELIARD TGV,MONTBARD,25,0.4772727272727273
BELFORT MONTBELIARD TGV,MONTBARD,26,0.49541984732824434
BELFORT MONTBELIARD TGV,MONTBARD,27,0.4958015267175573
BELFORT MONTBELIARD TGV,MONTBARD,28,0.5015384615384616
BELFORT MONTBELIARD TGV,MONTBARD,29,0.5119230769230769
BELFORT MONTBELIARD TGV,MONTBARD,30,0.02364341085271318
BELFORT MONTBELIARD TGV,PARIS (intramuros),0,0.5203703703703704
BELFORT MONTBELIARD TGV,PARIS (intramuros),1,0.5729629629629629
BELFORT MONTBELIARD TGV,PARIS (intramuros),2,0.5718518518518518
BELFORT MONTBELIARD TGV,PARIS (intramuros),3,0.6222222222222222
BELFORT MONTBELIARD TGV,PARIS (intramuros),4,0.6277777777777778
BELFORT MONTBELIARD TGV,PARIS (intramuros),5,0.7018518518518518
BELFORT MONTBELIARD TGV,PARIS (intramuros),6,0.7140740740740741
BELFORT MONTBELIARD TGV,PARIS (intramuros),7,0.7314814814814815
BELFORT MONTBELIARD TGV,PARIS (intramuros),8,0.7385185185185186
BELFORT MONTBELIARD TGV,PARIS (intramuros),9,0.778888888888889
BELFORT MONTBELIARD TGV,PARIS (intramuros),10,0.7992592592592593
BELFORT MONTBELIARD TGV,PARIS (intramuros),11,0.7877777777777777
BELFORT MONTBELIARD TGV,PARIS (intramuros),12,0.43555555555555553
BELFORT MONTBELIARD TGV,PARIS (intramuros),13,0.4248148148148148
BELFORT MONTBELIARD TGV,PARIS (intramuros),14,0.4262962962962963
BELFORT MONTBELIARD TGV,PARIS (intramuros),15,0.4325925925925926
BELFORT MONTBELIARD TGV,PARIS (intramuros),16,0.42703703703703705
BELFORT MONTBELIARD TGV,PARIS (intramuros),17,0.4437037037037037
BELFORT MONTBELIARD TGV,PARIS (intramuros),18,0.46148148148148144
BELFORT MONTBELIARD TGV,PARIS (intramuros),19,0.48111111111111116
BELFORT MONTBELIARD TGV,PARIS (intramuros),20,0.4940740740740741
BELFORT MONTBELIARD TGV,PARIS (intramuros),21,0.5048148148148148
BELFORT MONTBELIARD TGV,PARIS (intramuros),22,0.515925925925926
BELFORT MONTBELIARD TGV,PARIS (intramuros),23,0.5196296296296297
BELFORT MONTBELIARD TGV,PARIS (intramuros),24,0.5218518518518519
BELFORT MONTBELIARD TGV,PARIS (intramuros),25,0.5281481481481481
BELFORT MONTBELIARD TGV,PARIS (intramuros),26,0.5314814814814814
BELFORT MONTBELIARD TGV,PARIS (intramuros),27,0.5374074074074073
BELFORT MONTBELIARD TGV,PARIS (intramuros),28,0.5485185185185185
BELFORT MONTBELIARD TGV,PARIS (intramuros),29,0.5548148148148149
BELFORT MONTBELIARD TGV,PARIS (intramuros),30,0.022388059701492536
BESANCON FRANCHE COMTE TGV,DIJON VILLE,0,0.9988888888888888
BESANCON FRANCHE COMTE TGV,DIJON VILLE,1,0.9977777777777777
BESANCON FRANCHE COMTE TGV,DIJON VILLE,2,0.9988888888888888
BESANCON FRANCHE COMTE TGV,DIJON VILLE,3,0.9985185185185186
BESANCON FRANCHE COMTE TGV,DIJON VILLE,4,1.0
BESANCON FRANCHE COMTE TGV,DIJON VILLE,5,1.0
BESANCON FRANCHE COMTE TGV,DIJON VILLE,6,1.0
BESANCON FRANCHE COMTE TGV,DIJON VILLE,7,0.9966666666666667
BESANCON FRANCHE COMTE TGV,DIJON VILLE,8,0.9888888888888889
BESANCON FRANCHE COMTE TGV,DIJON VILLE,9,0.9848148148148147
BESANCON FRANCHE COMTE TGV,DIJON VILLE,10,0.9837037037037037
BESANCON FRANCHE COMTE TGV,DIJON VILLE,11,0.9674074074074074
BESANCON FRANCHE COMTE TGV,DIJON VILLE,12,0.86
BESANCON FRANCHE COMTE TGV,DIJON VILLE,13,0.8396296296296296
BESANCON FRANCHE COMTE TGV,DIJON VILLE,14,0.8407407407407408
BESANCON FRANCHE COMTE TGV,DIJON VILLE,15,0.8392592592592593
BESANCON FRANCHE COMTE TGV,DIJON VILLE,16,0.8355555555555555
BESANCON FRANCHE COMTE TGV,DIJON VILLE,17,0.8418518518518519
BESANCON FRANCHE COMTE TGV,DIJON VILLE,18,0.8492592592592593
BESANCON FRANCHE COMTE TGV,DIJON VILLE,19,0.8537037037037037
BESANCON FRANCHE COMTE TGV,DIJON VILLE,20,0.8503703703703703
BESANCON FRANCHE COMTE TGV,DIJON VILLE,21,0.8514814814814815
BESANCON FRANCHE COMTE TGV,DIJON VILLE,22,0.857037037037037
BESANCON FRANCHE COMTE TGV,DIJON VILLE,23,0.8462962962962963
BESANCON FRANCHE COMTE TGV,DIJON VILLE,24,0.8366666666666667
BESANCON FRANCHE COMTE TGV,DIJON VILLE,25,0.8511111111111112
BESANCON FRANCHE COMTE TGV,DIJON VILLE,26,0.8503703703703703
BESANCON FRANCHE COMTE TGV,DIJON VILLE,27,0.8407407407407408
BESANCON FRANCHE COMTE TGV,DIJON VILLE,28,0.8385185185185186
BESANCON FRANCHE COMTE TGV,DIJON VILLE,29,0.8255555555555556
BESANCON FRANCHE COMTE TGV,DIJON VILLE,30,0.03656716417910448
BESANCON FRANCHE COMTE TGV,MONTBARD,0,0.8640740740740741
BESANCON FRANCHE COMTE TGV,MONTBARD,1,0.8662962962962963
BESANCON FRANCHE COMTE TGV,MONTBARD,2,0.8629629629629629
BESANCON FRANCHE COMTE TGV,MONTBARD,3,0.8751851851851852
BESANCON FRANCHE COMTE TGV,MONTBARD,4,0.8337037037037037
BESANCON FRANCHE COMTE TGV,MONTBARD,5,0.8581481481481481
BESANCON FRANCHE COMTE TGV,MONTBARD,6,0.8637037037037036
BESANCON FRANCHE COMTE TGV,MONTBARD,7,0.865925925925926
BESANCON FRANCHE COMTE TGV,MONTBARD,8,0.8748148148148148
BESANCON FRANCHE COMTE TGV,MONTBARD,9,0.8688888888888888
BESANCON FRANCHE COMTE TGV,MONTBARD,10,0.8751851851851852
BESANCON FRANCHE COMTE TGV,MONTBARD,11,0.8525925925925926
BESANCON FRANCHE COMTE TGV,MONTBARD,12,0.6022222222222222
BESANCON FRANCHE COMTE TGV,MONTBARD,13,0.5818518518518518
BESANCON FRANCHE COMTE TGV,MONTBARD,14,0.5907407407407408
BESANCON FRANCHE COMTE TGV,MONTBARD,15,0.5933333333333333
BESANCON FRANCHE COMTE TGV,MONTBARD,16,0.5985185185185184
BESANCON FRANCHE COMTE TGV,MONTBARD,17,0.6
BESANCON FRANCHE COMTE TGV,MONTBARD,18,0.597037037037037
BESANCON FRANCHE COMTE TGV,MONTBARD,19,0.6148148148148148
BESANCON FRANCHE COMTE TGV,MONTBARD,20,0.6181481481481482
BESANCON FRANCHE COMTE TGV,MONTBARD,21,0.6218518518518519
BESANCON FRANCHE COMTE TGV,MONTBARD,22,0.6370370370370371
BESANCON FRANCHE COMTE TGV,MONTBARD,23,0.6370370370370371
BESANCON FRANCHE COMTE TGV,MONTBARD,24,0.6392592592592592
BESANCON FRANCHE COMTE TGV,MONTBARD,25,0.6485185185185185
BESANCON FRANCHE COMTE TGV,MONTBARD,26,0.6544444444444444
BESANCON FRANCHE COMTE TGV,MONTBARD,27,0.6562962962962963
BESANCON FRANCHE COMTE TGV,MONTBARD,28,0.6570370370370371
BESANCON FRANCHE COMTE TGV,MONTBARD,29,0.6562962962962963
BESANCON FRANCHE COMTE TGV,MONTBARD,30,0.026119402985074626
BESANCON FRANCHE COMTE TGV,PARIS (intramuros),0,0.5599999999999999
BESANCON FRANCHE COMTE TGV,PARIS (intramuros),1,0.615925925925926
BESANCON FRANCHE COMTE TGV,PARIS (intramuros),2,0.6233333333333334
BESANCON FRANCHE COMTE TGV,PARIS (intramuros),3,0.6725925925925925
BESANCON FRANCHE COMTE TGV,PARIS (intramuros),4,0.6618518518518518
BESANCON FRANCHE COMTE TGV,PARIS (intramuros),5,0.7366666666666667
BESANCON FRANCHE COMTE TGV,PARIS (intramuros),6,0.7514814814814815
BESANCON FRANCHE COMTE TGV,PARIS (intramuros),7,0.7618518518518518
BESANCON FRANCHE COMTE TGV,PARIS (intramuros),8,0.7677777777777778
BESANCON FRANCHE COMTE TGV,PARIS (intramuros),9,0.8033333333333333
BESANCON FRANCHE COMTE TGV,PARIS (intramuros),10,0.8337037037037037
BESANCON FRANCHE COMTE TGV,PARIS (intramuros),11,0.8311111111111111
BESANCON FRANCHE COMTE TGV,PARIS (intramuros),12,0.4559259259259259
BESANCON FRANCHE COMTE TGV,PARIS (intramuros),13,0.44555555555555554
BESANCON FRANCHE COMTE TGV,PARIS (intramuros),14,0.4474074074074074
BESANCON FRANCHE COMTE TGV,PARIS (intramuros),15,0.4522222222222222
BESANCON FRANCHE COMTE TGV,PARIS (intramuros),16,0.4522222222222222
BESANCON FRANCHE COMTE TGV,PARIS (intramuros),17,0.4644444444444445
BESANCON FRANCHE COMTE TGV,PARIS (intramuros),18,0.4818518518518518
BESANCON FRANCHE COMTE TGV,PARIS (intramuros),19,0.49962962962962965
BESANCON FRANCHE COMTE TGV,PARIS (intramuros),20,0.5103703703703704
BESANCON FRANCHE COMTE TGV,PARIS (intramuros),21,0.5270370370370371
BESANCON FRANCHE COMTE TGV,PARIS (intramuros),22,0.5496296296296297
BESANCON FRANCHE COMTE TGV,PARIS (intramuros),23,0.5496296296296297
BESANCON FRANCHE COMTE TGV,PARIS (intramuros),24,0.5559259259259259
BESANCON FRANCHE COMTE TGV,PARIS (intramuros),25,0.5751851851851852
BESANCON FRANCHE COMTE TGV,PARIS (intramuros),26,0.5755555555555556
BESANCON FRANCHE COMTE TGV,PARIS (intramuros),27,0.5818518518518518
BESANCON FRANCHE COMTE TGV,PARIS (intramuros),28,0.5792592592592593
BESANCON FRANCHE COMTE TGV,PARIS (intramuros),29,0.5740740740740741
BESANCON FRANCHE COMTE TGV,PARIS (intramuros),30,0.02873134328358209
BESANCON VIOTTE,BESANCON FRANCHE COMTE TGV,0,0.9922222222222221
BESANCON VIOTTE,BESANCON FRANCHE COMTE TGV,1,0.9974074074074074
BESANCON VIOTTE,BESANCON FRANCHE COMTE TGV,2,0.9992592592592593
BESANCON VIOTTE,BESANCON FRANCHE COMTE TGV,3,0.9985185185185186
BESANCON VIOTTE,BESANCON FRANCHE COMTE TGV,4,0.9877777777777778
BESANCON VIOTTE,BESANCON FRANCHE COMTE TGV,5,0.9796296296296296
BESANCON VIOTTE,BESANCON FRANCHE COMTE TGV,6,0.9737037037037036
BESANCON VIOTTE,BESANCON FRANCHE COMTE TGV,7,0.9766666666666666
BESANCON VIOTTE,BESANCON FRANCHE COMTE TGV,8,0.9755555555555555
BESANCON VIOTTE,BESANCON FRANCHE COMTE TGV,9,0.9674074074074074
BESANCON VIOTTE,BESANCON FRANCHE COMTE TGV,10,0.9544444444444444
BESANCON VIOTTE,BESANCON FRANCHE COMTE TGV,11,0.9396296296296296
BESANCON VIOTTE,BESANCON FRANCHE COMTE TGV,12,0.6551851851851852
BESANCON VIOTTE,BESANCON FRANCHE COMTE TGV,13,0.6294776119402985
BESANCON VIOTTE,BESANCON FRANCHE COMTE TGV,14,0.6276119402985074
BESANCON VIOTTE,BESANCON FRANCHE COMTE TGV,15,0.6206766917293233
BESANCON VIOTTE,BESANCON FRANCHE COMTE TGV,16,0.6165413533834586
BESANCON VIOTTE,BESANCON FRANCHE COMTE TGV,17,0.6105263157894737
BESANCON VIOTTE,BESANCON FRANCHE COMTE TGV,18,0.5913533834586466
BESANCON VIOTTE,BESANCON FRANCHE COMTE TGV,19,0.5669172932330827
BESANCON VIOTTE,BESANCON FRANCHE COMTE TGV,20,0.5674242424242425
BESANCON VIOTTE,BESANCON FRANCHE COMTE TGV,21,0.5712121212121213
BESANCON VIOTTE,BESANCON FRANCHE COMTE TGV,22,0.5522900763358778
BESANCON VIOTTE,BESANCON FRANCHE COMTE TGV,23,0.5477099236641222
BESANCON VIOTTE,BESANCON FRANCHE COMTE TGV,24,0.5419847328244275
BESANCON VIOTTE,BESANCON FRANCHE COMTE TGV,25,0.5305343511450382
BESANCON VIOTTE,BESANCON FRANCHE COMTE TGV,26,0.5248091603053435
BESANCON VIOTTE,BESANCON FRANCHE COMTE TGV,27,0.5053435114503817
BESANCON VIOTTE,BESANCON FRANCHE COMTE TGV,28,0.49809160305343514
BESANCON VIOTTE,BESANCON FRANCHE COMTE TGV,29,0.48115384615384615
BESANCON VIOTTE,BESANCON FRANCHE COMTE TGV,30,0.03488372093023256
BESANCON VIOTTE,DIJON VILLE,0,0.8562962962962962
BESANCON VIOTTE,DIJON VILLE,1,0.8418518518518519
BESANCON VIOTTE,DIJON VILLE,2,0.8525925925925926
BESANCON VIOTTE,DIJON VILLE,3,0.8666666666666667
BESANCON VIOTTE,DIJON VILLE,4,0.8588888888888889
BESANCON VIOTTE,DIJON VILLE,5,0.8551851851851852
BESANCON VIOTTE,DIJON VILLE,6,0.8603703703703705
BESANCON VIOTTE,DIJON VILLE,7,0.852962962962963
BESANCON VIOTTE,DIJON VILLE,8,0.8507407407407407
BESANCON VIOTTE,DIJON VILLE,9,0.8407407407407408
BESANCON VIOTTE,DIJON VILLE,10,0.8503703703703703
BESANCON VIOTTE,DIJON VILLE,11,0.8481481481481481
BESANCON VIOTTE,DIJON VILLE,12,0.7592592592592593
BESANCON VIOTTE,DIJON VILLE,13,0.7533333333333333
BESANCON VIOTTE,DIJON VILLE,14,0.7337037037037036
BESANCON VIOTTE,DIJON VILLE,15,0.7313432835820896
BESANCON VIOTTE,DIJON VILLE,16,0.7242537313432835
BESANCON VIOTTE,DIJON VILLE,17,0.7145522388059702
BESANCON VIOTTE,DIJON VILLE,18,0.6992537313432836
BESANCON VIOTTE,DIJON VILLE,19,0.6914179104477612
BESANCON VIOTTE,DIJON VILLE,20,0.692910447761194
BESANCON VIOTTE,DIJON VILLE,21,0.6906716417910448
BESANCON VIOTTE,DIJON VILLE,22,0.6947368421052632
BESANCON VIOTTE,DIJON VILLE,23,0.6977443609022557
BESANCON VIOTTE,DIJON VILLE,24,0.7124060150375939
BESANCON VIOTTE,DIJON VILLE,25,0.7296992481203007
BESANCON VIOTTE,DIJON VILLE,26,0.7334586466165414
BESANCON VIOTTE,DIJON VILLE,27,0.7255639097744361
BESANCON VIOTTE,DIJON VILLE,28,0.7105263157894737
BESANCON VIOTTE,DIJON VILLE,29,0.6950757575757576
BESANCON VIOTTE,DIJON VILLE,30,0.027099236641221377
BESANCON VIOTTE,DOLE VILLE,0,1.0
BESANCON VIOTTE,DOLE VILLE,1,1.0
BESANCON VIOTTE,DOLE VILLE,2,1.0
BESANCON VIOTTE,DOLE VILLE,3,0.9994565217391305
BESANCON VIOTTE,DOLE VILLE,4,1.0
BESANCON VIOTTE,DOLE VILLE,5,1.0
BESANCON VIOTTE,DOLE VILLE,6,0.9994565217391305
BESANCON VIOTTE,DOLE VILLE,7,1.0
BESANCON VIOTTE,DOLE VILLE,8,1.0
BESANCON VIOTTE,DOLE VILLE,9,1.0
BESANCON VIOTTE,DOLE VILLE,10,1.0
BESANCON VIOTTE,DOLE VILLE,11,1.0
BESANCON VIOTTE,DOLE VILLE,12,0.9994565217391305
BESANCON VIOTTE,DOLE VILLE,13,1.0
BESANCON VIOTTE,DOLE VILLE,14,0.9994505494505495
BESANCON VIOTTE,DOLE VILLE,15,1.0
BESANCON VIOTTE,DOLE VILLE,16,0.998901098901099
BESANCON VIOTTE,DOLE VILLE,17,0.9994565217391305
BESANCON VIOTTE,DOLE VILLE,18,0.9989130434782609
BESANCON VIOTTE,DOLE VILLE,19,0.9994565217391305
BESANCON VIOTTE,DOLE VILLE,20,1.0
BESANCON VIOTTE,DOLE VILLE,21,1.0
BESANCON VIOTTE,DOLE VILLE,22,1.0
BESANCON VIOTTE,DOLE VILLE,23,1.0
BESANCON VIOTTE,DOLE VILLE,24,1.0
BESANCON VIOTTE,DOLE VILLE,25,1.0
BESANCON VIOTTE,DOLE VILLE,26,0.9940217391304348
BESANCON VIOTTE,DOLE VILLE,27,0.9798913043478261
BESANCON VIOTTE,DOLE VILLE,28,0.9708791208791209
BESANCON VIOTTE,DOLE VILLE,29,0.97
BESANCON VIOTTE,DOLE VILLE,30,0.026666666666666672
BESANCON VIOTTE,MONTBARD,0,0.8396296296296296
BESANCON VIOTTE,MONTBARD,1,0.8481481481481481
BESANCON VIOTTE,MONTBARD,2,0.857037037037037
BESANCON VIOTTE,MONTBARD,3,0.8662962962962963
BESANCON VIOTTE,MONTBARD,4,0.8044444444444444
BESANCON VIOTTE,MONTBARD,5,0.78
BESANCON VIOTTE,MONTBARD,6,0.7766666666666666
BESANCON VIOTTE,MONTBARD,7,0.7844444444444445
BESANCON VIOTTE,MONTBARD,8,0.7903703703703704
BESANCON VIOTTE,MONTBARD,9,0.7759259259259259
BESANCON VIOTTE,MONTBARD,10,0.7859259259259259
BESANCON VIOTTE,MONTBARD,11,0.7777777777777778
BESANCON VIOTTE,MONTBARD,12,0.6503703703703704
BESANCON VIOTTE,MONTBARD,13,0.64
BESANCON VIOTTE,MONTBARD,14,0.6277777777777778
BESANCON VIOTTE,MONTBARD,15,0.6220149253731343
