origine,destination,delta_days,proba_open
AURAY,LAVAL,0,0.3960648148148148
AURAY,LAVAL,1,0.41064814814814815
AURAY,LAVAL,2,0.4327188940092166
AURAY,LAVAL,3,0.41751152073732717
AURAY,LAVAL,4,0.18096330275229358
AURAY,LAVAL,5,0.1942396313364055
AURAY,LAVAL,6,0.20576036866359446
AURAY,LAVAL,7,0.19400921658986175
AURAY,LAVAL,8,0.1629032258064516
AURAY,LAVAL,9,0.1663594470046083
AURAY,LAVAL,10,0.1728110599078341
AURAY,LAVAL,11,0.1709677419354839
AURAY,LAVAL,12,0.0662037037037037
AURAY,LAVAL,13,0.05581395348837209
AURAY,LAVAL,14,0.051168224299065417
AURAY,LAVAL,15,0.04719626168224299
AURAY,LAVAL,16,0.044626168224299066
AURAY,LAVAL,17,0.046495327102803734
AURAY,LAVAL,18,0.05023364485981308
AURAY,LAVAL,19,0.04906103286384976
AURAY,LAVAL,20,0.051179245283018863
AURAY,LAVAL,21,0.0528436018957346
AURAY,LAVAL,22,0.05900473933649289
AURAY,LAVAL,23,0.06350710900473934
AURAY,LAVAL,24,0.06563981042654028
AURAY,LAVAL,25,0.06729857819905213
AURAY,LAVAL,26,0.06833333333333333
AURAY,LAVAL,27,0.07404761904761906
AURAY,LAVAL,28,0.07428571428571429
AURAY,LAVAL,29,0.07166666666666666
AURAY,LAVAL,30,0.019761904761904765
AURAY,PARIS (intramuros),0,0.6523636363636364
AURAY,PARIS (intramuros),1,0.6532727272727273
AURAY,PARIS (intramuros),2,0.6483636363636364
AURAY,PARIS (intramuros),3,0.6456363636363637
AURAY,PARIS (intramuros),4,0.5138181818181818
AURAY,PARIS (intramuros),5,0.49654545454545457
AURAY,PARIS (intramuros),6,0.4947272727272728
AURAY,PARIS (intramuros),7,0.49218181818181816
AURAY,PARIS (intramuros),8,0.4605454545454546
AURAY,PARIS (intramuros),9,0.4647272727272727
AURAY,PARIS (intramuros),10,0.4941818181818182
AURAY,PARIS (intramuros),11,0.5063636363636363
AURAY,PARIS (intramuros),12,0.34763636363636363
AURAY,PARIS (intramuros),13,0.3449090909090909
AURAY,PARIS (intramuros),14,0.34726277372262776
AURAY,PARIS (intramuros),15,0.35695970695970697
AURAY,PARIS (intramuros),16,0.3598901098901099
AURAY,PARIS (intramuros),17,0.3668498168498169
AURAY,PARIS (intramuros),18,0.37142857142857144
AURAY,PARIS (intramuros),19,0.36520146520146524
AURAY,PARIS (intramuros),20,0.3650735294117647
AURAY,PARIS (intramuros),21,0.37453874538745385
AURAY,PARIS (intramuros),22,0.38203703703703706
AURAY,PARIS (intramuros),23,0.387037037037037
AURAY,PARIS (intramuros),24,0.39759259259259255
AURAY,PARIS (intramuros),25,0.39592592592592596
AURAY,PARIS (intramuros),26,0.3987037037037037
AURAY,PARIS (intramuros),27,0.3996282527881041
AURAY,PARIS (intramuros),28,0.3988805970149254
AURAY,PARIS (intramuros),29,0.39494382022471913
AURAY,PARIS (intramuros),30,0.04586466165413534
AURAY,REDON,0,0.9795546558704453
AURAY,REDON,1,0.9782520325203252
AURAY,REDON,2,0.9659183673469388
AURAY,REDON,3,0.9520325203252032
AURAY,REDON,4,0.8536290322580645
AURAY,REDON,5,0.8413654618473896
AURAY,REDON,6,0.810843373493976
AURAY,REDON,7,0.7989959839357429
AURAY,REDON,8,0.7713709677419355
AURAY,REDON,9,0.7487903225806452
AURAY,REDON,10,0.7116935483870968
AURAY,REDON,11,0.6947580645161291
AURAY,REDON,12,0.5167338709677419
AURAY,REDON,13,0.4904858299595142
AURAY,REDON,14,0.47926829268292687
AURAY,REDON,15,0.47938775510204085
AURAY,REDON,16,0.4738775510204081
AURAY,REDON,17,0.47530612244897963
AURAY,REDON,18,0.4773469387755102
AURAY,REDON,19,0.4620408163265306
AURAY,REDON,20,0.4545081967213115
AURAY,REDON,21,0.4565843621399177
AURAY,REDON,22,0.4607438016528926
AURAY,REDON,23,0.46301652892561984
AURAY,REDON,24,0.45740740740740743
AURAY,REDON,25,0.45655737704918037
AURAY,REDON,26,0.46147540983606555
AURAY,REDON,27,0.4609053497942387
AURAY,REDON,28,0.46301652892561984
AURAY,REDON,29,0.46286307053941905
AURAY,REDON,30,0.04541666666666667
AURAY,RENNES,0,0.9472727272727273
AURAY,RENNES,1,0.9445454545454546
AURAY,RENNES,2,0.9336363636363636
AURAY,RENNES,3,0.9249090909090909
AURAY,RENNES,4,0.9114545454545455
AURAY,RENNES,5,0.91
AURAY,RENNES,6,0.9036363636363637
AURAY,RENNES,7,0.893090909090909
AURAY,RENNES,8,0.8751824817518249
AURAY,RENNES,9,0.8405109489051096
AURAY,RENNES,10,0.8291208791208791
AURAY,RENNES,11,0.8236263736263736
AURAY,RENNES,12,0.7293040293040293
AURAY,RENNES,13,0.7003663003663003
AURAY,RENNES,14,0.689889705882353
AURAY,RENNES,15,0.6856088560885609
AURAY,RENNES,16,0.681918819188192
AURAY,RENNES,17,0.681918819188192
AURAY,RENNES,18,0.6830258302583025
AURAY,RENNES,19,0.6780442804428044
