origine,destination,delta_days,proba_open
BRIANCON,PARIS (intramuros),0,0.9322222222222223
BRIANCON,PARIS (intramuros),1,0.8211111111111111
BRIANCON,PARIS (intramuros),2,0.7945054945054945
BRIANCON,PARIS (intramuros),3,0.7851648351648352
BRIANCON,PARIS (intramuros),4,0.6835164835164835
BRIANCON,PARIS (intramuros),5,0.6631868131868132
BRIANCON,PARIS (intramuros),6,0.6369565217391304
BRIANCON,PARIS (intramuros),7,0.610752688172043
BRIANCON,PARIS (intramuros),8,0.6154255319148937
BRIANCON,PARIS (intramuros),9,0.601578947368421
BRIANCON,PARIS (intramuros),10,0.5742105263157894
BRIANCON,PARIS (intramuros),11,0.5647368421052631
BRIANCON,PARIS (intramuros),12,0.501578947368421
BRIANCON,PARIS (intramuros),13,0.4921052631578947
BRIANCON,PARIS (intramuros),14,0.49736842105263157
BRIANCON,PARIS (intramuros),15,0.49947368421052635
BRIANCON,PARIS (intramuros),16,0.5068421052631579
BRIANCON,PARIS (intramuros),17,0.4978947368421052
BRIANCON,PARIS (intramuros),18,0.49736842105263157
BRIANCON,PARIS (intramuros),19,0.5121052631578947
BRIANCON,PARIS (intramuros),20,0.5052631578947369
BRIANCON,PARIS (intramuros),21,0.5257894736842106
BRIANCON,PARIS (intramuros),22,0.5336842105263159
BRIANCON,PARIS (intramuros),23,0.5447368421052632
BRIANCON,PARIS (intramuros),24,0.5463157894736842
BRIANCON,PARIS (intramuros),25,0.5478947368421052
BRIANCON,PARIS (intramuros),26,0.5405263157894737
BRIANCON,PARIS (intramuros),27,0.5257894736842106
BRIANCON,PARIS (intramuros),28,0.5257894736842106
BRIANCON,PARIS (intramuros),29,0.5135416666666667
BRIANCON,PARIS (intramuros),30,0.041666666666666664
CHORGES,PARIS (intramuros),0,0.9303571428571429
CHORGES,PARIS (intramuros),1,0.831547619047619
CHORGES,PARIS (intramuros),2,0.8041176470588235
CHORGES,PARIS (intramuros),3,0.8023529411764706
CHORGES,PARIS (intramuros),4,0.6976470588235294
CHORGES,PARIS (intramuros),5,0.6723529411764706
CHORGES,PARIS (intramuros),6,0.6563953488372093
CHORGES,PARIS (intramuros),7,0.6195402298850574
CHORGES,PARIS (intramuros),8,0.6306818181818182
CHORGES,PARIS (intramuros),9,0.6146067415730337
CHORGES,PARIS (intramuros),10,0.5915730337078652
CHORGES,PARIS (intramuros),11,0.5825842696629213
CHORGES,PARIS (intramuros),12,0.5241573033707865
CHORGES,PARIS (intramuros),13,0.5072222222222222
CHORGES,PARIS (intramuros),14,0.5094444444444445
CHORGES,PARIS (intramuros),15,0.5127777777777778
CHORGES,PARIS (intramuros),16,0.5216666666666667
CHORGES,PARIS (intramuros),17,0.5116666666666666
CHORGES,PARIS (intramuros),18,0.5133333333333334
CHORGES,PARIS (intramuros),19,0.525
CHORGES,PARIS (intramuros),20,0.5222222222222223
CHORGES,PARIS (intramuros),21,0.54
CHORGES,PARIS (intramuros),22,0.5538888888888889
CHORGES,PARIS (intramuros),23,0.5655555555555556
CHORGES,PARIS (intramuros),24,0.5644444444444444
CHORGES,PARIS (intramuros),25,0.5638888888888889
CHORGES,PARIS (intramuros),26,0.5538888888888889
CHORGES,PARIS (intramuros),27,0.5461111111111111
CHORGES,PARIS (intramuros),28,0.5455555555555556
CHORGES,PARIS (intramuros),29,0.5225274725274724
CHORGES,PARIS (intramuros),30,0.046153846153846156
CREST,PARIS (intramuros),0,0.9230769230769231
CREST,PARIS (intramuros),1,0.8096153846153846
CREST,PARIS (intramuros),2,0.7924050632911392
CREST,PARIS (intramuros),3,0.790506329113924
CREST,PARIS (intramuros),4,0.6708860759493671
CREST,PARIS (intramuros),5,0.6537974683544303
CREST,PARIS (intramuros),6,0.640625
CREST,PARIS (intramuros),7,0.6006172839506173
CREST,PARIS (intramuros),8,0.6164634146341463
CREST,PARIS (intramuros),9,0.5993975903614458
CREST,PARIS (intramuros),10,0.586144578313253
CREST,PARIS (intramuros),11,0.5674698795180723
CREST,PARIS (intramuros),12,0.5132530120481927
CREST,PARIS (intramuros),13,0.5107142857142857
CREST,PARIS (intramuros),14,0.5205882352941177
CREST,PARIS (intramuros),15,0.5232558139534884
CREST,PARIS (intramuros),16,0.5241379310344828
CREST,PARIS (intramuros),17,0.5172413793103449
CREST,PARIS (intramuros),18,0.521264367816092
CREST,PARIS (intramuros),19,0.5333333333333333
CREST,PARIS (intramuros),20,0.5287356321839081
CREST,PARIS (intramuros),21,0.5431818181818181
CREST,PARIS (intramuros),22,0.5606741573033708
CREST,PARIS (intramuros),23,0.5688888888888889
CREST,PARIS (intramuros),24,0.5650000000000001
CREST,PARIS (intramuros),25,0.5666666666666667
CREST,PARIS (intramuros),26,0.5572222222222222
CREST,PARIS (intramuros),27,0.5449999999999999
CREST,PARIS (intramuros),28,0.5472222222222223
CREST,PARIS (intramuros),29,0.5313186813186813
CREST,PARIS (intramuros),30,0.04835164835164835
DIE,PARIS (intramuros),0,0.9198717948717948
DIE,PARIS (intramuros),1,0.8108974358974359
DIE,PARIS (intramuros),2,0.7873417721518988
DIE,PARIS (intramuros),3,0.7879746835443038
DIE,PARIS (intramuros),4,0.6740506329113924
DIE,PARIS (intramuros),5,0.6443037974683544
DIE,PARIS (intramuros),6,0.6375
DIE,PARIS (intramuros),7,0.6012345679012346
DIE,PARIS (intramuros),8,0.6152439024390244
DIE,PARIS (intramuros),9,0.5951807228915662
DIE,PARIS (intramuros),10,0.5813253012048193
DIE,PARIS (intramuros),11,0.5728915662650602
DIE,PARIS (intramuros),12,0.5138554216867469
DIE,PARIS (intramuros),13,0.5095238095238095
DIE,PARIS (intramuros),14,0.5158823529411765
DIE,PARIS (intramuros),15,0.5226744186046512
DIE,PARIS (intramuros),16,0.5264367816091954
DIE,PARIS (intramuros),17,0.517816091954023
DIE,PARIS (intramuros),18,0.5155172413793103
DIE,PARIS (intramuros),19,0.5362068965517242
DIE,PARIS (intramuros),20,0.5339080459770116
DIE,PARIS (intramuros),21,0.5494318181818182
DIE,PARIS (intramuros),22,0.5606741573033708
DIE,PARIS (intramuros),23,0.5666666666666667
DIE,PARIS (intramuros),24,0.5644444444444444
DIE,PARIS (intramuros),25,0.5672222222222222
DIE,PARIS (intramuros),26,0.5572222222222222
DIE,PARIS (intramuros),27,0.5472222222222223
DIE,PARIS (intramuros),28,0.5444444444444444
DIE,PARIS (intramuros),29,0.5324175824175824
DIE,PARIS (intramuros),30,0.04725274725274725
EMBRUN,PARIS (intramuros),0,0.9283333333333333
EMBRUN,PARIS (intramuros),1,0.8211111111111111
EMBRUN,PARIS (intramuros),2,0.8021978021978022
EMBRUN,PARIS (intramuros),3,0.781868131868132
EMBRUN,PARIS (intramuros),4,0.6901098901098901
EMBRUN,PARIS (intramuros),5,0.6576923076923077
EMBRUN,PARIS (intramuros),6,0.6434782608695653
EMBRUN,PARIS (intramuros),7,0.6129032258064516
EMBRUN,PARIS (intramuros),8,0.6218085106382979
EMBRUN,PARIS (intramuros),9,0.6021052631578948
EMBRUN,PARIS (intramuros),10,0.578421052631579
EMBRUN,PARIS (intramuros),11,0.5589473684210526
EMBRUN,PARIS (intramuros),12,0.5
EMBRUN,PARIS (intramuros),13,0.49157894736842106
EMBRUN,PARIS (intramuros),14,0.49578947368421056
EMBRUN,PARIS (intramuros),15,0.49736842105263157
EMBRUN,PARIS (intramuros),16,0.5042105263157894
EMBRUN,PARIS (intramuros),17,0.4978947368421052
EMBRUN,PARIS (intramuros),18,0.4952631578947368
EMBRUN,PARIS (intramuros),19,0.5094736842105263
EMBRUN,PARIS (intramuros),20,0.5036842105263158
EMBRUN,PARIS (intramuros),21,0.5273684210526316
EMBRUN,PARIS (intramuros),22,0.5336842105263159
EMBRUN,PARIS (intramuros),23,0.5442105263157895
EMBRUN,PARIS (intramuros),24,0.5457894736842105
EMBRUN,PARIS (intramuros),25,0.5468421052631579
EMBRUN,PARIS (intramuros),26,0.5405263157894737
EMBRUN,PARIS (intramuros),27,0.531578947368421
EMBRUN,PARIS (intramuros),28,0.5252631578947369
EMBRUN,PARIS (intramuros),29,0.50625
EMBRUN,PARIS (intramuros),30,0.03958333333333334
GAP,PARIS (intramuros),0,0.94
