origine,destination,delta_days,proba_open
AGDE,PARIS (intramuros),0,0.8925
AGDE,PARIS (intramuros),1,0.7778688524590165
AGDE,PARIS (intramuros),2,0.7540983606557377
AGDE,PARIS (intramuros),3,0.6983870967741935
AGDE,PARIS (intramuros),4,0.5111111111111112
AGDE,PARIS (intramuros),5,0.528125
AGDE,PARIS (intramuros),6,0.46875
AGDE,PARIS (intramuros),7,0.440625
AGDE,PARIS (intramuros),8,0.40078125
AGDE,PARIS (intramuros),9,0.4046875
AGDE,PARIS (intramuros),10,0.465625
AGDE,PARIS (intramuros),11,0.4140625
AGDE,PARIS (intramuros),12,0.234375
AGDE,PARIS (intramuros),13,0.2328125
AGDE,PARIS (intramuros),14,0.2296875
AGDE,PARIS (intramuros),15,0.10546875
AGDE,PARIS (intramuros),16,0.09453125
AGDE,PARIS (intramuros),17,0.07578125
AGDE,PARIS (intramuros),18,0.10158730158730159
AGDE,PARIS (intramuros),19,0.09841269841269841
AGDE,PARIS (intramuros),20,0.09126984126984126
AGDE,PARIS (intramuros),21,0.06612903225806452
AGDE,PARIS (intramuros),22,0.06935483870967742
AGDE,PARIS (intramuros),23,0.0782258064516129
AGDE,PARIS (intramuros),24,0.09516129032258065
AGDE,PARIS (intramuros),25,0.09435483870967741
AGDE,PARIS (intramuros),26,0.08114754098360656
AGDE,PARIS (intramuros),27,0.10655737704918032
AGDE,PARIS (intramuros),28,0.07049180327868852
AGDE,PARIS (intramuros),29,0.09016393442622951
AGDE,PARIS (intramuros),30,0.019672131147540982
ARGELES SUR MER,PARIS (intramuros),0,0.9125
ARGELES SUR MER,PARIS (intramuros),1,0.7770491803278688
ARGELES SUR MER,PARIS (intramuros),2,0.7581967213114754
ARGELES SUR MER,PARIS (intramuros),3,0.7008064516129032
ARGELES SUR MER,PARIS (intramuros),4,0.5111111111111112
ARGELES SUR MER,PARIS (intramuros),5,0.5234375
ARGELES SUR MER,PARIS (intramuros),6,0.4609375
ARGELES SUR MER,PARIS (intramuros),7,0.44609375
ARGELES SUR MER,PARIS (intramuros),8,0.40078125
ARGELES SUR MER,PARIS (intramuros),9,0.4046875
ARGELES SUR MER,PARIS (intramuros),10,0.46640625
ARGELES SUR MER,PARIS (intramuros),11,0.41171875
ARGELES SUR MER,PARIS (intramuros),12,0.2375
ARGELES SUR MER,PARIS (intramuros),13,0.221875
ARGELES SUR MER,PARIS (intramuros),14,0.22890625
ARGELES SUR MER,PARIS (intramuros),15,0.10781249999999999
ARGELES SUR MER,PARIS (intramuros),16,0.09453125
ARGELES SUR MER,PARIS (intramuros),17,0.0765625
ARGELES SUR MER,PARIS (intramuros),18,0.09444444444444444
ARGELES SUR MER,PARIS (intramuros),19,0.09841269841269841
ARGELES SUR MER,PARIS (intramuros),20,0.09365079365079365
ARGELES SUR MER,PARIS (intramuros),21,0.06774193548387097
ARGELES SUR MER,PARIS (intramuros),22,0.06048387096774194
ARGELES SUR MER,PARIS (intramuros),23,0.07500000000000001
ARGELES SUR MER,PARIS (intramuros),24,0.09274193548387097
ARGELES SUR MER,PARIS (intramuros),25,0.09516129032258065
ARGELES SUR MER,PARIS (intramuros),26,0.08278688524590164
ARGELES SUR MER,PARIS (intramuros),27,0.10737704918032787
ARGELES SUR MER,PARIS (intramuros),28,0.07049180327868852
ARGELES SUR MER,PARIS (intramuros),29,0.08688524590163935
ARGELES SUR MER,PARIS (intramuros),30,0.018032786885245903
BANYULS SUR MER,PARIS (intramuros),0,0.8966666666666666
BANYULS SUR MER,PARIS (intramuros),1,0.7819672131147541
BANYULS SUR MER,PARIS (intramuros),2,0.7688524590163934
BANYULS SUR MER,PARIS (intramuros),3,0.6967741935483871
BANYULS SUR MER,PARIS (intramuros),4,0.5134920634920636
BANYULS SUR MER,PARIS (intramuros),5,0.5328125
BANYULS SUR MER,PARIS (intramuros),6,0.46328125
BANYULS SUR MER,PARIS (intramuros),7,0.4390625
BANYULS SUR MER,PARIS (intramuros),8,0.3984375
BANYULS SUR MER,PARIS (intramuros),9,0.40390625
BANYULS SUR MER,PARIS (intramuros),10,0.47109375
BANYULS SUR MER,PARIS (intramuros),11,0.41171875
BANYULS SUR MER,PARIS (intramuros),12,0.234375
BANYULS SUR MER,PARIS (intramuros),13,0.21796875
BANYULS SUR MER,PARIS (intramuros),14,0.22421875
BANYULS SUR MER,PARIS (intramuros),15,0.10625
BANYULS SUR MER,PARIS (intramuros),16,0.09921875
BANYULS SUR MER,PARIS (intramuros),17,0.07734375
BANYULS SUR MER,PARIS (intramuros),18,0.10238095238095238
BANYULS SUR MER,PARIS (intramuros),19,0.08968253968253968
BANYULS SUR MER,PARIS (intramuros),20,0.08968253968253968
BANYULS SUR MER,PARIS (intramuros),21,0.06774193548387097
BANYULS SUR MER,PARIS (intramuros),22,0.06048387096774194
BANYULS SUR MER,PARIS (intramuros),23,0.07903225806451614
BANYULS SUR MER,PARIS (intramuros),24,0.09193548387096774
BANYULS SUR MER,PARIS (intramuros),25,0.09435483870967741
BANYULS SUR MER,PARIS (intramuros),26,0.08524590163934427
BANYULS SUR MER,PARIS (intramuros),27,0.10327868852459016
BANYULS SUR MER,PARIS (intramuros),28,0.06721311475409836
BANYULS SUR MER,PARIS (intramuros),29,0.08934426229508197
BANYULS SUR MER,PARIS (intramuros),30,0.022950819672131147
BEZIERS,PARIS (intramuros),0,0.9058333333333334
BEZIERS,PARIS (intramuros),1,0.7778688524590165
BEZIERS,PARIS (intramuros),2,0.7598360655737705
BEZIERS,PARIS (intramuros),3,0.7040322580645161
BEZIERS,PARIS (intramuros),4,0.5126984126984127
BEZIERS,PARIS (intramuros),5,0.52578125
BEZIERS,PARIS (intramuros),6,0.4625
BEZIERS,PARIS (intramuros),7,0.44453125
BEZIERS,PARIS (intramuros),8,0.39921875
BEZIERS,PARIS (intramuros),9,0.40546875
BEZIERS,PARIS (intramuros),10,0.46796875
BEZIERS,PARIS (intramuros),11,0.41953125
BEZIERS,PARIS (intramuros),12,0.2375
BEZIERS,PARIS (intramuros),13,0.21796875
BEZIERS,PARIS (intramuros),14,0.22421875
BEZIERS,PARIS (intramuros),15,0.11484375
BEZIERS,PARIS (intramuros),16,0.09765625
BEZIERS,PARIS (intramuros),17,0.07890625
BEZIERS,PARIS (intramuros),18,0.09285714285714285
BEZIERS,PARIS (intramuros),19,0.08888888888888888
BEZIERS,PARIS (intramuros),20,0.0873015873015873
BEZIERS,PARIS (intramuros),21,0.06451612903225806
BEZIERS,PARIS (intramuros),22,0.06532258064516129
BEZIERS,PARIS (intramuros),23,0.08225806451612902
BEZIERS,PARIS (intramuros),24,0.09435483870967741
BEZIERS,PARIS (intramuros),25,0.09193548387096774
BEZIERS,PARIS (intramuros),26,0.08524590163934427
BEZIERS,PARIS (intramuros),27,0.10737704918032787
BEZIERS,PARIS (intramuros),28,0.06967213114754098
BEZIERS,PARIS (intramuros),29,0.09262295081967213
BEZIERS,PARIS (intramuros),30,0.022950819672131147
CERBERE,PARIS (intramuros),0,0.8925
CERBERE,PARIS (intramuros),1,0.7754098360655737
CERBERE,PARIS (intramuros),2,0.7573770491803279
CERBERE,PARIS (intramuros),3,0.7040322580645161
CERBERE,PARIS (intramuros),4,0.5174603174603175
CERBERE,PARIS (intramuros),5,0.53046875
CERBERE,PARIS (intramuros),6,0.45703125
CERBERE,PARIS (intramuros),7,0.4328125
CERBERE,PARIS (intramuros),8,0.39140625
CERBERE,PARIS (intramuros),9,0.40859375
CERBERE,PARIS (intramuros),10,0.46484375
CERBERE,PARIS (intramuros),11,0.415625
CERBERE,PARIS (intramuros),12,0.23828125
CERBERE,PARIS (intramuros),13,0.21796875
CERBERE,PARIS (intramuros),14,0.23046875
CERBERE,PARIS (intramuros),15,0.10625
CERBERE,PARIS (intramuros),16,0.09296875
CERBERE,PARIS (intramuros),17,0.075
CERBERE,PARIS (intramuros),18,0.09841269841269841
CERBERE,PARIS (intramuros),19,0.09682539682539681
CERBERE,PARIS (intramuros),20,0.0873015873015873
CERBERE,PARIS (intramuros),21,0.06693548387096775
CERBERE,PARIS (intramuros),22,0.06370967741935483
CERBERE,PARIS (intramuros),23,0.07258064516129033
CERBERE,PARIS (intramuros),24,0.08629032258064516
CERBERE,PARIS (intramuros),25,0.09435483870967741
CERBERE,PARIS (intramuros),26,0.08114754098360656
CERBERE,PARIS (intramuros),27,0.10327868852459016
CERBERE,PARIS (intramuros),28,0.07049180327868852
CERBERE,PARIS (intramuros),29,0.09262295081967213
CERBERE,PARIS (intramuros),30,0.020491803278688523
COLLIOURE,PARIS (intramuros),0,0.8925
COLLIOURE,PARIS (intramuros),1,0.7721311475409837
COLLIOURE,PARIS (intramuros),2,0.7622950819672131
COLLIOURE,PARIS (intramuros),3,0.6943548387096774
COLLIOURE,PARIS (intramuros),4,0.5150793650793651
COLLIOURE,PARIS (intramuros),5,0.52890625
COLLIOURE,PARIS (intramuros),6,0.4640625
COLLIOURE,PARIS (intramuros),7,0.446875
COLLIOURE,PARIS (intramuros),8,0.3984375
COLLIOURE,PARIS (intramuros),9,0.4046875
COLLIOURE,PARIS (intramuros),10,0.46171875
COLLIOURE,PARIS (intramuros),11,0.40625
COLLIOURE,PARIS (intramuros),12,0.2375
