origine,destination,delta_days,proba_open
CLERMONT FERRAND,MOULINS SUR ALLIER,0,0.959433962264151
CLERMONT FERRAND,MOULINS SUR ALLIER,1,0.9528301886792453
CLERMONT FERRAND,MOULINS SUR ALLIER,2,0.9537735849056603
CLERMONT FERRAND,MOULINS SUR ALLIER,3,0.9547169811320755
CLERMONT FERRAND,MOULINS SUR ALLIER,4,0.9641509433962264
CLERMONT FERRAND,MOULINS SUR ALLIER,5,0.9712264150943396
CLERMONT FERRAND,MOULINS SUR ALLIER,6,0.9745283018867924
CLERMONT FERRAND,MOULINS SUR ALLIER,7,0.9316037735849056
CLERMONT FERRAND,MOULINS SUR ALLIER,8,0.9160377358490566
CLERMONT FERRAND,MOULINS SUR ALLIER,9,0.9141509433962265
CLERMONT FERRAND,MOULINS SUR ALLIER,10,0.9259433962264152
CLERMONT FERRAND,MOULINS SUR ALLIER,11,0.9386792452830188
CLERMONT FERRAND,MOULINS SUR ALLIER,12,0.9353773584905661
CLERMONT FERRAND,MOULINS SUR ALLIER,13,0.9245283018867925
CLERMONT FERRAND,MOULINS SUR ALLIER,14,0.9233333333333333
CLERMONT FERRAND,MOULINS SUR ALLIER,15,0.9245192307692308
CLERMONT FERRAND,MOULINS SUR ALLIER,16,0.9288461538461538
CLERMONT FERRAND,MOULINS SUR ALLIER,17,0.9413461538461539
CLERMONT FERRAND,MOULINS SUR ALLIER,18,0.9423076923076923
CLERMONT FERRAND,MOULINS SUR ALLIER,19,0.95
CLERMONT FERRAND,MOULINS SUR ALLIER,20,0.9413461538461539
CLERMONT FERRAND,MOULINS SUR ALLIER,21,0.9407766990291263
CLERMONT FERRAND,MOULINS SUR ALLIER,22,0.9338235294117647
CLERMONT FERRAND,MOULINS SUR ALLIER,23,0.9300970873786407
CLERMONT FERRAND,MOULINS SUR ALLIER,24,0.9230769230769231
CLERMONT FERRAND,MOULINS SUR ALLIER,25,0.9259615384615384
CLERMONT FERRAND,MOULINS SUR ALLIER,26,0.9302884615384616
CLERMONT FERRAND,MOULINS SUR ALLIER,27,0.9315533980582524
CLERMONT FERRAND,MOULINS SUR ALLIER,28,0.9315533980582524
CLERMONT FERRAND,MOULINS SUR ALLIER,29,0.9294117647058823
CLERMONT FERRAND,MOULINS SUR ALLIER,30,0.021078431372549018
CLERMONT FERRAND,NEVERS,0,0.9587378640776699
CLERMONT FERRAND,NEVERS,1,0.9500000000000001
CLERMONT FERRAND,NEVERS,2,0.9519607843137254
CLERMONT FERRAND,NEVERS,3,0.9524509803921569
CLERMONT FERRAND,NEVERS,4,0.9617647058823529
CLERMONT FERRAND,NEVERS,5,0.9686274509803922
CLERMONT FERRAND,NEVERS,6,0.9740196078431372
CLERMONT FERRAND,NEVERS,7,0.9338235294117647
CLERMONT FERRAND,NEVERS,8,0.9220588235294117
CLERMONT FERRAND,NEVERS,9,0.9210784313725491
CLERMONT FERRAND,NEVERS,10,0.932843137254902
CLERMONT FERRAND,NEVERS,11,0.9470588235294117
CLERMONT FERRAND,NEVERS,12,0.942156862745098
CLERMONT FERRAND,NEVERS,13,0.9318627450980392
CLERMONT FERRAND,NEVERS,14,0.9311881188118811
CLERMONT FERRAND,NEVERS,15,0.9345
CLERMONT FERRAND,NEVERS,16,0.9381188118811881
CLERMONT FERRAND,NEVERS,17,0.942156862745098
CLERMONT FERRAND,NEVERS,18,0.9411764705882353
CLERMONT FERRAND,NEVERS,19,0.9514705882352941
CLERMONT FERRAND,NEVERS,20,0.9416666666666667
CLERMONT FERRAND,NEVERS,21,0.9400990099009902
CLERMONT FERRAND,NEVERS,22,0.9325
CLERMONT FERRAND,NEVERS,23,0.9301980198019802
CLERMONT FERRAND,NEVERS,24,0.9220588235294117
CLERMONT FERRAND,NEVERS,25,0.9225490196078431
CLERMONT FERRAND,NEVERS,26,0.9303921568627451
CLERMONT FERRAND,NEVERS,27,0.9301980198019802
CLERMONT FERRAND,NEVERS,28,0.9311881188118811
CLERMONT FERRAND,NEVERS,29,0.9235
CLERMONT FERRAND,NEVERS,30,0.0225
CLERMONT FERRAND,PARIS (intramuros),0,0.864622641509434
CLERMONT FERRAND,PARIS (intramuros),1,0.8683962264150943
CLERMONT FERRAND,PARIS (intramuros),2,0.8735849056603773
CLERMONT FERRAND,PARIS (intramuros),3,0.8797169811320755
CLERMONT FERRAND,PARIS (intramuros),4,0.8834905660377359
CLERMONT FERRAND,PARIS (intramuros),5,0.8882075471698114
CLERMONT FERRAND,PARIS (intramuros),6,0.8981132075471698
CLERMONT FERRAND,PARIS (intramuros),7,0.8910377358490567
CLERMONT FERRAND,PARIS (intramuros),8,0.8820754716981132
CLERMONT FERRAND,PARIS (intramuros),9,0.8721698113207548
CLERMONT FERRAND,PARIS (intramuros),10,0.8778301886792452
CLERMONT FERRAND,PARIS (intramuros),11,0.8834905660377359
CLERMONT FERRAND,PARIS (intramuros),12,0.8712264150943396
CLERMONT FERRAND,PARIS (intramuros),13,0.875943396226415
CLERMONT FERRAND,PARIS (intramuros),14,0.8761904761904762
CLERMONT FERRAND,PARIS (intramuros),15,0.8745192307692308
CLERMONT FERRAND,PARIS (intramuros),16,0.8697115384615385
CLERMONT FERRAND,PARIS (intramuros),17,0.8975961538461538
CLERMONT FERRAND,PARIS (intramuros),18,0.9048076923076922
CLERMONT FERRAND,PARIS (intramuros),19,0.9206730769230769
CLERMONT FERRAND,PARIS (intramuros),20,0.9216346153846153
CLERMONT FERRAND,PARIS (intramuros),21,0.920388349514563
CLERMONT FERRAND,PARIS (intramuros),22,0.9191176470588235
CLERMONT FERRAND,PARIS (intramuros),23,0.912621359223301
CLERMONT FERRAND,PARIS (intramuros),24,0.9134615384615384
CLERMONT FERRAND,PARIS (intramuros),25,0.9134615384615384
CLERMONT FERRAND,PARIS (intramuros),26,0.9153846153846155
CLERMONT FERRAND,PARIS (intramuros),27,0.9216346153846153
CLERMONT FERRAND,PARIS (intramuros),28,0.9206730769230769
CLERMONT FERRAND,PARIS (intramuros),29,0.9092233009708739
CLERMONT FERRAND,PARIS (intramuros),30,0.028155339805825245
CLERMONT FERRAND,RIOM CHATEL GUYON,0,0.960377358490566
CLERMONT FERRAND,RIOM CHATEL GUYON,1,0.9533018867924528
CLERMONT FERRAND,RIOM CHATEL GUYON,2,0.9533018867924528
CLERMONT FERRAND,RIOM CHATEL GUYON,3,0.9528301886792453
