origine,destination,delta_days,proba_open
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,0,0.8778846153846154
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,1,0.8721153846153846
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,2,0.8528301886792453
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,3,0.8425925925925926
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,4,0.1109090909090909
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,5,0.09821428571428571
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,6,0.09824561403508773
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,7,0.0026315789473684214
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,8,0.0017543859649122807
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,9,0.0
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,10,0.0
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,11,0.0
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,12,0.0
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,13,0.0
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,14,0.0
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,15,0.0
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,16,0.0
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,17,0.0
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,18,0.0
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,19,0.0
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,20,0.0
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,21,0.0
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,22,0.0
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,23,0.0
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,24,0.0
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,25,0.0
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,26,0.0
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,27,0.0
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,28,0.0
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,29,0.0
AIX EN PROVENCE TGV,MARSEILLE ST CHARLES,30,0.0
AVIGNON TGV,AIX EN PROVENCE TGV,0,0.8826923076923077
AVIGNON TGV,AIX EN PROVENCE TGV,1,0.8807692307692307
AVIGNON TGV,AIX EN PROVENCE TGV,2,0.8537735849056604
AVIGNON TGV,AIX EN PROVENCE TGV,3,0.8444444444444444
AVIGNON TGV,AIX EN PROVENCE TGV,4,0.1290909090909091
AVIGNON TGV,AIX EN PROVENCE TGV,5,0.11517857142857144
AVIGNON TGV,AIX EN PROVENCE TGV,6,0.10087719298245613
AVIGNON TGV,AIX EN PROVENCE TGV,7,0.0043859649122807015
AVIGNON TGV,AIX EN PROVENCE TGV,8,0.0
AVIGNON TGV,AIX EN PROVENCE TGV,9,0.0
AVIGNON TGV,AIX EN PROVENCE TGV,10,0.0
AVIGNON TGV,AIX EN PROVENCE TGV,11,0.0
AVIGNON TGV,AIX EN PROVENCE TGV,12,0.0
AVIGNON TGV,AIX EN PROVENCE TGV,13,0.0
AVIGNON TGV,AIX EN PROVENCE TGV,14,0.0
AVIGNON TGV,AIX EN PROVENCE TGV,15,0.0
AVIGNON TGV,AIX EN PROVENCE TGV,16,0.0
AVIGNON TGV,AIX EN PROVENCE TGV,17,0.0
AVIGNON TGV,AIX EN PROVENCE TGV,18,0.0
AVIGNON TGV,AIX EN PROVENCE TGV,19,0.0
AVIGNON TGV,AIX EN PROVENCE TGV,20,0.0
AVIGNON TGV,AIX EN PROVENCE TGV,21,0.0
AVIGNON TGV,AIX EN PROVENCE TGV,22,0.0
AVIGNON TGV,AIX EN PROVENCE TGV,23,0.0
AVIGNON TGV,AIX EN PROVENCE TGV,24,0.0
AVIGNON TGV,AIX EN PROVENCE TGV,25,0.0
AVIGNON TGV,AIX EN PROVENCE TGV,26,0.0
AVIGNON TGV,AIX EN PROVENCE TGV,27,0.0
AVIGNON TGV,AIX EN PROVENCE TGV,28,0.0
AVIGNON TGV,AIX EN PROVENCE TGV,29,0.0
AVIGNON TGV,AIX EN PROVENCE TGV,30,0.0
AVIGNON TGV,MARSEILLE ST CHARLES,0,0.875
AVIGNON TGV,MARSEILLE ST CHARLES,1,0.8596153846153847
AVIGNON TGV,MARSEILLE ST CHARLES,2,0.8556603773584905
AVIGNON TGV,MARSEILLE ST CHARLES,3,0.8361111111111111
AVIGNON TGV,MARSEILLE ST CHARLES,4,0.10818181818181818
AVIGNON TGV,MARSEILLE ST CHARLES,5,0.1044642857142857
AVIGNON TGV,MARSEILLE ST CHARLES,6,0.09824561403508772
AVIGNON TGV,MARSEILLE ST CHARLES,7,0.0035087719298245615
AVIGNON TGV,MARSEILLE ST CHARLES,8,0.0
AVIGNON TGV,MARSEILLE ST CHARLES,9,0.0
AVIGNON TGV,MARSEILLE ST CHARLES,10,0.0
AVIGNON TGV,MARSEILLE ST CHARLES,11,0.0
AVIGNON TGV,MARSEILLE ST CHARLES,12,0.0
AVIGNON TGV,MARSEILLE ST CHARLES,13,0.0
AVIGNON TGV,MARSEILLE ST CHARLES,14,0.0
AVIGNON TGV,MARSEILLE ST CHARLES,15,0.0
AVIGNON TGV,MARSEILLE ST CHARLES,16,0.0
AVIGNON TGV,MARSEILLE ST CHARLES,17,0.0
AVIGNON TGV,MARSEILLE ST CHARLES,18,0.0
