origine,destination,delta_days,proba_open
BELLEGARDE SUR VALSERINE GARE,BOURG EN BRESSE,0,0.0005555555555555556
BELLEGARDE SUR VALSERINE GARE,BOURG EN BRESSE,1,0.0005555555555555556
BELLEGARDE SUR VALSERINE GARE,BOURG EN BRESSE,2,0.0
BELLEGARDE SUR VALSERINE GARE,BOURG EN BRESSE,3,0.0
BELLEGARDE SUR VALSERINE GARE,BOURG EN BRESSE,4,0.0
BELLEGARDE SUR VALSERINE GARE,BOURG EN BRESSE,5,0.0
BELLEGARDE SUR VALSERINE GARE,BOURG EN BRESSE,6,0.0
BELLEGARDE SUR VALSERINE GARE,BOURG EN BRESSE,7,0.0
BELLEGARDE SUR VALSERINE GARE,BOURG EN BRESSE,8,0.0
BELLEGARDE SUR VALSERINE GARE,BOURG EN BRESSE,9,0.0
BELLEGARDE SUR VALSERINE GARE,BOURG EN BRESSE,10,0.0
BELLEGARDE SUR VALSERINE GARE,BOURG EN BRESSE,11,0.0005319148936170213
BELLEGARDE SUR VALSERINE GARE,BOURG EN BRESSE,12,0.0005319148936170213
BELLEGARDE SUR VALSERINE GARE,BOURG EN BRESSE,13,0.0005319148936170213
BELLEGARDE SUR VALSERINE GARE,BOURG EN BRESSE,14,0.0010638297872340426
BELLEGARDE SUR VALSERINE GARE,BOURG EN BRESSE,15,0.0005263157894736842
BELLEGARDE SUR VALSERINE GARE,BOURG EN BRESSE,16,0.0015789473684210528
BELLEGARDE SUR VALSERINE GARE,BOURG EN BRESSE,17,0.0015625000000000003
BELLEGARDE SUR VALSERINE GARE,BOURG EN BRESSE,18,0.0010416666666666667
BELLEGARDE SUR VALSERINE GARE,BOURG EN BRESSE,19,0.0
BELLEGARDE SUR VALSERINE GARE,BOURG EN BRESSE,20,0.0
BELLEGARDE SUR VALSERINE GARE,BOURG EN BRESSE,21,0.0015625000000000003
BELLEGARDE SUR VALSERINE GARE,BOURG EN BRESSE,22,0.0005208333333333333
BELLEGARDE SUR VALSERINE GARE,BOURG EN BRESSE,23,0.0010416666666666667
BELLEGARDE SUR VALSERINE GARE,BOURG EN BRESSE,24,0.0005208333333333333
BELLEGARDE SUR VALSERINE GARE,BOURG EN BRESSE,25,0.0005208333333333333
BELLEGARDE SUR VALSERINE GARE,BOURG EN BRESSE,26,0.0010416666666666667
BELLEGARDE SUR VALSERINE GARE,BOURG EN BRESSE,27,0.0
BELLEGARDE SUR VALSERINE GARE,BOURG EN BRESSE,28,0.0010416666666666667
BELLEGARDE SUR VALSERINE GARE,BOURG EN BRESSE,29,0.0015625000000000003
BELLEGARDE SUR VALSERINE GARE,BOURG EN BRESSE,30,0.0
BELLEGARDE SUR VALSERINE GARE,MARNE LA VALLEE CHESSY,0,0.0
BELLEGARDE SUR VALSERINE GARE,MARNE LA VALLEE CHESSY,1,0.0
BELLEGARDE SUR VALSERINE GARE,MARNE LA VALLEE CHESSY,2,0.0
BELLEGARDE SUR VALSERINE GARE,MARNE LA VALLEE CHESSY,3,0.0
BELLEGARDE SUR VALSERINE GARE,MARNE LA VALLEE CHESSY,4,0.0
BELLEGARDE SUR VALSERINE GARE,MARNE LA VALLEE CHESSY,5,0.0
BELLEGARDE SUR VALSERINE GARE,MARNE LA VALLEE CHESSY,6,0.0
BELLEGARDE SUR VALSERINE GARE,MARNE LA VALLEE CHESSY,7,0.0
BELLEGARDE SUR VALSERINE GARE,MARNE LA VALLEE CHESSY,8,0.0
BELLEGARDE SUR VALSERINE GARE,MARNE LA VALLEE CHESSY,9,0.0
BELLEGARDE SUR VALSERINE GARE,MARNE LA VALLEE CHESSY,10,0.0
BELLEGARDE SUR VALSERINE GARE,MARNE LA VALLEE CHESSY,11,0.0
BELLEGARDE SUR VALSERINE GARE,MARNE LA VALLEE CHESSY,12,0.0
BELLEGARDE SUR VALSERINE GARE,MARNE LA VALLEE CHESSY,13,0.0
BELLEGARDE SUR VALSERINE GARE,MARNE LA VALLEE CHESSY,14,0.0
BELLEGARDE SUR VALSERINE GARE,MARNE LA VALLEE CHESSY,15,0.0
BELLEGARDE SUR VALSERINE GARE,MARNE LA VALLEE CHESSY,16,0.0
BELLEGARDE SUR VALSERINE GARE,MARNE LA VALLEE CHESSY,17,0.0
BELLEGARDE SUR VALSERINE GARE,MARNE LA VALLEE CHESSY,18,0.0
BELLEGARDE SUR VALSERINE GARE,MARNE LA VALLEE CHESSY,19,0.0
BELLEGARDE SUR VALSERINE GARE,MARNE LA VALLEE CHESSY,20,0.0
BELLEGARDE SUR VALSERINE GARE,MARNE LA VALLEE CHESSY,21,0.0
BELLEGARDE SUR VALSERINE GARE,MARNE LA VALLEE CHESSY,22,0.0
BELLEGARDE SUR VALSERINE GARE,MARNE LA VALLEE CHESSY,23,0.0
BELLEGARDE SUR VALSERINE GARE,MARNE LA VALLEE CHESSY,24,0.0
BELLEGARDE SUR VALSERINE GARE,MARNE LA VALLEE CHESSY,25,0.0
BELLEGARDE SUR VALSERINE GARE,MARNE LA VALLEE CHESSY,26,0.0
BELLEGARDE SUR VALSERINE GARE,MARNE LA VALLEE CHESSY,27,0.0
BELLEGARDE SUR VALSERINE GARE,MARNE LA VALLEE CHESSY,28,0.0
BELLEGARDE SUR VALSERINE GARE,MARNE LA VALLEE CHESSY,29,0.0
BELLEGARDE SUR VALSERINE GARE,MARNE LA VALLEE CHESSY,30,0.0
BELLEGARDE SUR VALSERINE GARE,NURIEUX GARE,0,0.0032258064516129032
BELLEGARDE SUR VALSERINE GARE,NURIEUX GARE,1,0.001639344262295082
BELLEGARDE SUR VALSERINE GARE,NURIEUX GARE,2,0.0
BELLEGARDE SUR VALSERINE GARE,NURIEUX GARE,3,0.0
BELLEGARDE SUR VALSERINE GARE,NURIEUX GARE,4,0.0007936507936507937
BELLEGARDE SUR VALSERINE GARE,NURIEUX GARE,5,0.0
BELLEGARDE SUR VALSERINE GARE,NURIEUX GARE,6,0.0
BELLEGARDE SUR VALSERINE GARE,NURIEUX GARE,7,0.0007692307692307692
BELLEGARDE SUR VALSERINE GARE,NURIEUX GARE,8,0.0
BELLEGARDE SUR VALSERINE GARE,NURIEUX GARE,9,0.0
BELLEGARDE SUR VALSERINE GARE,NURIEUX GARE,10,0.0007692307692307692
BELLEGARDE SUR VALSERINE GARE,NURIEUX GARE,11,0.0007575757575757576
BELLEGARDE SUR VALSERINE GARE,NURIEUX GARE,12,0.0014925373134328358
BELLEGARDE SUR VALSERINE GARE,NURIEUX GARE,13,0.0007462686567164179
BELLEGARDE SUR VALSERINE GARE,NURIEUX GARE,14,0.0
BELLEGARDE SUR VALSERINE GARE,NURIEUX GARE,15,0.0
BELLEGARDE SUR VALSERINE GARE,NURIEUX GARE,16,0.0
BELLEGARDE SUR VALSERINE GARE,NURIEUX GARE,17,0.0
BELLEGARDE SUR VALSERINE GARE,NURIEUX GARE,18,0.0
BELLEGARDE SUR VALSERINE GARE,NURIEUX GARE,19,0.0
BELLEGARDE SUR VALSERINE GARE,NURIEUX GARE,20,0.0
BELLEGARDE SUR VALSERINE GARE,NURIEUX GARE,21,0.0006944444444444445
BELLEGARDE SUR VALSERINE GARE,NURIEUX GARE,22,0.0
BELLEGARDE SUR VALSERINE GARE,NURIEUX GARE,23,0.0006944444444444445
BELLEGARDE SUR VALSERINE GARE,NURIEUX GARE,24,0.0007042253521126761
BELLEGARDE SUR VALSERINE GARE,NURIEUX GARE,25,0.0007142857142857143
BELLEGARDE SUR VALSERINE GARE,NURIEUX GARE,26,0.0
BELLEGARDE SUR VALSERINE GARE,NURIEUX GARE,27,0.0007246376811594203
BELLEGARDE SUR VALSERINE GARE,NURIEUX GARE,28,0.0
BELLEGARDE SUR VALSERINE GARE,NURIEUX GARE,29,0.0007246376811594203
BELLEGARDE SUR VALSERINE GARE,NURIEUX GARE,30,0.0
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),0,0.8311111111111111
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),1,0.823888888888889
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),2,0.8288888888888888
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),3,0.8653846153846154
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),4,0.8890109890109891
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),5,0.9071428571428571
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),6,0.9005494505494506
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),7,0.8880434782608696
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),8,0.892391304347826
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),9,0.8826086956521739
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),10,0.8983870967741935
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),11,0.9132978723404255
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),12,0.924468085106383
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),13,0.9393617021276596
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),14,0.8946808510638298
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),15,0.7752631578947369
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),16,0.7494736842105263
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),17,0.7473958333333334
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),18,0.7682291666666666
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),19,0.7708333333333334
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),20,0.7822916666666666
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),21,0.7994791666666666
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),22,0.8093750000000001
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),23,0.8156249999999999
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),24,0.8213541666666666
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),25,0.8265625
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),26,0.8307291666666666
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),27,0.8338541666666667
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),28,0.8520833333333333
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),29,0.8406250000000001
BELLEGARDE SUR VALSERINE GARE,PARIS (intramuros),30,0.0663157894736842
BOURG EN BRESSE,MARNE LA VALLEE CHESSY,0,0.0
BOURG EN BRESSE,MARNE LA VALLEE CHESSY,1,0.0
BOURG EN BRESSE,MARNE LA VALLEE CHESSY,2,0.0
BOURG EN BRESSE,MARNE LA VALLEE CHESSY,3,0.0
BOURG EN BRESSE,MARNE LA VALLEE CHESSY,4,0.0
BOURG EN BRESSE,MARNE LA VALLEE CHESSY,5,0.0
BOURG EN BRESSE,MARNE LA VALLEE CHESSY,6,0.0
BOURG EN BRESSE,MARNE LA VALLEE CHESSY,7,0.0
BOURG EN BRESSE,MARNE LA VALLEE CHESSY,8,0.0
BOURG EN BRESSE,MARNE LA VALLEE CHESSY,9,0.0
BOURG EN BRESSE,MARNE LA VALLEE CHESSY,10,0.0
BOURG EN BRESSE,MARNE LA VALLEE CHESSY,11,0.0
BOURG EN BRESSE,MARNE LA VALLEE CHESSY,12,0.0
BOURG EN BRESSE,MARNE LA VALLEE CHESSY,13,0.0
BOURG EN BRESSE,MARNE LA VALLEE CHESSY,14,0.0
BOURG EN BRESSE,MARNE LA VALLEE CHESSY,15,0.0
BOURG EN BRESSE,MARNE LA VALLEE CHESSY,16,0.0
BOURG EN BRESSE,MARNE LA VALLEE CHESSY,17,0.0
BOURG EN BRESSE,MARNE LA VALLEE CHESSY,18,0.0
BOURG EN BRESSE,MARNE LA VALLEE CHESSY,19,0.0
BOURG EN BRESSE,MARNE LA VALLEE CHESSY,20,0.0
BOURG EN BRESSE,MARNE LA VALLEE CHESSY,21,0.0
BOURG EN BRESSE,MARNE LA VALLEE CHESSY,22,0.0
BOURG EN BRESSE,MARNE LA VALLEE CHESSY,23,0.0
BOURG EN BRESSE,MARNE LA VALLEE CHESSY,24,0.0
BOURG EN BRESSE,MARNE LA VALLEE CHESSY,25,0.0
BOURG EN BRESSE,MARNE LA VALLEE CHESSY,26,0.0
BOURG EN BRESSE,MARNE LA VALLEE CHESSY,27,0.0
BOURG EN BRESSE,MARNE LA VALLEE CHESSY,28,0.0
BOURG EN BRESSE,MARNE LA VALLEE CHESSY,29,0.0
BOURG EN BRESSE,MARNE LA VALLEE CHESSY,30,0.0
BOURG EN BRESSE,PARIS (intramuros),0,0.825
BOURG EN BRESSE,PARIS (intramuros),1,0.8194444444444444
BOURG EN BRESSE,PARIS (intramuros),2,0.8227777777777777
BOURG EN BRESSE,PARIS (intramuros),3,0.8675824175824176
BOURG EN BRESSE,PARIS (intramuros),4,0.8901098901098901
BOURG EN BRESSE,PARIS (intramuros),5,0.9065934065934066
BOURG EN BRESSE,PARIS (intramuros),6,0.9032967032967033
BOURG EN BRESSE,PARIS (intramuros),7,0.8945652173913043
BOURG EN BRESSE,PARIS (intramuros),8,0.8929347826086957
BOURG EN BRESSE,PARIS (intramuros),9,0.8815217391304347
BOURG EN BRESSE,PARIS (intramuros),10,0.8973118279569893
BOURG EN BRESSE,PARIS (intramuros),11,0.9111702127659576
BOURG EN BRESSE,PARIS (intramuros),12,0.9319148936170212
BOURG EN BRESSE,PARIS (intramuros),13,0.9356382978723404
BOURG EN BRESSE,PARIS (intramuros),14,0.8909574468085106
BOURG EN BRESSE,PARIS (intramuros),15,0.778421052631579
BOURG EN BRESSE,PARIS (intramuros),16,0.7552631578947369
BOURG EN BRESSE,PARIS (intramuros),17,0.7505208333333333
BOURG EN BRESSE,PARIS (intramuros),18,0.7708333333333334
BOURG EN BRESSE,PARIS (intramuros),19,0.7729166666666667
BOURG EN BRESSE,PARIS (intramuros),20,0.7807291666666667
BOURG EN BRESSE,PARIS (intramuros),21,0.796875
BOURG EN BRESSE,PARIS (intramuros),22,0.8072916666666666
BOURG EN BRESSE,PARIS (intramuros),23,0.8130208333333333
BOURG EN BRESSE,PARIS (intramuros),24,0.8213541666666666
BOURG EN BRESSE,PARIS (intramuros),25,0.8239583333333332
BOURG EN BRESSE,PARIS (intramuros),26,0.8317708333333332
BOURG EN BRESSE,PARIS (intramuros),27,0.8354166666666667
BOURG EN BRESSE,PARIS (intramuros),28,0.8510416666666667
BOURG EN BRESSE,PARIS (intramuros),29,0.8442708333333333
BOURG EN BRESSE,PARIS (intramuros),30,0.07421052631578948
GENEVE CORNAVIN,BELLEGARDE SUR VALSERINE GARE,0,0.0
GENEVE CORNAVIN,BELLEGARDE SUR VALSERINE GARE,1,0.0
GENEVE CORNAVIN,BELLEGARDE SUR VALSERINE GARE,2,0.0
GENEVE CORNAVIN,BELLEGARDE SUR VALSERINE GARE,3,0.0
GENEVE CORNAVIN,BELLEGARDE SUR VALSERINE GARE,4,0.0
GENEVE CORNAVIN,BELLEGARDE SUR VALSERINE GARE,5,0.0
GENEVE CORNAVIN,BELLEGARDE SUR VALSERINE GARE,6,0.0
GENEVE CORNAVIN,BELLEGARDE SUR VALSERINE GARE,7,0.0
GENEVE CORNAVIN,BELLEGARDE SUR VALSERINE GARE,8,0.0
GENEVE CORNAVIN,BELLEGARDE SUR VALSERINE GARE,9,0.0
GENEVE CORNAVIN,BELLEGARDE SUR VALSERINE GARE,10,0.0
GENEVE CORNAVIN,BELLEGARDE SUR VALSERINE GARE,11,0.0
GENEVE CORNAVIN,BELLEGARDE SUR VALSERINE GARE,12,0.0
GENEVE CORNAVIN,BELLEGARDE SUR VALSERINE GARE,13,0.0
GENEVE CORNAVIN,BELLEGARDE SUR VALSERINE GARE,14,0.0
GENEVE CORNAVIN,BELLEGARDE SUR VALSERINE GARE,15,0.0
GENEVE CORNAVIN,BELLEGARDE SUR VALSERINE GARE,16,0.0
GENEVE CORNAVIN,BELLEGARDE SUR VALSERINE GARE,17,0.0
GENEVE CORNAVIN,BELLEGARDE SUR VALSERINE GARE,18,0.0
GENEVE CORNAVIN,BELLEGARDE SUR VALSERINE GARE,19,0.0
GENEVE CORNAVIN,BELLEGARDE SUR VALSERINE GARE,20,0.0
GENEVE CORNAVIN,BELLEGARDE SUR VALSERINE GARE,21,0.0
GENEVE CORNAVIN,BELLEGARDE SUR VALSERINE GARE,22,0.0
GENEVE CORNAVIN,BELLEGARDE SUR VALSERINE GARE,23,0.0
GENEVE CORNAVIN,BELLEGARDE SUR VALSERINE GARE,24,0.0
GENEVE CORNAVIN,BELLEGARDE SUR VALSERINE GARE,25,0.0
GENEVE CORNAVIN,BELLEGARDE SUR VALSERINE GARE,26,0.0
GENEVE CORNAVIN,BELLEGARDE SUR VALSERINE GARE,27,0.0
GENEVE CORNAVIN,BELLEGARDE SUR VALSERINE GARE,28,0.0
GENEVE CORNAVIN,BELLEGARDE SUR VALSERINE GARE,29,0.0005208333333333333
GENEVE CORNAVIN,BELLEGARDE SUR VALSERINE GARE,30,0.0
GENEVE CORNAVIN,BOURG EN BRESSE,0,0.0
GENEVE CORNAVIN,BOURG EN BRESSE,1,0.0
GENEVE CORNAVIN,BOURG EN BRESSE,2,0.0
