origine,destination,delta_days,proba_open
GRENOBLE,AEROPORT ROISSY CDG 2 TGV,0,0.425
GRENOBLE,AEROPORT ROISSY CDG 2 TGV,1,0.1
GRENOBLE,AEROPORT ROISSY CDG 2 TGV,2,0.375
GRENOBLE,AEROPORT ROISSY CDG 2 TGV,3,0.425
GRENOBLE,AEROPORT ROISSY CDG 2 TGV,4,0.125
GRENOBLE,AEROPORT ROISSY CDG 2 TGV,5,0.05
GRENOBLE,AEROPORT ROISSY CDG 2 TGV,6,0.0
GRENOBLE,AEROPORT ROISSY CDG 2 TGV,7,0.0
GRENOBLE,AEROPORT ROISSY CDG 2 TGV,8,0.0
GRENOBLE,AEROPORT ROISSY CDG 2 TGV,9,0.0
GRENOBLE,AEROPORT ROISSY CDG 2 TGV,10,0.0
GRENOBLE,AEROPORT ROISSY CDG 2 TGV,11,0.0
GRENOBLE,AEROPORT ROISSY CDG 2 TGV,12,0.0
GRENOBLE,AEROPORT ROISSY CDG 2 TGV,13,0.0
GRENOBLE,AEROPORT ROISSY CDG 2 TGV,14,0.0
GRENOBLE,AEROPORT ROISSY CDG 2 TGV,15,0.0
GRENOBLE,AEROPORT ROISSY CDG 2 TGV,16,0.0
GRENOBLE,AEROPORT ROISSY CDG 2 TGV,17,0.0
GRENOBLE,AEROPORT ROISSY CDG 2 TGV,18,0.0
GRENOBLE,AEROPORT ROISSY CDG 2 TGV,19,0.0
GRENOBLE,AEROPORT ROISSY CDG 2 TGV,20,0.0
GRENOBLE,AEROPORT ROISSY CDG 2 TGV,21,0.0
GRENOBLE,AEROPORT ROISSY CDG 2 TGV,22,0.0
GRENOBLE,AEROPORT ROISSY CDG 2 TGV,23,0.025
GRENOBLE,AEROPORT ROISSY CDG 2 TGV,24,0.425
GRENOBLE,AEROPORT ROISSY CDG 2 TGV,25,0.525
GRENOBLE,AEROPORT ROISSY CDG 2 TGV,26,0.5
GRENOBLE,AEROPORT ROISSY CDG 2 TGV,27,0.5
GRENOBLE,AEROPORT ROISSY CDG 2 TGV,28,0.5
GRENOBLE,AEROPORT ROISSY CDG 2 TGV,29,0.475
GRENOBLE,AEROPORT ROISSY CDG 2 TGV,30,0.075
GRENOBLE,LYON ST EXUPERY TGV.,0,0.979032258064516
GRENOBLE,LYON ST EXUPERY TGV.,1,0.9774193548387097
GRENOBLE,LYON ST EXUPERY TGV.,2,0.9763440860215052
GRENOBLE,LYON ST EXUPERY TGV.,3,0.9566308243727598
GRENOBLE,LYON ST EXUPERY TGV.,4,0.8629032258064516
GRENOBLE,LYON ST EXUPERY TGV.,5,0.8541218637992832
GRENOBLE,LYON ST EXUPERY TGV.,6,0.8598566308243728
GRENOBLE,LYON ST EXUPERY TGV.,7,0.8523297491039427
GRENOBLE,LYON ST EXUPERY TGV.,8,0.8437275985663083
GRENOBLE,LYON ST EXUPERY TGV.,9,0.8508960573476703
GRENOBLE,LYON ST EXUPERY TGV.,10,0.8437275985663083
GRENOBLE,LYON ST EXUPERY TGV.,11,0.8209677419354839
GRENOBLE,LYON ST EXUPERY TGV.,12,0.556989247311828
GRENOBLE,LYON ST EXUPERY TGV.,13,0.5589605734767025
GRENOBLE,LYON ST EXUPERY TGV.,14,0.5525089605734768
GRENOBLE,LYON ST EXUPERY TGV.,15,0.5252688172043011
GRENOBLE,LYON ST EXUPERY TGV.,16,0.5301075268817205
GRENOBLE,LYON ST EXUPERY TGV.,17,0.5446236559139784
GRENOBLE,LYON ST EXUPERY TGV.,18,0.5600358422939068
GRENOBLE,LYON ST EXUPERY TGV.,19,0.5639784946236559
GRENOBLE,LYON ST EXUPERY TGV.,20,0.5781362007168459
GRENOBLE,LYON ST EXUPERY TGV.,21,0.5609318996415771
GRENOBLE,LYON ST EXUPERY TGV.,22,0.5718637992831541
GRENOBLE,LYON ST EXUPERY TGV.,23,0.5813620071684588
GRENOBLE,LYON ST EXUPERY TGV.,24,0.5976702508960573
GRENOBLE,LYON ST EXUPERY TGV.,25,0.6010752688172043
