origine,destination,delta_days,proba_open
BAYONNE,LANNEMEZAN,0,0.7485507246376811
BAYONNE,LANNEMEZAN,1,0.7692857142857144
BAYONNE,LANNEMEZAN,2,0.7598591549295775
BAYONNE,LANNEMEZAN,3,0.7401408450704225
BAYONNE,LANNEMEZAN,4,0.5866197183098592
BAYONNE,LANNEMEZAN,5,0.6007042253521127
BAYONNE,LANNEMEZAN,6,0.5964788732394366
BAYONNE,LANNEMEZAN,7,0.5964788732394366
BAYONNE,LANNEMEZAN,8,0.5826388888888889
BAYONNE,LANNEMEZAN,9,0.5215277777777777
BAYONNE,LANNEMEZAN,10,0.48888888888888893
BAYONNE,LANNEMEZAN,11,0.4972222222222222
BAYONNE,LANNEMEZAN,12,0.4479166666666667
BAYONNE,LANNEMEZAN,13,0.44305555555555554
BAYONNE,LANNEMEZAN,14,0.4520833333333333
BAYONNE,LANNEMEZAN,15,0.4479166666666667
BAYONNE,LANNEMEZAN,16,0.4618055555555556
BAYONNE,LANNEMEZAN,17,0.45694444444444443
BAYONNE,LANNEMEZAN,18,0.44305555555555554
BAYONNE,LANNEMEZAN,19,0.44513888888888886
BAYONNE,LANNEMEZAN,20,0.44513888888888886
BAYONNE,LANNEMEZAN,21,0.4340277777777778
BAYONNE,LANNEMEZAN,22,0.4027777777777778
BAYONNE,LANNEMEZAN,23,0.3729166666666667
BAYONNE,LANNEMEZAN,24,0.3736111111111111
BAYONNE,LANNEMEZAN,25,0.3548611111111111
BAYONNE,LANNEMEZAN,26,0.3159722222222222
BAYONNE,LANNEMEZAN,27,0.30972222222222223
BAYONNE,LANNEMEZAN,28,0.2951388888888889
BAYONNE,LANNEMEZAN,29,0.30000000000000004
BAYONNE,LANNEMEZAN,30,0.0125
BAYONNE,LOURDES,0,0.9566666666666667
BAYONNE,LOURDES,1,0.9504716981132075
BAYONNE,LOURDES,2,0.9294392523364486
BAYONNE,LOURDES,3,0.9041666666666667
BAYONNE,LOURDES,4,0.8169724770642202
BAYONNE,LOURDES,5,0.7927272727272727
BAYONNE,LOURDES,6,0.7846846846846847
BAYONNE,LOURDES,7,0.7816964285714285
BAYONNE,LOURDES,8,0.7676991150442478
BAYONNE,LOURDES,9,0.7530701754385964
BAYONNE,LOURDES,10,0.7355263157894736
BAYONNE,LOURDES,11,0.7280701754385965
BAYONNE,LOURDES,12,0.6425438596491229
BAYONNE,LOURDES,13,0.6346491228070175
BAYONNE,LOURDES,14,0.6328947368421053
BAYONNE,LOURDES,15,0.6293859649122807
BAYONNE,LOURDES,16,0.6118421052631579
BAYONNE,LOURDES,17,0.6057017543859649
BAYONNE,LOURDES,18,0.6070175438596491
BAYONNE,LOURDES,19,0.5969298245614035
BAYONNE,LOURDES,20,0.587280701754386
BAYONNE,LOURDES,21,0.5798245614035087
BAYONNE,LOURDES,22,0.5763157894736842
BAYONNE,LOURDES,23,0.5640350877192982
BAYONNE,LOURDES,24,0.5469298245614035
BAYONNE,LOURDES,25,0.5486842105263158
BAYONNE,LOURDES,26,0.5447368421052632
BAYONNE,LOURDES,27,0.5491228070175439
BAYONNE,LOURDES,28,0.5442982456140351
BAYONNE,LOURDES,29,0.5399122807017543
BAYONNE,LOURDES,30,0.05394736842105263
BAYONNE,MONTREJEAU GOURDAN POLIGNAN,0,0.6402597402597402
BAYONNE,MONTREJEAU GOURDAN POLIGNAN,1,0.6616883116883118
BAYONNE,MONTREJEAU GOURDAN POLIGNAN,2,0.6305194805194805
BAYONNE,MONTREJEAU GOURDAN POLIGNAN,3,0.5871794871794871
BAYONNE,MONTREJEAU GOURDAN POLIGNAN,4,0.43205128205128207
BAYONNE,MONTREJEAU GOURDAN POLIGNAN,5,0.44999999999999996
BAYONNE,MONTREJEAU GOURDAN POLIGNAN,6,0.4563291139240506
BAYONNE,MONTREJEAU GOURDAN POLIGNAN,7,0.4322784810126582
BAYONNE,MONTREJEAU GOURDAN POLIGNAN,8,0.42025316455696204
BAYONNE,MONTREJEAU GOURDAN POLIGNAN,9,0.40189873417721517
BAYONNE,MONTREJEAU GOURDAN POLIGNAN,10,0.42215189873417724
BAYONNE,MONTREJEAU GOURDAN POLIGNAN,11,0.4208860759493671
BAYONNE,MONTREJEAU GOURDAN POLIGNAN,12,0.38164556962025314
BAYONNE,MONTREJEAU GOURDAN POLIGNAN,13,0.3588607594936709
BAYONNE,MONTREJEAU GOURDAN POLIGNAN,14,0.3550632911392405
BAYONNE,MONTREJEAU GOURDAN POLIGNAN,15,0.3531645569620253
BAYONNE,MONTREJEAU GOURDAN POLIGNAN,16,0.34430379746835443
BAYONNE,MONTREJEAU GOURDAN POLIGNAN,17,0.35253164556962024
BAYONNE,MONTREJEAU GOURDAN POLIGNAN,18,0.34936708860759497
BAYONNE,MONTREJEAU GOURDAN POLIGNAN,19,0.34240506329113923
