origine,destination,delta_days,proba_open
CHAMBERY CHALLES LES EAUX,MACON LOCHE TGV,0,0.08922979797979796
CHAMBERY CHALLES LES EAUX,MACON LOCHE TGV,1,0.11057539682539683
CHAMBERY CHALLES LES EAUX,MACON LOCHE TGV,2,0.01425595238095238
CHAMBERY CHALLES LES EAUX,MACON LOCHE TGV,3,0.08384722222222221
CHAMBERY CHALLES LES EAUX,MACON LOCHE TGV,4,0.07093597374847374
CHAMBERY CHALLES LES EAUX,MACON LOCHE TGV,5,0.0015476190476190477
CHAMBERY CHALLES LES EAUX,MACON LOCHE TGV,6,0.0015476190476190477
CHAMBERY CHALLES LES EAUX,MACON LOCHE TGV,7,0.0015476190476190477
CHAMBERY CHALLES LES EAUX,MACON LOCHE TGV,8,0.0015476190476190477
CHAMBERY CHALLES LES EAUX,MACON LOCHE TGV,9,0.0015476190476190477
CHAMBERY CHALLES LES EAUX,MACON LOCHE TGV,10,0.0015476190476190477
CHAMBERY CHALLES LES EAUX,MACON LOCHE TGV,11,0.0015476190476190477
CHAMBERY CHALLES LES EAUX,MACON LOCHE TGV,12,0.001150793650793651
CHAMBERY CHALLES LES EAUX,MACON LOCHE TGV,13,0.0007936507936507937
CHAMBERY CHALLES LES EAUX,MACON LOCHE TGV,14,0.0007936507936507937
CHAMBERY CHALLES LES EAUX,MACON LOCHE TGV,15,0.0007936507936507937
CHAMBERY CHALLES LES EAUX,PARIS (intramuros),0,0.31178799408245206
CHAMBERY CHALLES LES EAUX,PARIS (intramuros),1,0.2700094208038788
CHAMBERY CHALLES LES EAUX,PARIS (intramuros),2,0.19842550852879004
CHAMBERY CHALLES LES EAUX,PARIS (intramuros),3,0.22473772213218016
CHAMBERY CHALLES LES EAUX,PARIS (intramuros),4,0.14064050438890977
CHAMBERY CHALLES LES EAUX,PARIS (intramuros),5,0.0229140855835436
CHAMBERY CHALLES LES EAUX,PARIS (intramuros),6,0.020837907132365146
CHAMBERY CHALLES LES EAUX,PARIS (intramuros),7,0.01794649299095101
CHAMBERY CHALLES LES EAUX,PARIS (intramuros),8,0.015004573799031817
CHAMBERY CHALLES LES EAUX,PARIS (intramuros),9,0.01752982632428434
