origine,destination,delta_days,proba_open
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),0,0.7138047138047138
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),1,0.6878787878787879
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),2,0.704040404040404
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),3,0.7078859060402685
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),4,0.4774247491638796
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),5,0.4523411371237458
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),6,0.4459866220735786
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),7,0.3953177257525084
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),8,0.3456521739130435
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),9,0.33478260869565213
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),10,0.33093645484949835
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),11,0.32274247491638797
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),12,0.09916107382550336
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),13,0.08905723905723906
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),14,0.09107744107744108
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),15,0.07912457912457913
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),16,0.07895622895622896
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),17,0.08013468013468014
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),18,0.07542087542087542
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),19,0.07804054054054055
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),20,0.07745762711864407
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),21,0.07525423728813559
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),22,0.07423728813559322
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),23,0.07380952380952381
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),24,0.07064846416382252
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),25,0.07174657534246576
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),26,0.07061855670103093
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),27,0.065
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),28,0.06689655172413793
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),29,0.06603448275862069
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),30,0.021280276816608996
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,0,0.35128205128205126
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,1,0.29134615384615387
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,2,0.3006369426751593
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,3,0.3050632911392405
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,4,0.14968354430379746
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,5,0.14746835443037976
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,6,0.14082278481012658
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,7,0.12707006369426752
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,8,0.11560509554140126
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,9,0.13878205128205126
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,10,0.1455128205128205
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,11,0.15576923076923077
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,12,0.03516129032258065
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,13,0.033441558441558446
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,14,0.037337662337662336
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,15,0.04220779220779221
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,16,0.04415584415584416
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,17,0.04512987012987013
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,18,0.045454545454545456
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,19,0.04512987012987013
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,20,0.04967532467532468
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,21,0.0512987012987013
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,22,0.052272727272727276
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,23,0.052597402597402594
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,24,0.05194805194805195
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,25,0.05032467532467533
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,26,0.049350649350649346
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,27,0.04155844155844156
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,28,0.04415584415584416
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,29,0.04220779220779221
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,30,0.01461038961038961
ANGOULEME,AEROPORT ROISSY CDG 2 TGV,0,0.3255892255892256
ANGOULEME,AEROPORT ROISSY CDG 2 TGV,1,0.31767676767676767
ANGOULEME,AEROPORT ROISSY CDG 2 TGV,2,0.31717171717171716
ANGOULEME,AEROPORT ROISSY CDG 2 TGV,3,0.30083892617449665
ANGOULEME,AEROPORT ROISSY CDG 2 TGV,4,0.12006688963210702
ANGOULEME,AEROPORT ROISSY CDG 2 TGV,5,0.10953177257525083
ANGOULEME,AEROPORT ROISSY CDG 2 TGV,6,0.1157190635451505
ANGOULEME,AEROPORT ROISSY CDG 2 TGV,7,0.09749163879598662
ANGOULEME,AEROPORT ROISSY CDG 2 TGV,8,0.07642140468227425
ANGOULEME,AEROPORT ROISSY CDG 2 TGV,9,0.087123745819398
ANGOULEME,AEROPORT ROISSY CDG 2 TGV,10,0.08528428093645485
ANGOULEME,AEROPORT ROISSY CDG 2 TGV,11,0.09230769230769231
ANGOULEME,AEROPORT ROISSY CDG 2 TGV,12,0.009531772575250836
ANGOULEME,AEROPORT ROISSY CDG 2 TGV,13,0.0030201342281879194
ANGOULEME,AEROPORT ROISSY CDG 2 TGV,14,0.001006711409395973
ANGOULEME,AEROPORT ROISSY CDG 2 TGV,15,0.0005033557046979866
ANGOULEME,AEROPORT ROISSY CDG 2 TGV,16,0.0025167785234899327
ANGOULEME,AEROPORT ROISSY CDG 2 TGV,17,0.003523489932885906
ANGOULEME,AEROPORT ROISSY CDG 2 TGV,18,0.003355704697986577
ANGOULEME,AEROPORT ROISSY CDG 2 TGV,19,0.003367003367003367
ANGOULEME,AEROPORT ROISSY CDG 2 TGV,20,0.0033783783783783786
ANGOULEME,AEROPORT ROISSY CDG 2 TGV,21,0.0033783783783783786
ANGOULEME,AEROPORT ROISSY CDG 2 TGV,22,0.0035472972972972975
ANGOULEME,AEROPORT ROISSY CDG 2 TGV,23,0.005254237288135594
ANGOULEME,AEROPORT ROISSY CDG 2 TGV,24,0.00663265306122449
ANGOULEME,AEROPORT ROISSY CDG 2 TGV,25,0.009897610921501706
ANGOULEME,AEROPORT ROISSY CDG 2 TGV,26,0.011472602739726027
ANGOULEME,AEROPORT ROISSY CDG 2 TGV,27,0.010652920962199313
ANGOULEME,AEROPORT ROISSY CDG 2 TGV,28,0.015120274914089345
ANGOULEME,AEROPORT ROISSY CDG 2 TGV,29,0.021649484536082474
ANGOULEME,AEROPORT ROISSY CDG 2 TGV,30,0.006379310344827587
ANGOULEME,LILLE (intramuros),0,0.29764309764309765
ANGOULEME,LILLE (intramuros),1,0.30656565656565654
ANGOULEME,LILLE (intramuros),2,0.3
ANGOULEME,LILLE (intramuros),3,0.28859060402684567
ANGOULEME,LILLE (intramuros),4,0.11555183946488293
ANGOULEME,LILLE (intramuros),5,0.10401337792642142
ANGOULEME,LILLE (intramuros),6,0.0979933110367893
ANGOULEME,LILLE (intramuros),7,0.08494983277591973
ANGOULEME,LILLE (intramuros),8,0.06521739130434782
ANGOULEME,LILLE (intramuros),9,0.06739130434782609
ANGOULEME,LILLE (intramuros),10,0.07307692307692308
ANGOULEME,LILLE (intramuros),11,0.09163879598662207
ANGOULEME,LILLE (intramuros),12,0.009899328859060403
ANGOULEME,LILLE (intramuros),13,0.004208754208754209
ANGOULEME,LILLE (intramuros),14,0.0020202020202020206
ANGOULEME,LILLE (intramuros),15,0.0015151515151515152
ANGOULEME,LILLE (intramuros),16,0.003367003367003367
ANGOULEME,LILLE (intramuros),17,0.003703703703703704
ANGOULEME,LILLE (intramuros),18,0.0038720538720538726
ANGOULEME,LILLE (intramuros),19,0.003885135135135136
ANGOULEME,LILLE (intramuros),20,0.003389830508474576
ANGOULEME,LILLE (intramuros),21,0.003728813559322034
ANGOULEME,LILLE (intramuros),22,0.0035593220338983053
ANGOULEME,LILLE (intramuros),23,0.005952380952380952
ANGOULEME,LILLE (intramuros),24,0.006825938566552901
ANGOULEME,LILLE (intramuros),25,0.00958904109589041
ANGOULEME,LILLE (intramuros),26,0.01013745704467354
ANGOULEME,LILLE (intramuros),27,0.010689655172413793
ANGOULEME,LILLE (intramuros),28,0.01517241379310345
ANGOULEME,LILLE (intramuros),29,0.02
ANGOULEME,LILLE (intramuros),30,0.005536332179930796
ANGOULEME,MARNE LA VALLEE CHESSY,0,0.33164983164983164
ANGOULEME,MARNE LA VALLEE CHESSY,1,0.31582491582491584
ANGOULEME,MARNE LA VALLEE CHESSY,2,0.3106060606060606
ANGOULEME,MARNE LA VALLEE CHESSY,3,0.2976510067114094
ANGOULEME,MARNE LA VALLEE CHESSY,4,0.12341137123745818
ANGOULEME,MARNE LA VALLEE CHESSY,5,0.10468227424749164
ANGOULEME,MARNE LA VALLEE CHESSY,6,0.11371237458193979
ANGOULEME,MARNE LA VALLEE CHESSY,7,0.09448160535117058
ANGOULEME,MARNE LA VALLEE CHESSY,8,0.07759197324414716
ANGOULEME,MARNE LA VALLEE CHESSY,9,0.08478260869565218
ANGOULEME,MARNE LA VALLEE CHESSY,10,0.08210702341137124
ANGOULEME,MARNE LA VALLEE CHESSY,11,0.09163879598662207
ANGOULEME,MARNE LA VALLEE CHESSY,12,0.009531772575250836
ANGOULEME,MARNE LA VALLEE CHESSY,13,0.0025167785234899327
ANGOULEME,MARNE LA VALLEE CHESSY,14,0.0011744966442953021
ANGOULEME,MARNE LA VALLEE CHESSY,15,0.001006711409395973
ANGOULEME,MARNE LA VALLEE CHESSY,16,0.0031879194630872482
ANGOULEME,MARNE LA VALLEE CHESSY,17,0.003355704697986577
ANGOULEME,MARNE LA VALLEE CHESSY,18,0.0036912751677852353
ANGOULEME,MARNE LA VALLEE CHESSY,19,0.003703703703703704
ANGOULEME,MARNE LA VALLEE CHESSY,20,0.0035472972972972975
ANGOULEME,MARNE LA VALLEE CHESSY,21,0.0037162162162162164
ANGOULEME,MARNE LA VALLEE CHESSY,22,0.0033783783783783786
ANGOULEME,MARNE LA VALLEE CHESSY,23,0.00559322033898305
ANGOULEME,MARNE LA VALLEE CHESSY,24,0.006292517006802722
ANGOULEME,MARNE LA VALLEE CHESSY,25,0.010750853242320819
ANGOULEME,MARNE LA VALLEE CHESSY,26,0.010445205479452054
ANGOULEME,MARNE LA VALLEE CHESSY,27,0.010652920962199313
ANGOULEME,MARNE LA VALLEE CHESSY,28,0.014948453608247422
ANGOULEME,MARNE LA VALLEE CHESSY,29,0.019072164948453606
ANGOULEME,MARNE LA VALLEE CHESSY,30,0.006206896551724138
ANGOULEME,MASSY TGV,0,0.31712802768166093
ANGOULEME,MASSY TGV,1,0.31643598615916957
ANGOULEME,MASSY TGV,2,0.3095155709342561
ANGOULEME,MASSY TGV,3,0.2953448275862069
ANGOULEME,MASSY TGV,4,0.11993127147766322
ANGOULEME,MASSY TGV,5,0.10807560137457044
ANGOULEME,MASSY TGV,6,0.11975945017182131
ANGOULEME,MASSY TGV,7,0.0979381443298969
