origine,destination,delta_days,proba_open
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,0,0.456
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,1,0.48799999999999993
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,2,0.4747272727272728
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,3,0.4445454545454545
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,4,0.30254545454545456
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,5,0.3169090909090909
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,6,0.3229090909090909
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,7,0.33781818181818185
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,8,0.3614545454545455
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,9,0.3665454545454545
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,10,0.3669090909090909
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,11,0.38010948905109493
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,12,0.11131386861313869
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,13,0.12098540145985401
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,14,0.1145985401459854
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,15,0.10784671532846715
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,16,0.1097069597069597
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,17,0.10955882352941176
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,18,0.11291512915129152
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,19,0.11236162361623615
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,20,0.11254612546125461
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,21,0.11014760147601477
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,22,0.1033210332103321
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,23,0.1061111111111111
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,24,0.10520446096654275
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,25,0.10241635687732342
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,26,0.10298507462686568
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,27,0.11492537313432837
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,28,0.11772388059701493
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,29,0.1247191011235955
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,30,0.02819548872180451
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,0,0.456
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,1,0.48818181818181816
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,2,0.4749090909090909
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,3,0.4541818181818182
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,4,0.30254545454545456
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,5,0.31545454545454543
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,6,0.31418181818181823
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,7,0.34036363636363637
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,8,0.36018181818181816
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,9,0.36072727272727273
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,10,0.36272727272727273
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,11,0.38321167883211676
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,12,0.11332116788321168
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,13,0.11897810218978103
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,14,0.11295620437956204
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,15,0.10948905109489052
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,16,0.10934065934065934
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,17,0.11066176470588236
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,18,0.1121771217712177
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,19,0.11402214022140221
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,20,0.1132841328413284
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,21,0.10959409594095941
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,22,0.10110701107011069
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,23,0.10555555555555556
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,24,0.10650557620817844
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,25,0.10446096654275093
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,26,0.10093283582089553
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,27,0.11305970149253732
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,28,0.11902985074626865
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,29,0.12434456928838952
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,30,0.02048872180451128
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,0,0.27939914163090124
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,1,0.3
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,2,0.2735169491525424
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,3,0.23481012658227848
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,4,0.125
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,5,0.12659574468085105
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,6,0.12085106382978723
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,7,0.1251063829787234
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,8,0.14148936170212767
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,9,0.155531914893617
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,10,0.16474358974358974
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,11,0.17339055793991415
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,12,0.06271551724137932
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,13,0.06493506493506493
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,14,0.05844155844155844
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,15,0.05909090909090909
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,16,0.058913043478260874
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,17,0.05545851528384279
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,18,0.056140350877192984
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,19,0.0625
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,20,0.05745614035087719
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,21,0.056578947368421055
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,22,0.051096491228070175
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,23,0.05506607929515418
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,24,0.05929203539823009
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,25,0.05929203539823009
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,26,0.058888888888888886
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,27,0.0642857142857143
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,28,0.06674107142857143
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,29,0.06830357142857142
AEROPORT ROISSY CDG 2 TGV,MEUSE TGV,30,0.014573991031390135
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,0,0.45872727272727276
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,1,0.4890909090909091
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,2,0.47854545454545455
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,3,0.4490909090909091
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,4,0.30636363636363634
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,5,0.3169090909090909
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,6,0.32
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,7,0.33436363636363636
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,8,0.36127272727272725
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,9,0.3632727272727273
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,10,0.3674545454545454
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,11,0.3841240875912409
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,12,0.11405109489051095
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,13,0.1208029197080292
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,14,0.11587591240875912
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,15,0.10912408759124087
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,16,0.10897435897435898
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,17,0.11102941176470588
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,18,0.11309963099630996
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,19,0.11365313653136531
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,20,0.1103321033210332
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,21,0.11014760147601477
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,22,0.10055350553505535
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,23,0.10425925925925926
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,24,0.10594795539033457
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,25,0.10446096654275093
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,26,0.10335820895522388
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,27,0.11249999999999999
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,28,0.11958955223880596
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,29,0.12602996254681648
AEROPORT ROISSY CDG 2 TGV,STRASBOURG,30,0.02669172932330827
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,0,0.5154135338345864
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,1,0.5486842105263158
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,2,0.547565543071161
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,3,0.5526119402985075
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,4,0.3811567164179105
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,5,0.3867537313432836
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,6,0.3813432835820896
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,7,0.3755597014925373
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,8,0.37584269662921344
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,9,0.37284644194756555
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,10,0.3627340823970037
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,11,0.3599624060150376
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,12,0.1792452830188679
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,13,0.1831439393939394
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,14,0.17859848484848484
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,15,0.1787878787878788
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,16,0.1790874524714829
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,17,0.1847328244274809
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,18,0.18275862068965518
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,19,0.1794230769230769
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,20,0.18223938223938224
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,21,0.19343629343629345
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,22,0.19440154440154442
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,23,0.19224806201550387
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,24,0.19011627906976744
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,25,0.19863813229571983
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,26,0.1900390625
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,27,0.1953125
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,28,0.198828125
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,29,0.19627450980392155
ANGERS SAINT LAUD,AEROPORT ROISSY CDG 2 TGV,30,0.040354330708661415
ANGERS SAINT LAUD,CHAMPAGNE ARDENNE TGV,0,0.40150375939849625
ANGERS SAINT LAUD,CHAMPAGNE ARDENNE TGV,1,0.42612781954887213
ANGERS SAINT LAUD,CHAMPAGNE ARDENNE TGV,2,0.4256554307116105
ANGERS SAINT LAUD,CHAMPAGNE ARDENNE TGV,3,0.435634328358209
ANGERS SAINT LAUD,CHAMPAGNE ARDENNE TGV,4,0.3029850746268657
ANGERS SAINT LAUD,CHAMPAGNE ARDENNE TGV,5,0.305410447761194
ANGERS SAINT LAUD,CHAMPAGNE ARDENNE TGV,6,0.31082089552238806
ANGERS SAINT LAUD,CHAMPAGNE ARDENNE TGV,7,0.3188432835820896
ANGERS SAINT LAUD,CHAMPAGNE ARDENNE TGV,8,0.33202247191011236
ANGERS SAINT LAUD,CHAMPAGNE ARDENNE TGV,9,0.32471910112359553
ANGERS SAINT LAUD,CHAMPAGNE ARDENNE TGV,10,0.32865168539325845
ANGERS SAINT LAUD,CHAMPAGNE ARDENNE TGV,11,0.32161654135338347
ANGERS SAINT LAUD,CHAMPAGNE ARDENNE TGV,12,0.09943396226415095
ANGERS SAINT LAUD,CHAMPAGNE ARDENNE TGV,13,0.10454545454545455
ANGERS SAINT LAUD,CHAMPAGNE ARDENNE TGV,14,0.10018939393939394
ANGERS SAINT LAUD,CHAMPAGNE ARDENNE TGV,15,0.09450757575757575
ANGERS SAINT LAUD,CHAMPAGNE ARDENNE TGV,16,0.09543726235741445
ANGERS SAINT LAUD,CHAMPAGNE ARDENNE TGV,17,0.09885496183206106
ANGERS SAINT LAUD,CHAMPAGNE ARDENNE TGV,18,0.09731800766283524
ANGERS SAINT LAUD,CHAMPAGNE ARDENNE TGV,19,0.0975
ANGERS SAINT LAUD,CHAMPAGNE ARDENNE TGV,20,0.10250965250965251
ANGERS SAINT LAUD,CHAMPAGNE ARDENNE TGV,21,0.10444015444015445
ANGERS SAINT LAUD,CHAMPAGNE ARDENNE TGV,22,0.10212355212355212
ANGERS SAINT LAUD,CHAMPAGNE ARDENNE TGV,23,0.10174418604651163
ANGERS SAINT LAUD,CHAMPAGNE ARDENNE TGV,24,0.10116279069767442
ANGERS SAINT LAUD,CHAMPAGNE ARDENNE TGV,25,0.10214007782101167
ANGERS SAINT LAUD,CHAMPAGNE ARDENNE TGV,26,0.097265625
ANGERS SAINT LAUD,CHAMPAGNE ARDENNE TGV,27,0.1033203125
ANGERS SAINT LAUD,CHAMPAGNE ARDENNE TGV,28,0.1087890625
ANGERS SAINT LAUD,CHAMPAGNE ARDENNE TGV,29,0.11588235294117648
ANGERS SAINT LAUD,CHAMPAGNE ARDENNE TGV,30,0.02125984251968504
ANGERS SAINT LAUD,LE MANS,0,0.9364150943396227
ANGERS SAINT LAUD,LE MANS,1,0.9322641509433963
ANGERS SAINT LAUD,LE MANS,2,0.9306390977443609
ANGERS SAINT LAUD,LE MANS,3,0.9286516853932584
ANGERS SAINT LAUD,LE MANS,4,0.8801498127340824
ANGERS SAINT LAUD,LE MANS,5,0.8909774436090225
ANGERS SAINT LAUD,LE MANS,6,0.8916981132075472
ANGERS SAINT LAUD,LE MANS,7,0.8773584905660378
ANGERS SAINT LAUD,LE MANS,8,0.8609848484848486
ANGERS SAINT LAUD,LE MANS,9,0.8390151515151515
ANGERS SAINT LAUD,LE MANS,10,0.8234848484848485
ANGERS SAINT LAUD,LE MANS,11,0.8038022813688214
ANGERS SAINT LAUD,LE MANS,12,0.4597328244274809
ANGERS SAINT LAUD,LE MANS,13,0.45287356321839084
ANGERS SAINT LAUD,LE MANS,14,0.4174329501915709
ANGERS SAINT LAUD,LE MANS,15,0.4053639846743295
ANGERS SAINT LAUD,LE MANS,16,0.3930769230769231
ANGERS SAINT LAUD,LE MANS,17,0.39227799227799226
ANGERS SAINT LAUD,LE MANS,18,0.3794573643410853
ANGERS SAINT LAUD,LE MANS,19,0.37996108949416346
ANGERS SAINT LAUD,LE MANS,20,0.3814453125
ANGERS SAINT LAUD,LE MANS,21,0.3736328125
ANGERS SAINT LAUD,LE MANS,22,0.355078125
ANGERS SAINT LAUD,LE MANS,23,0.34568627450980394
ANGERS SAINT LAUD,LE MANS,24,0.34137254901960784
ANGERS SAINT LAUD,LE MANS,25,0.3391732283464567
ANGERS SAINT LAUD,LE MANS,26,0.31798418972332015
ANGERS SAINT LAUD,LE MANS,27,0.3190476190476191
ANGERS SAINT LAUD,LE MANS,28,0.31091269841269836
ANGERS SAINT LAUD,LE MANS,29,0.3081673306772908
ANGERS SAINT LAUD,LE MANS,30,0.06459999999999999
ANGERS SAINT LAUD,LORRAINE TGV,0,0.41146616541353387
ANGERS SAINT LAUD,LORRAINE TGV,1,0.42988721804511276
ANGERS SAINT LAUD,LORRAINE TGV,2,0.4288389513108614
ANGERS SAINT LAUD,LORRAINE TGV,3,0.43283582089552236
ANGERS SAINT LAUD,LORRAINE TGV,4,0.3076492537313433
ANGERS SAINT LAUD,LORRAINE TGV,5,0.3069029850746269
ANGERS SAINT LAUD,LORRAINE TGV,6,0.31100746268656715
ANGERS SAINT LAUD,LORRAINE TGV,7,0.3186567164179105
ANGERS SAINT LAUD,LORRAINE TGV,8,0.3260299625468165
ANGERS SAINT LAUD,LORRAINE TGV,9,0.3209737827715356
ANGERS SAINT LAUD,LORRAINE TGV,10,0.3249063670411985
ANGERS SAINT LAUD,LORRAINE TGV,11,0.325187969924812
ANGERS SAINT LAUD,LORRAINE TGV,12,0.10132075471698114
ANGERS SAINT LAUD,LORRAINE TGV,13,0.1053030303030303
ANGERS SAINT LAUD,LORRAINE TGV,14,0.09734848484848485
ANGERS SAINT LAUD,LORRAINE TGV,15,0.0928030303030303
ANGERS SAINT LAUD,LORRAINE TGV,16,0.09581749049429658
ANGERS SAINT LAUD,LORRAINE TGV,17,0.09866412213740458
ANGERS SAINT LAUD,LORRAINE TGV,18,0.09846743295019157
ANGERS SAINT LAUD,LORRAINE TGV,19,0.09884615384615385
ANGERS SAINT LAUD,LORRAINE TGV,20,0.10250965250965251
ANGERS SAINT LAUD,LORRAINE TGV,21,0.10463320463320464
ANGERS SAINT LAUD,LORRAINE TGV,22,0.10250965250965251
ANGERS SAINT LAUD,LORRAINE TGV,23,0.10174418604651163
ANGERS SAINT LAUD,LORRAINE TGV,24,0.10058139534883721
ANGERS SAINT LAUD,LORRAINE TGV,25,0.10194552529182879
ANGERS SAINT LAUD,LORRAINE TGV,26,0.0958984375
ANGERS SAINT LAUD,LORRAINE TGV,27,0.105078125
ANGERS SAINT LAUD,LORRAINE TGV,28,0.1072265625
ANGERS SAINT LAUD,LORRAINE TGV,29,0.11490196078431372
ANGERS SAINT LAUD,LORRAINE TGV,30,0.019881889763779526
ANGERS SAINT LAUD,MARNE LA VALLEE CHESSY,0,0.5295112781954887
ANGERS SAINT LAUD,MARNE LA VALLEE CHESSY,1,0.5509398496240602
ANGERS SAINT LAUD,MARNE LA VALLEE CHESSY,2,0.5468164794007491
ANGERS SAINT LAUD,MARNE LA VALLEE CHESSY,3,0.5533582089552239
ANGERS SAINT LAUD,MARNE LA VALLEE CHESSY,4,0.38283582089552237
ANGERS SAINT LAUD,MARNE LA VALLEE CHESSY,5,0.3904850746268657
ANGERS SAINT LAUD,MARNE LA VALLEE CHESSY,6,0.3882462686567164
ANGERS SAINT LAUD,MARNE LA VALLEE CHESSY,7,0.37779850746268656
ANGERS SAINT LAUD,MARNE LA VALLEE CHESSY,8,0.37546816479400746
ANGERS SAINT LAUD,MARNE LA VALLEE CHESSY,9,0.37209737827715356
ANGERS SAINT LAUD,MARNE LA VALLEE CHESSY,10,0.3659176029962547
