origine,destination,delta_days,proba_open
AIME LA PLAGNE,BOURG SAINT MAURICE,0,0.585
AIME LA PLAGNE,BOURG SAINT MAURICE,1,0.585
AIME LA PLAGNE,BOURG SAINT MAURICE,2,0.59
AIME LA PLAGNE,BOURG SAINT MAURICE,3,0.585
AIME LA PLAGNE,BOURG SAINT MAURICE,4,0.41
AIME LA PLAGNE,BOURG SAINT MAURICE,5,0.395
AIME LA PLAGNE,BOURG SAINT MAURICE,6,0.395
AIME LA PLAGNE,BOURG SAINT MAURICE,7,0.395
AIME LA PLAGNE,BOURG SAINT MAURICE,8,0.395
AIME LA PLAGNE,BOURG SAINT MAURICE,9,0.4
AIME LA PLAGNE,BOURG SAINT MAURICE,10,0.31
AIME LA PLAGNE,BOURG SAINT MAURICE,11,0.23499999999999996
AIME LA PLAGNE,BOURG SAINT MAURICE,12,0.11000000000000001
AIME LA PLAGNE,BOURG SAINT MAURICE,13,0.1
AIME LA PLAGNE,BOURG SAINT MAURICE,14,0.1
AIME LA PLAGNE,BOURG SAINT MAURICE,15,0.1
AIME LA PLAGNE,BOURG SAINT MAURICE,16,0.1
AIME LA PLAGNE,BOURG SAINT MAURICE,17,0.11000000000000001
AIME LA PLAGNE,BOURG SAINT MAURICE,18,0.16999999999999998
AIME LA PLAGNE,BOURG SAINT MAURICE,19,0.2
AIME LA PLAGNE,BOURG SAINT MAURICE,20,0.2
AIME LA PLAGNE,BOURG SAINT MAURICE,21,0.2
AIME LA PLAGNE,BOURG SAINT MAURICE,22,0.205
AIME LA PLAGNE,BOURG SAINT MAURICE,23,0.2
AIME LA PLAGNE,BOURG SAINT MAURICE,24,0.2
AIME LA PLAGNE,BOURG SAINT MAURICE,25,0.2
AIME LA PLAGNE,BOURG SAINT MAURICE,26,0.2
AIME LA PLAGNE,BOURG SAINT MAURICE,27,0.185
AIME LA PLAGNE,BOURG SAINT MAURICE,28,0.125
AIME LA PLAGNE,BOURG SAINT MAURICE,29,0.025
AIME LA PLAGNE,BOURG SAINT MAURICE,30,0.0
AIME LA PLAGNE,LANDRY,0,0.6
AIME LA PLAGNE,LANDRY,1,0.585
AIME LA PLAGNE,LANDRY,2,0.595
AIME LA PLAGNE,LANDRY,3,0.585
AIME LA PLAGNE,LANDRY,4,0.4
AIME LA PLAGNE,LANDRY,5,0.4
AIME LA PLAGNE,LANDRY,6,0.4
AIME LA PLAGNE,LANDRY,7,0.4
AIME LA PLAGNE,LANDRY,8,0.4
AIME LA PLAGNE,LANDRY,9,0.40499999999999997
AIME LA PLAGNE,LANDRY,10,0.27999999999999997
AIME LA PLAGNE,LANDRY,11,0.225
AIME LA PLAGNE,LANDRY,12,0.10500000000000001
AIME LA PLAGNE,LANDRY,13,0.1
AIME LA PLAGNE,LANDRY,14,0.1
AIME LA PLAGNE,LANDRY,15,0.1
AIME LA PLAGNE,LANDRY,16,0.1
AIME LA PLAGNE,LANDRY,17,0.12
AIME LA PLAGNE,LANDRY,18,0.18
AIME LA PLAGNE,LANDRY,19,0.195
AIME LA PLAGNE,LANDRY,20,0.2
AIME LA PLAGNE,LANDRY,21,0.2
AIME LA PLAGNE,LANDRY,22,0.2
AIME LA PLAGNE,LANDRY,23,0.2
AIME LA PLAGNE,LANDRY,24,0.2
AIME LA PLAGNE,LANDRY,25,0.195
AIME LA PLAGNE,LANDRY,26,0.19
AIME LA PLAGNE,LANDRY,27,0.16
AIME LA PLAGNE,LANDRY,28,0.10500000000000001
AIME LA PLAGNE,LANDRY,29,0.015
AIME LA PLAGNE,LANDRY,30,0.0
AIX EN PROVENCE TGV,AVIGNON TGV,0,0.7941176470588235
AIX EN PROVENCE TGV,AVIGNON TGV,1,0.7715686274509804
AIX EN PROVENCE TGV,AVIGNON TGV,2,0.8098039215686273
