origine,destination,delta_days,proba_open
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,0,0.657
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,1,0.6755
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,2,0.6655
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,3,0.6255
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,4,0.642
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,5,0.636
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,6,0.64
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,7,0.52
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,8,0.517
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,9,0.526
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,10,0.5695
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,11,0.594
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,12,0.18600000000000003
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,13,0.207
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,14,0.212
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,15,0.21
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,16,0.217
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,17,0.2205
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,18,0.2305
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,19,0.233
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,20,0.2425
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,21,0.2305
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,22,0.23
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,23,0.23
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,24,0.221
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,25,0.228
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,26,0.2313131313131313
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,27,0.23214285714285715
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,28,0.238265306122449
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,29,0.24132653061224488
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,30,0.053608247422680416
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),0,0.7709999999999999
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),1,0.763
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),2,0.754
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),3,0.7475
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),4,0.759
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),5,0.7929999999999999
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),6,0.7985
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),7,0.68
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),8,0.6655
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),9,0.6745
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),10,0.7295
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),11,0.748
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),12,0.396
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),13,0.41950000000000004
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),14,0.4485
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),15,0.4465
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),16,0.4425
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),17,0.435
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),18,0.4425
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),19,0.4725
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),20,0.4985
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),21,0.537
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),22,0.516
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),23,0.511
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),24,0.5105
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),25,0.5375
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),26,0.5720000000000001
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),27,0.5965
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),28,0.6085
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),29,0.6185
AEROPORT ROISSY CDG 2 TGV,LILLE (intramuros),30,0.0595959595959596
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,0,0.648
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,1,0.6665000000000001
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,2,0.6685
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,3,0.628
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,4,0.649
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,5,0.643
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,6,0.643
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,7,0.5185
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,8,0.5125
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,9,0.526
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,10,0.564
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,11,0.5915
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,12,0.191
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,13,0.20350000000000001
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,14,0.2095
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,15,0.20800000000000002
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,16,0.218
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,17,0.218
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,18,0.22949999999999998
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,19,0.2305
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,20,0.24050000000000002
AEROPORT ROISSY CDG 2 TGV,TGV HAUTE PICARDIE,21,0.233
