origine,destination,delta_days,proba_open
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,0,0.5843253968253969
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,1,0.6077380952380953
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,2,0.6029644268774704
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,3,0.5986166007905138
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,4,0.36798418972332014
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,5,0.3757936507936508
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,6,0.3869047619047619
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,7,0.3678571428571429
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,8,0.3653386454183267
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,9,0.36560000000000004
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,10,0.36619999999999997
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,11,0.37260000000000004
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,12,0.1568273092369478
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,13,0.15060483870967742
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,14,0.14556451612903226
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,15,0.1308467741935484
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,16,0.12692307692307692
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,17,0.12926829268292683
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,18,0.1279591836734694
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,19,0.13381147540983607
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,20,0.1353909465020576
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,21,0.13491735537190083
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,22,0.1392116182572614
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,23,0.1404564315352697
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,24,0.145
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,25,0.14163179916317992
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,26,0.1415966386554622
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,27,0.13776371308016877
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,28,0.13220338983050847
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,29,0.12680851063829787
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,30,0.0274468085106383
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,0,0.12079207920792079
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,1,0.11368159203980101
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,2,0.10497512437810946
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,3,0.09850746268656717
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,4,0.04129353233830846
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,5,0.03975
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,6,0.04025
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,7,0.0455
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,8,0.03475
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,9,0.04497487437185929
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,10,0.05303030303030303
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,11,0.057323232323232325
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,12,0.012944162436548223
