origine,destination,delta_days,proba_open
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,0,0.49716417910447763
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,1,0.4644776119402985
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,2,0.4697014925373134
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,3,0.44791044776119404
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,4,0.2525373134328358
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,5,0.23865671641791045
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,6,0.2347761194029851
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,7,0.2392537313432836
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,8,0.22611940298507463
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,9,0.22686567164179106
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,10,0.21313432835820897
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,11,0.2344776119402985
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,12,0.029191616766467067
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,13,0.014221556886227544
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,14,0.013023952095808382
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,15,0.014520958083832334
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,16,0.01317365269461078
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,17,0.014264264264264264
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,18,0.017417417417417418
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,19,0.020180722891566267
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,20,0.024018126888217525
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,21,0.025
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,22,0.02803030303030303
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,23,0.025757575757575757
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,24,0.026443768996960486
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,25,0.0270516717325228
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,26,0.025152439024390245
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,27,0.030733944954128442
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,28,0.03318042813455657
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,29,0.03195718654434251
AEROPORT ROISSY CDG 2 TGV,ANGOULEME,30,0.007253086419753087
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,0,0.49208955223880596
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,1,0.4791044776119403
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,2,0.47
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,3,0.45044776119402985
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,4,0.25597014925373135
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,5,0.24447761194029852
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,6,0.23835820895522386
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,7,0.24582089552238803
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,8,0.231044776119403
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,9,0.23208955223880598
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,10,0.22119402985074627
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,11,0.23701492537313434
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,12,0.03143712574850299
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,13,0.016167664670658683
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,14,0.015718562874251496
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,15,0.01721556886227545
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,16,0.016616766467065867
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,17,0.018318318318318316
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,18,0.02132132132132132
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,19,0.02379518072289157
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,20,0.02583081570996979
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,21,0.02772727272727273
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,22,0.031212121212121215
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,23,0.028333333333333332
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,24,0.029635258358662615
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,25,0.02933130699088146
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,26,0.02774390243902439
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,27,0.03348623853211009
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,28,0.034403669724770644
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,29,0.03318042813455657
AEROPORT ROISSY CDG 2 TGV,BORDEAUX ST JEAN,30,0.008641975308641974
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,0,0.25
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,1,0.23626865671641792
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,2,0.22119402985074627
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,3,0.19955223880597014
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,4,0.07477611940298508
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,5,0.057462686567164176
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,6,0.05507462686567164
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,7,0.04358208955223881
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,8,0.041044776119402986
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,9,0.034328358208955224
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,10,0.037761194029850745
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,11,0.03388059701492537
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,12,0.012574850299401199
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,13,0.006736526946107785
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,14,0.0038922155688622755
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,15,0.0037425149700598802
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,16,0.003293413173652695
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,17,0.003453453453453453
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,18,0.003003003003003003
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,19,0.0031626506024096386
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,20,0.0033232628398791545
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,21,0.003181818181818182
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,22,0.0030303030303030303
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,23,0.003181818181818182
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,24,0.003495440729483282
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,25,0.003495440729483282
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,26,0.0039634146341463415
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,27,0.00382262996941896
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,28,0.0045871559633027525
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,29,0.004281345565749235
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,30,0.0006172839506172839
AEROPORT ROISSY CDG 2 TGV,MASSY TGV,0,0.2567692307692308
AEROPORT ROISSY CDG 2 TGV,MASSY TGV,1,0.23784615384615385
AEROPORT ROISSY CDG 2 TGV,MASSY TGV,2,0.2183076923076923
AEROPORT ROISSY CDG 2 TGV,MASSY TGV,3,0.2036923076923077
AEROPORT ROISSY CDG 2 TGV,MASSY TGV,4,0.07261538461538462
