origine,destination,delta_days,proba_open
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,0,0.4320359281437126
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,1,0.4320359281437126
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,2,0.41946107784431136
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,3,0.4050898203592815
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,4,0.24416167664670657
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,5,0.2384730538922156
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,6,0.25808383233532933
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,7,0.2402694610778443
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,8,0.23652694610778444
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,9,0.22634730538922154
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,10,0.23517964071856287
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,11,0.22634730538922154
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,12,0.055089820359281436
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,13,0.048952095808383236
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,14,0.04446107784431138
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,15,0.04281437125748503
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,16,0.039071856287425155
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,17,0.04251497005988024
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,18,0.04281437125748503
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,19,0.04311377245508982
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,20,0.04775449101796407
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,21,0.04940119760479042
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,22,0.0561377245508982
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,23,0.06092814371257486
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,24,0.058083832335329336
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,25,0.057185628742514975
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,26,0.06152694610778443
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,27,0.06676646706586827
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,28,0.06182634730538922
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,29,0.05795795795795796
AEROPORT ROISSY CDG 2 TGV,ANGERS SAINT LAUD,30,0.016767371601208458
AEROPORT ROISSY CDG 2 TGV,LAVAL,0,0.31582491582491584
AEROPORT ROISSY CDG 2 TGV,LAVAL,1,0.31565656565656564
AEROPORT ROISSY CDG 2 TGV,LAVAL,2,0.30757575757575756
AEROPORT ROISSY CDG 2 TGV,LAVAL,3,0.2639261744966443
AEROPORT ROISSY CDG 2 TGV,LAVAL,4,0.11616161616161616
AEROPORT ROISSY CDG 2 TGV,LAVAL,5,0.10336700336700337
AEROPORT ROISSY CDG 2 TGV,LAVAL,6,0.10523648648648648
AEROPORT ROISSY CDG 2 TGV,LAVAL,7,0.09169491525423729
AEROPORT ROISSY CDG 2 TGV,LAVAL,8,0.09101694915254238
AEROPORT ROISSY CDG 2 TGV,LAVAL,9,0.08885135135135136
AEROPORT ROISSY CDG 2 TGV,LAVAL,10,0.08462837837837837
AEROPORT ROISSY CDG 2 TGV,LAVAL,11,0.08547297297297297
AEROPORT ROISSY CDG 2 TGV,LAVAL,12,0.015816326530612247
AEROPORT ROISSY CDG 2 TGV,LAVAL,13,0.011394557823129252
AEROPORT ROISSY CDG 2 TGV,LAVAL,14,0.007337883959044368
AEROPORT ROISSY CDG 2 TGV,LAVAL,15,0.007388316151202749
AEROPORT ROISSY CDG 2 TGV,LAVAL,16,0.0065292096219931265
AEROPORT ROISSY CDG 2 TGV,LAVAL,17,0.008075601374570448
AEROPORT ROISSY CDG 2 TGV,LAVAL,18,0.009931506849315068
AEROPORT ROISSY CDG 2 TGV,LAVAL,19,0.013402061855670102
AEROPORT ROISSY CDG 2 TGV,LAVAL,20,0.010689655172413793
AEROPORT ROISSY CDG 2 TGV,LAVAL,21,0.01293103448275862
AEROPORT ROISSY CDG 2 TGV,LAVAL,22,0.012758620689655173
AEROPORT ROISSY CDG 2 TGV,LAVAL,23,0.011764705882352943
