origine,destination,delta_days,proba_open
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,0,0.34450000000000003
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,1,0.3555
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,2,0.348
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,3,0.3215
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,4,0.11025
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,5,0.1065
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,6,0.109
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,7,0.1125
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,8,0.1085
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,9,0.10275000000000001
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,10,0.1
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,11,0.1085
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,12,0.0055000000000000005
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,13,0.001
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,14,0.0
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,15,0.0
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,16,0.0
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,17,0.0
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,18,0.0
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,19,0.0
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,20,0.0
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,21,0.0
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,22,0.0
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,23,0.0
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,24,0.0
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,25,0.0
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,26,0.0
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,27,0.0
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,28,0.00475
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,29,0.004
AEROPORT ROISSY CDG 2 TGV,CHAMPAGNE ARDENNE TGV,30,0.001256281407035176
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,0,0.33325000000000005
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,1,0.35525
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,2,0.34700000000000003
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,3,0.31875
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,4,0.10625
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,5,0.10125
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,6,0.111
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,7,0.11625
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,8,0.10575
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,9,0.09974999999999999
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,10,0.09949999999999999
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,11,0.107
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,12,0.005
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,13,0.001
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,14,0.0
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,15,0.0
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,16,0.0
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,17,0.0
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,18,0.0
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,19,0.0
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,20,0.0
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,21,0.0
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,22,0.0
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,23,0.0
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,24,0.00025
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,25,0.0
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,26,0.0
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,27,0.0
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,28,0.0045000000000000005
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,29,0.00425
AEROPORT ROISSY CDG 2 TGV,LORRAINE TGV,30,0.0007537688442211055
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,0,0.012894736842105264
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,1,0.009736842105263158
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,2,0.011578947368421053
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,3,0.01105263157894737
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,4,0.0031746031746031746
AEROPORT ROISSY CDG 2 TGV,MARNE LA VALLEE CHESSY,5,0.0010582010582010583
