origine,destination,delta_days,proba_open
AEROPORT ROISSY CDG 2 TGV,AGDE,0,0.22681159420289856
AEROPORT ROISSY CDG 2 TGV,AGDE,1,0.20955882352941177
AEROPORT ROISSY CDG 2 TGV,AGDE,2,0.18059701492537314
AEROPORT ROISSY CDG 2 TGV,AGDE,3,0.17835820895522386
AEROPORT ROISSY CDG 2 TGV,AGDE,4,0.03208955223880597
AEROPORT ROISSY CDG 2 TGV,AGDE,5,0.050746268656716415
AEROPORT ROISSY CDG 2 TGV,AGDE,6,0.03805970149253731
AEROPORT ROISSY CDG 2 TGV,AGDE,7,0.034328358208955224
AEROPORT ROISSY CDG 2 TGV,AGDE,8,0.028787878787878786
AEROPORT ROISSY CDG 2 TGV,AGDE,9,0.02923076923076923
AEROPORT ROISSY CDG 2 TGV,AGDE,10,0.03923076923076923
AEROPORT ROISSY CDG 2 TGV,AGDE,11,0.06923076923076923
AEROPORT ROISSY CDG 2 TGV,AGDE,12,0.002307692307692308
AEROPORT ROISSY CDG 2 TGV,AGDE,13,0.002307692307692308
AEROPORT ROISSY CDG 2 TGV,AGDE,14,0.0007692307692307692
AEROPORT ROISSY CDG 2 TGV,AGDE,15,0.0
AEROPORT ROISSY CDG 2 TGV,AGDE,16,0.0
AEROPORT ROISSY CDG 2 TGV,AGDE,17,0.0
AEROPORT ROISSY CDG 2 TGV,AGDE,18,0.0
AEROPORT ROISSY CDG 2 TGV,AGDE,19,0.0
AEROPORT ROISSY CDG 2 TGV,AGDE,20,0.0
AEROPORT ROISSY CDG 2 TGV,AGDE,21,0.0
AEROPORT ROISSY CDG 2 TGV,AGDE,22,0.0
AEROPORT ROISSY CDG 2 TGV,AGDE,23,0.0
AEROPORT ROISSY CDG 2 TGV,AGDE,24,0.000819672131147541
AEROPORT ROISSY CDG 2 TGV,AGDE,25,0.000819672131147541
AEROPORT ROISSY CDG 2 TGV,AGDE,26,0.001639344262295082
AEROPORT ROISSY CDG 2 TGV,AGDE,27,0.000819672131147541
AEROPORT ROISSY CDG 2 TGV,AGDE,28,0.0
AEROPORT ROISSY CDG 2 TGV,AGDE,29,0.0
AEROPORT ROISSY CDG 2 TGV,AGDE,30,0.0
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,0,0.22000000000000003
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,1,0.2
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,2,0.205
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,3,0.11499999999999999
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,4,0.015000000000000003
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,5,0.005
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,6,0.005
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,7,0.0
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,8,0.005
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,9,0.005
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,10,0.005
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,11,0.015000000000000003
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,12,0.0
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,13,0.0
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,14,0.0
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,15,0.0
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,16,0.0
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,17,0.0
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,18,0.0
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,19,0.0
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,20,0.0
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,21,0.0
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,22,0.0
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,23,0.0
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,24,0.0
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,25,0.0
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,26,0.0
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,27,0.0
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,28,0.0
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,29,0.0
AEROPORT ROISSY CDG 2 TGV,AIME LA PLAGNE,30,0.0
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,0,0.4332635983263598
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,1,0.45188284518828453
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,2,0.4592050209205021
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,3,0.45418410041841
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,4,0.3098326359832636
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,5,0.3194560669456067
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,6,0.33368200836820083
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,7,0.3426778242677824
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,8,0.34581589958159
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,9,0.3311715481171548
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,10,0.36359832635983264
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,11,0.3610878661087866
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,12,0.1100418410041841
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,13,0.10083682008368201
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,14,0.10585774058577406
