origine,destination,delta_days,proba_open
AIX EN PROVENCE TGV,ANTIBES,0,0.37916666666666665
AIX EN PROVENCE TGV,ANTIBES,1,0.37720207253886007
AIX EN PROVENCE TGV,ANTIBES,2,0.3233160621761658
AIX EN PROVENCE TGV,ANTIBES,3,0.2961340206185567
AIX EN PROVENCE TGV,ANTIBES,4,0.10307692307692308
AIX EN PROVENCE TGV,ANTIBES,5,0.10897435897435898
AIX EN PROVENCE TGV,ANTIBES,6,0.11717948717948719
AIX EN PROVENCE TGV,ANTIBES,7,0.12959183673469388
AIX EN PROVENCE TGV,ANTIBES,8,0.12461928934010152
AIX EN PROVENCE TGV,ANTIBES,9,0.1297979797979798
AIX EN PROVENCE TGV,ANTIBES,10,0.1368686868686869
AIX EN PROVENCE TGV,ANTIBES,11,0.14772727272727273
AIX EN PROVENCE TGV,ANTIBES,12,0.10555555555555556
AIX EN PROVENCE TGV,ANTIBES,13,0.10277777777777779
AIX EN PROVENCE TGV,ANTIBES,14,0.11055276381909548
AIX EN PROVENCE TGV,ANTIBES,15,0.11439393939393938
AIX EN PROVENCE TGV,ANTIBES,16,0.1150753768844221
AIX EN PROVENCE TGV,ANTIBES,17,0.11044776119402985
AIX EN PROVENCE TGV,ANTIBES,18,0.11467661691542289
AIX EN PROVENCE TGV,ANTIBES,19,0.11574999999999999
AIX EN PROVENCE TGV,ANTIBES,20,0.11599999999999999
AIX EN PROVENCE TGV,ANTIBES,21,0.124
AIX EN PROVENCE TGV,ANTIBES,22,0.1291044776119403
AIX EN PROVENCE TGV,ANTIBES,23,0.1292079207920792
AIX EN PROVENCE TGV,ANTIBES,24,0.12955665024630542
AIX EN PROVENCE TGV,ANTIBES,25,0.13251231527093596
AIX EN PROVENCE TGV,ANTIBES,26,0.13341584158415842
AIX EN PROVENCE TGV,ANTIBES,27,0.13349753694581282
AIX EN PROVENCE TGV,ANTIBES,28,0.13935643564356434
AIX EN PROVENCE TGV,ANTIBES,29,0.1373762376237624
