origine,destination,delta_days,proba_open
AIX EN PROVENCE TGV,AVIGNON TGV,0,0.636046511627907
AIX EN PROVENCE TGV,AVIGNON TGV,1,0.6398843930635838
AIX EN PROVENCE TGV,AVIGNON TGV,2,0.619364161849711
AIX EN PROVENCE TGV,AVIGNON TGV,3,0.6402298850574712
AIX EN PROVENCE TGV,AVIGNON TGV,4,0.40086705202312134
AIX EN PROVENCE TGV,AVIGNON TGV,5,0.3645348837209302
AIX EN PROVENCE TGV,AVIGNON TGV,6,0.3804093567251462
AIX EN PROVENCE TGV,AVIGNON TGV,7,0.37251461988304096
AIX EN PROVENCE TGV,AVIGNON TGV,8,0.3853801169590644
AIX EN PROVENCE TGV,AVIGNON TGV,9,0.39473684210526316
AIX EN PROVENCE TGV,AVIGNON TGV,10,0.4
AIX EN PROVENCE TGV,AVIGNON TGV,11,0.39502923976608184
AIX EN PROVENCE TGV,AVIGNON TGV,12,0.2929411764705882
AIX EN PROVENCE TGV,AVIGNON TGV,13,0.278698224852071
AIX EN PROVENCE TGV,AVIGNON TGV,14,0.2779761904761905
AIX EN PROVENCE TGV,AVIGNON TGV,15,0.28214285714285714
AIX EN PROVENCE TGV,AVIGNON TGV,16,0.2838323353293413
AIX EN PROVENCE TGV,AVIGNON TGV,17,0.28660714285714284
AIX EN PROVENCE TGV,AVIGNON TGV,18,0.27395209580838326
AIX EN PROVENCE TGV,AVIGNON TGV,19,0.261144578313253
AIX EN PROVENCE TGV,AVIGNON TGV,20,0.24212121212121213
AIX EN PROVENCE TGV,AVIGNON TGV,21,0.23902439024390246
AIX EN PROVENCE TGV,AVIGNON TGV,22,0.24207317073170734
AIX EN PROVENCE TGV,AVIGNON TGV,23,0.2457055214723926
AIX EN PROVENCE TGV,AVIGNON TGV,24,0.2388888888888889
AIX EN PROVENCE TGV,AVIGNON TGV,25,0.23850931677018633
AIX EN PROVENCE TGV,AVIGNON TGV,26,0.22749999999999998
AIX EN PROVENCE TGV,AVIGNON TGV,27,0.2320754716981132
AIX EN PROVENCE TGV,AVIGNON TGV,28,0.23354430379746835
AIX EN PROVENCE TGV,AVIGNON TGV,29,0.22658227848101264
AIX EN PROVENCE TGV,AVIGNON TGV,30,0.03407643312101911
AIX EN PROVENCE TGV,BEAUNE,0,0.4633333333333333
AIX EN PROVENCE TGV,BEAUNE,1,0.5447619047619048
AIX EN PROVENCE TGV,BEAUNE,2,0.5701923076923077
AIX EN PROVENCE TGV,BEAUNE,3,0.5740384615384616
AIX EN PROVENCE TGV,BEAUNE,4,0.20432692307692307
AIX EN PROVENCE TGV,BEAUNE,5,0.21165048543689322
AIX EN PROVENCE TGV,BEAUNE,6,0.22598039215686275
AIX EN PROVENCE TGV,BEAUNE,7,0.21911764705882356
AIX EN PROVENCE TGV,BEAUNE,8,0.2161764705882353
AIX EN PROVENCE TGV,BEAUNE,9,0.20147058823529412
AIX EN PROVENCE TGV,BEAUNE,10,0.20686274509803923
AIX EN PROVENCE TGV,BEAUNE,11,0.20490196078431372
AIX EN PROVENCE TGV,BEAUNE,12,0.21485148514851485
AIX EN PROVENCE TGV,BEAUNE,13,0.228
