origine,destination,delta_days,proba_open
AEROPORT ROISSY CDG 2 TGV,ARRAS,0,0.6525454545454545
AEROPORT ROISSY CDG 2 TGV,ARRAS,1,0.636
AEROPORT ROISSY CDG 2 TGV,ARRAS,2,0.6487272727272727
AEROPORT ROISSY CDG 2 TGV,ARRAS,3,0.656
AEROPORT ROISSY CDG 2 TGV,ARRAS,4,0.5398181818181818
AEROPORT ROISSY CDG 2 TGV,ARRAS,5,0.5289090909090909
AEROPORT ROISSY CDG 2 TGV,ARRAS,6,0.5378181818181819
AEROPORT ROISSY CDG 2 TGV,ARRAS,7,0.5263636363636364
AEROPORT ROISSY CDG 2 TGV,ARRAS,8,0.5192727272727273
AEROPORT ROISSY CDG 2 TGV,ARRAS,9,0.5279999999999999
AEROPORT ROISSY CDG 2 TGV,ARRAS,10,0.5279197080291971
AEROPORT ROISSY CDG 2 TGV,ARRAS,11,0.5170329670329671
AEROPORT ROISSY CDG 2 TGV,ARRAS,12,0.3431985294117647
AEROPORT ROISSY CDG 2 TGV,ARRAS,13,0.3400369003690037
AEROPORT ROISSY CDG 2 TGV,ARRAS,14,0.33653136531365313
AEROPORT ROISSY CDG 2 TGV,ARRAS,15,0.3322878228782288
AEROPORT ROISSY CDG 2 TGV,ARRAS,16,0.3306273062730627
AEROPORT ROISSY CDG 2 TGV,ARRAS,17,0.33111111111111113
AEROPORT ROISSY CDG 2 TGV,ARRAS,18,0.33178438661710036
AEROPORT ROISSY CDG 2 TGV,ARRAS,19,0.33227611940298507
AEROPORT ROISSY CDG 2 TGV,ARRAS,20,0.3338951310861423
AEROPORT ROISSY CDG 2 TGV,ARRAS,21,0.33646616541353386
AEROPORT ROISSY CDG 2 TGV,ARRAS,22,0.3326415094339623
AEROPORT ROISSY CDG 2 TGV,ARRAS,23,0.32547169811320753
AEROPORT ROISSY CDG 2 TGV,ARRAS,24,0.3429924242424242
AEROPORT ROISSY CDG 2 TGV,ARRAS,25,0.34429657794676805
AEROPORT ROISSY CDG 2 TGV,ARRAS,26,0.34446564885496184
AEROPORT ROISSY CDG 2 TGV,ARRAS,27,0.34157088122605367
AEROPORT ROISSY CDG 2 TGV,ARRAS,28,0.339272030651341
AEROPORT ROISSY CDG 2 TGV,ARRAS,29,0.3005747126436782
AEROPORT ROISSY CDG 2 TGV,ARRAS,30,0.04272030651340996
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,0,0.7182310469314079
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,1,0.7344765342960289
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,2,0.7256317689530686
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,3,0.7185920577617328
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,4,0.5848375451263538
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,5,0.5602888086642599
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,6,0.5770758122743682
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,7,0.5342960288808665
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,8,0.5229241877256318
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,9,0.5144404332129964
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,10,0.5048736462093862
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,11,0.5126353790613718
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,12,0.3891696750902527
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,13,0.3837545126353791
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,14,0.37292418772563174
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,15,0.3711191335740072
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,16,0.3799638989169675
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,17,0.390072202166065
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,18,0.3837545126353791
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,19,0.36877256317689533
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,20,0.35234657039711187
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,21,0.3415162454873646
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,22,0.3456678700361011
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,23,0.3530685920577617
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,24,0.3592057761732852
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,25,0.3601083032490975
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,26,0.36570397111913355
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,27,0.36877256317689533
AEROPORT ROISSY CDG 2 TGV,BRUXELLES MIDI,28,0.3743682310469314
