origine,destination,delta_days,proba_open
AIME LA PLAGNE,ALBERTVILLE,22,0.0
AIME LA PLAGNE,ALBERTVILLE,23,0.0
AIME LA PLAGNE,ALBERTVILLE,24,0.0
AIME LA PLAGNE,ALBERTVILLE,25,0.0
AIME LA PLAGNE,ALBERTVILLE,26,0.0
AIME LA PLAGNE,ALBERTVILLE,27,0.0
AIME LA PLAGNE,ALBERTVILLE,28,0.0
AIME LA PLAGNE,ALBERTVILLE,29,0.0
AIME LA PLAGNE,ALBERTVILLE,30,0.0
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,22,0.0
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,23,0.0
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,24,0.0
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,25,0.0
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,26,0.0
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,27,0.0
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,28,0.0
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,29,0.0
AIME LA PLAGNE,CHAMBERY CHALLES LES EAUX,30,0.0
AIME LA PLAGNE,LE HAVRE,22,0.1
AIME LA PLAGNE,LE HAVRE,23,0.05
AIME LA PLAGNE,LE HAVRE,24,0.0
AIME LA PLAGNE,LE HAVRE,25,0.0
AIME LA PLAGNE,LE HAVRE,26,0.0
AIME LA PLAGNE,LE HAVRE,27,0.05
AIME LA PLAGNE,LE HAVRE,28,0.05
AIME LA PLAGNE,LE HAVRE,29,0.025
AIME LA PLAGNE,LE HAVRE,30,0.0
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,22,0.0
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,23,0.0
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,24,0.0
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,25,0.0
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,26,0.0
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,27,0.0
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,28,0.0
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,29,0.025
AIME LA PLAGNE,MOUTIERS SALINS BRIDES LES BAINS,30,0.0
AIME LA PLAGNE,ROUEN RIVE DROITE,22,0.0
AIME LA PLAGNE,ROUEN RIVE DROITE,23,0.0
AIME LA PLAGNE,ROUEN RIVE DROITE,24,0.0
AIME LA PLAGNE,ROUEN RIVE DROITE,25,0.0
AIME LA PLAGNE,ROUEN RIVE DROITE,26,0.0
AIME LA PLAGNE,ROUEN RIVE DROITE,27,0.0
AIME LA PLAGNE,ROUEN RIVE DROITE,28,0.0
AIME LA PLAGNE,ROUEN RIVE DROITE,29,0.0
AIME LA PLAGNE,ROUEN RIVE DROITE,30,0.0
AIME LA PLAGNE,VERSAILLES CHANTIERS,22,0.0
AIME LA PLAGNE,VERSAILLES CHANTIERS,23,0.0
AIME LA PLAGNE,VERSAILLES CHANTIERS,24,0.0
AIME LA PLAGNE,VERSAILLES CHANTIERS,25,0.0
AIME LA PLAGNE,VERSAILLES CHANTIERS,26,0.0
AIME LA PLAGNE,VERSAILLES CHANTIERS,27,0.0
AIME LA PLAGNE,VERSAILLES CHANTIERS,28,0.0
