origine,destination,delta_days,proba_open
ARVANT,BRASSAC LES MINES STE FLORINE,0,0.9988764044943821
ARVANT,BRASSAC LES MINES STE FLORINE,1,0.9887640449438202
ARVANT,BRASSAC LES MINES STE FLORINE,2,0.9769662921348314
ARVANT,BRASSAC LES MINES STE FLORINE,3,0.9646067415730336
ARVANT,BRASSAC LES MINES STE FLORINE,4,0.006179775280898877
ARVANT,BRASSAC LES MINES STE FLORINE,5,0.0016853932584269665
ARVANT,BRASSAC LES MINES STE FLORINE,6,0.0
ARVANT,BRASSAC LES MINES STE FLORINE,7,0.0
ARVANT,BRASSAC LES MINES STE FLORINE,8,0.0
ARVANT,BRASSAC LES MINES STE FLORINE,9,0.0
ARVANT,BRASSAC LES MINES STE FLORINE,10,0.0
ARVANT,BRASSAC LES MINES STE FLORINE,11,0.0
ARVANT,BRASSAC LES MINES STE FLORINE,12,0.0
ARVANT,BRASSAC LES MINES STE FLORINE,13,0.0
ARVANT,BRASSAC LES MINES STE FLORINE,14,0.0
ARVANT,BRASSAC LES MINES STE FLORINE,15,0.0
ARVANT,BRASSAC LES MINES STE FLORINE,16,0.0
ARVANT,BRASSAC LES MINES STE FLORINE,17,0.0
ARVANT,BRASSAC LES MINES STE FLORINE,18,0.0
ARVANT,BRASSAC LES MINES STE FLORINE,19,0.0
ARVANT,BRASSAC LES MINES STE FLORINE,20,0.0
ARVANT,BRASSAC LES MINES STE FLORINE,21,0.0
ARVANT,BRASSAC LES MINES STE FLORINE,22,0.0
ARVANT,BRASSAC LES MINES STE FLORINE,23,0.0
ARVANT,BRASSAC LES MINES STE FLORINE,24,0.0
ARVANT,BRASSAC LES MINES STE FLORINE,25,0.0
ARVANT,BRASSAC LES MINES STE FLORINE,26,0.0
ARVANT,BRASSAC LES MINES STE FLORINE,27,0.0
ARVANT,BRASSAC LES MINES STE FLORINE,28,0.0
ARVANT,BRASSAC LES MINES STE FLORINE,29,0.0
ARVANT,BRASSAC LES MINES STE FLORINE,30,0.0
ARVANT,CLERMONT FERRAND,0,0.9971910112359551
ARVANT,CLERMONT FERRAND,1,0.9876404494382023
ARVANT,CLERMONT FERRAND,2,0.9764044943820225
ARVANT,CLERMONT FERRAND,3,0.9646067415730336
ARVANT,CLERMONT FERRAND,4,0.0056179775280898875
ARVANT,CLERMONT FERRAND,5,0.0016853932584269665
ARVANT,CLERMONT FERRAND,6,0.0
ARVANT,CLERMONT FERRAND,7,0.0
ARVANT,CLERMONT FERRAND,8,0.0
ARVANT,CLERMONT FERRAND,9,0.0
ARVANT,CLERMONT FERRAND,10,0.0
ARVANT,CLERMONT FERRAND,11,0.0
ARVANT,CLERMONT FERRAND,12,0.0
ARVANT,CLERMONT FERRAND,13,0.0
ARVANT,CLERMONT FERRAND,14,0.0
ARVANT,CLERMONT FERRAND,15,0.0
ARVANT,CLERMONT FERRAND,16,0.0
ARVANT,CLERMONT FERRAND,17,0.0
ARVANT,CLERMONT FERRAND,18,0.0
ARVANT,CLERMONT FERRAND,19,0.0
ARVANT,CLERMONT FERRAND,20,0.0
ARVANT,CLERMONT FERRAND,21,0.0
ARVANT,CLERMONT FERRAND,22,0.0
ARVANT,CLERMONT FERRAND,23,0.0
ARVANT,CLERMONT FERRAND,24,0.0
ARVANT,CLERMONT FERRAND,25,0.0
ARVANT,CLERMONT FERRAND,26,0.0
ARVANT,CLERMONT FERRAND,27,0.0
ARVANT,CLERMONT FERRAND,28,0.0
ARVANT,CLERMONT FERRAND,29,0.0
ARVANT,CLERMONT FERRAND,30,0.0
ARVANT,ISSOIRE,0,0.998314606741573
ARVANT,ISSOIRE,1,0.9887640449438202
ARVANT,ISSOIRE,2,0.9775280898876404
ARVANT,ISSOIRE,3,0.9651685393258428
ARVANT,ISSOIRE,4,0.007865168539325843
ARVANT,ISSOIRE,5,0.0
ARVANT,ISSOIRE,6,0.0
ARVANT,ISSOIRE,7,0.0
ARVANT,ISSOIRE,8,0.0
ARVANT,ISSOIRE,9,0.0
ARVANT,ISSOIRE,10,0.0
ARVANT,ISSOIRE,11,0.0
ARVANT,ISSOIRE,12,0.0
ARVANT,ISSOIRE,13,0.0
ARVANT,ISSOIRE,14,0.0
ARVANT,ISSOIRE,15,0.0
ARVANT,ISSOIRE,16,0.0
ARVANT,ISSOIRE,17,0.0
ARVANT,ISSOIRE,18,0.0
ARVANT,ISSOIRE,19,0.0
ARVANT,ISSOIRE,20,0.0
ARVANT,ISSOIRE,21,0.0
ARVANT,ISSOIRE,22,0.0
ARVANT,ISSOIRE,23,0.0
ARVANT,ISSOIRE,24,0.0
ARVANT,ISSOIRE,25,0.0
ARVANT,ISSOIRE,26,0.0
ARVANT,ISSOIRE,27,0.0
ARVANT,ISSOIRE,28,0.0
ARVANT,ISSOIRE,29,0.0
ARVANT,ISSOIRE,30,0.0
AUMONT AUBRAC,ARVANT,0,0.998314606741573
AUMONT AUBRAC,ARVANT,1,0.9876404494382023
AUMONT AUBRAC,ARVANT,2,0.9764044943820225
AUMONT AUBRAC,ARVANT,3,0.9640449438202247
AUMONT AUBRAC,ARVANT,4,0.003932584269662922
AUMONT AUBRAC,ARVANT,5,0.0005617977528089888
AUMONT AUBRAC,ARVANT,6,0.0
AUMONT AUBRAC,ARVANT,7,0.0
AUMONT AUBRAC,ARVANT,8,0.0
AUMONT AUBRAC,ARVANT,9,0.0
AUMONT AUBRAC,ARVANT,10,0.0
AUMONT AUBRAC,ARVANT,11,0.0
AUMONT AUBRAC,ARVANT,12,0.0
AUMONT AUBRAC,ARVANT,13,0.0
AUMONT AUBRAC,ARVANT,14,0.0
AUMONT AUBRAC,ARVANT,15,0.0
AUMONT AUBRAC,ARVANT,16,0.0
AUMONT AUBRAC,ARVANT,17,0.0
AUMONT AUBRAC,ARVANT,18,0.0
AUMONT AUBRAC,ARVANT,19,0.0
AUMONT AUBRAC,ARVANT,20,0.0
AUMONT AUBRAC,ARVANT,21,0.0
AUMONT AUBRAC,ARVANT,22,0.0
AUMONT AUBRAC,ARVANT,23,0.0
AUMONT AUBRAC,ARVANT,24,0.0
AUMONT AUBRAC,ARVANT,25,0.0
AUMONT AUBRAC,ARVANT,26,0.0
AUMONT AUBRAC,ARVANT,27,0.0
AUMONT AUBRAC,ARVANT,28,0.0
AUMONT AUBRAC,ARVANT,29,0.0
AUMONT AUBRAC,ARVANT,30,0.0
AUMONT AUBRAC,BRASSAC LES MINES STE FLORINE,0,0.998314606741573
AUMONT AUBRAC,BRASSAC LES MINES STE FLORINE,1,0.9870786516853932
AUMONT AUBRAC,BRASSAC LES MINES STE FLORINE,2,0.9769662921348314
AUMONT AUBRAC,BRASSAC LES MINES STE FLORINE,3,0.9629213483146067
AUMONT AUBRAC,BRASSAC LES MINES STE FLORINE,4,0.010674157303370787
AUMONT AUBRAC,BRASSAC LES MINES STE FLORINE,5,0.0011235955056179776
AUMONT AUBRAC,BRASSAC LES MINES STE FLORINE,6,0.0
AUMONT AUBRAC,BRASSAC LES MINES STE FLORINE,7,0.0
AUMONT AUBRAC,BRASSAC LES MINES STE FLORINE,8,0.0
AUMONT AUBRAC,BRASSAC LES MINES STE FLORINE,9,0.0
AUMONT AUBRAC,BRASSAC LES MINES STE FLORINE,10,0.0
AUMONT AUBRAC,BRASSAC LES MINES STE FLORINE,11,0.0
AUMONT AUBRAC,BRASSAC LES MINES STE FLORINE,12,0.0
AUMONT AUBRAC,BRASSAC LES MINES STE FLORINE,13,0.0
AUMONT AUBRAC,BRASSAC LES MINES STE FLORINE,14,0.0
AUMONT AUBRAC,BRASSAC LES MINES STE FLORINE,15,0.0
AUMONT AUBRAC,BRASSAC LES MINES STE FLORINE,16,0.0
AUMONT AUBRAC,BRASSAC LES MINES STE FLORINE,17,0.0
AUMONT AUBRAC,BRASSAC LES MINES STE FLORINE,18,0.0
AUMONT AUBRAC,BRASSAC LES MINES STE FLORINE,19,0.0
AUMONT AUBRAC,BRASSAC LES MINES STE FLORINE,20,0.0
AUMONT AUBRAC,BRASSAC LES MINES STE FLORINE,21,0.0
AUMONT AUBRAC,BRASSAC LES MINES STE FLORINE,22,0.0
AUMONT AUBRAC,BRASSAC LES MINES STE FLORINE,23,0.0
AUMONT AUBRAC,BRASSAC LES MINES STE FLORINE,24,0.0
AUMONT AUBRAC,BRASSAC LES MINES STE FLORINE,25,0.0
AUMONT AUBRAC,BRASSAC LES MINES STE FLORINE,26,0.0
AUMONT AUBRAC,BRASSAC LES MINES STE FLORINE,27,0.0
AUMONT AUBRAC,BRASSAC LES MINES STE FLORINE,28,0.0
AUMONT AUBRAC,BRASSAC LES MINES STE FLORINE,29,0.0
AUMONT AUBRAC,BRASSAC LES MINES STE FLORINE,30,0.0
AUMONT AUBRAC,CLERMONT FERRAND,0,0.999438202247191
AUMONT AUBRAC,CLERMONT FERRAND,1,0.9882022471910112
AUMONT AUBRAC,CLERMONT FERRAND,2,0.9780898876404494
AUMONT AUBRAC,CLERMONT FERRAND,3,0.9651685393258428
AUMONT AUBRAC,CLERMONT FERRAND,4,0.007303370786516854
AUMONT AUBRAC,CLERMONT FERRAND,5,0.0011235955056179776
AUMONT AUBRAC,CLERMONT FERRAND,6,0.0
AUMONT AUBRAC,CLERMONT FERRAND,7,0.0
AUMONT AUBRAC,CLERMONT FERRAND,8,0.0
AUMONT AUBRAC,CLERMONT FERRAND,9,0.0
AUMONT AUBRAC,CLERMONT FERRAND,10,0.0
AUMONT AUBRAC,CLERMONT FERRAND,11,0.0
AUMONT AUBRAC,CLERMONT FERRAND,12,0.0
AUMONT AUBRAC,CLERMONT FERRAND,13,0.0
AUMONT AUBRAC,CLERMONT FERRAND,14,0.0
AUMONT AUBRAC,CLERMONT FERRAND,15,0.0
AUMONT AUBRAC,CLERMONT FERRAND,16,0.0
AUMONT AUBRAC,CLERMONT FERRAND,17,0.0
AUMONT AUBRAC,CLERMONT FERRAND,18,0.0
AUMONT AUBRAC,CLERMONT FERRAND,19,0.0
AUMONT AUBRAC,CLERMONT FERRAND,20,0.0
AUMONT AUBRAC,CLERMONT FERRAND,21,0.0
AUMONT AUBRAC,CLERMONT FERRAND,22,0.0
AUMONT AUBRAC,CLERMONT FERRAND,23,0.0
AUMONT AUBRAC,CLERMONT FERRAND,24,0.0
AUMONT AUBRAC,CLERMONT FERRAND,25,0.0
AUMONT AUBRAC,CLERMONT FERRAND,26,0.0
AUMONT AUBRAC,CLERMONT FERRAND,27,0.0
AUMONT AUBRAC,CLERMONT FERRAND,28,0.0
AUMONT AUBRAC,CLERMONT FERRAND,29,0.0
AUMONT AUBRAC,CLERMONT FERRAND,30,0.0
AUMONT AUBRAC,ISSOIRE,0,0.9988764044943821
AUMONT AUBRAC,ISSOIRE,1,0.9876404494382023
AUMONT AUBRAC,ISSOIRE,2,0.9775280898876404
AUMONT AUBRAC,ISSOIRE,3,0.9617977528089887
AUMONT AUBRAC,ISSOIRE,4,0.0028089887640449437
AUMONT AUBRAC,ISSOIRE,5,0.0
AUMONT AUBRAC,ISSOIRE,6,0.0
AUMONT AUBRAC,ISSOIRE,7,0.0
AUMONT AUBRAC,ISSOIRE,8,0.0
AUMONT AUBRAC,ISSOIRE,9,0.0
AUMONT AUBRAC,ISSOIRE,10,0.0
AUMONT AUBRAC,ISSOIRE,11,0.0
AUMONT AUBRAC,ISSOIRE,12,0.0
AUMONT AUBRAC,ISSOIRE,13,0.0
AUMONT AUBRAC,ISSOIRE,14,0.0
AUMONT AUBRAC,ISSOIRE,15,0.0
AUMONT AUBRAC,ISSOIRE,16,0.0
AUMONT AUBRAC,ISSOIRE,17,0.0
AUMONT AUBRAC,ISSOIRE,18,0.0
AUMONT AUBRAC,ISSOIRE,19,0.0
AUMONT AUBRAC,ISSOIRE,20,0.0
AUMONT AUBRAC,ISSOIRE,21,0.0
AUMONT AUBRAC,ISSOIRE,22,0.0
AUMONT AUBRAC,ISSOIRE,23,0.0
AUMONT AUBRAC,ISSOIRE,24,0.0
AUMONT AUBRAC,ISSOIRE,25,0.0
AUMONT AUBRAC,ISSOIRE,26,0.0
AUMONT AUBRAC,ISSOIRE,27,0.0
AUMONT AUBRAC,ISSOIRE,28,0.0
AUMONT AUBRAC,ISSOIRE,29,0.0
AUMONT AUBRAC,ISSOIRE,30,0.0
AUMONT AUBRAC,MASSIAC BLESLE,0,1.0
AUMONT AUBRAC,MASSIAC BLESLE,1,0.9876404494382023
AUMONT AUBRAC,MASSIAC BLESLE,2,0.9769662921348314
AUMONT AUBRAC,MASSIAC BLESLE,3,0.9634831460674157
AUMONT AUBRAC,MASSIAC BLESLE,4,0.0056179775280898875
AUMONT AUBRAC,MASSIAC BLESLE,5,0.0
AUMONT AUBRAC,MASSIAC BLESLE,6,0.0
AUMONT AUBRAC,MASSIAC BLESLE,7,0.0
AUMONT AUBRAC,MASSIAC BLESLE,8,0.0
AUMONT AUBRAC,MASSIAC BLESLE,9,0.0
AUMONT AUBRAC,MASSIAC BLESLE,10,0.0
AUMONT AUBRAC,MASSIAC BLESLE,11,0.0
AUMONT AUBRAC,MASSIAC BLESLE,12,0.0
AUMONT AUBRAC,MASSIAC BLESLE,13,0.0
AUMONT AUBRAC,MASSIAC BLESLE,14,0.0
AUMONT AUBRAC,MASSIAC BLESLE,15,0.0
AUMONT AUBRAC,MASSIAC BLESLE,16,0.0
AUMONT AUBRAC,MASSIAC BLESLE,17,0.0
AUMONT AUBRAC,MASSIAC BLESLE,18,0.0
AUMONT AUBRAC,MASSIAC BLESLE,19,0.0
AUMONT AUBRAC,MASSIAC BLESLE,20,0.0
AUMONT AUBRAC,MASSIAC BLESLE,21,0.0
AUMONT AUBRAC,MASSIAC BLESLE,22,0.0
AUMONT AUBRAC,MASSIAC BLESLE,23,0.0
AUMONT AUBRAC,MASSIAC BLESLE,24,0.0
AUMONT AUBRAC,MASSIAC BLESLE,25,0.0
AUMONT AUBRAC,MASSIAC BLESLE,26,0.0
AUMONT AUBRAC,MASSIAC BLESLE,27,0.0
AUMONT AUBRAC,MASSIAC BLESLE,28,0.0
AUMONT AUBRAC,MASSIAC BLESLE,29,0.0
AUMONT AUBRAC,MASSIAC BLESLE,30,0.0
AUMONT AUBRAC,NEUSSARGUES,0,0.9989473684210527
AUMONT AUBRAC,NEUSSARGUES,1,0.988421052631579
AUMONT AUBRAC,NEUSSARGUES,2,0.978421052631579
AUMONT AUBRAC,NEUSSARGUES,3,0.9657894736842105
AUMONT AUBRAC,NEUSSARGUES,4,0.006315789473684211
AUMONT AUBRAC,NEUSSARGUES,5,0.0010526315789473684
AUMONT AUBRAC,NEUSSARGUES,6,0.0
AUMONT AUBRAC,NEUSSARGUES,7,0.0
AUMONT AUBRAC,NEUSSARGUES,8,0.0
AUMONT AUBRAC,NEUSSARGUES,9,0.0
AUMONT AUBRAC,NEUSSARGUES,10,0.0
AUMONT AUBRAC,NEUSSARGUES,11,0.0
AUMONT AUBRAC,NEUSSARGUES,12,0.0
AUMONT AUBRAC,NEUSSARGUES,13,0.0
AUMONT AUBRAC,NEUSSARGUES,14,0.0
AUMONT AUBRAC,NEUSSARGUES,15,0.0
AUMONT AUBRAC,NEUSSARGUES,16,0.0
AUMONT AUBRAC,NEUSSARGUES,17,0.0
AUMONT AUBRAC,NEUSSARGUES,18,0.0
AUMONT AUBRAC,NEUSSARGUES,19,0.0
AUMONT AUBRAC,NEUSSARGUES,20,0.0
AUMONT AUBRAC,NEUSSARGUES,21,0.0
AUMONT AUBRAC,NEUSSARGUES,22,0.0
AUMONT AUBRAC,NEUSSARGUES,23,0.0
AUMONT AUBRAC,NEUSSARGUES,24,0.0
AUMONT AUBRAC,NEUSSARGUES,25,0.0
AUMONT AUBRAC,NEUSSARGUES,26,0.0
AUMONT AUBRAC,NEUSSARGUES,27,0.0
AUMONT AUBRAC,NEUSSARGUES,28,0.0
AUMONT AUBRAC,NEUSSARGUES,29,0.0
AUMONT AUBRAC,NEUSSARGUES,30,0.0
AUMONT AUBRAC,SAINT CHELY D'APCHER,0,0.9994736842105263
AUMONT AUBRAC,SAINT CHELY D'APCHER,1,0.9889473684210527
AUMONT AUBRAC,SAINT CHELY D'APCHER,2,0.9773684210526316
AUMONT AUBRAC,SAINT CHELY D'APCHER,3,0.9689473684210526
AUMONT AUBRAC,SAINT CHELY D'APCHER,4,0.009473684210526316
AUMONT AUBRAC,SAINT CHELY D'APCHER,5,0.002631578947368421
AUMONT AUBRAC,SAINT CHELY D'APCHER,6,0.0
AUMONT AUBRAC,SAINT CHELY D'APCHER,7,0.0
AUMONT AUBRAC,SAINT CHELY D'APCHER,8,0.0
AUMONT AUBRAC,SAINT CHELY D'APCHER,9,0.0
AUMONT AUBRAC,SAINT CHELY D'APCHER,10,0.0
AUMONT AUBRAC,SAINT CHELY D'APCHER,11,0.0
AUMONT AUBRAC,SAINT CHELY D'APCHER,12,0.0
AUMONT AUBRAC,SAINT CHELY D'APCHER,13,0.0
AUMONT AUBRAC,SAINT CHELY D'APCHER,14,0.0
AUMONT AUBRAC,SAINT CHELY D'APCHER,15,0.0
AUMONT AUBRAC,SAINT CHELY D'APCHER,16,0.0
AUMONT AUBRAC,SAINT CHELY D'APCHER,17,0.0
AUMONT AUBRAC,SAINT CHELY D'APCHER,18,0.0
AUMONT AUBRAC,SAINT CHELY D'APCHER,19,0.0
AUMONT AUBRAC,SAINT CHELY D'APCHER,20,0.0
AUMONT AUBRAC,SAINT CHELY D'APCHER,21,0.0
AUMONT AUBRAC,SAINT CHELY D'APCHER,22,0.0
AUMONT AUBRAC,SAINT CHELY D'APCHER,23,0.0
AUMONT AUBRAC,SAINT CHELY D'APCHER,24,0.0
AUMONT AUBRAC,SAINT CHELY D'APCHER,25,0.0
AUMONT AUBRAC,SAINT CHELY D'APCHER,26,0.0
AUMONT AUBRAC,SAINT CHELY D'APCHER,27,0.0
AUMONT AUBRAC,SAINT CHELY D'APCHER,28,0.0
AUMONT AUBRAC,SAINT CHELY D'APCHER,29,0.0
AUMONT AUBRAC,SAINT CHELY D'APCHER,30,0.0
AUMONT AUBRAC,ST FLOUR CHAUDES AIGUES,0,0.9989473684210527
AUMONT AUBRAC,ST FLOUR CHAUDES AIGUES,1,0.9878947368421052
AUMONT AUBRAC,ST FLOUR CHAUDES AIGUES,2,0.9789473684210527
AUMONT AUBRAC,ST FLOUR CHAUDES AIGUES,3,0.9657894736842105
AUMONT AUBRAC,ST FLOUR CHAUDES AIGUES,4,0.009473684210526316
AUMONT AUBRAC,ST FLOUR CHAUDES AIGUES,5,0.0005263157894736842
AUMONT AUBRAC,ST FLOUR CHAUDES AIGUES,6,0.0
AUMONT AUBRAC,ST FLOUR CHAUDES AIGUES,7,0.0
AUMONT AUBRAC,ST FLOUR CHAUDES AIGUES,8,0.0
AUMONT AUBRAC,ST FLOUR CHAUDES AIGUES,9,0.0
AUMONT AUBRAC,ST FLOUR CHAUDES AIGUES,10,0.0
AUMONT AUBRAC,ST FLOUR CHAUDES AIGUES,11,0.0
AUMONT AUBRAC,ST FLOUR CHAUDES AIGUES,12,0.0
AUMONT AUBRAC,ST FLOUR CHAUDES AIGUES,13,0.0
AUMONT AUBRAC,ST FLOUR CHAUDES AIGUES,14,0.0
AUMONT AUBRAC,ST FLOUR CHAUDES AIGUES,15,0.0
AUMONT AUBRAC,ST FLOUR CHAUDES AIGUES,16,0.0
AUMONT AUBRAC,ST FLOUR CHAUDES AIGUES,17,0.0
AUMONT AUBRAC,ST FLOUR CHAUDES AIGUES,18,0.0
AUMONT AUBRAC,ST FLOUR CHAUDES AIGUES,19,0.0
AUMONT AUBRAC,ST FLOUR CHAUDES AIGUES,20,0.0
AUMONT AUBRAC,ST FLOUR CHAUDES AIGUES,21,0.0
AUMONT AUBRAC,ST FLOUR CHAUDES AIGUES,22,0.0
AUMONT AUBRAC,ST FLOUR CHAUDES AIGUES,23,0.0
AUMONT AUBRAC,ST FLOUR CHAUDES AIGUES,24,0.0
AUMONT AUBRAC,ST FLOUR CHAUDES AIGUES,25,0.0
AUMONT AUBRAC,ST FLOUR CHAUDES AIGUES,26,0.0
AUMONT AUBRAC,ST FLOUR CHAUDES AIGUES,27,0.0
AUMONT AUBRAC,ST FLOUR CHAUDES AIGUES,28,0.0
AUMONT AUBRAC,ST FLOUR CHAUDES AIGUES,29,0.0
AUMONT AUBRAC,ST FLOUR CHAUDES AIGUES,30,0.0
BANASSAC LA CANOURGUE,ARVANT,0,0.999438202247191
BANASSAC LA CANOURGUE,ARVANT,1,0.9904494382022473
BANASSAC LA CANOURGUE,ARVANT,2,0.9775280898876404
BANASSAC LA CANOURGUE,ARVANT,3,0.9662921348314607
BANASSAC LA CANOURGUE,ARVANT,4,0.005056179775280899
BANASSAC LA CANOURGUE,ARVANT,5,0.0
BANASSAC LA CANOURGUE,ARVANT,6,0.0
BANASSAC LA CANOURGUE,ARVANT,7,0.0
BANASSAC LA CANOURGUE,ARVANT,8,0.0
BANASSAC LA CANOURGUE,ARVANT,9,0.0
BANASSAC LA CANOURGUE,ARVANT,10,0.0
BANASSAC LA CANOURGUE,ARVANT,11,0.0
BANASSAC LA CANOURGUE,ARVANT,12,0.0
BANASSAC LA CANOURGUE,ARVANT,13,0.0
BANASSAC LA CANOURGUE,ARVANT,14,0.0
BANASSAC LA CANOURGUE,ARVANT,15,0.0
BANASSAC LA CANOURGUE,ARVANT,16,0.0
BANASSAC LA CANOURGUE,ARVANT,17,0.0
BANASSAC LA CANOURGUE,ARVANT,18,0.0
BANASSAC LA CANOURGUE,ARVANT,19,0.0
BANASSAC LA CANOURGUE,ARVANT,20,0.0
BANASSAC LA CANOURGUE,ARVANT,21,0.0
BANASSAC LA CANOURGUE,ARVANT,22,0.0
BANASSAC LA CANOURGUE,ARVANT,23,0.0
BANASSAC LA CANOURGUE,ARVANT,24,0.0
BANASSAC LA CANOURGUE,ARVANT,25,0.0
BANASSAC LA CANOURGUE,ARVANT,26,0.0
BANASSAC LA CANOURGUE,ARVANT,27,0.0
BANASSAC LA CANOURGUE,ARVANT,28,0.0
BANASSAC LA CANOURGUE,ARVANT,29,0.0
