origine,destination,delta_days,proba_open
ANGERS SAINT LAUD,BOURGES,0,0.90390625
ANGERS SAINT LAUD,BOURGES,1,0.8707692307692307
ANGERS SAINT LAUD,BOURGES,2,0.8333333333333334
ANGERS SAINT LAUD,BOURGES,3,0.8208955223880597
ANGERS SAINT LAUD,BOURGES,4,0.7125
ANGERS SAINT LAUD,BOURGES,5,0.6978260869565217
ANGERS SAINT LAUD,BOURGES,6,0.6971428571428571
ANGERS SAINT LAUD,BOURGES,7,0.6528169014084507
ANGERS SAINT LAUD,BOURGES,8,0.6159722222222223
ANGERS SAINT LAUD,BOURGES,9,0.5705479452054795
ANGERS SAINT LAUD,BOURGES,10,0.5351351351351351
ANGERS SAINT LAUD,BOURGES,11,0.5239999999999999
ANGERS SAINT LAUD,BOURGES,12,0.4598684210526316
ANGERS SAINT LAUD,BOURGES,13,0.4538961038961039
ANGERS SAINT LAUD,BOURGES,14,0.4378205128205128
ANGERS SAINT LAUD,BOURGES,15,0.41708860759493677
ANGERS SAINT LAUD,BOURGES,16,0.401875
ANGERS SAINT LAUD,BOURGES,17,0.3969135802469136
ANGERS SAINT LAUD,BOURGES,18,0.3926829268292683
ANGERS SAINT LAUD,BOURGES,19,0.40722891566265057
ANGERS SAINT LAUD,BOURGES,20,0.4053571428571428
ANGERS SAINT LAUD,BOURGES,21,0.3982352941176471
ANGERS SAINT LAUD,BOURGES,22,0.3848837209302326
ANGERS SAINT LAUD,BOURGES,23,0.36666666666666664
ANGERS SAINT LAUD,BOURGES,24,0.3488636363636364
ANGERS SAINT LAUD,BOURGES,25,0.36022727272727273
ANGERS SAINT LAUD,BOURGES,26,0.3589887640449438
ANGERS SAINT LAUD,BOURGES,27,0.3611111111111111
ANGERS SAINT LAUD,BOURGES,28,0.35219780219780217
ANGERS SAINT LAUD,BOURGES,29,0.3038461538461538
ANGERS SAINT LAUD,BOURGES,30,0.022527472527472527
ANGERS SAINT LAUD,LYON (intramuros),0,0.9296875
ANGERS SAINT LAUD,LYON (intramuros),1,0.9046153846153846
ANGERS SAINT LAUD,LYON (intramuros),2,0.8734848484848484
ANGERS SAINT LAUD,LYON (intramuros),3,0.8492537313432835
ANGERS SAINT LAUD,LYON (intramuros),4,0.7485294117647059
ANGERS SAINT LAUD,LYON (intramuros),5,0.7260869565217392
ANGERS SAINT LAUD,LYON (intramuros),6,0.7185714285714285
ANGERS SAINT LAUD,LYON (intramuros),7,0.6753521126760563
ANGERS SAINT LAUD,LYON (intramuros),8,0.6138888888888889
ANGERS SAINT LAUD,LYON (intramuros),9,0.5753424657534246
ANGERS SAINT LAUD,LYON (intramuros),10,0.527027027027027
ANGERS SAINT LAUD,LYON (intramuros),11,0.5273333333333333
ANGERS SAINT LAUD,LYON (intramuros),12,0.4427631578947368
ANGERS SAINT LAUD,LYON (intramuros),13,0.44155844155844154
ANGERS SAINT LAUD,LYON (intramuros),14,0.43461538461538457
ANGERS SAINT LAUD,LYON (intramuros),15,0.39935897435897433
ANGERS SAINT LAUD,LYON (intramuros),16,0.3860759493670886
ANGERS SAINT LAUD,LYON (intramuros),17,0.3775
ANGERS SAINT LAUD,LYON (intramuros),18,0.3734567901234568
ANGERS SAINT LAUD,LYON (intramuros),19,0.3884146341463415
ANGERS SAINT LAUD,LYON (intramuros),20,0.386144578313253
ANGERS SAINT LAUD,LYON (intramuros),21,0.38035714285714284
ANGERS SAINT LAUD,LYON (intramuros),22,0.3652941176470588
ANGERS SAINT LAUD,LYON (intramuros),23,0.34593023255813954
ANGERS SAINT LAUD,LYON (intramuros),24,0.3258620689655173
ANGERS SAINT LAUD,LYON (intramuros),25,0.34195402298850575
ANGERS SAINT LAUD,LYON (intramuros),26,0.35113636363636364
ANGERS SAINT LAUD,LYON (intramuros),27,0.35
ANGERS SAINT LAUD,LYON (intramuros),28,0.3427777777777778
ANGERS SAINT LAUD,LYON (intramuros),29,0.305
ANGERS SAINT LAUD,LYON (intramuros),30,0.023333333333333334
ANGERS SAINT LAUD,MOULINS SUR ALLIER,0,0.90703125
ANGERS SAINT LAUD,MOULINS SUR ALLIER,1,0.8669230769230769
ANGERS SAINT LAUD,MOULINS SUR ALLIER,2,0.834090909090909
ANGERS SAINT LAUD,MOULINS SUR ALLIER,3,0.8201492537313433
ANGERS SAINT LAUD,MOULINS SUR ALLIER,4,0.7102941176470587
ANGERS SAINT LAUD,MOULINS SUR ALLIER,5,0.7007246376811594
ANGERS SAINT LAUD,MOULINS SUR ALLIER,6,0.6992857142857143
ANGERS SAINT LAUD,MOULINS SUR ALLIER,7,0.65
ANGERS SAINT LAUD,MOULINS SUR ALLIER,8,0.6055555555555556
ANGERS SAINT LAUD,MOULINS SUR ALLIER,9,0.5623287671232876
ANGERS SAINT LAUD,MOULINS SUR ALLIER,10,0.5135135135135135
ANGERS SAINT LAUD,MOULINS SUR ALLIER,11,0.5146666666666667
ANGERS SAINT LAUD,MOULINS SUR ALLIER,12,0.4473684210526316
ANGERS SAINT LAUD,MOULINS SUR ALLIER,13,0.4435064935064935
ANGERS SAINT LAUD,MOULINS SUR ALLIER,14,0.4352564102564103
ANGERS SAINT LAUD,MOULINS SUR ALLIER,15,0.39871794871794874
ANGERS SAINT LAUD,MOULINS SUR ALLIER,16,0.3829113924050633
ANGERS SAINT LAUD,MOULINS SUR ALLIER,17,0.37625000000000003
ANGERS SAINT LAUD,MOULINS SUR ALLIER,18,0.3746913580246914
ANGERS SAINT LAUD,MOULINS SUR ALLIER,19,0.3853658536585366
ANGERS SAINT LAUD,MOULINS SUR ALLIER,20,0.386144578313253
ANGERS SAINT LAUD,MOULINS SUR ALLIER,21,0.3791666666666667
ANGERS SAINT LAUD,MOULINS SUR ALLIER,22,0.3658823529411765
ANGERS SAINT LAUD,MOULINS SUR ALLIER,23,0.34767441860465115
ANGERS SAINT LAUD,MOULINS SUR ALLIER,24,0.32413793103448274
ANGERS SAINT LAUD,MOULINS SUR ALLIER,25,0.3442528735632184
ANGERS SAINT LAUD,MOULINS SUR ALLIER,26,0.35170454545454544
ANGERS SAINT LAUD,MOULINS SUR ALLIER,27,0.35674157303370785
ANGERS SAINT LAUD,MOULINS SUR ALLIER,28,0.34555555555555556
ANGERS SAINT LAUD,MOULINS SUR ALLIER,29,0.29944444444444446
ANGERS SAINT LAUD,MOULINS SUR ALLIER,30,0.019444444444444445
ANGERS SAINT LAUD,NEVERS,0,0.8984375
ANGERS SAINT LAUD,NEVERS,1,0.8669230769230769
ANGERS SAINT LAUD,NEVERS,2,0.8356060606060606
ANGERS SAINT LAUD,NEVERS,3,0.817910447761194
ANGERS SAINT LAUD,NEVERS,4,0.7154411764705882
ANGERS SAINT LAUD,NEVERS,5,0.6992753623188406
ANGERS SAINT LAUD,NEVERS,6,0.6985714285714285
ANGERS SAINT LAUD,NEVERS,7,0.6471830985915493
ANGERS SAINT LAUD,NEVERS,8,0.6159722222222223
ANGERS SAINT LAUD,NEVERS,9,0.5664383561643835
ANGERS SAINT LAUD,NEVERS,10,0.5263513513513514
ANGERS SAINT LAUD,NEVERS,11,0.5213333333333333
ANGERS SAINT LAUD,NEVERS,12,0.45526315789473687
ANGERS SAINT LAUD,NEVERS,13,0.45519480519480515
ANGERS SAINT LAUD,NEVERS,14,0.4358974358974359
ANGERS SAINT LAUD,NEVERS,15,0.41708860759493677
ANGERS SAINT LAUD,NEVERS,16,0.39875
ANGERS SAINT LAUD,NEVERS,17,0.3969135802469136
ANGERS SAINT LAUD,NEVERS,18,0.3932926829268293
ANGERS SAINT LAUD,NEVERS,19,0.40783132530120486
ANGERS SAINT LAUD,NEVERS,20,0.4053571428571428
ANGERS SAINT LAUD,NEVERS,21,0.3982352941176471
ANGERS SAINT LAUD,NEVERS,22,0.3843023255813953
ANGERS SAINT LAUD,NEVERS,23,0.36666666666666664
ANGERS SAINT LAUD,NEVERS,24,0.3482954545454545
ANGERS SAINT LAUD,NEVERS,25,0.3619318181818182
ANGERS SAINT LAUD,NEVERS,26,0.3617977528089888
ANGERS SAINT LAUD,NEVERS,27,0.36333333333333334
ANGERS SAINT LAUD,NEVERS,28,0.3543956043956044
ANGERS SAINT LAUD,NEVERS,29,0.30879120879120875
ANGERS SAINT LAUD,NEVERS,30,0.02142857142857143
ANGERS SAINT LAUD,ROANNE,0,0.93203125
ANGERS SAINT LAUD,ROANNE,1,0.9053846153846155
ANGERS SAINT LAUD,ROANNE,2,0.8757575757575757
ANGERS SAINT LAUD,ROANNE,3,0.8582089552238806
ANGERS SAINT LAUD,ROANNE,4,0.7463235294117647
ANGERS SAINT LAUD,ROANNE,5,0.7231884057971014
ANGERS SAINT LAUD,ROANNE,6,0.715
ANGERS SAINT LAUD,ROANNE,7,0.6852112676056338
ANGERS SAINT LAUD,ROANNE,8,0.6201388888888889
ANGERS SAINT LAUD,ROANNE,9,0.576027397260274
ANGERS SAINT LAUD,ROANNE,10,0.5283783783783784
ANGERS SAINT LAUD,ROANNE,11,0.5293333333333333
ANGERS SAINT LAUD,ROANNE,12,0.4447368421052631
ANGERS SAINT LAUD,ROANNE,13,0.44545454545454544
ANGERS SAINT LAUD,ROANNE,14,0.4333333333333333
ANGERS SAINT LAUD,ROANNE,15,0.3974358974358974
ANGERS SAINT LAUD,ROANNE,16,0.3822784810126582
ANGERS SAINT LAUD,ROANNE,17,0.37687499999999996
ANGERS SAINT LAUD,ROANNE,18,0.3709876543209877
ANGERS SAINT LAUD,ROANNE,19,0.38658536585365855
ANGERS SAINT LAUD,ROANNE,20,0.3855421686746988
ANGERS SAINT LAUD,ROANNE,21,0.3773809523809524
ANGERS SAINT LAUD,ROANNE,22,0.36294117647058827
ANGERS SAINT LAUD,ROANNE,23,0.347093023255814
ANGERS SAINT LAUD,ROANNE,24,0.3275862068965517
ANGERS SAINT LAUD,ROANNE,25,0.3413793103448276
ANGERS SAINT LAUD,ROANNE,26,0.35056818181818183
ANGERS SAINT LAUD,ROANNE,27,0.3550561797752809
ANGERS SAINT LAUD,ROANNE,28,0.34555555555555556
ANGERS SAINT LAUD,ROANNE,29,0.29944444444444446
ANGERS SAINT LAUD,ROANNE,30,0.025555555555555557
ANGERS SAINT LAUD,SAINT GERMAIN DES FOSSES,0,0.93359375
ANGERS SAINT LAUD,SAINT GERMAIN DES FOSSES,1,0.9076923076923077
ANGERS SAINT LAUD,SAINT GERMAIN DES FOSSES,2,0.875
ANGERS SAINT LAUD,SAINT GERMAIN DES FOSSES,3,0.8582089552238806
ANGERS SAINT LAUD,SAINT GERMAIN DES FOSSES,4,0.7455882352941177
ANGERS SAINT LAUD,SAINT GERMAIN DES FOSSES,5,0.7260869565217392
