origine,destination,delta_days,proba_open
AUTERIVE,LES AUBRAIS ORLEANS,0,0.9764705882352942
AUTERIVE,LES AUBRAIS ORLEANS,1,0.09999999999999999
AUTERIVE,LES AUBRAIS ORLEANS,2,0.08676470588235295
AUTERIVE,LES AUBRAIS ORLEANS,3,0.05735294117647059
AUTERIVE,LES AUBRAIS ORLEANS,4,0.033823529411764704
AUTERIVE,LES AUBRAIS ORLEANS,5,0.030882352941176472
AUTERIVE,LES AUBRAIS ORLEANS,6,0.029411764705882353
AUTERIVE,LES AUBRAIS ORLEANS,7,0.0
AUTERIVE,LES AUBRAIS ORLEANS,8,0.0
AUTERIVE,LES AUBRAIS ORLEANS,9,0.0
AUTERIVE,LES AUBRAIS ORLEANS,10,0.0
AUTERIVE,LES AUBRAIS ORLEANS,11,0.0
AUTERIVE,LES AUBRAIS ORLEANS,12,0.0
AUTERIVE,LES AUBRAIS ORLEANS,13,0.0
AUTERIVE,LES AUBRAIS ORLEANS,14,0.0
AUTERIVE,LES AUBRAIS ORLEANS,15,0.0
AUTERIVE,LES AUBRAIS ORLEANS,16,0.0
AUTERIVE,LES AUBRAIS ORLEANS,17,0.0
AUTERIVE,LES AUBRAIS ORLEANS,18,0.0
AUTERIVE,LES AUBRAIS ORLEANS,19,0.0
AUTERIVE,LES AUBRAIS ORLEANS,20,0.0
AUTERIVE,LES AUBRAIS ORLEANS,21,0.0
AUTERIVE,LES AUBRAIS ORLEANS,22,0.0
AUTERIVE,LES AUBRAIS ORLEANS,23,0.0
AUTERIVE,LES AUBRAIS ORLEANS,24,0.029411764705882353
AUTERIVE,LES AUBRAIS ORLEANS,25,0.029411764705882353
AUTERIVE,LES AUBRAIS ORLEANS,26,0.029411764705882353
AUTERIVE,LES AUBRAIS ORLEANS,27,0.029411764705882353
AUTERIVE,LES AUBRAIS ORLEANS,28,0.029411764705882353
AUTERIVE,LES AUBRAIS ORLEANS,29,0.029411764705882353
AUTERIVE,LES AUBRAIS ORLEANS,30,0.0
AUTERIVE,PARIS (intramuros),0,0.9705882352941176
AUTERIVE,PARIS (intramuros),1,0.11029411764705882
AUTERIVE,PARIS (intramuros),2,0.08676470588235294
AUTERIVE,PARIS (intramuros),3,0.06029411764705882
AUTERIVE,PARIS (intramuros),4,0.03529411764705882
AUTERIVE,PARIS (intramuros),5,0.029411764705882353
AUTERIVE,PARIS (intramuros),6,0.029411764705882353
AUTERIVE,PARIS (intramuros),7,0.0029411764705882353
AUTERIVE,PARIS (intramuros),8,0.0
AUTERIVE,PARIS (intramuros),9,0.0
AUTERIVE,PARIS (intramuros),10,0.0
AUTERIVE,PARIS (intramuros),11,0.0
AUTERIVE,PARIS (intramuros),12,0.0
AUTERIVE,PARIS (intramuros),13,0.0
AUTERIVE,PARIS (intramuros),14,0.0
AUTERIVE,PARIS (intramuros),15,0.0
AUTERIVE,PARIS (intramuros),16,0.0
AUTERIVE,PARIS (intramuros),17,0.0
AUTERIVE,PARIS (intramuros),18,0.0
AUTERIVE,PARIS (intramuros),19,0.0
AUTERIVE,PARIS (intramuros),20,0.0
AUTERIVE,PARIS (intramuros),21,0.0
AUTERIVE,PARIS (intramuros),22,0.0
AUTERIVE,PARIS (intramuros),23,0.0
AUTERIVE,PARIS (intramuros),24,0.029411764705882353
AUTERIVE,PARIS (intramuros),25,0.029411764705882353
AUTERIVE,PARIS (intramuros),26,0.029411764705882353
AUTERIVE,PARIS (intramuros),27,0.029411764705882353
AUTERIVE,PARIS (intramuros),28,0.029411764705882353
