origine,destination,delta_days,proba_open
LILLE (intramuros),PARIS (intramuros),0,0.6362595419847328
LILLE (intramuros),PARIS (intramuros),1,0.6950757575757576
LILLE (intramuros),PARIS (intramuros),2,0.7469924812030074
LILLE (intramuros),PARIS (intramuros),3,0.7714285714285714
LILLE (intramuros),PARIS (intramuros),4,0.7278195488721805
LILLE (intramuros),PARIS (intramuros),5,0.7845864661654135
LILLE (intramuros),PARIS (intramuros),6,0.8210526315789474
LILLE (intramuros),PARIS (intramuros),7,0.8372180451127819
LILLE (intramuros),PARIS (intramuros),8,0.8199248120300752
LILLE (intramuros),PARIS (intramuros),9,0.8281954887218046
LILLE (intramuros),PARIS (intramuros),10,0.8740601503759399
LILLE (intramuros),PARIS (intramuros),11,0.9274436090225564
LILLE (intramuros),PARIS (intramuros),12,0.5018796992481203
LILLE (intramuros),PARIS (intramuros),13,0.4849624060150376
LILLE (intramuros),PARIS (intramuros),14,0.4928571428571428
LILLE (intramuros),PARIS (intramuros),15,0.5090225563909775
LILLE (intramuros),PARIS (intramuros),16,0.5165413533834586
LILLE (intramuros),PARIS (intramuros),17,0.5172932330827067
LILLE (intramuros),PARIS (intramuros),18,0.5048872180451128
LILLE (intramuros),PARIS (intramuros),19,0.5150375939849624
LILLE (intramuros),PARIS (intramuros),20,0.5176691729323308
LILLE (intramuros),PARIS (intramuros),21,0.5206766917293233
LILLE (intramuros),PARIS (intramuros),22,0.5172932330827067
LILLE (intramuros),PARIS (intramuros),23,0.5196969696969697
LILLE (intramuros),PARIS (intramuros),24,0.5083333333333333
LILLE (intramuros),PARIS (intramuros),25,0.49886363636363634
LILLE (intramuros),PARIS (intramuros),26,0.49507575757575756
LILLE (intramuros),PARIS (intramuros),27,0.49393939393939396
LILLE (intramuros),PARIS (intramuros),28,0.5075757575757576
LILLE (intramuros),PARIS (intramuros),29,0.49583333333333335
LILLE (intramuros),PARIS (intramuros),30,0.08129770992366413
