origine,destination,delta_days,proba_open
ANCENIS,ANGERS SAINT LAUD,0,0.85
ANCENIS,ANGERS SAINT LAUD,1,0.8
ANCENIS,ANGERS SAINT LAUD,2,0.86
ANCENIS,ANGERS SAINT LAUD,3,0.8142857142857143
ANCENIS,ANGERS SAINT LAUD,4,0.5785714285714285
ANCENIS,ANGERS SAINT LAUD,5,0.5714285714285714
ANCENIS,ANGERS SAINT LAUD,6,0.46071428571428574
ANCENIS,ANGERS SAINT LAUD,7,0.33571428571428574
ANCENIS,ANGERS SAINT LAUD,8,0.3
ANCENIS,ANGERS SAINT LAUD,9,0.275
ANCENIS,ANGERS SAINT LAUD,10,0.3076923076923077
ANCENIS,ANGERS SAINT LAUD,11,0.23076923076923078
ANCENIS,ANGERS SAINT LAUD,12,0.08846153846153845
ANCENIS,ANGERS SAINT LAUD,13,0.07692307692307693
ANCENIS,ANGERS SAINT LAUD,14,0.08461538461538462
ANCENIS,ANGERS SAINT LAUD,15,0.07307692307692307
ANCENIS,ANGERS SAINT LAUD,16,0.08461538461538462
ANCENIS,ANGERS SAINT LAUD,17,0.08750000000000001
ANCENIS,ANGERS SAINT LAUD,18,0.10833333333333334
ANCENIS,ANGERS SAINT LAUD,19,0.16666666666666666
ANCENIS,ANGERS SAINT LAUD,20,0.1625
ANCENIS,ANGERS SAINT LAUD,21,0.15416666666666667
ANCENIS,ANGERS SAINT LAUD,22,0.09166666666666667
ANCENIS,ANGERS SAINT LAUD,23,0.08750000000000001
ANCENIS,ANGERS SAINT LAUD,24,0.09090909090909091
ANCENIS,ANGERS SAINT LAUD,25,0.09090909090909091
ANCENIS,ANGERS SAINT LAUD,26,0.09090909090909091
ANCENIS,ANGERS SAINT LAUD,27,0.09545454545454546
ANCENIS,ANGERS SAINT LAUD,28,0.1
ANCENIS,ANGERS SAINT LAUD,29,0.08636363636363636
ANCENIS,ANGERS SAINT LAUD,30,0.009090909090909092
ANCENIS,LE MANS,0,0.53
ANCENIS,LE MANS,1,0.45999999999999996
ANCENIS,LE MANS,2,0.5700000000000001
ANCENIS,LE MANS,3,0.54
ANCENIS,LE MANS,4,0.22000000000000003
ANCENIS,LE MANS,5,0.22999999999999998
ANCENIS,LE MANS,6,0.19
ANCENIS,LE MANS,7,0.21000000000000002
ANCENIS,LE MANS,8,0.21000000000000002
ANCENIS,LE MANS,9,0.19
ANCENIS,LE MANS,10,0.19
ANCENIS,LE MANS,11,0.19
ANCENIS,LE MANS,12,0.2
ANCENIS,LE MANS,13,0.21000000000000002
ANCENIS,LE MANS,14,0.21000000000000002
ANCENIS,LE MANS,15,0.21000000000000002
ANCENIS,LE MANS,16,0.21000000000000002
ANCENIS,LE MANS,17,0.21000000000000002
ANCENIS,LE MANS,18,0.22000000000000003
ANCENIS,LE MANS,19,0.32999999999999996
ANCENIS,LE MANS,20,0.39
ANCENIS,LE MANS,21,0.37
ANCENIS,LE MANS,22,0.27
ANCENIS,LE MANS,23,0.2
ANCENIS,LE MANS,24,0.2
ANCENIS,LE MANS,25,0.2
ANCENIS,LE MANS,26,0.2
ANCENIS,LE MANS,27,0.19
ANCENIS,LE MANS,28,0.19
ANCENIS,LE MANS,29,0.16999999999999998
ANCENIS,LE MANS,30,0.02
ANCENIS,PARIS (intramuros),0,0.06666666666666667
ANCENIS,PARIS (intramuros),1,0.023333333333333334
ANCENIS,PARIS (intramuros),2,0.030000000000000002
ANCENIS,PARIS (intramuros),3,0.028571428571428574
ANCENIS,PARIS (intramuros),4,0.06071428571428572
ANCENIS,PARIS (intramuros),5,0.017857142857142856
ANCENIS,PARIS (intramuros),6,0.0071428571428571435
ANCENIS,PARIS (intramuros),7,0.0035714285714285718
ANCENIS,PARIS (intramuros),8,0.0035714285714285718
ANCENIS,PARIS (intramuros),9,0.0
ANCENIS,PARIS (intramuros),10,0.007692307692307693
ANCENIS,PARIS (intramuros),11,0.0038461538461538464
ANCENIS,PARIS (intramuros),12,0.0
ANCENIS,PARIS (intramuros),13,0.0
ANCENIS,PARIS (intramuros),14,0.0
ANCENIS,PARIS (intramuros),15,0.007692307692307693
ANCENIS,PARIS (intramuros),16,0.0038461538461538464
ANCENIS,PARIS (intramuros),17,0.004166666666666667
ANCENIS,PARIS (intramuros),18,0.016666666666666666
ANCENIS,PARIS (intramuros),19,0.012500000000000002
ANCENIS,PARIS (intramuros),20,0.07916666666666666
ANCENIS,PARIS (intramuros),21,0.08333333333333333
ANCENIS,PARIS (intramuros),22,0.08333333333333333
ANCENIS,PARIS (intramuros),23,0.08333333333333333
ANCENIS,PARIS (intramuros),24,0.09090909090909091
ANCENIS,PARIS (intramuros),25,0.09090909090909091
ANCENIS,PARIS (intramuros),26,0.09090909090909091
ANCENIS,PARIS (intramuros),27,0.09545454545454546
ANCENIS,PARIS (intramuros),28,0.09545454545454546
ANCENIS,PARIS (intramuros),29,0.1
ANCENIS,PARIS (intramuros),30,0.009090909090909092
ANGERS SAINT LAUD,LA BAULE ESCOUBLAC,0,0.575
ANGERS SAINT LAUD,LA BAULE ESCOUBLAC,1,0.575
ANGERS SAINT LAUD,LA BAULE ESCOUBLAC,2,0.6
ANGERS SAINT LAUD,LA BAULE ESCOUBLAC,3,0.8
ANGERS SAINT LAUD,LA BAULE ESCOUBLAC,4,0.55
ANGERS SAINT LAUD,LA BAULE ESCOUBLAC,5,0.55
ANGERS SAINT LAUD,LA BAULE ESCOUBLAC,6,0.45
ANGERS SAINT LAUD,LA BAULE ESCOUBLAC,7,0.15
ANGERS SAINT LAUD,LA BAULE ESCOUBLAC,8,0.0
ANGERS SAINT LAUD,LA BAULE ESCOUBLAC,9,0.025
ANGERS SAINT LAUD,LA BAULE ESCOUBLAC,10,0.025
ANGERS SAINT LAUD,LA BAULE ESCOUBLAC,11,0.025
ANGERS SAINT LAUD,LA BAULE ESCOUBLAC,12,0.0
ANGERS SAINT LAUD,LA BAULE ESCOUBLAC,13,0.0
ANGERS SAINT LAUD,LA BAULE ESCOUBLAC,14,0.0
ANGERS SAINT LAUD,LA BAULE ESCOUBLAC,15,0.0
ANGERS SAINT LAUD,LA BAULE ESCOUBLAC,16,0.0
ANGERS SAINT LAUD,LA BAULE ESCOUBLAC,17,0.0
ANGERS SAINT LAUD,LA BAULE ESCOUBLAC,18,0.0
ANGERS SAINT LAUD,LA BAULE ESCOUBLAC,19,0.025
ANGERS SAINT LAUD,LA BAULE ESCOUBLAC,20,0.0
ANGERS SAINT LAUD,LA BAULE ESCOUBLAC,21,0.0
ANGERS SAINT LAUD,LA BAULE ESCOUBLAC,22,0.0
ANGERS SAINT LAUD,LA BAULE ESCOUBLAC,23,0.0
ANGERS SAINT LAUD,LA BAULE ESCOUBLAC,24,0.0
ANGERS SAINT LAUD,LA BAULE ESCOUBLAC,25,0.0
ANGERS SAINT LAUD,LA BAULE ESCOUBLAC,26,0.0
ANGERS SAINT LAUD,LA BAULE ESCOUBLAC,27,0.0
ANGERS SAINT LAUD,LA BAULE ESCOUBLAC,28,0.0
