origine,destination,delta_days,proba_open
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),0,0.39342105263157895
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),1,0.47017543859649125
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),2,0.5008771929824561
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),3,0.5156521739130434
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),4,0.4356521739130435
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),5,0.4421052631578947
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),6,0.45745614035087717
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),7,0.48771929824561405
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),8,0.5385964912280702
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),9,0.5614035087719298
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),10,0.5843478260869566
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),11,0.5973913043478261
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),12,0.3925438596491228
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),13,0.38859649122807016
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),14,0.4
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),15,0.3991228070175439
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),16,0.4039473684210526
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),17,0.4280701754385965
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),18,0.44380530973451326
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),19,0.463716814159292
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),20,0.4783185840707964
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),21,0.5098214285714285
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),22,0.5194690265486726
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),23,0.5176991150442478
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),24,0.5367256637168142
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),25,0.5504464285714286
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),26,0.5747747747747748
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),27,0.5877272727272728
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),28,0.6041284403669724
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),29,0.6096330275229358
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),30,0.05648148148148149
LUXEMBOURG,CHAMPAGNE ARDENNE TGV,0,0.7794117647058824
LUXEMBOURG,CHAMPAGNE ARDENNE TGV,1,0.782843137254902
LUXEMBOURG,CHAMPAGNE ARDENNE TGV,2,0.7872549019607843
LUXEMBOURG,CHAMPAGNE ARDENNE TGV,3,0.8149038461538461
LUXEMBOURG,CHAMPAGNE ARDENNE TGV,4,0.7899038461538462
LUXEMBOURG,CHAMPAGNE ARDENNE TGV,5,0.7786407766990292
LUXEMBOURG,CHAMPAGNE ARDENNE TGV,6,0.7961165048543689
LUXEMBOURG,CHAMPAGNE ARDENNE TGV,7,0.7901960784313725
LUXEMBOURG,CHAMPAGNE ARDENNE TGV,8,0.7733009708737865
LUXEMBOURG,CHAMPAGNE ARDENNE TGV,9,0.7854368932038835
LUXEMBOURG,CHAMPAGNE ARDENNE TGV,10,0.8038461538461538
