origine,destination,delta_days,proba_open
CHALON SUR SAONE,CULMONT CHALINDREY,0,0.9297872340425533
CHALON SUR SAONE,CULMONT CHALINDREY,1,0.8925531914893617
CHALON SUR SAONE,CULMONT CHALINDREY,2,0.8729166666666667
CHALON SUR SAONE,CULMONT CHALINDREY,3,0.8551020408163265
CHALON SUR SAONE,CULMONT CHALINDREY,4,0.769
CHALON SUR SAONE,CULMONT CHALINDREY,5,0.7843137254901961
CHALON SUR SAONE,CULMONT CHALINDREY,6,0.7423076923076923
CHALON SUR SAONE,CULMONT CHALINDREY,7,0.6754716981132075
CHALON SUR SAONE,CULMONT CHALINDREY,8,0.5972222222222222
CHALON SUR SAONE,CULMONT CHALINDREY,9,0.5118181818181818
CHALON SUR SAONE,CULMONT CHALINDREY,10,0.47363636363636363
CHALON SUR SAONE,CULMONT CHALINDREY,11,0.47053571428571433
CHALON SUR SAONE,CULMONT CHALINDREY,12,0.4421052631578947
CHALON SUR SAONE,CULMONT CHALINDREY,13,0.44310344827586207
CHALON SUR SAONE,CULMONT CHALINDREY,14,0.4245762711864407
CHALON SUR SAONE,CULMONT CHALINDREY,15,0.4091666666666667
CHALON SUR SAONE,CULMONT CHALINDREY,16,0.42295081967213116
CHALON SUR SAONE,CULMONT CHALINDREY,17,0.41065573770491803
CHALON SUR SAONE,CULMONT CHALINDREY,18,0.43387096774193545
CHALON SUR SAONE,CULMONT CHALINDREY,19,0.44285714285714284
CHALON SUR SAONE,CULMONT CHALINDREY,20,0.44609375
CHALON SUR SAONE,CULMONT CHALINDREY,21,0.43
CHALON SUR SAONE,CULMONT CHALINDREY,22,0.41363636363636364
CHALON SUR SAONE,CULMONT CHALINDREY,23,0.4171641791044776
CHALON SUR SAONE,CULMONT CHALINDREY,24,0.4082089552238806
CHALON SUR SAONE,CULMONT CHALINDREY,25,0.42794117647058827
CHALON SUR SAONE,CULMONT CHALINDREY,26,0.4463768115942029
CHALON SUR SAONE,CULMONT CHALINDREY,27,0.455
CHALON SUR SAONE,CULMONT CHALINDREY,28,0.4507042253521127
CHALON SUR SAONE,CULMONT CHALINDREY,29,0.42083333333333334
CHALON SUR SAONE,CULMONT CHALINDREY,30,0.027777777777777776
CHALON SUR SAONE,DIJON VILLE,0,0.9234042553191489
CHALON SUR SAONE,DIJON VILLE,1,0.8925531914893617
CHALON SUR SAONE,DIJON VILLE,2,0.8760416666666666
CHALON SUR SAONE,DIJON VILLE,3,0.8571428571428571
CHALON SUR SAONE,DIJON VILLE,4,0.779
CHALON SUR SAONE,DIJON VILLE,5,0.7950980392156862
CHALON SUR SAONE,DIJON VILLE,6,0.7317307692307692
CHALON SUR SAONE,DIJON VILLE,7,0.670754716981132
CHALON SUR SAONE,DIJON VILLE,8,0.5898148148148148
CHALON SUR SAONE,DIJON VILLE,9,0.5127272727272727
CHALON SUR SAONE,DIJON VILLE,10,0.4718181818181818
CHALON SUR SAONE,DIJON VILLE,11,0.47500000000000003
CHALON SUR SAONE,DIJON VILLE,12,0.4473684210526316
CHALON SUR SAONE,DIJON VILLE,13,0.446551724137931
CHALON SUR SAONE,DIJON VILLE,14,0.4288135593220339
CHALON SUR SAONE,DIJON VILLE,15,0.41000000000000003
CHALON SUR SAONE,DIJON VILLE,16,0.4180327868852459
CHALON SUR SAONE,DIJON VILLE,17,0.4114754098360656
CHALON SUR SAONE,DIJON VILLE,18,0.43548387096774194
CHALON SUR SAONE,DIJON VILLE,19,0.4444444444444444
CHALON SUR SAONE,DIJON VILLE,20,0.45
CHALON SUR SAONE,DIJON VILLE,21,0.43
CHALON SUR SAONE,DIJON VILLE,22,0.4128787878787879
CHALON SUR SAONE,DIJON VILLE,23,0.4171641791044776
CHALON SUR SAONE,DIJON VILLE,24,0.4052238805970149
CHALON SUR SAONE,DIJON VILLE,25,0.4294117647058823
CHALON SUR SAONE,DIJON VILLE,26,0.44565217391304346
CHALON SUR SAONE,DIJON VILLE,27,0.4564285714285714
CHALON SUR SAONE,DIJON VILLE,28,0.4528169014084507
CHALON SUR SAONE,DIJON VILLE,29,0.42916666666666664
CHALON SUR SAONE,DIJON VILLE,30,0.027083333333333334
CHALON SUR SAONE,NANCY,0,0.9293478260869565
CHALON SUR SAONE,NANCY,1,0.892391304347826
CHALON SUR SAONE,NANCY,2,0.8702127659574468
CHALON SUR SAONE,NANCY,3,0.85
CHALON SUR SAONE,NANCY,4,0.75
CHALON SUR SAONE,NANCY,5,0.7709999999999999
CHALON SUR SAONE,NANCY,6,0.7313725490196078
CHALON SUR SAONE,NANCY,7,0.6701923076923078
CHALON SUR SAONE,NANCY,8,0.5952830188679246
CHALON SUR SAONE,NANCY,9,0.5166666666666666
CHALON SUR SAONE,NANCY,10,0.4824074074074074
CHALON SUR SAONE,NANCY,11,0.4827272727272727
CHALON SUR SAONE,NANCY,12,0.45267857142857143
CHALON SUR SAONE,NANCY,13,0.45438596491228067
CHALON SUR SAONE,NANCY,14,0.4353448275862069
CHALON SUR SAONE,NANCY,15,0.4144067796610169
CHALON SUR SAONE,NANCY,16,0.42916666666666664
CHALON SUR SAONE,NANCY,17,0.4166666666666667
CHALON SUR SAONE,NANCY,18,0.42295081967213116
CHALON SUR SAONE,NANCY,19,0.43629032258064515
CHALON SUR SAONE,NANCY,20,0.44126984126984126
CHALON SUR SAONE,NANCY,21,0.4126984126984127
CHALON SUR SAONE,NANCY,22,0.38095238095238093
CHALON SUR SAONE,NANCY,23,0.38828125
CHALON SUR SAONE,NANCY,24,0.39140625
CHALON SUR SAONE,NANCY,25,0.3869230769230769
CHALON SUR SAONE,NANCY,26,0.40454545454545454
CHALON SUR SAONE,NANCY,27,0.417910447761194
CHALON SUR SAONE,NANCY,28,0.42835820895522386
CHALON SUR SAONE,NANCY,29,0.4134328358208955
CHALON SUR SAONE,NANCY,30,0.020149253731343283
CHALON SUR SAONE,NEUFCHATEAU,0,0.9271739130434782
CHALON SUR SAONE,NEUFCHATEAU,1,0.8891304347826087
CHALON SUR SAONE,NEUFCHATEAU,2,0.8734042553191489
CHALON SUR SAONE,NEUFCHATEAU,3,0.8510416666666667
CHALON SUR SAONE,NEUFCHATEAU,4,0.7479591836734694
CHALON SUR SAONE,NEUFCHATEAU,5,0.773
CHALON SUR SAONE,NEUFCHATEAU,6,0.7313725490196078
CHALON SUR SAONE,NEUFCHATEAU,7,0.6634615384615384
CHALON SUR SAONE,NEUFCHATEAU,8,0.5915094339622642
CHALON SUR SAONE,NEUFCHATEAU,9,0.512962962962963
CHALON SUR SAONE,NEUFCHATEAU,10,0.4824074074074074
CHALON SUR SAONE,NEUFCHATEAU,11,0.4809090909090909
CHALON SUR SAONE,NEUFCHATEAU,12,0.45535714285714285
CHALON SUR SAONE,NEUFCHATEAU,13,0.45087719298245615
CHALON SUR SAONE,NEUFCHATEAU,14,0.4353448275862069
CHALON SUR SAONE,NEUFCHATEAU,15,0.4101694915254237
CHALON SUR SAONE,NEUFCHATEAU,16,0.43
CHALON SUR SAONE,NEUFCHATEAU,17,0.41750000000000004
CHALON SUR SAONE,NEUFCHATEAU,18,0.42540983606557375
CHALON SUR SAONE,NEUFCHATEAU,19,0.4346774193548387
CHALON SUR SAONE,NEUFCHATEAU,20,0.44047619047619047
CHALON SUR SAONE,NEUFCHATEAU,21,0.4142857142857143
CHALON SUR SAONE,NEUFCHATEAU,22,0.3841269841269841
CHALON SUR SAONE,NEUFCHATEAU,23,0.390625
CHALON SUR SAONE,NEUFCHATEAU,24,0.3921875
CHALON SUR SAONE,NEUFCHATEAU,25,0.38846153846153847
CHALON SUR SAONE,NEUFCHATEAU,26,0.40757575757575754
CHALON SUR SAONE,NEUFCHATEAU,27,0.41865671641791047
CHALON SUR SAONE,NEUFCHATEAU,28,0.42462686567164176
CHALON SUR SAONE,NEUFCHATEAU,29,0.4082089552238806
CHALON SUR SAONE,NEUFCHATEAU,30,0.020149253731343283
CHALON SUR SAONE,TOUL,0,0.9277777777777778
CHALON SUR SAONE,TOUL,1,0.8966666666666667
CHALON SUR SAONE,TOUL,2,0.8739130434782609
