origine,destination,delta_days,proba_open
CHALON SUR SAONE,LYON (intramuros),0,0.8632653061224489
CHALON SUR SAONE,LYON (intramuros),1,0.8424242424242425
CHALON SUR SAONE,LYON (intramuros),2,0.8085
CHALON SUR SAONE,LYON (intramuros),3,0.805940594059406
CHALON SUR SAONE,LYON (intramuros),4,0.6678217821782179
CHALON SUR SAONE,LYON (intramuros),5,0.6588235294117647
CHALON SUR SAONE,LYON (intramuros),6,0.653883495145631
CHALON SUR SAONE,LYON (intramuros),7,0.6223300970873786
CHALON SUR SAONE,LYON (intramuros),8,0.6053398058252427
CHALON SUR SAONE,LYON (intramuros),9,0.5592233009708738
CHALON SUR SAONE,LYON (intramuros),10,0.5466019417475728
CHALON SUR SAONE,LYON (intramuros),11,0.5558252427184466
CHALON SUR SAONE,LYON (intramuros),12,0.5524271844660193
CHALON SUR SAONE,LYON (intramuros),13,0.5538834951456311
CHALON SUR SAONE,LYON (intramuros),14,0.5412621359223301
CHALON SUR SAONE,LYON (intramuros),15,0.5368932038834952
CHALON SUR SAONE,LYON (intramuros),16,0.533009708737864
CHALON SUR SAONE,LYON (intramuros),17,0.533009708737864
CHALON SUR SAONE,LYON (intramuros),18,0.5344660194174757
CHALON SUR SAONE,LYON (intramuros),19,0.5490291262135922
CHALON SUR SAONE,LYON (intramuros),20,0.5432038834951457
CHALON SUR SAONE,LYON (intramuros),21,0.5344660194174757
CHALON SUR SAONE,LYON (intramuros),22,0.5257281553398058
CHALON SUR SAONE,LYON (intramuros),23,0.5140776699029127
CHALON SUR SAONE,LYON (intramuros),24,0.5063106796116504
CHALON SUR SAONE,LYON (intramuros),25,0.5145631067961165
CHALON SUR SAONE,LYON (intramuros),26,0.5310679611650486
CHALON SUR SAONE,LYON (intramuros),27,0.5247572815533981
CHALON SUR SAONE,LYON (intramuros),28,0.5169902912621359
CHALON SUR SAONE,LYON (intramuros),29,0.5053398058252427
CHALON SUR SAONE,LYON (intramuros),30,0.03155339805825243
CHALON SUR SAONE,MACON VILLE,0,0.8617346938775511
CHALON SUR SAONE,MACON VILLE,1,0.8383838383838383
CHALON SUR SAONE,MACON VILLE,2,0.807
CHALON SUR SAONE,MACON VILLE,3,0.805940594059406
CHALON SUR SAONE,MACON VILLE,4,0.6648514851485149
CHALON SUR SAONE,MACON VILLE,5,0.6490196078431373
CHALON SUR SAONE,MACON VILLE,6,0.65
CHALON SUR SAONE,MACON VILLE,7,0.6218446601941747
CHALON SUR SAONE,MACON VILLE,8,0.6004854368932039
CHALON SUR SAONE,MACON VILLE,9,0.5601941747572816
CHALON SUR SAONE,MACON VILLE,10,0.5461165048543689
CHALON SUR SAONE,MACON VILLE,11,0.5601941747572816
CHALON SUR SAONE,MACON VILLE,12,0.5519417475728156
CHALON SUR SAONE,MACON VILLE,13,0.5514563106796116
CHALON SUR SAONE,MACON VILLE,14,0.5412621359223301
CHALON SUR SAONE,MACON VILLE,15,0.5373786407766991
CHALON SUR SAONE,MACON VILLE,16,0.5349514563106796
