origine,destination,delta_days,proba_open
AIX EN PROVENCE TGV,AVIGNON TGV,0,0.798888888888889
AIX EN PROVENCE TGV,AVIGNON TGV,1,0.8263736263736264
AIX EN PROVENCE TGV,AVIGNON TGV,2,0.8195652173913044
AIX EN PROVENCE TGV,AVIGNON TGV,3,0.7860215053763441
AIX EN PROVENCE TGV,AVIGNON TGV,4,0.5329787234042553
AIX EN PROVENCE TGV,AVIGNON TGV,5,0.5368421052631579
AIX EN PROVENCE TGV,AVIGNON TGV,6,0.5255208333333333
AIX EN PROVENCE TGV,AVIGNON TGV,7,0.019270833333333334
AIX EN PROVENCE TGV,AVIGNON TGV,8,0.0015789473684210528
AIX EN PROVENCE TGV,AVIGNON TGV,9,0.0005208333333333333
AIX EN PROVENCE TGV,AVIGNON TGV,10,0.0
AIX EN PROVENCE TGV,AVIGNON TGV,11,0.0
AIX EN PROVENCE TGV,AVIGNON TGV,12,0.0
AIX EN PROVENCE TGV,AVIGNON TGV,13,0.0
AIX EN PROVENCE TGV,AVIGNON TGV,14,0.0
AIX EN PROVENCE TGV,AVIGNON TGV,15,0.0
AIX EN PROVENCE TGV,AVIGNON TGV,16,0.0
AIX EN PROVENCE TGV,AVIGNON TGV,17,0.0
AIX EN PROVENCE TGV,AVIGNON TGV,18,0.0
AIX EN PROVENCE TGV,AVIGNON TGV,19,0.0
AIX EN PROVENCE TGV,AVIGNON TGV,20,0.0
AIX EN PROVENCE TGV,AVIGNON TGV,21,0.0
AIX EN PROVENCE TGV,AVIGNON TGV,22,0.0
AIX EN PROVENCE TGV,AVIGNON TGV,23,0.0
AIX EN PROVENCE TGV,AVIGNON TGV,24,0.0
AIX EN PROVENCE TGV,AVIGNON TGV,25,0.0
AIX EN PROVENCE TGV,AVIGNON TGV,26,0.0
AIX EN PROVENCE TGV,AVIGNON TGV,27,0.0
AIX EN PROVENCE TGV,AVIGNON TGV,28,0.0
AIX EN PROVENCE TGV,AVIGNON TGV,29,0.0
AIX EN PROVENCE TGV,AVIGNON TGV,30,0.0
AIX EN PROVENCE TGV,BADEN BADEN,0,0.0011111111111111111
AIX EN PROVENCE TGV,BADEN BADEN,1,0.0
AIX EN PROVENCE TGV,BADEN BADEN,2,0.0
AIX EN PROVENCE TGV,BADEN BADEN,3,0.0
AIX EN PROVENCE TGV,BADEN BADEN,4,0.001595744680851064
AIX EN PROVENCE TGV,BADEN BADEN,5,0.0005263157894736842
AIX EN PROVENCE TGV,BADEN BADEN,6,0.0005208333333333333
AIX EN PROVENCE TGV,BADEN BADEN,7,0.0
AIX EN PROVENCE TGV,BADEN BADEN,8,0.0
AIX EN PROVENCE TGV,BADEN BADEN,9,0.0
AIX EN PROVENCE TGV,BADEN BADEN,10,0.0
AIX EN PROVENCE TGV,BADEN BADEN,11,0.0
AIX EN PROVENCE TGV,BADEN BADEN,12,0.0
AIX EN PROVENCE TGV,BADEN BADEN,13,0.0
AIX EN PROVENCE TGV,BADEN BADEN,14,0.0
AIX EN PROVENCE TGV,BADEN BADEN,15,0.0
AIX EN PROVENCE TGV,BADEN BADEN,16,0.0
AIX EN PROVENCE TGV,BADEN BADEN,17,0.0
AIX EN PROVENCE TGV,BADEN BADEN,18,0.0
AIX EN PROVENCE TGV,BADEN BADEN,19,0.0
AIX EN PROVENCE TGV,BADEN BADEN,20,0.0
AIX EN PROVENCE TGV,BADEN BADEN,21,0.0
AIX EN PROVENCE TGV,BADEN BADEN,22,0.0
AIX EN PROVENCE TGV,BADEN BADEN,23,0.0
AIX EN PROVENCE TGV,BADEN BADEN,24,0.0
AIX EN PROVENCE TGV,BADEN BADEN,25,0.0
AIX EN PROVENCE TGV,BADEN BADEN,26,0.0
AIX EN PROVENCE TGV,BADEN BADEN,27,0.0
AIX EN PROVENCE TGV,BADEN BADEN,28,0.0
AIX EN PROVENCE TGV,BADEN BADEN,29,0.0
AIX EN PROVENCE TGV,BADEN BADEN,30,0.0
AIX EN PROVENCE TGV,BELFORT MONTBELIARD TGV,0,0.013333333333333332
AIX EN PROVENCE TGV,BELFORT MONTBELIARD TGV,1,0.002197802197802198
AIX EN PROVENCE TGV,BELFORT MONTBELIARD TGV,2,0.01141304347826087
AIX EN PROVENCE TGV,BELFORT MONTBELIARD TGV,3,0.0016129032258064518
AIX EN PROVENCE TGV,BELFORT MONTBELIARD TGV,4,0.0
AIX EN PROVENCE TGV,BELFORT MONTBELIARD TGV,5,0.0
AIX EN PROVENCE TGV,BELFORT MONTBELIARD TGV,6,0.0010416666666666667
AIX EN PROVENCE TGV,BELFORT MONTBELIARD TGV,7,0.0
AIX EN PROVENCE TGV,BELFORT MONTBELIARD TGV,8,0.0
AIX EN PROVENCE TGV,BELFORT MONTBELIARD TGV,9,0.0
AIX EN PROVENCE TGV,BELFORT MONTBELIARD TGV,10,0.0
AIX EN PROVENCE TGV,BELFORT MONTBELIARD TGV,11,0.0
AIX EN PROVENCE TGV,BELFORT MONTBELIARD TGV,12,0.0
AIX EN PROVENCE TGV,BELFORT MONTBELIARD TGV,13,0.0
AIX EN PROVENCE TGV,BELFORT MONTBELIARD TGV,14,0.0
AIX EN PROVENCE TGV,BELFORT MONTBELIARD TGV,15,0.0
AIX EN PROVENCE TGV,BELFORT MONTBELIARD TGV,16,0.0
AIX EN PROVENCE TGV,BELFORT MONTBELIARD TGV,17,0.0
AIX EN PROVENCE TGV,BELFORT MONTBELIARD TGV,18,0.0
AIX EN PROVENCE TGV,BELFORT MONTBELIARD TGV,19,0.0
AIX EN PROVENCE TGV,BELFORT MONTBELIARD TGV,20,0.0
AIX EN PROVENCE TGV,BELFORT MONTBELIARD TGV,21,0.0
AIX EN PROVENCE TGV,BELFORT MONTBELIARD TGV,22,0.0
AIX EN PROVENCE TGV,BELFORT MONTBELIARD TGV,23,0.0
AIX EN PROVENCE TGV,BELFORT MONTBELIARD TGV,24,0.0
AIX EN PROVENCE TGV,BELFORT MONTBELIARD TGV,25,0.0
