origine,destination,delta_days,proba_open
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),0,0.3300847457627119
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),1,0.3600840336134454
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),2,0.3919491525423729
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),3,0.4313559322033898
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),4,0.18559322033898304
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),5,0.1826271186440678
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),6,0.19745762711864406
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),7,0.2033898305084746
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),8,0.22542372881355932
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),9,0.23333333333333334
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),10,0.25683760683760687
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),11,0.2623931623931624
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),12,0.15213675213675215
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),13,0.14871794871794872
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),14,0.14145299145299145
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),15,0.12264957264957264
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),16,0.12801724137931034
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),17,0.1408695652173913
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),18,0.14210526315789473
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),19,0.15000000000000002
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),20,0.14912280701754385
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),21,0.14868421052631578
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),22,0.15964912280701754
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),23,0.17149122807017544
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),24,0.17982456140350878
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),25,0.2004424778761062
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),26,0.21460176991150443
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),27,0.23539823008849559
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),28,0.24778761061946902
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),29,0.24203539823008852
CHAMPAGNE ARDENNE TGV,PARIS (intramuros),30,0.06415929203539823
EPINAL,CHAMPAGNE ARDENNE TGV,0,0.7912280701754386
EPINAL,CHAMPAGNE ARDENNE TGV,1,0.7310344827586207
EPINAL,CHAMPAGNE ARDENNE TGV,2,0.6327586206896553
EPINAL,CHAMPAGNE ARDENNE TGV,3,0.5431034482758621
EPINAL,CHAMPAGNE ARDENNE TGV,4,0.14298245614035088
EPINAL,CHAMPAGNE ARDENNE TGV,5,0.1375
EPINAL,CHAMPAGNE ARDENNE TGV,6,0.11363636363636363
EPINAL,CHAMPAGNE ARDENNE TGV,7,0.10092592592592593
EPINAL,CHAMPAGNE ARDENNE TGV,8,0.07547169811320754
EPINAL,CHAMPAGNE ARDENNE TGV,9,0.07547169811320754
EPINAL,CHAMPAGNE ARDENNE TGV,10,0.04903846153846154
EPINAL,CHAMPAGNE ARDENNE TGV,11,0.036538461538461534
EPINAL,CHAMPAGNE ARDENNE TGV,12,0.00784313725490196
EPINAL,CHAMPAGNE ARDENNE TGV,13,0.001
EPINAL,CHAMPAGNE ARDENNE TGV,14,0.002
EPINAL,CHAMPAGNE ARDENNE TGV,15,0.002
EPINAL,CHAMPAGNE ARDENNE TGV,16,0.0
EPINAL,CHAMPAGNE ARDENNE TGV,17,0.0
EPINAL,CHAMPAGNE ARDENNE TGV,18,0.0
EPINAL,CHAMPAGNE ARDENNE TGV,19,0.001
EPINAL,CHAMPAGNE ARDENNE TGV,20,0.002
EPINAL,CHAMPAGNE ARDENNE TGV,21,0.018000000000000002
EPINAL,CHAMPAGNE ARDENNE TGV,22,0.039
EPINAL,CHAMPAGNE ARDENNE TGV,23,0.039
EPINAL,CHAMPAGNE ARDENNE TGV,24,0.040999999999999995
EPINAL,CHAMPAGNE ARDENNE TGV,25,0.061
EPINAL,CHAMPAGNE ARDENNE TGV,26,0.063
EPINAL,CHAMPAGNE ARDENNE TGV,27,0.063
EPINAL,CHAMPAGNE ARDENNE TGV,28,0.059000000000000004
EPINAL,CHAMPAGNE ARDENNE TGV,29,0.057999999999999996
EPINAL,CHAMPAGNE ARDENNE TGV,30,0.015
EPINAL,MEUSE TGV,0,0.725
EPINAL,MEUSE TGV,1,0.6
EPINAL,MEUSE TGV,2,0.65
EPINAL,MEUSE TGV,3,0.5
EPINAL,MEUSE TGV,4,0.08750000000000001
EPINAL,MEUSE TGV,5,0.4125
EPINAL,MEUSE TGV,6,0.2625
EPINAL,MEUSE TGV,7,0.225
EPINAL,MEUSE TGV,8,0.05
EPINAL,MEUSE TGV,9,0.0125
EPINAL,MEUSE TGV,10,0.0
EPINAL,MEUSE TGV,11,0.0
EPINAL,MEUSE TGV,12,0.0
EPINAL,MEUSE TGV,13,0.0
EPINAL,MEUSE TGV,14,0.0
EPINAL,MEUSE TGV,15,0.0
EPINAL,MEUSE TGV,16,0.0
EPINAL,MEUSE TGV,17,0.0
EPINAL,MEUSE TGV,18,0.0
EPINAL,MEUSE TGV,19,0.0
EPINAL,MEUSE TGV,20,0.0
EPINAL,MEUSE TGV,21,0.0
EPINAL,MEUSE TGV,22,0.0
EPINAL,MEUSE TGV,23,0.0
EPINAL,MEUSE TGV,24,0.0
EPINAL,MEUSE TGV,25,0.0
EPINAL,MEUSE TGV,26,0.0
EPINAL,MEUSE TGV,27,0.0
EPINAL,MEUSE TGV,28,0.0
EPINAL,MEUSE TGV,29,0.0
EPINAL,MEUSE TGV,30,0.0
EPINAL,NANCY,0,0.9890243902439025
EPINAL,NANCY,1,0.9891129032258065
EPINAL,NANCY,2,0.9762096774193548
EPINAL,NANCY,3,0.9629032258064517
EPINAL,NANCY,4,0.9186991869918699
EPINAL,NANCY,5,0.9130081300813008
EPINAL,NANCY,6,0.9044715447154471
EPINAL,NANCY,7,0.9012195121951219
EPINAL,NANCY,8,0.875609756097561
EPINAL,NANCY,9,0.8711382113821139
EPINAL,NANCY,10,0.8654471544715447
EPINAL,NANCY,11,0.8557377049180328
EPINAL,NANCY,12,0.7299180327868853
EPINAL,NANCY,13,0.6991803278688524
EPINAL,NANCY,14,0.6483606557377048
EPINAL,NANCY,15,0.5877049180327869
EPINAL,NANCY,16,0.5745901639344262
EPINAL,NANCY,17,0.5609756097560976
EPINAL,NANCY,18,0.5397540983606557
EPINAL,NANCY,19,0.44549180327868854
EPINAL,NANCY,20,0.4016528925619835
EPINAL,NANCY,21,0.3400826446280992
EPINAL,NANCY,22,0.3433333333333334
EPINAL,NANCY,23,0.3229166666666667
EPINAL,NANCY,24,0.3141666666666667
EPINAL,NANCY,25,0.31218487394957983
EPINAL,NANCY,26,0.3029411764705882
EPINAL,NANCY,27,0.2669491525423729
EPINAL,NANCY,28,0.2512820512820513
EPINAL,NANCY,29,0.2418103448275862
EPINAL,NANCY,30,0.05565217391304348
EPINAL,PARIS (intramuros),0,0.4455284552845528
EPINAL,PARIS (intramuros),1,0.47580645161290325
EPINAL,PARIS (intramuros),2,0.485483870967742
EPINAL,PARIS (intramuros),3,0.4790322580645161
EPINAL,PARIS (intramuros),4,0.2613821138211382
EPINAL,PARIS (intramuros),5,0.26463414634146337
EPINAL,PARIS (intramuros),6,0.2630081300813008
EPINAL,PARIS (intramuros),7,0.23211382113821138
EPINAL,PARIS (intramuros),8,0.2459349593495935
EPINAL,PARIS (intramuros),9,0.2861788617886179
EPINAL,PARIS (intramuros),10,0.2678861788617886
EPINAL,PARIS (intramuros),11,0.23975409836065573
EPINAL,PARIS (intramuros),12,0.12090163934426229
