origine,destination,delta_days,proba_open
JONZAC,BORDEAUX ST JEAN,0,0.9358974358974359
JONZAC,BORDEAUX ST JEAN,1,0.9246835443037974
JONZAC,BORDEAUX ST JEAN,2,0.91875
JONZAC,BORDEAUX ST JEAN,3,0.9030864197530865
JONZAC,BORDEAUX ST JEAN,4,0.8225609756097562
JONZAC,BORDEAUX ST JEAN,5,0.8134146341463415
JONZAC,BORDEAUX ST JEAN,6,0.8144578313253011
JONZAC,BORDEAUX ST JEAN,7,0.7898809523809524
JONZAC,BORDEAUX ST JEAN,8,0.7494117647058823
JONZAC,BORDEAUX ST JEAN,9,0.7127906976744186
JONZAC,BORDEAUX ST JEAN,10,0.7126436781609196
JONZAC,BORDEAUX ST JEAN,11,0.7204545454545455
JONZAC,BORDEAUX ST JEAN,12,0.6735955056179775
JONZAC,BORDEAUX ST JEAN,13,0.6705555555555556
JONZAC,BORDEAUX ST JEAN,14,0.6510989010989011
JONZAC,BORDEAUX ST JEAN,15,0.6614130434782609
JONZAC,BORDEAUX ST JEAN,16,0.6505376344086021
JONZAC,BORDEAUX ST JEAN,17,0.6563829787234042
JONZAC,BORDEAUX ST JEAN,18,0.651578947368421
JONZAC,BORDEAUX ST JEAN,19,0.6489473684210526
JONZAC,BORDEAUX ST JEAN,20,0.6541666666666667
JONZAC,BORDEAUX ST JEAN,21,0.6364583333333333
JONZAC,BORDEAUX ST JEAN,22,0.6201030927835052
JONZAC,BORDEAUX ST JEAN,23,0.6056122448979592
JONZAC,BORDEAUX ST JEAN,24,0.6106060606060606
JONZAC,BORDEAUX ST JEAN,25,0.6125
JONZAC,BORDEAUX ST JEAN,26,0.6154999999999999
JONZAC,BORDEAUX ST JEAN,27,0.6277227722772277
JONZAC,BORDEAUX ST JEAN,28,0.6297029702970297
JONZAC,BORDEAUX ST JEAN,29,0.6294117647058823
JONZAC,BORDEAUX ST JEAN,30,0.031862745098039214
LA ROCHE SUR YON,BORDEAUX ST JEAN,0,0.9352564102564103
LA ROCHE SUR YON,BORDEAUX ST JEAN,1,0.9240506329113924
LA ROCHE SUR YON,BORDEAUX ST JEAN,2,0.92125
LA ROCHE SUR YON,BORDEAUX ST JEAN,3,0.9
LA ROCHE SUR YON,BORDEAUX ST JEAN,4,0.8195121951219513
LA ROCHE SUR YON,BORDEAUX ST JEAN,5,0.8182926829268292
LA ROCHE SUR YON,BORDEAUX ST JEAN,6,0.8174698795180723
LA ROCHE SUR YON,BORDEAUX ST JEAN,7,0.7910714285714286
LA ROCHE SUR YON,BORDEAUX ST JEAN,8,0.7488235294117647
LA ROCHE SUR YON,BORDEAUX ST JEAN,9,0.708139534883721
LA ROCHE SUR YON,BORDEAUX ST JEAN,10,0.7114942528735632
LA ROCHE SUR YON,BORDEAUX ST JEAN,11,0.7193181818181817
LA ROCHE SUR YON,BORDEAUX ST JEAN,12,0.6724719101123595
LA ROCHE SUR YON,BORDEAUX ST JEAN,13,0.6772222222222223
LA ROCHE SUR YON,BORDEAUX ST JEAN,14,0.6565934065934066
LA ROCHE SUR YON,BORDEAUX ST JEAN,15,0.657608695652174
LA ROCHE SUR YON,BORDEAUX ST JEAN,16,0.6494623655913978
LA ROCHE SUR YON,BORDEAUX ST JEAN,17,0.6558510638297872
LA ROCHE SUR YON,BORDEAUX ST JEAN,18,0.6568421052631579
LA ROCHE SUR YON,BORDEAUX ST JEAN,19,0.6505263157894736
LA ROCHE SUR YON,BORDEAUX ST JEAN,20,0.6531250000000001
LA ROCHE SUR YON,BORDEAUX ST JEAN,21,0.6322916666666667
LA ROCHE SUR YON,BORDEAUX ST JEAN,22,0.6175257731958763
LA ROCHE SUR YON,BORDEAUX ST JEAN,23,0.6030612244897959
LA ROCHE SUR YON,BORDEAUX ST JEAN,24,0.6070707070707071
LA ROCHE SUR YON,BORDEAUX ST JEAN,25,0.604
LA ROCHE SUR YON,BORDEAUX ST JEAN,26,0.6114999999999999
LA ROCHE SUR YON,BORDEAUX ST JEAN,27,0.6301980198019802
LA ROCHE SUR YON,BORDEAUX ST JEAN,28,0.6321782178217822
LA ROCHE SUR YON,BORDEAUX ST JEAN,29,0.6294117647058823
LA ROCHE SUR YON,BORDEAUX ST JEAN,30,0.028431372549019607
LA ROCHE SUR YON,JONZAC,0,0.9365384615384615
LA ROCHE SUR YON,JONZAC,1,0.9265822784810127
LA ROCHE SUR YON,JONZAC,2,0.909375
LA ROCHE SUR YON,JONZAC,3,0.8981481481481481
LA ROCHE SUR YON,JONZAC,4,0.7871951219512194
LA ROCHE SUR YON,JONZAC,5,0.7804878048780488
LA ROCHE SUR YON,JONZAC,6,0.7903614457831325
LA ROCHE SUR YON,JONZAC,7,0.7714285714285714
LA ROCHE SUR YON,JONZAC,8,0.7282352941176471
LA ROCHE SUR YON,JONZAC,9,0.7017441860465117
LA ROCHE SUR YON,JONZAC,10,0.7086206896551724
LA ROCHE SUR YON,JONZAC,11,0.7193181818181817
LA ROCHE SUR YON,JONZAC,12,0.6747191011235955
LA ROCHE SUR YON,JONZAC,13,0.6761111111111111
LA ROCHE SUR YON,JONZAC,14,0.6538461538461539
LA ROCHE SUR YON,JONZAC,15,0.6516304347826087
LA ROCHE SUR YON,JONZAC,16,0.6473118279569893
LA ROCHE SUR YON,JONZAC,17,0.6526595744680851
LA ROCHE SUR YON,JONZAC,18,0.6552631578947369
LA ROCHE SUR YON,JONZAC,19,0.648421052631579
LA ROCHE SUR YON,JONZAC,20,0.6442708333333333
LA ROCHE SUR YON,JONZAC,21,0.6286458333333333
LA ROCHE SUR YON,JONZAC,22,0.6190721649484536
LA ROCHE SUR YON,JONZAC,23,0.6040816326530613
LA ROCHE SUR YON,JONZAC,24,0.6151515151515151
LA ROCHE SUR YON,JONZAC,25,0.612
LA ROCHE SUR YON,JONZAC,26,0.612
LA ROCHE SUR YON,JONZAC,27,0.6331683168316832
LA ROCHE SUR YON,JONZAC,28,0.6331683168316832
LA ROCHE SUR YON,JONZAC,29,0.6279411764705882
LA ROCHE SUR YON,JONZAC,30,0.030392156862745098
LA ROCHE SUR YON,LA ROCHELLE VILLE,0,0.9352564102564103
LA ROCHE SUR YON,LA ROCHELLE VILLE,1,0.9253164556962025
LA ROCHE SUR YON,LA ROCHELLE VILLE,2,0.91375
LA ROCHE SUR YON,LA ROCHELLE VILLE,3,0.8950617283950617
LA ROCHE SUR YON,LA ROCHELLE VILLE,4,0.7884146341463415
LA ROCHE SUR YON,LA ROCHELLE VILLE,5,0.7829268292682927
LA ROCHE SUR YON,LA ROCHELLE VILLE,6,0.791566265060241
LA ROCHE SUR YON,LA ROCHELLE VILLE,7,0.7732142857142857
LA ROCHE SUR YON,LA ROCHELLE VILLE,8,0.7311764705882353
LA ROCHE SUR YON,LA ROCHELLE VILLE,9,0.7011627906976744
LA ROCHE SUR YON,LA ROCHELLE VILLE,10,0.7091954022988506
LA ROCHE SUR YON,LA ROCHELLE VILLE,11,0.71875
LA ROCHE SUR YON,LA ROCHELLE VILLE,12,0.6674157303370787
LA ROCHE SUR YON,LA ROCHELLE VILLE,13,0.675
LA ROCHE SUR YON,LA ROCHELLE VILLE,14,0.6538461538461539
LA ROCHE SUR YON,LA ROCHELLE VILLE,15,0.6510869565217391
LA ROCHE SUR YON,LA ROCHELLE VILLE,16,0.6473118279569893
LA ROCHE SUR YON,LA ROCHELLE VILLE,17,0.6569148936170213
LA ROCHE SUR YON,LA ROCHELLE VILLE,18,0.6563157894736842
LA ROCHE SUR YON,LA ROCHELLE VILLE,19,0.651578947368421
LA ROCHE SUR YON,LA ROCHELLE VILLE,20,0.6447916666666667
LA ROCHE SUR YON,LA ROCHELLE VILLE,21,0.6255208333333333
LA ROCHE SUR YON,LA ROCHELLE VILLE,22,0.6175257731958763
LA ROCHE SUR YON,LA ROCHELLE VILLE,23,0.6056122448979592
