origine,destination,delta_days,proba_open
ARVANT,AUMONT AUBRAC,0,0.994736842105263
ARVANT,AUMONT AUBRAC,1,0.9717948717948718
ARVANT,AUMONT AUBRAC,2,0.9475
ARVANT,AUMONT AUBRAC,3,0.9195121951219513
ARVANT,AUMONT AUBRAC,4,0.0036585365853658543
ARVANT,AUMONT AUBRAC,5,0.0
ARVANT,AUMONT AUBRAC,6,0.0
ARVANT,AUMONT AUBRAC,7,0.0
ARVANT,AUMONT AUBRAC,8,0.0
ARVANT,AUMONT AUBRAC,9,0.0
ARVANT,AUMONT AUBRAC,10,0.0
ARVANT,AUMONT AUBRAC,11,0.0
ARVANT,AUMONT AUBRAC,12,0.0
ARVANT,AUMONT AUBRAC,13,0.0
ARVANT,AUMONT AUBRAC,14,0.0
ARVANT,AUMONT AUBRAC,15,0.0
ARVANT,AUMONT AUBRAC,16,0.0
ARVANT,AUMONT AUBRAC,17,0.0
ARVANT,AUMONT AUBRAC,18,0.0
ARVANT,AUMONT AUBRAC,19,0.0
ARVANT,AUMONT AUBRAC,20,0.0
ARVANT,AUMONT AUBRAC,21,0.0
ARVANT,AUMONT AUBRAC,22,0.0
ARVANT,AUMONT AUBRAC,23,0.0
ARVANT,AUMONT AUBRAC,24,0.0
ARVANT,AUMONT AUBRAC,25,0.0
ARVANT,AUMONT AUBRAC,26,0.0
ARVANT,AUMONT AUBRAC,27,0.0
ARVANT,AUMONT AUBRAC,28,0.0
ARVANT,AUMONT AUBRAC,29,0.0
ARVANT,AUMONT AUBRAC,30,0.0
ARVANT,BANASSAC LA CANOURGUE,0,0.9986842105263158
ARVANT,BANASSAC LA CANOURGUE,1,0.9743589743589743
ARVANT,BANASSAC LA CANOURGUE,2,0.95
ARVANT,BANASSAC LA CANOURGUE,3,0.924390243902439
ARVANT,BANASSAC LA CANOURGUE,4,0.013414634146341465
ARVANT,BANASSAC LA CANOURGUE,5,0.0024390243902439024
ARVANT,BANASSAC LA CANOURGUE,6,0.0
ARVANT,BANASSAC LA CANOURGUE,7,0.0
ARVANT,BANASSAC LA CANOURGUE,8,0.0
ARVANT,BANASSAC LA CANOURGUE,9,0.0
ARVANT,BANASSAC LA CANOURGUE,10,0.0
ARVANT,BANASSAC LA CANOURGUE,11,0.0
ARVANT,BANASSAC LA CANOURGUE,12,0.0
ARVANT,BANASSAC LA CANOURGUE,13,0.0
ARVANT,BANASSAC LA CANOURGUE,14,0.0
ARVANT,BANASSAC LA CANOURGUE,15,0.0
ARVANT,BANASSAC LA CANOURGUE,16,0.0
ARVANT,BANASSAC LA CANOURGUE,17,0.0
ARVANT,BANASSAC LA CANOURGUE,18,0.0
ARVANT,BANASSAC LA CANOURGUE,19,0.0
ARVANT,BANASSAC LA CANOURGUE,20,0.0
ARVANT,BANASSAC LA CANOURGUE,21,0.0
ARVANT,BANASSAC LA CANOURGUE,22,0.0
ARVANT,BANASSAC LA CANOURGUE,23,0.0
ARVANT,BANASSAC LA CANOURGUE,24,0.0
ARVANT,BANASSAC LA CANOURGUE,25,0.0
ARVANT,BANASSAC LA CANOURGUE,26,0.0
ARVANT,BANASSAC LA CANOURGUE,27,0.0
ARVANT,BANASSAC LA CANOURGUE,28,0.0
ARVANT,BANASSAC LA CANOURGUE,29,0.0
ARVANT,BANASSAC LA CANOURGUE,30,0.0
ARVANT,BEDARIEUX,0,0.9986842105263158
ARVANT,BEDARIEUX,1,0.9730769230769232
ARVANT,BEDARIEUX,2,0.95
ARVANT,BEDARIEUX,3,0.924390243902439
ARVANT,BEDARIEUX,4,0.012195121951219513
ARVANT,BEDARIEUX,5,0.0012195121951219512
ARVANT,BEDARIEUX,6,0.0
ARVANT,BEDARIEUX,7,0.0
ARVANT,BEDARIEUX,8,0.0
ARVANT,BEDARIEUX,9,0.0
ARVANT,BEDARIEUX,10,0.0
ARVANT,BEDARIEUX,11,0.0
ARVANT,BEDARIEUX,12,0.0
ARVANT,BEDARIEUX,13,0.0
ARVANT,BEDARIEUX,14,0.0
ARVANT,BEDARIEUX,15,0.0
ARVANT,BEDARIEUX,16,0.0
ARVANT,BEDARIEUX,17,0.0
ARVANT,BEDARIEUX,18,0.0
ARVANT,BEDARIEUX,19,0.0
ARVANT,BEDARIEUX,20,0.0
ARVANT,BEDARIEUX,21,0.0
ARVANT,BEDARIEUX,22,0.0
ARVANT,BEDARIEUX,23,0.0
ARVANT,BEDARIEUX,24,0.0
ARVANT,BEDARIEUX,25,0.0
ARVANT,BEDARIEUX,26,0.0
ARVANT,BEDARIEUX,27,0.0
ARVANT,BEDARIEUX,28,0.0
ARVANT,BEDARIEUX,29,0.0
ARVANT,BEDARIEUX,30,0.0
ARVANT,BEZIERS,0,0.9986842105263158
ARVANT,BEZIERS,1,0.9743589743589743
ARVANT,BEZIERS,2,0.95
ARVANT,BEZIERS,3,0.9195121951219513
ARVANT,BEZIERS,4,0.013414634146341465
ARVANT,BEZIERS,5,0.0024390243902439024
ARVANT,BEZIERS,6,0.0
ARVANT,BEZIERS,7,0.0
ARVANT,BEZIERS,8,0.0
ARVANT,BEZIERS,9,0.0
ARVANT,BEZIERS,10,0.0
ARVANT,BEZIERS,11,0.0
ARVANT,BEZIERS,12,0.0
ARVANT,BEZIERS,13,0.0
ARVANT,BEZIERS,14,0.0
ARVANT,BEZIERS,15,0.0
ARVANT,BEZIERS,16,0.0
ARVANT,BEZIERS,17,0.0
ARVANT,BEZIERS,18,0.0
ARVANT,BEZIERS,19,0.0
ARVANT,BEZIERS,20,0.0
ARVANT,BEZIERS,21,0.0
ARVANT,BEZIERS,22,0.0
ARVANT,BEZIERS,23,0.0
ARVANT,BEZIERS,24,0.0
ARVANT,BEZIERS,25,0.0
ARVANT,BEZIERS,26,0.0
ARVANT,BEZIERS,27,0.0
ARVANT,BEZIERS,28,0.0
ARVANT,BEZIERS,29,0.0
ARVANT,BEZIERS,30,0.0
ARVANT,CAMPAGNAC ST GENIEZ,0,0.9986842105263158
ARVANT,CAMPAGNAC ST GENIEZ,1,0.9730769230769232
ARVANT,CAMPAGNAC ST GENIEZ,2,0.945
ARVANT,CAMPAGNAC ST GENIEZ,3,0.921951219512195
ARVANT,CAMPAGNAC ST GENIEZ,4,0.013414634146341465
ARVANT,CAMPAGNAC ST GENIEZ,5,0.0012195121951219512
ARVANT,CAMPAGNAC ST GENIEZ,6,0.0
ARVANT,CAMPAGNAC ST GENIEZ,7,0.0
ARVANT,CAMPAGNAC ST GENIEZ,8,0.0
ARVANT,CAMPAGNAC ST GENIEZ,9,0.0
ARVANT,CAMPAGNAC ST GENIEZ,10,0.0
ARVANT,CAMPAGNAC ST GENIEZ,11,0.0
ARVANT,CAMPAGNAC ST GENIEZ,12,0.0
ARVANT,CAMPAGNAC ST GENIEZ,13,0.0
ARVANT,CAMPAGNAC ST GENIEZ,14,0.0
ARVANT,CAMPAGNAC ST GENIEZ,15,0.0
ARVANT,CAMPAGNAC ST GENIEZ,16,0.0
ARVANT,CAMPAGNAC ST GENIEZ,17,0.0
ARVANT,CAMPAGNAC ST GENIEZ,18,0.0
ARVANT,CAMPAGNAC ST GENIEZ,19,0.0
ARVANT,CAMPAGNAC ST GENIEZ,20,0.0
ARVANT,CAMPAGNAC ST GENIEZ,21,0.0
ARVANT,CAMPAGNAC ST GENIEZ,22,0.0
ARVANT,CAMPAGNAC ST GENIEZ,23,0.0
ARVANT,CAMPAGNAC ST GENIEZ,24,0.0
ARVANT,CAMPAGNAC ST GENIEZ,25,0.0
ARVANT,CAMPAGNAC ST GENIEZ,26,0.0
ARVANT,CAMPAGNAC ST GENIEZ,27,0.0
ARVANT,CAMPAGNAC ST GENIEZ,28,0.0
ARVANT,CAMPAGNAC ST GENIEZ,29,0.0
ARVANT,CAMPAGNAC ST GENIEZ,30,0.0
ARVANT,CEILHES ROQUEREDONDE,0,0.994736842105263
ARVANT,CEILHES ROQUEREDONDE,1,0.9730769230769232
ARVANT,CEILHES ROQUEREDONDE,2,0.9475
ARVANT,CEILHES ROQUEREDONDE,3,0.9207317073170732
ARVANT,CEILHES ROQUEREDONDE,4,0.015853658536585366
ARVANT,CEILHES ROQUEREDONDE,5,0.0012195121951219512
ARVANT,CEILHES ROQUEREDONDE,6,0.0
ARVANT,CEILHES ROQUEREDONDE,7,0.0
ARVANT,CEILHES ROQUEREDONDE,8,0.0
ARVANT,CEILHES ROQUEREDONDE,9,0.0
ARVANT,CEILHES ROQUEREDONDE,10,0.0
ARVANT,CEILHES ROQUEREDONDE,11,0.0
ARVANT,CEILHES ROQUEREDONDE,12,0.0
ARVANT,CEILHES ROQUEREDONDE,13,0.0
ARVANT,CEILHES ROQUEREDONDE,14,0.0
ARVANT,CEILHES ROQUEREDONDE,15,0.0
ARVANT,CEILHES ROQUEREDONDE,16,0.0
ARVANT,CEILHES ROQUEREDONDE,17,0.0
ARVANT,CEILHES ROQUEREDONDE,18,0.0
ARVANT,CEILHES ROQUEREDONDE,19,0.0
ARVANT,CEILHES ROQUEREDONDE,20,0.0
ARVANT,CEILHES ROQUEREDONDE,21,0.0
ARVANT,CEILHES ROQUEREDONDE,22,0.0
ARVANT,CEILHES ROQUEREDONDE,23,0.0
ARVANT,CEILHES ROQUEREDONDE,24,0.0
ARVANT,CEILHES ROQUEREDONDE,25,0.0
ARVANT,CEILHES ROQUEREDONDE,26,0.0
ARVANT,CEILHES ROQUEREDONDE,27,0.0
ARVANT,CEILHES ROQUEREDONDE,28,0.0
ARVANT,CEILHES ROQUEREDONDE,29,0.0
ARVANT,CEILHES ROQUEREDONDE,30,0.0
ARVANT,LE BOUSQUET D'ORB,0,0.9960526315789474
ARVANT,LE BOUSQUET D'ORB,1,0.9730769230769232
ARVANT,LE BOUSQUET D'ORB,2,0.95
ARVANT,LE BOUSQUET D'ORB,3,0.924390243902439
ARVANT,LE BOUSQUET D'ORB,4,0.006097560975609756
ARVANT,LE BOUSQUET D'ORB,5,0.0
ARVANT,LE BOUSQUET D'ORB,6,0.0
ARVANT,LE BOUSQUET D'ORB,7,0.0
ARVANT,LE BOUSQUET D'ORB,8,0.0
ARVANT,LE BOUSQUET D'ORB,9,0.0
ARVANT,LE BOUSQUET D'ORB,10,0.0
ARVANT,LE BOUSQUET D'ORB,11,0.0
ARVANT,LE BOUSQUET D'ORB,12,0.0
ARVANT,LE BOUSQUET D'ORB,13,0.0
ARVANT,LE BOUSQUET D'ORB,14,0.0
ARVANT,LE BOUSQUET D'ORB,15,0.0
ARVANT,LE BOUSQUET D'ORB,16,0.0
ARVANT,LE BOUSQUET D'ORB,17,0.0
ARVANT,LE BOUSQUET D'ORB,18,0.0
ARVANT,LE BOUSQUET D'ORB,19,0.0
ARVANT,LE BOUSQUET D'ORB,20,0.0
ARVANT,LE BOUSQUET D'ORB,21,0.0
ARVANT,LE BOUSQUET D'ORB,22,0.0
ARVANT,LE BOUSQUET D'ORB,23,0.0
ARVANT,LE BOUSQUET D'ORB,24,0.0
ARVANT,LE BOUSQUET D'ORB,25,0.0
ARVANT,LE BOUSQUET D'ORB,26,0.0
ARVANT,LE BOUSQUET D'ORB,27,0.0
ARVANT,LE BOUSQUET D'ORB,28,0.0
ARVANT,LE BOUSQUET D'ORB,29,0.0
ARVANT,LE BOUSQUET D'ORB,30,0.0
ARVANT,LE MONASTIER,0,0.9973684210526316
ARVANT,LE MONASTIER,1,0.9743589743589743
ARVANT,LE MONASTIER,2,0.95
ARVANT,LE MONASTIER,3,0.924390243902439
ARVANT,LE MONASTIER,4,0.00975609756097561
