origine,destination,delta_days,proba_open
ARRAS,BOULOGNE VILLE,0,0.65
ARRAS,BOULOGNE VILLE,1,0.65
ARRAS,BOULOGNE VILLE,2,0.65
ARRAS,BOULOGNE VILLE,3,0.3833333333333333
ARRAS,BOULOGNE VILLE,4,0.35000000000000003
ARRAS,BOULOGNE VILLE,5,0.3333333333333333
ARRAS,BOULOGNE VILLE,6,0.3333333333333333
ARRAS,BOULOGNE VILLE,7,0.3333333333333333
ARRAS,BOULOGNE VILLE,8,0.3333333333333333
ARRAS,BOULOGNE VILLE,9,0.3333333333333333
ARRAS,BOULOGNE VILLE,10,0.3333333333333333
ARRAS,BOULOGNE VILLE,11,0.35000000000000003
ARRAS,BOULOGNE VILLE,12,0.3333333333333333
ARRAS,BOULOGNE VILLE,13,0.3333333333333333
ARRAS,BOULOGNE VILLE,14,0.3333333333333333
ARRAS,BOULOGNE VILLE,15,0.3333333333333333
ARRAS,BOULOGNE VILLE,16,0.3333333333333333
ARRAS,BOULOGNE VILLE,17,0.3333333333333333
ARRAS,BOULOGNE VILLE,18,0.3333333333333333
ARRAS,BOULOGNE VILLE,19,0.3333333333333333
ARRAS,BOULOGNE VILLE,20,0.3333333333333333
ARRAS,BOULOGNE VILLE,21,0.3333333333333333
ARRAS,BOULOGNE VILLE,22,0.3333333333333333
ARRAS,BOULOGNE VILLE,23,0.3333333333333333
ARRAS,BOULOGNE VILLE,24,0.3333333333333333
ARRAS,BOULOGNE VILLE,25,0.3333333333333333
ARRAS,BOULOGNE VILLE,26,0.3333333333333333
ARRAS,BOULOGNE VILLE,27,0.3333333333333333
ARRAS,BOULOGNE VILLE,28,0.31666666666666665
ARRAS,BOULOGNE VILLE,29,0.3
ARRAS,BOULOGNE VILLE,30,0.016666666666666666
ARRAS,CALAIS FRETHUN,0,0.51
ARRAS,CALAIS FRETHUN,1,0.4
ARRAS,CALAIS FRETHUN,2,0.4
ARRAS,CALAIS FRETHUN,3,0.22000000000000003
ARRAS,CALAIS FRETHUN,4,0.22000000000000003
ARRAS,CALAIS FRETHUN,5,0.2
ARRAS,CALAIS FRETHUN,6,0.2
ARRAS,CALAIS FRETHUN,7,0.2
ARRAS,CALAIS FRETHUN,8,0.2
ARRAS,CALAIS FRETHUN,9,0.2
