origine,destination,delta_days,proba_open
AIX EN PROVENCE TGV,ANTIBES,0,0.6481012658227848
AIX EN PROVENCE TGV,ANTIBES,1,0.6371794871794872
AIX EN PROVENCE TGV,ANTIBES,2,0.6331168831168831
AIX EN PROVENCE TGV,ANTIBES,3,0.6201298701298701
AIX EN PROVENCE TGV,ANTIBES,4,0.4902597402597403
AIX EN PROVENCE TGV,ANTIBES,5,0.46153846153846156
AIX EN PROVENCE TGV,ANTIBES,6,0.46582278481012657
AIX EN PROVENCE TGV,ANTIBES,7,0.460126582278481
AIX EN PROVENCE TGV,ANTIBES,8,0.46987179487179487
AIX EN PROVENCE TGV,ANTIBES,9,0.45384615384615384
AIX EN PROVENCE TGV,ANTIBES,10,0.45961538461538465
AIX EN PROVENCE TGV,ANTIBES,11,0.4474358974358974
AIX EN PROVENCE TGV,ANTIBES,12,0.32051282051282054
AIX EN PROVENCE TGV,ANTIBES,13,0.329746835443038
AIX EN PROVENCE TGV,ANTIBES,14,0.3310126582278481
AIX EN PROVENCE TGV,ANTIBES,15,0.3301282051282051
AIX EN PROVENCE TGV,ANTIBES,16,0.34545454545454546
AIX EN PROVENCE TGV,ANTIBES,17,0.3525974025974026
AIX EN PROVENCE TGV,ANTIBES,18,0.3409090909090909
AIX EN PROVENCE TGV,ANTIBES,19,0.3435897435897436
AIX EN PROVENCE TGV,ANTIBES,20,0.3814102564102564
AIX EN PROVENCE TGV,ANTIBES,21,0.40512820512820513
AIX EN PROVENCE TGV,ANTIBES,22,0.37597402597402596
AIX EN PROVENCE TGV,ANTIBES,23,0.3697368421052632
AIX EN PROVENCE TGV,ANTIBES,24,0.35592105263157897
AIX EN PROVENCE TGV,ANTIBES,25,0.3546052631578947
AIX EN PROVENCE TGV,ANTIBES,26,0.37105263157894736
AIX EN PROVENCE TGV,ANTIBES,27,0.3815789473684211
AIX EN PROVENCE TGV,ANTIBES,28,0.3782894736842105
AIX EN PROVENCE TGV,ANTIBES,29,0.3486666666666666
AIX EN PROVENCE TGV,ANTIBES,30,0.046621621621621624
AIX EN PROVENCE TGV,CANNES,0,0.6449367088607595
AIX EN PROVENCE TGV,CANNES,1,0.6403846153846154
AIX EN PROVENCE TGV,CANNES,2,0.6422077922077922
AIX EN PROVENCE TGV,CANNES,3,0.6162337662337662
AIX EN PROVENCE TGV,CANNES,4,0.5
AIX EN PROVENCE TGV,CANNES,5,0.46923076923076923
AIX EN PROVENCE TGV,CANNES,6,0.46329113924050636
AIX EN PROVENCE TGV,CANNES,7,0.46139240506329116
AIX EN PROVENCE TGV,CANNES,8,0.4666666666666667
AIX EN PROVENCE TGV,CANNES,9,0.45064102564102565
AIX EN PROVENCE TGV,CANNES,10,0.45961538461538465
AIX EN PROVENCE TGV,CANNES,11,0.4423076923076923
AIX EN PROVENCE TGV,CANNES,12,0.3211538461538462
AIX EN PROVENCE TGV,CANNES,13,0.33354430379746836
AIX EN PROVENCE TGV,CANNES,14,0.3291139240506329
AIX EN PROVENCE TGV,CANNES,15,0.3371794871794872
AIX EN PROVENCE TGV,CANNES,16,0.34675324675324676
AIX EN PROVENCE TGV,CANNES,17,0.35129870129870133
AIX EN PROVENCE TGV,CANNES,18,0.34545454545454546
AIX EN PROVENCE TGV,CANNES,19,0.34935897435897434
AIX EN PROVENCE TGV,CANNES,20,0.38076923076923075
AIX EN PROVENCE TGV,CANNES,21,0.3974358974358974
AIX EN PROVENCE TGV,CANNES,22,0.37077922077922076
AIX EN PROVENCE TGV,CANNES,23,0.3671052631578947
AIX EN PROVENCE TGV,CANNES,24,0.35855263157894735
AIX EN PROVENCE TGV,CANNES,25,0.35855263157894735
AIX EN PROVENCE TGV,CANNES,26,0.3697368421052632
