origine,destination,delta_days,proba_open
BASEL SBB,ZURICH HB,0,0.0
BASEL SBB,ZURICH HB,1,0.0
BASEL SBB,ZURICH HB,2,0.0
BASEL SBB,ZURICH HB,3,0.0
BASEL SBB,ZURICH HB,4,0.0
BASEL SBB,ZURICH HB,5,0.0
BASEL SBB,ZURICH HB,6,0.0
BASEL SBB,ZURICH HB,7,0.0
BASEL SBB,ZURICH HB,8,0.0
BASEL SBB,ZURICH HB,9,0.0
BASEL SBB,ZURICH HB,10,0.0
BASEL SBB,ZURICH HB,11,0.0
BASEL SBB,ZURICH HB,12,0.0
BASEL SBB,ZURICH HB,13,0.0
BASEL SBB,ZURICH HB,14,0.0
BASEL SBB,ZURICH HB,15,0.0
BASEL SBB,ZURICH HB,16,0.0
BASEL SBB,ZURICH HB,17,0.0
BASEL SBB,ZURICH HB,18,0.0
BASEL SBB,ZURICH HB,19,0.0
BASEL SBB,ZURICH HB,20,0.0
BASEL SBB,ZURICH HB,21,0.0
BASEL SBB,ZURICH HB,22,0.0
BASEL SBB,ZURICH HB,23,0.0
BASEL SBB,ZURICH HB,24,0.0
BASEL SBB,ZURICH HB,25,0.0
BASEL SBB,ZURICH HB,26,0.0
BASEL SBB,ZURICH HB,27,0.0
BASEL SBB,ZURICH HB,28,0.0
BASEL SBB,ZURICH HB,29,0.0
BASEL SBB,ZURICH HB,30,0.0
BELFORT MONTBELIARD TGV,BASEL SBB,0,0.0
BELFORT MONTBELIARD TGV,BASEL SBB,1,0.0
BELFORT MONTBELIARD TGV,BASEL SBB,2,0.0
BELFORT MONTBELIARD TGV,BASEL SBB,3,0.0
BELFORT MONTBELIARD TGV,BASEL SBB,4,0.0
BELFORT MONTBELIARD TGV,BASEL SBB,5,0.0
BELFORT MONTBELIARD TGV,BASEL SBB,6,0.0
BELFORT MONTBELIARD TGV,BASEL SBB,7,0.0
BELFORT MONTBELIARD TGV,BASEL SBB,8,0.0
BELFORT MONTBELIARD TGV,BASEL SBB,9,0.0
BELFORT MONTBELIARD TGV,BASEL SBB,10,0.0
BELFORT MONTBELIARD TGV,BASEL SBB,11,0.0
BELFORT MONTBELIARD TGV,BASEL SBB,12,0.0
BELFORT MONTBELIARD TGV,BASEL SBB,13,0.0
BELFORT MONTBELIARD TGV,BASEL SBB,14,0.0
BELFORT MONTBELIARD TGV,BASEL SBB,15,0.0
BELFORT MONTBELIARD TGV,BASEL SBB,16,0.0
BELFORT MONTBELIARD TGV,BASEL SBB,17,0.0
BELFORT MONTBELIARD TGV,BASEL SBB,18,0.0
BELFORT MONTBELIARD TGV,BASEL SBB,19,0.0
BELFORT MONTBELIARD TGV,BASEL SBB,20,0.0
BELFORT MONTBELIARD TGV,BASEL SBB,21,0.0
BELFORT MONTBELIARD TGV,BASEL SBB,22,0.0
BELFORT MONTBELIARD TGV,BASEL SBB,23,0.0
BELFORT MONTBELIARD TGV,BASEL SBB,24,0.0
BELFORT MONTBELIARD TGV,BASEL SBB,25,0.0
BELFORT MONTBELIARD TGV,BASEL SBB,26,0.0
BELFORT MONTBELIARD TGV,BASEL SBB,27,0.0
BELFORT MONTBELIARD TGV,BASEL SBB,28,0.0
BELFORT MONTBELIARD TGV,BASEL SBB,29,0.0
BELFORT MONTBELIARD TGV,BASEL SBB,30,0.0
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,0,0.0018987341772151902
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,1,0.0015923566878980893
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,2,0.0012738853503184715
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,3,0.0009493670886075951
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,4,0.0009433962264150945
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,5,0.0003144654088050315
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,6,0.0
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,7,0.0
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,8,0.0
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,9,0.0
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,10,0.0
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,11,0.0
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,12,0.0
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,13,0.0
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,14,0.0
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,15,0.0
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,16,0.0
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,17,0.0
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,18,0.0
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,19,0.0
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,20,0.0
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,21,0.0
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,22,0.0
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,23,0.0009316770186335405
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,24,0.000625
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,25,0.0003125
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,26,0.0009433962264150945
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,27,0.000628930817610063
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,28,0.0006329113924050633
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,29,0.0012658227848101266
BELFORT MONTBELIARD TGV,MULHOUSE VILLE,30,0.00031847133757961787
BELFORT MONTBELIARD TGV,ZURICH HB,0,0.0
BELFORT MONTBELIARD TGV,ZURICH HB,1,0.0
BELFORT MONTBELIARD TGV,ZURICH HB,2,0.0
BELFORT MONTBELIARD TGV,ZURICH HB,3,0.0
BELFORT MONTBELIARD TGV,ZURICH HB,4,0.0
BELFORT MONTBELIARD TGV,ZURICH HB,5,0.0
BELFORT MONTBELIARD TGV,ZURICH HB,6,0.0
BELFORT MONTBELIARD TGV,ZURICH HB,7,0.0
BELFORT MONTBELIARD TGV,ZURICH HB,8,0.0
BELFORT MONTBELIARD TGV,ZURICH HB,9,0.0
BELFORT MONTBELIARD TGV,ZURICH HB,10,0.0
BELFORT MONTBELIARD TGV,ZURICH HB,11,0.0
BELFORT MONTBELIARD TGV,ZURICH HB,12,0.0
BELFORT MONTBELIARD TGV,ZURICH HB,13,0.0
BELFORT MONTBELIARD TGV,ZURICH HB,14,0.0
BELFORT MONTBELIARD TGV,ZURICH HB,15,0.0
BELFORT MONTBELIARD TGV,ZURICH HB,16,0.0
BELFORT MONTBELIARD TGV,ZURICH HB,17,0.0
BELFORT MONTBELIARD TGV,ZURICH HB,18,0.0
BELFORT MONTBELIARD TGV,ZURICH HB,19,0.0
BELFORT MONTBELIARD TGV,ZURICH HB,20,0.0
BELFORT MONTBELIARD TGV,ZURICH HB,21,0.0
BELFORT MONTBELIARD TGV,ZURICH HB,22,0.0
BELFORT MONTBELIARD TGV,ZURICH HB,23,0.0
BELFORT MONTBELIARD TGV,ZURICH HB,24,0.0
BELFORT MONTBELIARD TGV,ZURICH HB,25,0.0
BELFORT MONTBELIARD TGV,ZURICH HB,26,0.0
BELFORT MONTBELIARD TGV,ZURICH HB,27,0.0
BELFORT MONTBELIARD TGV,ZURICH HB,28,0.0
BELFORT MONTBELIARD TGV,ZURICH HB,29,0.0
BELFORT MONTBELIARD TGV,ZURICH HB,30,0.0
DIJON VILLE,BASEL SBB,0,0.0
DIJON VILLE,BASEL SBB,1,0.0
DIJON VILLE,BASEL SBB,2,0.0
DIJON VILLE,BASEL SBB,3,0.0
DIJON VILLE,BASEL SBB,4,0.0
DIJON VILLE,BASEL SBB,5,0.0
DIJON VILLE,BASEL SBB,6,0.0
DIJON VILLE,BASEL SBB,7,0.0
DIJON VILLE,BASEL SBB,8,0.0
DIJON VILLE,BASEL SBB,9,0.0
DIJON VILLE,BASEL SBB,10,0.0
DIJON VILLE,BASEL SBB,11,0.0
DIJON VILLE,BASEL SBB,12,0.0
DIJON VILLE,BASEL SBB,13,0.0
DIJON VILLE,BASEL SBB,14,0.0
DIJON VILLE,BASEL SBB,15,0.0
DIJON VILLE,BASEL SBB,16,0.0
DIJON VILLE,BASEL SBB,17,0.0
DIJON VILLE,BASEL SBB,18,0.0
DIJON VILLE,BASEL SBB,19,0.0
DIJON VILLE,BASEL SBB,20,0.0
DIJON VILLE,BASEL SBB,21,0.0
DIJON VILLE,BASEL SBB,22,0.0
DIJON VILLE,BASEL SBB,23,0.0
DIJON VILLE,BASEL SBB,24,0.0
DIJON VILLE,BASEL SBB,25,0.0
DIJON VILLE,BASEL SBB,26,0.0
DIJON VILLE,BASEL SBB,27,0.0
DIJON VILLE,BASEL SBB,28,0.0
DIJON VILLE,BASEL SBB,29,0.0
DIJON VILLE,BASEL SBB,30,0.0
DIJON VILLE,BELFORT MONTBELIARD TGV,0,0.0
DIJON VILLE,BELFORT MONTBELIARD TGV,1,0.0
DIJON VILLE,BELFORT MONTBELIARD TGV,2,0.0
DIJON VILLE,BELFORT MONTBELIARD TGV,3,0.0
DIJON VILLE,BELFORT MONTBELIARD TGV,4,0.0
DIJON VILLE,BELFORT MONTBELIARD TGV,5,0.0
DIJON VILLE,BELFORT MONTBELIARD TGV,6,0.0
DIJON VILLE,BELFORT MONTBELIARD TGV,7,0.0
DIJON VILLE,BELFORT MONTBELIARD TGV,8,0.0
DIJON VILLE,BELFORT MONTBELIARD TGV,9,0.0
DIJON VILLE,BELFORT MONTBELIARD TGV,10,0.0
DIJON VILLE,BELFORT MONTBELIARD TGV,11,0.0
DIJON VILLE,BELFORT MONTBELIARD TGV,12,0.0
DIJON VILLE,BELFORT MONTBELIARD TGV,13,0.0
DIJON VILLE,BELFORT MONTBELIARD TGV,14,0.0
DIJON VILLE,BELFORT MONTBELIARD TGV,15,0.0
DIJON VILLE,BELFORT MONTBELIARD TGV,16,0.0
DIJON VILLE,BELFORT MONTBELIARD TGV,17,0.0
DIJON VILLE,BELFORT MONTBELIARD TGV,18,0.0
DIJON VILLE,BELFORT MONTBELIARD TGV,19,0.0
DIJON VILLE,BELFORT MONTBELIARD TGV,20,0.0
DIJON VILLE,BELFORT MONTBELIARD TGV,21,0.0
DIJON VILLE,BELFORT MONTBELIARD TGV,22,0.0
DIJON VILLE,BELFORT MONTBELIARD TGV,23,0.0
DIJON VILLE,BELFORT MONTBELIARD TGV,24,0.0
DIJON VILLE,BELFORT MONTBELIARD TGV,25,0.0
DIJON VILLE,BELFORT MONTBELIARD TGV,26,0.0
DIJON VILLE,BELFORT MONTBELIARD TGV,27,0.0
DIJON VILLE,BELFORT MONTBELIARD TGV,28,0.0
DIJON VILLE,BELFORT MONTBELIARD TGV,29,0.0
DIJON VILLE,BELFORT MONTBELIARD TGV,30,0.0
DIJON VILLE,MULHOUSE VILLE,0,0.002232142857142857
