origine,destination,delta_days,proba_open
AGDE,BARCELONA SANTS,0,0.0
AGDE,BARCELONA SANTS,1,0.0
AGDE,BARCELONA SANTS,2,0.0
AGDE,BARCELONA SANTS,3,0.0
AGDE,BARCELONA SANTS,4,0.0
AGDE,BARCELONA SANTS,5,0.0
AGDE,BARCELONA SANTS,6,0.0
AGDE,BARCELONA SANTS,7,0.0
AGDE,BARCELONA SANTS,8,0.0
AGDE,BARCELONA SANTS,9,0.0
AGDE,BARCELONA SANTS,10,0.0
AGDE,BARCELONA SANTS,11,0.0
AGDE,BARCELONA SANTS,12,0.0
AGDE,BARCELONA SANTS,13,0.0
AGDE,BARCELONA SANTS,14,0.0
AGDE,BARCELONA SANTS,15,0.0
AGDE,BARCELONA SANTS,16,0.0
AGDE,BARCELONA SANTS,17,0.0
AGDE,BARCELONA SANTS,18,0.0
AGDE,BARCELONA SANTS,19,0.0
AGDE,BARCELONA SANTS,20,0.0
AGDE,BARCELONA SANTS,21,0.0
AGDE,BARCELONA SANTS,22,0.0
AGDE,BARCELONA SANTS,23,0.0
AGDE,BARCELONA SANTS,24,0.0
AGDE,BARCELONA SANTS,25,0.0
AGDE,BARCELONA SANTS,26,0.0
AGDE,BARCELONA SANTS,27,0.0
AGDE,BARCELONA SANTS,28,0.0
AGDE,BARCELONA SANTS,29,0.0
AGDE,BARCELONA SANTS,30,0.0
AGDE,BEZIERS,0,0.0058823529411764705
AGDE,BEZIERS,1,0.0
AGDE,BEZIERS,2,0.0
AGDE,BEZIERS,3,0.0
AGDE,BEZIERS,4,0.0
AGDE,BEZIERS,5,0.0
AGDE,BEZIERS,6,0.00625
AGDE,BEZIERS,7,0.0
AGDE,BEZIERS,8,0.0
AGDE,BEZIERS,9,0.0
AGDE,BEZIERS,10,0.0
AGDE,BEZIERS,11,0.003125
AGDE,BEZIERS,12,0.0
AGDE,BEZIERS,13,0.0
AGDE,BEZIERS,14,0.0
AGDE,BEZIERS,15,0.0
AGDE,BEZIERS,16,0.0
AGDE,BEZIERS,17,0.0
AGDE,BEZIERS,18,0.0
AGDE,BEZIERS,19,0.0
AGDE,BEZIERS,20,0.0
AGDE,BEZIERS,21,0.0
AGDE,BEZIERS,22,0.0
AGDE,BEZIERS,23,0.0
AGDE,BEZIERS,24,0.0
AGDE,BEZIERS,25,0.0
AGDE,BEZIERS,26,0.0
AGDE,BEZIERS,27,0.0
AGDE,BEZIERS,28,0.0
AGDE,BEZIERS,29,0.0
AGDE,BEZIERS,30,0.0
AGDE,FIGUERES VILAFANT,0,0.0
AGDE,FIGUERES VILAFANT,1,0.0
AGDE,FIGUERES VILAFANT,2,0.0
AGDE,FIGUERES VILAFANT,3,0.0
AGDE,FIGUERES VILAFANT,4,0.0
AGDE,FIGUERES VILAFANT,5,0.0
AGDE,FIGUERES VILAFANT,6,0.0
AGDE,FIGUERES VILAFANT,7,0.0
AGDE,FIGUERES VILAFANT,8,0.0
AGDE,FIGUERES VILAFANT,9,0.0
AGDE,FIGUERES VILAFANT,10,0.0
AGDE,FIGUERES VILAFANT,11,0.0
AGDE,FIGUERES VILAFANT,12,0.0
AGDE,FIGUERES VILAFANT,13,0.0
AGDE,FIGUERES VILAFANT,14,0.0
AGDE,FIGUERES VILAFANT,15,0.0
AGDE,FIGUERES VILAFANT,16,0.0
AGDE,FIGUERES VILAFANT,17,0.0
AGDE,FIGUERES VILAFANT,18,0.0
AGDE,FIGUERES VILAFANT,19,0.0
AGDE,FIGUERES VILAFANT,20,0.0
AGDE,FIGUERES VILAFANT,21,0.0
AGDE,FIGUERES VILAFANT,22,0.0
AGDE,FIGUERES VILAFANT,23,0.0
AGDE,FIGUERES VILAFANT,24,0.0
AGDE,FIGUERES VILAFANT,25,0.0
AGDE,FIGUERES VILAFANT,26,0.0
AGDE,FIGUERES VILAFANT,27,0.0
AGDE,FIGUERES VILAFANT,28,0.0
AGDE,FIGUERES VILAFANT,29,0.0
AGDE,FIGUERES VILAFANT,30,0.0
AGDE,GIRONA,0,0.0
AGDE,GIRONA,1,0.0
AGDE,GIRONA,2,0.0
AGDE,GIRONA,3,0.0
AGDE,GIRONA,4,0.0
AGDE,GIRONA,5,0.0
AGDE,GIRONA,6,0.0
AGDE,GIRONA,7,0.0
AGDE,GIRONA,8,0.0
AGDE,GIRONA,9,0.0
AGDE,GIRONA,10,0.0
AGDE,GIRONA,11,0.0
AGDE,GIRONA,12,0.0
AGDE,GIRONA,13,0.0
AGDE,GIRONA,14,0.0
AGDE,GIRONA,15,0.0
AGDE,GIRONA,16,0.0
AGDE,GIRONA,17,0.0
AGDE,GIRONA,18,0.0
AGDE,GIRONA,19,0.0
AGDE,GIRONA,20,0.0
AGDE,GIRONA,21,0.0
AGDE,GIRONA,22,0.0
AGDE,GIRONA,23,0.0
AGDE,GIRONA,24,0.0
AGDE,GIRONA,25,0.0
AGDE,GIRONA,26,0.0
AGDE,GIRONA,27,0.0
AGDE,GIRONA,28,0.0
AGDE,GIRONA,29,0.0
AGDE,GIRONA,30,0.0
AGDE,NARBONNE,0,0.0
AGDE,NARBONNE,1,0.0
AGDE,NARBONNE,2,0.0
AGDE,NARBONNE,3,0.0
AGDE,NARBONNE,4,0.0
AGDE,NARBONNE,5,0.0
AGDE,NARBONNE,6,0.0
AGDE,NARBONNE,7,0.0
AGDE,NARBONNE,8,0.0
AGDE,NARBONNE,9,0.0
AGDE,NARBONNE,10,0.0
AGDE,NARBONNE,11,0.003125
AGDE,NARBONNE,12,0.003125
AGDE,NARBONNE,13,0.0
AGDE,NARBONNE,14,0.0
AGDE,NARBONNE,15,0.0
AGDE,NARBONNE,16,0.0
AGDE,NARBONNE,17,0.0
AGDE,NARBONNE,18,0.0
AGDE,NARBONNE,19,0.0
AGDE,NARBONNE,20,0.0
AGDE,NARBONNE,21,0.0
AGDE,NARBONNE,22,0.0
AGDE,NARBONNE,23,0.0
AGDE,NARBONNE,24,0.0
AGDE,NARBONNE,25,0.0
AGDE,NARBONNE,26,0.0
AGDE,NARBONNE,27,0.0
AGDE,NARBONNE,28,0.0
AGDE,NARBONNE,29,0.0
AGDE,NARBONNE,30,0.0
AGDE,PERPIGNAN,0,0.0
AGDE,PERPIGNAN,1,0.0
AGDE,PERPIGNAN,2,0.0
AGDE,PERPIGNAN,3,0.0
AGDE,PERPIGNAN,4,0.0
AGDE,PERPIGNAN,5,0.0
AGDE,PERPIGNAN,6,0.0
AGDE,PERPIGNAN,7,0.0
AGDE,PERPIGNAN,8,0.0
AGDE,PERPIGNAN,9,0.0
AGDE,PERPIGNAN,10,0.0
AGDE,PERPIGNAN,11,0.0
AGDE,PERPIGNAN,12,0.0
AGDE,PERPIGNAN,13,0.0
AGDE,PERPIGNAN,14,0.0
AGDE,PERPIGNAN,15,0.0
AGDE,PERPIGNAN,16,0.0
AGDE,PERPIGNAN,17,0.0
AGDE,PERPIGNAN,18,0.0
AGDE,PERPIGNAN,19,0.0
AGDE,PERPIGNAN,20,0.0
AGDE,PERPIGNAN,21,0.0
AGDE,PERPIGNAN,22,0.0
AGDE,PERPIGNAN,23,0.0
AGDE,PERPIGNAN,24,0.0
AGDE,PERPIGNAN,25,0.0
AGDE,PERPIGNAN,26,0.0
AGDE,PERPIGNAN,27,0.0
