origine,destination,delta_days,proba_open
CHALONS EN CHAMPAGNE,BAR LE DUC,0,0.9996350364963503
CHALONS EN CHAMPAGNE,BAR LE DUC,1,1.0
CHALONS EN CHAMPAGNE,BAR LE DUC,2,1.0
CHALONS EN CHAMPAGNE,BAR LE DUC,3,0.9996402877697841
CHALONS EN CHAMPAGNE,BAR LE DUC,4,0.9996376811594202
CHALONS EN CHAMPAGNE,BAR LE DUC,5,0.9949275362318841
CHALONS EN CHAMPAGNE,BAR LE DUC,6,0.993840579710145
CHALONS EN CHAMPAGNE,BAR LE DUC,7,0.9949275362318841
CHALONS EN CHAMPAGNE,BAR LE DUC,8,0.9931159420289856
CHALONS EN CHAMPAGNE,BAR LE DUC,9,0.9924460431654676
CHALONS EN CHAMPAGNE,BAR LE DUC,10,0.9910071942446043
CHALONS EN CHAMPAGNE,BAR LE DUC,11,0.9869565217391304
CHALONS EN CHAMPAGNE,BAR LE DUC,12,0.7390510948905109
CHALONS EN CHAMPAGNE,BAR LE DUC,13,0.7138686131386861
CHALONS EN CHAMPAGNE,BAR LE DUC,14,0.706934306569343
CHALONS EN CHAMPAGNE,BAR LE DUC,15,0.6748175182481752
CHALONS EN CHAMPAGNE,BAR LE DUC,16,0.6605072463768117
CHALONS EN CHAMPAGNE,BAR LE DUC,17,0.6481884057971015
CHALONS EN CHAMPAGNE,BAR LE DUC,18,0.6514598540145985
CHALONS EN CHAMPAGNE,BAR LE DUC,19,0.6426470588235295
CHALONS EN CHAMPAGNE,BAR LE DUC,20,0.61875
CHALONS EN CHAMPAGNE,BAR LE DUC,21,0.6261029411764706
CHALONS EN CHAMPAGNE,BAR LE DUC,22,0.6194852941176471
CHALONS EN CHAMPAGNE,BAR LE DUC,23,0.6080291970802919
CHALONS EN CHAMPAGNE,BAR LE DUC,24,0.5908759124087591
CHALONS EN CHAMPAGNE,BAR LE DUC,25,0.5437500000000001
CHALONS EN CHAMPAGNE,BAR LE DUC,26,0.53125
CHALONS EN CHAMPAGNE,BAR LE DUC,27,0.5077205882352941
