origine,destination,delta_days,proba_open
MOULINS SUR ALLIER,CLERMONT FERRAND,0,0.8914728682170543
MOULINS SUR ALLIER,CLERMONT FERRAND,1,0.8658914728682171
MOULINS SUR ALLIER,CLERMONT FERRAND,2,0.8517441860465116
MOULINS SUR ALLIER,CLERMONT FERRAND,3,0.8391472868217055
MOULINS SUR ALLIER,CLERMONT FERRAND,4,0.7357976653696497
MOULINS SUR ALLIER,CLERMONT FERRAND,5,0.7283203125
MOULINS SUR ALLIER,CLERMONT FERRAND,6,0.7272549019607842
MOULINS SUR ALLIER,CLERMONT FERRAND,7,0.7074509803921569
MOULINS SUR ALLIER,CLERMONT FERRAND,8,0.7110236220472441
MOULINS SUR ALLIER,CLERMONT FERRAND,9,0.7234251968503937
MOULINS SUR ALLIER,CLERMONT FERRAND,10,0.7535573122529644
MOULINS SUR ALLIER,CLERMONT FERRAND,11,0.7555555555555555
MOULINS SUR ALLIER,CLERMONT FERRAND,12,0.7123015873015873
MOULINS SUR ALLIER,CLERMONT FERRAND,13,0.7041666666666666
MOULINS SUR ALLIER,CLERMONT FERRAND,14,0.6962301587301587
MOULINS SUR ALLIER,CLERMONT FERRAND,15,0.700395256916996
MOULINS SUR ALLIER,CLERMONT FERRAND,16,0.7110236220472441
MOULINS SUR ALLIER,CLERMONT FERRAND,17,0.7258893280632411
MOULINS SUR ALLIER,CLERMONT FERRAND,18,0.7432539682539683
MOULINS SUR ALLIER,CLERMONT FERRAND,19,0.74800796812749
MOULINS SUR ALLIER,CLERMONT FERRAND,20,0.7602000000000001
MOULINS SUR ALLIER,CLERMONT FERRAND,21,0.7524
MOULINS SUR ALLIER,CLERMONT FERRAND,22,0.749003984063745
MOULINS SUR ALLIER,CLERMONT FERRAND,23,0.7523809523809524
MOULINS SUR ALLIER,CLERMONT FERRAND,24,0.7494047619047619
MOULINS SUR ALLIER,CLERMONT FERRAND,25,0.7492031872509961
MOULINS SUR ALLIER,CLERMONT FERRAND,26,0.753
MOULINS SUR ALLIER,CLERMONT FERRAND,27,0.7550200803212851
MOULINS SUR ALLIER,CLERMONT FERRAND,28,0.7475806451612903
MOULINS SUR ALLIER,CLERMONT FERRAND,29,0.7366935483870968
MOULINS SUR ALLIER,CLERMONT FERRAND,30,0.018145161290322582
MOULINS SUR ALLIER,RIOM CHATEL GUYON,0,0.8841085271317829
MOULINS SUR ALLIER,RIOM CHATEL GUYON,1,0.8639534883720931
MOULINS SUR ALLIER,RIOM CHATEL GUYON,2,0.8509689922480621
MOULINS SUR ALLIER,RIOM CHATEL GUYON,3,0.8412790697674419
MOULINS SUR ALLIER,RIOM CHATEL GUYON,4,0.7350194552529183
MOULINS SUR ALLIER,RIOM CHATEL GUYON,5,0.7267578125
MOULINS SUR ALLIER,RIOM CHATEL GUYON,6,0.7268627450980392
MOULINS SUR ALLIER,RIOM CHATEL GUYON,7,0.7080392156862746
MOULINS SUR ALLIER,RIOM CHATEL GUYON,8,0.7118110236220473
MOULINS SUR ALLIER,RIOM CHATEL GUYON,9,0.7232283464566929
MOULINS SUR ALLIER,RIOM CHATEL GUYON,10,0.7549407114624506
MOULINS SUR ALLIER,RIOM CHATEL GUYON,11,0.7553571428571428
MOULINS SUR ALLIER,RIOM CHATEL GUYON,12,0.7126984126984127
MOULINS SUR ALLIER,RIOM CHATEL GUYON,13,0.7037698412698412
MOULINS SUR ALLIER,RIOM CHATEL GUYON,14,0.6962301587301587
MOULINS SUR ALLIER,RIOM CHATEL GUYON,15,0.699802371541502
MOULINS SUR ALLIER,RIOM CHATEL GUYON,16,0.7080708661417323
MOULINS SUR ALLIER,RIOM CHATEL GUYON,17,0.7256916996047431
MOULINS SUR ALLIER,RIOM CHATEL GUYON,18,0.7438492063492063
MOULINS SUR ALLIER,RIOM CHATEL GUYON,19,0.749601593625498
MOULINS SUR ALLIER,RIOM CHATEL GUYON,20,0.7606
MOULINS SUR ALLIER,RIOM CHATEL GUYON,21,0.751
MOULINS SUR ALLIER,RIOM CHATEL GUYON,22,0.7511952191235061
MOULINS SUR ALLIER,RIOM CHATEL GUYON,23,0.7513888888888889
MOULINS SUR ALLIER,RIOM CHATEL GUYON,24,0.7525793650793651
MOULINS SUR ALLIER,RIOM CHATEL GUYON,25,0.75199203187251
MOULINS SUR ALLIER,RIOM CHATEL GUYON,26,0.755
MOULINS SUR ALLIER,RIOM CHATEL GUYON,27,0.755421686746988
MOULINS SUR ALLIER,RIOM CHATEL GUYON,28,0.7483870967741936
MOULINS SUR ALLIER,RIOM CHATEL GUYON,29,0.7346774193548387
MOULINS SUR ALLIER,RIOM CHATEL GUYON,30,0.020967741935483872
MOULINS SUR ALLIER,SAINT GERMAIN DES FOSSES,0,0.7361111111111112
MOULINS SUR ALLIER,SAINT GERMAIN DES FOSSES,1,0.7529411764705882
MOULINS SUR ALLIER,SAINT GERMAIN DES FOSSES,2,0.8029411764705883
MOULINS SUR ALLIER,SAINT GERMAIN DES FOSSES,3,0.8647058823529411
MOULINS SUR ALLIER,SAINT GERMAIN DES FOSSES,4,0.6235294117647059
MOULINS SUR ALLIER,SAINT GERMAIN DES FOSSES,5,0.5882352941176471
MOULINS SUR ALLIER,SAINT GERMAIN DES FOSSES,6,0.5470588235294118
MOULINS SUR ALLIER,SAINT GERMAIN DES FOSSES,7,0.2647058823529412
MOULINS SUR ALLIER,SAINT GERMAIN DES FOSSES,8,0.2
MOULINS SUR ALLIER,SAINT GERMAIN DES FOSSES,9,0.19375
MOULINS SUR ALLIER,SAINT GERMAIN DES FOSSES,10,0.1875
MOULINS SUR ALLIER,SAINT GERMAIN DES FOSSES,11,0.1875
MOULINS SUR ALLIER,SAINT GERMAIN DES FOSSES,12,0.1875
MOULINS SUR ALLIER,SAINT GERMAIN DES FOSSES,13,0.1875
MOULINS SUR ALLIER,SAINT GERMAIN DES FOSSES,14,0.1875
MOULINS SUR ALLIER,SAINT GERMAIN DES FOSSES,15,0.1875
MOULINS SUR ALLIER,SAINT GERMAIN DES FOSSES,16,0.1875
MOULINS SUR ALLIER,SAINT GERMAIN DES FOSSES,17,0.2
