origine,destination,delta_days,proba_open
AEROPORT ROISSY CDG 2 TGV,GRENOBLE,0,0.9
AEROPORT ROISSY CDG 2 TGV,GRENOBLE,1,0.7666666666666666
AEROPORT ROISSY CDG 2 TGV,GRENOBLE,2,0.7000000000000001
AEROPORT ROISSY CDG 2 TGV,GRENOBLE,3,0.8833333333333333
AEROPORT ROISSY CDG 2 TGV,GRENOBLE,4,0.7000000000000001
AEROPORT ROISSY CDG 2 TGV,GRENOBLE,5,0.6666666666666666
AEROPORT ROISSY CDG 2 TGV,GRENOBLE,6,0.6666666666666666
AEROPORT ROISSY CDG 2 TGV,GRENOBLE,7,0.6666666666666666
AEROPORT ROISSY CDG 2 TGV,GRENOBLE,8,0.6666666666666666
AEROPORT ROISSY CDG 2 TGV,GRENOBLE,9,0.6666666666666666
AEROPORT ROISSY CDG 2 TGV,GRENOBLE,10,0.6666666666666666
AEROPORT ROISSY CDG 2 TGV,GRENOBLE,11,0.6666666666666666
AEROPORT ROISSY CDG 2 TGV,GRENOBLE,12,0.6666666666666666
AEROPORT ROISSY CDG 2 TGV,GRENOBLE,13,0.65
AEROPORT ROISSY CDG 2 TGV,GRENOBLE,14,0.6666666666666666
AEROPORT ROISSY CDG 2 TGV,GRENOBLE,15,0.6666666666666666
AEROPORT ROISSY CDG 2 TGV,GRENOBLE,16,0.65
AEROPORT ROISSY CDG 2 TGV,GRENOBLE,17,0.65
AEROPORT ROISSY CDG 2 TGV,GRENOBLE,18,0.6666666666666666
AEROPORT ROISSY CDG 2 TGV,GRENOBLE,19,0.6666666666666666
AEROPORT ROISSY CDG 2 TGV,GRENOBLE,20,0.6833333333333332
AEROPORT ROISSY CDG 2 TGV,GRENOBLE,21,0.6666666666666666
AEROPORT ROISSY CDG 2 TGV,GRENOBLE,22,0.6666666666666666
AEROPORT ROISSY CDG 2 TGV,GRENOBLE,23,0.7166666666666667
AEROPORT ROISSY CDG 2 TGV,GRENOBLE,24,0.9666666666666667
AEROPORT ROISSY CDG 2 TGV,GRENOBLE,25,1.0
AEROPORT ROISSY CDG 2 TGV,GRENOBLE,26,1.0
AEROPORT ROISSY CDG 2 TGV,GRENOBLE,27,0.9666666666666667
AEROPORT ROISSY CDG 2 TGV,GRENOBLE,28,0.9833333333333334
AEROPORT ROISSY CDG 2 TGV,GRENOBLE,29,0.9500000000000001
AEROPORT ROISSY CDG 2 TGV,GRENOBLE,30,0.18333333333333335
AEROPORT ROISSY CDG 2 TGV,LYON ST EXUPERY TGV.,0,0.8833333333333333
AEROPORT ROISSY CDG 2 TGV,LYON ST EXUPERY TGV.,1,0.8166666666666668
AEROPORT ROISSY CDG 2 TGV,LYON ST EXUPERY TGV.,2,0.7666666666666666
AEROPORT ROISSY CDG 2 TGV,LYON ST EXUPERY TGV.,3,0.9166666666666666
AEROPORT ROISSY CDG 2 TGV,LYON ST EXUPERY TGV.,4,0.7000000000000001
AEROPORT ROISSY CDG 2 TGV,LYON ST EXUPERY TGV.,5,0.6833333333333332
AEROPORT ROISSY CDG 2 TGV,LYON ST EXUPERY TGV.,6,0.6833333333333332
AEROPORT ROISSY CDG 2 TGV,LYON ST EXUPERY TGV.,7,0.6833333333333332
AEROPORT ROISSY CDG 2 TGV,LYON ST EXUPERY TGV.,8,0.6833333333333332
AEROPORT ROISSY CDG 2 TGV,LYON ST EXUPERY TGV.,9,0.6833333333333332
AEROPORT ROISSY CDG 2 TGV,LYON ST EXUPERY TGV.,10,0.6833333333333332
