origine,destination,delta_days,proba_open
AGDE,BEZIERS,0,0.9166666666666666
AGDE,BEZIERS,1,0.8902356902356902
AGDE,BEZIERS,2,0.8803030303030303
AGDE,BEZIERS,3,0.8493265993265994
AGDE,BEZIERS,4,0.5712837837837837
AGDE,BEZIERS,5,0.5548986486486487
AGDE,BEZIERS,6,0.5388135593220339
AGDE,BEZIERS,7,0.4879661016949152
AGDE,BEZIERS,8,0.4830508474576271
AGDE,BEZIERS,9,0.48254237288135593
AGDE,BEZIERS,10,0.483728813559322
AGDE,BEZIERS,11,0.46457627118644074
AGDE,BEZIERS,12,0.22999999999999998
AGDE,BEZIERS,13,0.22602040816326532
AGDE,BEZIERS,14,0.2235494880546075
AGDE,BEZIERS,15,0.21181506849315068
AGDE,BEZIERS,16,0.20068259385665527
AGDE,BEZIERS,17,0.19778156996587032
AGDE,BEZIERS,18,0.1933447098976109
AGDE,BEZIERS,19,0.18972602739726027
AGDE,BEZIERS,20,0.19759450171821305
AGDE,BEZIERS,21,0.1879310344827586
AGDE,BEZIERS,22,0.17422145328719724
AGDE,BEZIERS,23,0.17048611111111112
AGDE,BEZIERS,24,0.17577854671280277
AGDE,BEZIERS,25,0.16545138888888888
AGDE,BEZIERS,26,0.18107638888888888
AGDE,BEZIERS,27,0.18832752613240417
AGDE,BEZIERS,28,0.20611888111888113
AGDE,BEZIERS,29,0.1968421052631579
AGDE,BEZIERS,30,0.043485915492957744
AGDE,NARBONNE,0,0.9176767676767678
AGDE,NARBONNE,1,0.891077441077441
AGDE,NARBONNE,2,0.8838383838383839
AGDE,NARBONNE,3,0.8486531986531987
AGDE,NARBONNE,4,0.5672297297297297
AGDE,NARBONNE,5,0.5496621621621621
AGDE,NARBONNE,6,0.534406779661017
AGDE,NARBONNE,7,0.48576271186440684
AGDE,NARBONNE,8,0.4847457627118644
AGDE,NARBONNE,9,0.484406779661017
AGDE,NARBONNE,10,0.48
AGDE,NARBONNE,11,0.4684745762711864
AGDE,NARBONNE,12,0.23322033898305083
AGDE,NARBONNE,13,0.22925170068027212
AGDE,NARBONNE,14,0.22167235494880547
AGDE,NARBONNE,15,0.21010273972602742
AGDE,NARBONNE,16,0.20034129692832767
AGDE,NARBONNE,17,0.19744027303754266
AGDE,NARBONNE,18,0.19539249146757678
AGDE,NARBONNE,19,0.18784246575342467
AGDE,NARBONNE,20,0.19656357388316154
AGDE,NARBONNE,21,0.18517241379310345
AGDE,NARBONNE,22,0.1717993079584775
AGDE,NARBONNE,23,0.1701388888888889
AGDE,NARBONNE,24,0.1731833910034602
AGDE,NARBONNE,25,0.16684027777777777
AGDE,NARBONNE,26,0.18090277777777777
AGDE,NARBONNE,27,0.18484320557491288
AGDE,NARBONNE,28,0.20681818181818182
AGDE,NARBONNE,29,0.19631578947368422
AGDE,NARBONNE,30,0.041901408450704225
AGDE,PERPIGNAN,0,0.9153198653198654
AGDE,PERPIGNAN,1,0.8897306397306397
AGDE,PERPIGNAN,2,0.8828282828282827
AGDE,PERPIGNAN,3,0.8494949494949495
AGDE,PERPIGNAN,4,0.5741554054054053
AGDE,PERPIGNAN,5,0.5554054054054054
AGDE,PERPIGNAN,6,0.538135593220339
AGDE,PERPIGNAN,7,0.4896610169491525
AGDE,PERPIGNAN,8,0.484406779661017
AGDE,PERPIGNAN,9,0.4847457627118644
AGDE,PERPIGNAN,10,0.4832203389830509
AGDE,PERPIGNAN,11,0.4598305084745763
AGDE,PERPIGNAN,12,0.2369491525423729
AGDE,PERPIGNAN,13,0.22925170068027212
AGDE,PERPIGNAN,14,0.2249146757679181
AGDE,PERPIGNAN,15,0.21164383561643835
AGDE,PERPIGNAN,16,0.20034129692832767
AGDE,PERPIGNAN,17,0.19812286689419795
AGDE,PERPIGNAN,18,0.19419795221843003
AGDE,PERPIGNAN,19,0.1881849315068493
AGDE,PERPIGNAN,20,0.19673539518900343
AGDE,PERPIGNAN,21,0.1846551724137931
AGDE,PERPIGNAN,22,0.17197231833910034
AGDE,PERPIGNAN,23,0.17135416666666667
AGDE,PERPIGNAN,24,0.17543252595155712
AGDE,PERPIGNAN,25,0.1675347222222222
AGDE,PERPIGNAN,26,0.18298611111111113
AGDE,PERPIGNAN,27,0.18850174216027876
AGDE,PERPIGNAN,28,0.206993006993007
AGDE,PERPIGNAN,29,0.19421052631578947
AGDE,PERPIGNAN,30,0.036795774647887323
BEZIERS,NARBONNE,0,0.917281879194631
BEZIERS,NARBONNE,1,0.8895973154362417
BEZIERS,NARBONNE,2,0.8800335570469798
BEZIERS,NARBONNE,3,0.8486577181208054
BEZIERS,NARBONNE,4,0.5740740740740741
BEZIERS,NARBONNE,5,0.5531986531986532
BEZIERS,NARBONNE,6,0.5331081081081082
BEZIERS,NARBONNE,7,0.48918918918918924
BEZIERS,NARBONNE,8,0.48243243243243245
BEZIERS,NARBONNE,9,0.4831081081081081
BEZIERS,NARBONNE,10,0.48260135135135135
BEZIERS,NARBONNE,11,0.4641891891891892
BEZIERS,NARBONNE,12,0.22888513513513514
BEZIERS,NARBONNE,13,0.2271186440677966
BEZIERS,NARBONNE,14,0.22210884353741495
BEZIERS,NARBONNE,15,0.21245733788395904
BEZIERS,NARBONNE,16,0.20136518771331058
BEZIERS,NARBONNE,17,0.19863481228668942
BEZIERS,NARBONNE,18,0.19539249146757678
BEZIERS,NARBONNE,19,0.19041095890410958
BEZIERS,NARBONNE,20,0.19810996563573882
BEZIERS,NARBONNE,21,0.18689655172413794
BEZIERS,NARBONNE,22,0.17335640138408304
BEZIERS,NARBONNE,23,0.1701388888888889
BEZIERS,NARBONNE,24,0.17387543252595156
BEZIERS,NARBONNE,25,0.1671875
BEZIERS,NARBONNE,26,0.18333333333333332
BEZIERS,NARBONNE,27,0.18885017421602787
BEZIERS,NARBONNE,28,0.20769230769230768
BEZIERS,NARBONNE,29,0.19929824561403509
BEZIERS,NARBONNE,30,0.044190140845070426
BEZIERS,PERPIGNAN,0,0.9176174496644295
BEZIERS,PERPIGNAN,1,0.8973154362416107
BEZIERS,PERPIGNAN,2,0.8859060402684564
BEZIERS,PERPIGNAN,3,0.8508389261744966
BEZIERS,PERPIGNAN,4,0.5717171717171717
BEZIERS,PERPIGNAN,5,0.547979797979798
BEZIERS,PERPIGNAN,6,0.5381756756756757
BEZIERS,PERPIGNAN,7,0.49239864864864863
BEZIERS,PERPIGNAN,8,0.48817567567567566
BEZIERS,PERPIGNAN,9,0.48412162162162165
BEZIERS,PERPIGNAN,10,0.48243243243243245
BEZIERS,PERPIGNAN,11,0.46925675675675677
