origine,destination,delta_days,proba_open
PARIS (intramuros),LILLE (intramuros),0,0.8412280701754385
PARIS (intramuros),LILLE (intramuros),1,0.8435672514619883
PARIS (intramuros),LILLE (intramuros),2,0.8739766081871344
PARIS (intramuros),LILLE (intramuros),3,0.897093023255814
PARIS (intramuros),LILLE (intramuros),4,0.8645348837209301
PARIS (intramuros),LILLE (intramuros),5,0.8799418604651162
PARIS (intramuros),LILLE (intramuros),6,0.8723837209302326
PARIS (intramuros),LILLE (intramuros),7,0.8633720930232558
PARIS (intramuros),LILLE (intramuros),8,0.8569767441860465
PARIS (intramuros),LILLE (intramuros),9,0.8584302325581395
PARIS (intramuros),LILLE (intramuros),10,0.8953488372093024
PARIS (intramuros),LILLE (intramuros),11,0.9159883720930233
PARIS (intramuros),LILLE (intramuros),12,0.5921511627906977
PARIS (intramuros),LILLE (intramuros),13,0.5816860465116279
PARIS (intramuros),LILLE (intramuros),14,0.5802325581395349
PARIS (intramuros),LILLE (intramuros),15,0.5880813953488372
PARIS (intramuros),LILLE (intramuros),16,0.5700581395348837
PARIS (intramuros),LILLE (intramuros),17,0.569186046511628
PARIS (intramuros),LILLE (intramuros),18,0.5840116279069768
PARIS (intramuros),LILLE (intramuros),19,0.5933139534883721
PARIS (intramuros),LILLE (intramuros),20,0.5877906976744186
PARIS (intramuros),LILLE (intramuros),21,0.5930232558139535
PARIS (intramuros),LILLE (intramuros),22,0.5880813953488372
PARIS (intramuros),LILLE (intramuros),23,0.5924418604651163
PARIS (intramuros),LILLE (intramuros),24,0.5837209302325582
PARIS (intramuros),LILLE (intramuros),25,0.5857558139534884
PARIS (intramuros),LILLE (intramuros),26,0.5915697674418605
PARIS (intramuros),LILLE (intramuros),27,0.5965116279069768
PARIS (intramuros),LILLE (intramuros),28,0.5872093023255814
PARIS (intramuros),LILLE (intramuros),29,0.5892441860465116
PARIS (intramuros),LILLE (intramuros),30,0.0608187134502924
