origine,destination,delta_days,proba_open
ARGENTON SUR CREUSE,BRIVE LA GAILLARDE,0,0.8451557093425606
ARGENTON SUR CREUSE,BRIVE LA GAILLARDE,1,0.8121107266435986
ARGENTON SUR CREUSE,BRIVE LA GAILLARDE,2,0.7982698961937715
ARGENTON SUR CREUSE,BRIVE LA GAILLARDE,3,0.7819444444444444
ARGENTON SUR CREUSE,BRIVE LA GAILLARDE,4,0.6326989619377162
ARGENTON SUR CREUSE,BRIVE LA GAILLARDE,5,0.6346020761245675
ARGENTON SUR CREUSE,BRIVE LA GAILLARDE,6,0.6166089965397924
ARGENTON SUR CREUSE,BRIVE LA GAILLARDE,7,0.5927083333333333
ARGENTON SUR CREUSE,BRIVE LA GAILLARDE,8,0.5673611111111111
ARGENTON SUR CREUSE,BRIVE LA GAILLARDE,9,0.5625
ARGENTON SUR CREUSE,BRIVE LA GAILLARDE,10,0.5678321678321678
ARGENTON SUR CREUSE,BRIVE LA GAILLARDE,11,0.5705574912891986
ARGENTON SUR CREUSE,BRIVE LA GAILLARDE,12,0.48596491228070177
ARGENTON SUR CREUSE,BRIVE LA GAILLARDE,13,0.46894736842105267
ARGENTON SUR CREUSE,BRIVE LA GAILLARDE,14,0.4589788732394366
ARGENTON SUR CREUSE,BRIVE LA GAILLARDE,15,0.4489399293286219
ARGENTON SUR CREUSE,BRIVE LA GAILLARDE,16,0.4542402826855124
ARGENTON SUR CREUSE,BRIVE LA GAILLARDE,17,0.4622775800711744
ARGENTON SUR CREUSE,BRIVE LA GAILLARDE,18,0.47074468085106386
ARGENTON SUR CREUSE,BRIVE LA GAILLARDE,19,0.47153024911032027
ARGENTON SUR CREUSE,BRIVE LA GAILLARDE,20,0.4748214285714285
ARGENTON SUR CREUSE,BRIVE LA GAILLARDE,21,0.48500000000000004
ARGENTON SUR CREUSE,BRIVE LA GAILLARDE,22,0.49517857142857147
ARGENTON SUR CREUSE,BRIVE LA GAILLARDE,23,0.4915770609318997
ARGENTON SUR CREUSE,BRIVE LA GAILLARDE,24,0.4978494623655914
ARGENTON SUR CREUSE,BRIVE LA GAILLARDE,25,0.5019713261648746
ARGENTON SUR CREUSE,BRIVE LA GAILLARDE,26,0.5084229390681003
ARGENTON SUR CREUSE,BRIVE LA GAILLARDE,27,0.5155913978494624
ARGENTON SUR CREUSE,BRIVE LA GAILLARDE,28,0.521326164874552
ARGENTON SUR CREUSE,BRIVE LA GAILLARDE,29,0.49532374100719423
ARGENTON SUR CREUSE,BRIVE LA GAILLARDE,30,0.04550359712230216
