origine,destination,delta_days,proba_open
CHAMPAGNE ARDENNE TGV,LUXEMBOURG,0,0.8036363636363636
CHAMPAGNE ARDENNE TGV,LUXEMBOURG,1,0.8363636363636363
CHAMPAGNE ARDENNE TGV,LUXEMBOURG,2,0.8680722891566265
CHAMPAGNE ARDENNE TGV,LUXEMBOURG,3,0.8834337349397591
CHAMPAGNE ARDENNE TGV,LUXEMBOURG,4,0.7563253012048192
CHAMPAGNE ARDENNE TGV,LUXEMBOURG,5,0.7175757575757576
CHAMPAGNE ARDENNE TGV,LUXEMBOURG,6,0.7215151515151514
CHAMPAGNE ARDENNE TGV,LUXEMBOURG,7,0.7451515151515151
CHAMPAGNE ARDENNE TGV,LUXEMBOURG,8,0.7418181818181818
CHAMPAGNE ARDENNE TGV,LUXEMBOURG,9,0.7606060606060606
CHAMPAGNE ARDENNE TGV,LUXEMBOURG,10,0.7678787878787879
CHAMPAGNE ARDENNE TGV,LUXEMBOURG,11,0.7566666666666666
CHAMPAGNE ARDENNE TGV,LUXEMBOURG,12,0.6048780487804878
CHAMPAGNE ARDENNE TGV,LUXEMBOURG,13,0.6335365853658537
CHAMPAGNE ARDENNE TGV,LUXEMBOURG,14,0.6350609756097562
CHAMPAGNE ARDENNE TGV,LUXEMBOURG,15,0.6033536585365854
CHAMPAGNE ARDENNE TGV,LUXEMBOURG,16,0.5929447852760736
CHAMPAGNE ARDENNE TGV,LUXEMBOURG,17,0.6006134969325154
CHAMPAGNE ARDENNE TGV,LUXEMBOURG,18,0.6104938271604938
CHAMPAGNE ARDENNE TGV,LUXEMBOURG,19,0.6211180124223602
CHAMPAGNE ARDENNE TGV,LUXEMBOURG,20,0.6307453416149068
CHAMPAGNE ARDENNE TGV,LUXEMBOURG,21,0.6310559006211179
CHAMPAGNE ARDENNE TGV,LUXEMBOURG,22,0.6331249999999999
CHAMPAGNE ARDENNE TGV,LUXEMBOURG,23,0.635625
CHAMPAGNE ARDENNE TGV,LUXEMBOURG,24,0.63375
CHAMPAGNE ARDENNE TGV,LUXEMBOURG,25,0.6238993710691824
CHAMPAGNE ARDENNE TGV,LUXEMBOURG,26,0.6278481012658228
CHAMPAGNE ARDENNE TGV,LUXEMBOURG,27,0.6322784810126583
CHAMPAGNE ARDENNE TGV,LUXEMBOURG,28,0.6253164556962025
CHAMPAGNE ARDENNE TGV,LUXEMBOURG,29,0.6197452229299363
CHAMPAGNE ARDENNE TGV,LUXEMBOURG,30,0.027243589743589744
CHAMPAGNE ARDENNE TGV,METZ VILLE,0,0.898
CHAMPAGNE ARDENNE TGV,METZ VILLE,1,0.9151428571428571
CHAMPAGNE ARDENNE TGV,METZ VILLE,2,0.9443181818181817
CHAMPAGNE ARDENNE TGV,METZ VILLE,3,0.9451704545454546
CHAMPAGNE ARDENNE TGV,METZ VILLE,4,0.8677142857142857
CHAMPAGNE ARDENNE TGV,METZ VILLE,5,0.8534285714285714
CHAMPAGNE ARDENNE TGV,METZ VILLE,6,0.8591428571428571
CHAMPAGNE ARDENNE TGV,METZ VILLE,7,0.8645714285714287
CHAMPAGNE ARDENNE TGV,METZ VILLE,8,0.8757142857142857
CHAMPAGNE ARDENNE TGV,METZ VILLE,9,0.8794285714285714
CHAMPAGNE ARDENNE TGV,METZ VILLE,10,0.8854285714285713
CHAMPAGNE ARDENNE TGV,METZ VILLE,11,0.8778735632183908
CHAMPAGNE ARDENNE TGV,METZ VILLE,12,0.7543103448275862
CHAMPAGNE ARDENNE TGV,METZ VILLE,13,0.7738505747126437
CHAMPAGNE ARDENNE TGV,METZ VILLE,14,0.7660919540229886
CHAMPAGNE ARDENNE TGV,METZ VILLE,15,0.7431034482758622
CHAMPAGNE ARDENNE TGV,METZ VILLE,16,0.7291907514450867
