origine,destination,delta_days,proba_open
CHAMPAGNE ARDENNE TGV,EPINAL,0,0.7407692307692307
CHAMPAGNE ARDENNE TGV,EPINAL,1,0.75
CHAMPAGNE ARDENNE TGV,EPINAL,2,0.7515384615384616
CHAMPAGNE ARDENNE TGV,EPINAL,3,0.7688461538461538
CHAMPAGNE ARDENNE TGV,EPINAL,4,0.493076923076923
CHAMPAGNE ARDENNE TGV,EPINAL,5,0.4906976744186046
CHAMPAGNE ARDENNE TGV,EPINAL,6,0.50546875
CHAMPAGNE ARDENNE TGV,EPINAL,7,0.5358267716535433
CHAMPAGNE ARDENNE TGV,EPINAL,8,0.5476190476190477
CHAMPAGNE ARDENNE TGV,EPINAL,9,0.5571428571428572
CHAMPAGNE ARDENNE TGV,EPINAL,10,0.576984126984127
CHAMPAGNE ARDENNE TGV,EPINAL,11,0.5932539682539683
CHAMPAGNE ARDENNE TGV,EPINAL,12,0.4868
CHAMPAGNE ARDENNE TGV,EPINAL,13,0.5366935483870967
CHAMPAGNE ARDENNE TGV,EPINAL,14,0.5532520325203252
CHAMPAGNE ARDENNE TGV,EPINAL,15,0.5239837398373984
CHAMPAGNE ARDENNE TGV,EPINAL,16,0.5321138211382114
CHAMPAGNE ARDENNE TGV,EPINAL,17,0.5573170731707316
CHAMPAGNE ARDENNE TGV,EPINAL,18,0.5707317073170732
CHAMPAGNE ARDENNE TGV,EPINAL,19,0.5882113821138211
CHAMPAGNE ARDENNE TGV,EPINAL,20,0.6012195121951219
CHAMPAGNE ARDENNE TGV,EPINAL,21,0.5817073170731707
CHAMPAGNE ARDENNE TGV,EPINAL,22,0.5654471544715447
CHAMPAGNE ARDENNE TGV,EPINAL,23,0.5739837398373984
CHAMPAGNE ARDENNE TGV,EPINAL,24,0.5853658536585366
CHAMPAGNE ARDENNE TGV,EPINAL,25,0.5841463414634146
CHAMPAGNE ARDENNE TGV,EPINAL,26,0.5926829268292684
CHAMPAGNE ARDENNE TGV,EPINAL,27,0.5914634146341463
CHAMPAGNE ARDENNE TGV,EPINAL,28,0.5658536585365853
CHAMPAGNE ARDENNE TGV,EPINAL,29,0.5483739837398374
CHAMPAGNE ARDENNE TGV,EPINAL,30,0.05853658536585366
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,0,0.6
CHAMPAGNE ARDENNE TGV,LORRAINE TGV,1,0.95
