origine,destination,delta_days,proba_open
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,0,1.0
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,1,1.0
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,2,1.0
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,3,1.0
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,4,0.9833333333333334
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,5,0.9833333333333334
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,6,1.0
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,7,1.0
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,8,0.9833333333333334
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,9,0.9833333333333334
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,10,0.9
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,11,0.7166666666666667
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,12,0.9666666666666667
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,13,0.9833333333333334
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,14,1.0
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,15,1.0
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,16,1.0
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,17,0.9500000000000001
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,18,0.7333333333333334
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,19,0.65
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,20,0.6666666666666666
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,21,0.6666666666666666
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,22,0.6666666666666666
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,23,0.6666666666666666
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,24,0.6666666666666666
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,25,0.6666666666666666
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,26,0.6666666666666666
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,27,0.6666666666666666
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,28,0.65
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,29,0.65
AEROPORT ROISSY CDG 2 TGV,AIX EN PROVENCE TGV,30,0.10000000000000002
AEROPORT ROISSY CDG 2 TGV,AVIGNON TGV,0,1.0
AEROPORT ROISSY CDG 2 TGV,AVIGNON TGV,1,0.9833333333333334
AEROPORT ROISSY CDG 2 TGV,AVIGNON TGV,2,0.9833333333333334
AEROPORT ROISSY CDG 2 TGV,AVIGNON TGV,3,1.0
AEROPORT ROISSY CDG 2 TGV,AVIGNON TGV,4,0.9833333333333334
AEROPORT ROISSY CDG 2 TGV,AVIGNON TGV,5,1.0
AEROPORT ROISSY CDG 2 TGV,AVIGNON TGV,6,1.0
AEROPORT ROISSY CDG 2 TGV,AVIGNON TGV,7,1.0
AEROPORT ROISSY CDG 2 TGV,AVIGNON TGV,8,0.9833333333333334
AEROPORT ROISSY CDG 2 TGV,AVIGNON TGV,9,0.9833333333333334
AEROPORT ROISSY CDG 2 TGV,AVIGNON TGV,10,0.9333333333333332
AEROPORT ROISSY CDG 2 TGV,AVIGNON TGV,11,0.7833333333333333
AEROPORT ROISSY CDG 2 TGV,AVIGNON TGV,12,0.9500000000000001
AEROPORT ROISSY CDG 2 TGV,AVIGNON TGV,13,0.9833333333333334
AEROPORT ROISSY CDG 2 TGV,AVIGNON TGV,14,1.0
AEROPORT ROISSY CDG 2 TGV,AVIGNON TGV,15,1.0
AEROPORT ROISSY CDG 2 TGV,AVIGNON TGV,16,1.0
AEROPORT ROISSY CDG 2 TGV,AVIGNON TGV,17,0.9333333333333332
AEROPORT ROISSY CDG 2 TGV,AVIGNON TGV,18,0.7166666666666667
AEROPORT ROISSY CDG 2 TGV,AVIGNON TGV,19,0.6833333333333332
AEROPORT ROISSY CDG 2 TGV,AVIGNON TGV,20,0.6666666666666666
AEROPORT ROISSY CDG 2 TGV,AVIGNON TGV,21,0.6666666666666666
AEROPORT ROISSY CDG 2 TGV,AVIGNON TGV,22,0.6666666666666666
AEROPORT ROISSY CDG 2 TGV,AVIGNON TGV,23,0.6666666666666666
AEROPORT ROISSY CDG 2 TGV,AVIGNON TGV,24,0.6666666666666666
AEROPORT ROISSY CDG 2 TGV,AVIGNON TGV,25,0.6666666666666666
AEROPORT ROISSY CDG 2 TGV,AVIGNON TGV,26,0.6666666666666666
