origine,destination,delta_days,proba_open
PARIS (intramuros),ANTIBES,0,0.9109999999999999
PARIS (intramuros),ANTIBES,1,0.8423076923076922
PARIS (intramuros),ANTIBES,2,0.8226415094339623
PARIS (intramuros),ANTIBES,3,0.8075471698113207
PARIS (intramuros),ANTIBES,4,0.675
PARIS (intramuros),ANTIBES,5,0.6705882352941177
PARIS (intramuros),ANTIBES,6,0.6990196078431372
PARIS (intramuros),ANTIBES,7,0.5211538461538462
PARIS (intramuros),ANTIBES,8,0.5586538461538462
PARIS (intramuros),ANTIBES,9,0.5586538461538462
PARIS (intramuros),ANTIBES,10,0.5365384615384615
PARIS (intramuros),ANTIBES,11,0.5078431372549019
PARIS (intramuros),ANTIBES,12,0.39299999999999996
PARIS (intramuros),ANTIBES,13,0.3948979591836735
PARIS (intramuros),ANTIBES,14,0.4224489795918367
PARIS (intramuros),ANTIBES,15,0.4265306122448979
PARIS (intramuros),ANTIBES,16,0.43979591836734694
PARIS (intramuros),ANTIBES,17,0.43061224489795924
PARIS (intramuros),ANTIBES,18,0.44387755102040816
PARIS (intramuros),ANTIBES,19,0.4377551020408163
PARIS (intramuros),ANTIBES,20,0.46632653061224494
PARIS (intramuros),ANTIBES,21,0.48265306122448975
PARIS (intramuros),ANTIBES,22,0.4744897959183674
PARIS (intramuros),ANTIBES,23,0.5081632653061224
PARIS (intramuros),ANTIBES,24,0.5306122448979592
PARIS (intramuros),ANTIBES,25,0.5336734693877551
PARIS (intramuros),ANTIBES,26,0.5499999999999999
PARIS (intramuros),ANTIBES,27,0.5826530612244898
PARIS (intramuros),ANTIBES,28,0.5908163265306122
PARIS (intramuros),ANTIBES,29,0.5806122448979592
PARIS (intramuros),ANTIBES,30,0.036734693877551024
PARIS (intramuros),CANNES,0,0.932
PARIS (intramuros),CANNES,1,0.8538461538461538
PARIS (intramuros),CANNES,2,0.8226415094339623
PARIS (intramuros),CANNES,3,0.8122641509433962
PARIS (intramuros),CANNES,4,0.6586538461538461
PARIS (intramuros),CANNES,5,0.6627450980392157
PARIS (intramuros),CANNES,6,0.6882352941176471
PARIS (intramuros),CANNES,7,0.5269230769230769
PARIS (intramuros),CANNES,8,0.5634615384615385
PARIS (intramuros),CANNES,9,0.5471153846153846
PARIS (intramuros),CANNES,10,0.5355769230769231
PARIS (intramuros),CANNES,11,0.5205882352941177
PARIS (intramuros),CANNES,12,0.379
PARIS (intramuros),CANNES,13,0.39591836734693875
PARIS (intramuros),CANNES,14,0.4224489795918367
PARIS (intramuros),CANNES,15,0.4346938775510204
PARIS (intramuros),CANNES,16,0.43979591836734694
PARIS (intramuros),CANNES,17,0.43163265306122445
PARIS (intramuros),CANNES,18,0.4387755102040816
PARIS (intramuros),CANNES,19,0.4377551020408163
PARIS (intramuros),CANNES,20,0.46938775510204084
PARIS (intramuros),CANNES,21,0.4836734693877551
PARIS (intramuros),CANNES,22,0.4775510204081632
PARIS (intramuros),CANNES,23,0.5010204081632653
PARIS (intramuros),CANNES,24,0.5306122448979592
PARIS (intramuros),CANNES,25,0.5326530612244899
PARIS (intramuros),CANNES,26,0.5499999999999999
PARIS (intramuros),CANNES,27,0.5836734693877551
PARIS (intramuros),CANNES,28,0.5857142857142857
PARIS (intramuros),CANNES,29,0.5806122448979592
PARIS (intramuros),CANNES,30,0.034693877551020415
PARIS (intramuros),LES ARCS DRAGUIGNAN,0,0.93
PARIS (intramuros),LES ARCS DRAGUIGNAN,1,0.8528846153846155
PARIS (intramuros),LES ARCS DRAGUIGNAN,2,0.8367924528301887
PARIS (intramuros),LES ARCS DRAGUIGNAN,3,0.8018867924528302
PARIS (intramuros),LES ARCS DRAGUIGNAN,4,0.6740384615384615
PARIS (intramuros),LES ARCS DRAGUIGNAN,5,0.6696078431372549
PARIS (intramuros),LES ARCS DRAGUIGNAN,6,0.6970588235294117
PARIS (intramuros),LES ARCS DRAGUIGNAN,7,0.5346153846153846
PARIS (intramuros),LES ARCS DRAGUIGNAN,8,0.5663461538461538
PARIS (intramuros),LES ARCS DRAGUIGNAN,9,0.5586538461538462
PARIS (intramuros),LES ARCS DRAGUIGNAN,10,0.5375
PARIS (intramuros),LES ARCS DRAGUIGNAN,11,0.5068627450980392
PARIS (intramuros),LES ARCS DRAGUIGNAN,12,0.382
PARIS (intramuros),LES ARCS DRAGUIGNAN,13,0.39693877551020407
PARIS (intramuros),LES ARCS DRAGUIGNAN,14,0.4224489795918367
PARIS (intramuros),LES ARCS DRAGUIGNAN,15,0.42857142857142855
PARIS (intramuros),LES ARCS DRAGUIGNAN,16,0.4418367346938775
PARIS (intramuros),LES ARCS DRAGUIGNAN,17,0.4357142857142857
PARIS (intramuros),LES ARCS DRAGUIGNAN,18,0.44693877551020406
PARIS (intramuros),LES ARCS DRAGUIGNAN,19,0.4387755102040816
PARIS (intramuros),LES ARCS DRAGUIGNAN,20,0.4673469387755102
PARIS (intramuros),LES ARCS DRAGUIGNAN,21,0.4836734693877551
PARIS (intramuros),LES ARCS DRAGUIGNAN,22,0.4755102040816327
PARIS (intramuros),LES ARCS DRAGUIGNAN,23,0.5081632653061224
PARIS (intramuros),LES ARCS DRAGUIGNAN,24,0.5306122448979592
PARIS (intramuros),LES ARCS DRAGUIGNAN,25,0.5346938775510204
PARIS (intramuros),LES ARCS DRAGUIGNAN,26,0.553061224489796
PARIS (intramuros),LES ARCS DRAGUIGNAN,27,0.5826530612244898
PARIS (intramuros),LES ARCS DRAGUIGNAN,28,0.5897959183673469
PARIS (intramuros),LES ARCS DRAGUIGNAN,29,0.5816326530612245
PARIS (intramuros),LES ARCS DRAGUIGNAN,30,0.04081632653061224
PARIS (intramuros),MARSEILLE BLANCARDE,0,0.927
PARIS (intramuros),MARSEILLE BLANCARDE,1,0.8509615384615384
PARIS (intramuros),MARSEILLE BLANCARDE,2,0.8301886792452831
PARIS (intramuros),MARSEILLE BLANCARDE,3,0.8113207547169812
PARIS (intramuros),MARSEILLE BLANCARDE,4,0.6730769230769231
PARIS (intramuros),MARSEILLE BLANCARDE,5,0.6705882352941177
PARIS (intramuros),MARSEILLE BLANCARDE,6,0.6980392156862746
PARIS (intramuros),MARSEILLE BLANCARDE,7,0.5211538461538462
PARIS (intramuros),MARSEILLE BLANCARDE,8,0.5701923076923077
PARIS (intramuros),MARSEILLE BLANCARDE,9,0.5615384615384615
PARIS (intramuros),MARSEILLE BLANCARDE,10,0.5375
PARIS (intramuros),MARSEILLE BLANCARDE,11,0.5186274509803921
PARIS (intramuros),MARSEILLE BLANCARDE,12,0.389
PARIS (intramuros),MARSEILLE BLANCARDE,13,0.3948979591836735
PARIS (intramuros),MARSEILLE BLANCARDE,14,0.4265306122448979
PARIS (intramuros),MARSEILLE BLANCARDE,15,0.43163265306122445
PARIS (intramuros),MARSEILLE BLANCARDE,16,0.4459183673469388
PARIS (intramuros),MARSEILLE BLANCARDE,17,0.4377551020408163
PARIS (intramuros),MARSEILLE BLANCARDE,18,0.44693877551020406
PARIS (intramuros),MARSEILLE BLANCARDE,19,0.43979591836734694
PARIS (intramuros),MARSEILLE BLANCARDE,20,0.4653061224489796
PARIS (intramuros),MARSEILLE BLANCARDE,21,0.4857142857142857
PARIS (intramuros),MARSEILLE BLANCARDE,22,0.473469387755102
PARIS (intramuros),MARSEILLE BLANCARDE,23,0.5010204081632653
PARIS (intramuros),MARSEILLE BLANCARDE,24,0.5285714285714286
PARIS (intramuros),MARSEILLE BLANCARDE,25,0.5306122448979592
PARIS (intramuros),MARSEILLE BLANCARDE,26,0.5469387755102041
PARIS (intramuros),MARSEILLE BLANCARDE,27,0.5795918367346938
PARIS (intramuros),MARSEILLE BLANCARDE,28,0.5897959183673469
PARIS (intramuros),MARSEILLE BLANCARDE,29,0.5795918367346938
PARIS (intramuros),MARSEILLE BLANCARDE,30,0.03469387755102041
PARIS (intramuros),NICE VILLE,0,0.9209999999999999
PARIS (intramuros),NICE VILLE,1,0.8394230769230769
PARIS (intramuros),NICE VILLE,2,0.8330188679245283
PARIS (intramuros),NICE VILLE,3,0.8169811320754716
PARIS (intramuros),NICE VILLE,4,0.6701923076923078
PARIS (intramuros),NICE VILLE,5,0.6715686274509803
PARIS (intramuros),NICE VILLE,6,0.7000000000000001
PARIS (intramuros),NICE VILLE,7,0.5259615384615385
PARIS (intramuros),NICE VILLE,8,0.5711538461538461
PARIS (intramuros),NICE VILLE,9,0.5576923076923077
PARIS (intramuros),NICE VILLE,10,0.5423076923076923
PARIS (intramuros),NICE VILLE,11,0.5009803921568627
PARIS (intramuros),NICE VILLE,12,0.392
PARIS (intramuros),NICE VILLE,13,0.4010204081632653
PARIS (intramuros),NICE VILLE,14,0.4244897959183674
PARIS (intramuros),NICE VILLE,15,0.4346938775510204
PARIS (intramuros),NICE VILLE,16,0.436734693877551
PARIS (intramuros),NICE VILLE,17,0.43163265306122445
PARIS (intramuros),NICE VILLE,18,0.4448979591836735
PARIS (intramuros),NICE VILLE,19,0.4418367346938775
PARIS (intramuros),NICE VILLE,20,0.4724489795918367
PARIS (intramuros),NICE VILLE,21,0.4857142857142857
PARIS (intramuros),NICE VILLE,22,0.4775510204081632
PARIS (intramuros),NICE VILLE,23,0.5010204081632653
PARIS (intramuros),NICE VILLE,24,0.5306122448979592
PARIS (intramuros),NICE VILLE,25,0.5295918367346939
PARIS (intramuros),NICE VILLE,26,0.5499999999999999
PARIS (intramuros),NICE VILLE,27,0.5826530612244898
PARIS (intramuros),NICE VILLE,28,0.5867346938775511
PARIS (intramuros),NICE VILLE,29,0.5816326530612245
PARIS (intramuros),NICE VILLE,30,0.04795918367346939
PARIS (intramuros),ST RAPHAEL VALESCURE,0,0.93
PARIS (intramuros),ST RAPHAEL VALESCURE,1,0.8471153846153846
PARIS (intramuros),ST RAPHAEL VALESCURE,2,0.8320754716981132
PARIS (intramuros),ST RAPHAEL VALESCURE,3,0.8056603773584906
PARIS (intramuros),ST RAPHAEL VALESCURE,4,0.6673076923076924
PARIS (intramuros),ST RAPHAEL VALESCURE,5,0.6725490196078431
