origine,destination,delta_days,proba_open
PARIS (intramuros),AURILLAC,0,0.8593999999999999
PARIS (intramuros),AURILLAC,1,0.6322000000000001
PARIS (intramuros),AURILLAC,2,0.6237999999999999
PARIS (intramuros),AURILLAC,3,0.631
PARIS (intramuros),AURILLAC,4,0.6255020080321285
PARIS (intramuros),AURILLAC,5,0.6451807228915662
PARIS (intramuros),AURILLAC,6,0.6576612903225806
PARIS (intramuros),AURILLAC,7,0.392914979757085
PARIS (intramuros),AURILLAC,8,0.3928861788617886
PARIS (intramuros),AURILLAC,9,0.39654471544715447
PARIS (intramuros),AURILLAC,10,0.39346938775510204
PARIS (intramuros),AURILLAC,11,0.3932377049180328
PARIS (intramuros),AURILLAC,12,0.3932098765432099
PARIS (intramuros),AURILLAC,13,0.3942148760330579
PARIS (intramuros),AURILLAC,14,0.3987551867219917
PARIS (intramuros),AURILLAC,15,0.40103734439834027
PARIS (intramuros),AURILLAC,16,0.4064853556485356
PARIS (intramuros),AURILLAC,17,0.40632911392405063
PARIS (intramuros),AURILLAC,18,0.4095744680851064
PARIS (intramuros),AURILLAC,19,0.4150214592274678
PARIS (intramuros),AURILLAC,20,0.4084051724137931
PARIS (intramuros),AURILLAC,21,0.4093073593073593
PARIS (intramuros),AURILLAC,22,0.4121739130434782
PARIS (intramuros),AURILLAC,23,0.4125
PARIS (intramuros),AURILLAC,24,0.41238938053097346
PARIS (intramuros),AURILLAC,25,0.41495535714285714
PARIS (intramuros),AURILLAC,26,0.41373873873873873
PARIS (intramuros),AURILLAC,27,0.4097727272727273
PARIS (intramuros),AURILLAC,28,0.40776255707762554
PARIS (intramuros),AURILLAC,29,0.39288990825688075
PARIS (intramuros),AURILLAC,30,0.03425925925925926
PARIS (intramuros),BRETENOUX BIARS,0,0.8542000000000001
PARIS (intramuros),BRETENOUX BIARS,1,0.6256
PARIS (intramuros),BRETENOUX BIARS,2,0.6202000000000001
PARIS (intramuros),BRETENOUX BIARS,3,0.633
PARIS (intramuros),BRETENOUX BIARS,4,0.6271084337349397
PARIS (intramuros),BRETENOUX BIARS,5,0.6421686746987952
PARIS (intramuros),BRETENOUX BIARS,6,0.6560483870967742
PARIS (intramuros),BRETENOUX BIARS,7,0.3953441295546559
PARIS (intramuros),BRETENOUX BIARS,8,0.39227642276422764
PARIS (intramuros),BRETENOUX BIARS,9,0.3945121951219512
PARIS (intramuros),BRETENOUX BIARS,10,0.39081632653061227
PARIS (intramuros),BRETENOUX BIARS,11,0.39364754098360655
PARIS (intramuros),BRETENOUX BIARS,12,0.3948559670781893
PARIS (intramuros),BRETENOUX BIARS,13,0.39504132231404954
PARIS (intramuros),BRETENOUX BIARS,14,0.3993775933609959
PARIS (intramuros),BRETENOUX BIARS,15,0.40435684647302905
PARIS (intramuros),BRETENOUX BIARS,16,0.4066945606694561
PARIS (intramuros),BRETENOUX BIARS,17,0.4054852320675105
PARIS (intramuros),BRETENOUX BIARS,18,0.40893617021276596
PARIS (intramuros),BRETENOUX BIARS,19,0.4150214592274678
PARIS (intramuros),BRETENOUX BIARS,20,0.4079741379310345
PARIS (intramuros),BRETENOUX BIARS,21,0.408008658008658
PARIS (intramuros),BRETENOUX BIARS,22,0.4141304347826087
PARIS (intramuros),BRETENOUX BIARS,23,0.41162280701754383
PARIS (intramuros),BRETENOUX BIARS,24,0.4139380530973451
PARIS (intramuros),BRETENOUX BIARS,25,0.41517857142857145
PARIS (intramuros),BRETENOUX BIARS,26,0.4135135135135135
PARIS (intramuros),BRETENOUX BIARS,27,0.4102272727272727
PARIS (intramuros),BRETENOUX BIARS,28,0.4084474885844749
PARIS (intramuros),BRETENOUX BIARS,29,0.39793577981651373
PARIS (intramuros),BRETENOUX BIARS,30,0.03657407407407408
PARIS (intramuros),LAROQUEBROU BATIMENT VOYAGEURS,0,0.8576
PARIS (intramuros),LAROQUEBROU BATIMENT VOYAGEURS,1,0.6296
PARIS (intramuros),LAROQUEBROU BATIMENT VOYAGEURS,2,0.6207999999999999
PARIS (intramuros),LAROQUEBROU BATIMENT VOYAGEURS,3,0.6357999999999999
PARIS (intramuros),LAROQUEBROU BATIMENT VOYAGEURS,4,0.6230923694779117
PARIS (intramuros),LAROQUEBROU BATIMENT VOYAGEURS,5,0.6421686746987952
PARIS (intramuros),LAROQUEBROU BATIMENT VOYAGEURS,6,0.6548387096774194
PARIS (intramuros),LAROQUEBROU BATIMENT VOYAGEURS,7,0.39210526315789473
PARIS (intramuros),LAROQUEBROU BATIMENT VOYAGEURS,8,0.39227642276422764
PARIS (intramuros),LAROQUEBROU BATIMENT VOYAGEURS,9,0.3979674796747968
PARIS (intramuros),LAROQUEBROU BATIMENT VOYAGEURS,10,0.39285714285714285
PARIS (intramuros),LAROQUEBROU BATIMENT VOYAGEURS,11,0.39487704918032784
PARIS (intramuros),LAROQUEBROU BATIMENT VOYAGEURS,12,0.3950617283950617
PARIS (intramuros),LAROQUEBROU BATIMENT VOYAGEURS,13,0.3944214876033058
PARIS (intramuros),LAROQUEBROU BATIMENT VOYAGEURS,14,0.3985477178423236
PARIS (intramuros),LAROQUEBROU BATIMENT VOYAGEURS,15,0.40082987551867216
PARIS (intramuros),LAROQUEBROU BATIMENT VOYAGEURS,16,0.40606694560669454
PARIS (intramuros),LAROQUEBROU BATIMENT VOYAGEURS,17,0.40569620253164557
PARIS (intramuros),LAROQUEBROU BATIMENT VOYAGEURS,18,0.4085106382978723
PARIS (intramuros),LAROQUEBROU BATIMENT VOYAGEURS,19,0.4143776824034335
PARIS (intramuros),LAROQUEBROU BATIMENT VOYAGEURS,20,0.4079741379310345
PARIS (intramuros),LAROQUEBROU BATIMENT VOYAGEURS,21,0.4073593073593073
PARIS (intramuros),LAROQUEBROU BATIMENT VOYAGEURS,22,0.4106521739130435
PARIS (intramuros),LAROQUEBROU BATIMENT VOYAGEURS,23,0.4118421052631579
PARIS (intramuros),LAROQUEBROU BATIMENT VOYAGEURS,24,0.41305309734513274
PARIS (intramuros),LAROQUEBROU BATIMENT VOYAGEURS,25,0.41517857142857145
PARIS (intramuros),LAROQUEBROU BATIMENT VOYAGEURS,26,0.41373873873873873
PARIS (intramuros),LAROQUEBROU BATIMENT VOYAGEURS,27,0.4122727272727273
PARIS (intramuros),LAROQUEBROU BATIMENT VOYAGEURS,28,0.4063926940639269
PARIS (intramuros),LAROQUEBROU BATIMENT VOYAGEURS,29,0.39380733944954127
PARIS (intramuros),LAROQUEBROU BATIMENT VOYAGEURS,30,0.03194444444444445
PARIS (intramuros),ST DENIS PRES MARTEL,0,0.864859437751004
PARIS (intramuros),ST DENIS PRES MARTEL,1,0.6276
PARIS (intramuros),ST DENIS PRES MARTEL,2,0.623
PARIS (intramuros),ST DENIS PRES MARTEL,3,0.6342000000000001
PARIS (intramuros),ST DENIS PRES MARTEL,4,0.627710843373494
PARIS (intramuros),ST DENIS PRES MARTEL,5,0.6417670682730924
PARIS (intramuros),ST DENIS PRES MARTEL,6,0.6546370967741936
PARIS (intramuros),ST DENIS PRES MARTEL,7,0.39392712550607284
PARIS (intramuros),ST DENIS PRES MARTEL,8,0.3908536585365854
PARIS (intramuros),ST DENIS PRES MARTEL,9,0.3959349593495935
PARIS (intramuros),ST DENIS PRES MARTEL,10,0.3910204081632653
PARIS (intramuros),ST DENIS PRES MARTEL,11,0.39405737704918037
PARIS (intramuros),ST DENIS PRES MARTEL,12,0.39444444444444443
PARIS (intramuros),ST DENIS PRES MARTEL,13,0.39462809917355374
PARIS (intramuros),ST DENIS PRES MARTEL,14,0.3989626556016598
PARIS (intramuros),ST DENIS PRES MARTEL,15,0.40145228215767637
PARIS (intramuros),ST DENIS PRES MARTEL,16,0.40543933054393305
PARIS (intramuros),ST DENIS PRES MARTEL,17,0.40569620253164557
PARIS (intramuros),ST DENIS PRES MARTEL,18,0.4085106382978723
PARIS (intramuros),ST DENIS PRES MARTEL,19,0.4139484978540773
PARIS (intramuros),ST DENIS PRES MARTEL,20,0.4075431034482758
PARIS (intramuros),ST DENIS PRES MARTEL,21,0.4101731601731602
PARIS (intramuros),ST DENIS PRES MARTEL,22,0.4115217391304348
PARIS (intramuros),ST DENIS PRES MARTEL,23,0.41403508771929826
PARIS (intramuros),ST DENIS PRES MARTEL,24,0.41238938053097346
PARIS (intramuros),ST DENIS PRES MARTEL,25,0.4147321428571429
PARIS (intramuros),ST DENIS PRES MARTEL,26,0.4150900900900901
PARIS (intramuros),ST DENIS PRES MARTEL,27,0.4090909090909091
PARIS (intramuros),ST DENIS PRES MARTEL,28,0.4075342465753425
PARIS (intramuros),ST DENIS PRES MARTEL,29,0.3903669724770642
PARIS (intramuros),ST DENIS PRES MARTEL,30,0.040046296296296295
