origine,destination,delta_days,proba_open
AURAY,LORIENT,0,0.9993181818181818
AURAY,LORIENT,1,0.998868778280543
AURAY,LORIENT,2,0.9995475113122172
AURAY,LORIENT,3,0.9993212669683258
AURAY,LORIENT,4,0.9981900452488688
AURAY,LORIENT,5,0.9986425339366515
AURAY,LORIENT,6,0.9990950226244344
AURAY,LORIENT,7,0.9993212669683258
AURAY,LORIENT,8,0.9972850678733032
AURAY,LORIENT,9,0.9959276018099548
AURAY,LORIENT,10,0.9909502262443439
AURAY,LORIENT,11,0.9805429864253393
AURAY,LORIENT,12,0.9339366515837104
AURAY,LORIENT,13,0.915158371040724
AURAY,LORIENT,14,0.876923076923077
AURAY,LORIENT,15,0.8601809954751131
AURAY,LORIENT,16,0.8280542986425339
AURAY,LORIENT,17,0.8187782805429864
AURAY,LORIENT,18,0.8009049773755657
AURAY,LORIENT,19,0.7845454545454545
AURAY,LORIENT,20,0.7402272727272727
AURAY,LORIENT,21,0.7234090909090909
AURAY,LORIENT,22,0.7148401826484019
AURAY,LORIENT,23,0.7079908675799087
AURAY,LORIENT,24,0.6821100917431192
AURAY,LORIENT,25,0.6683486238532109
AURAY,LORIENT,26,0.65
AURAY,LORIENT,27,0.63125
AURAY,LORIENT,28,0.6206976744186046
AURAY,LORIENT,29,0.6083720930232559
AURAY,LORIENT,30,0.11098130841121495
AURAY,QUIMPER,0,0.9993181818181818
AURAY,QUIMPER,1,1.0
AURAY,QUIMPER,2,0.9993212669683258
AURAY,QUIMPER,3,0.998868778280543
AURAY,QUIMPER,4,0.9979638009049774
AURAY,QUIMPER,5,0.9986425339366515
AURAY,QUIMPER,6,0.997737556561086
AURAY,QUIMPER,7,0.9941176470588234
AURAY,QUIMPER,8,0.9843891402714933
AURAY,QUIMPER,9,0.979185520361991
AURAY,QUIMPER,10,0.9712669683257918
AURAY,QUIMPER,11,0.9572398190045249
AURAY,QUIMPER,12,0.8929864253393665
AURAY,QUIMPER,13,0.8798642533936651
AURAY,QUIMPER,14,0.8420814479638009
AURAY,QUIMPER,15,0.829185520361991
AURAY,QUIMPER,16,0.7907239819004525
AURAY,QUIMPER,17,0.7753393665158371
AURAY,QUIMPER,18,0.7572398190045249
AURAY,QUIMPER,19,0.7290909090909091
AURAY,QUIMPER,20,0.6897727272727273
AURAY,QUIMPER,21,0.6788636363636363
AURAY,QUIMPER,22,0.6611872146118722
AURAY,QUIMPER,23,0.6543378995433791
AURAY,QUIMPER,24,0.6286697247706422
AURAY,QUIMPER,25,0.611697247706422
AURAY,QUIMPER,26,0.5919354838709677
AURAY,QUIMPER,27,0.5768518518518518
AURAY,QUIMPER,28,0.5723255813953488
AURAY,QUIMPER,29,0.5362790697674419
AURAY,QUIMPER,30,0.05420560747663551
AURAY,QUIMPERLE,0,0.9976958525345622
AURAY,QUIMPERLE,1,0.9960648148148148
AURAY,QUIMPERLE,2,0.9857142857142858
AURAY,QUIMPERLE,3,0.9654377880184332
AURAY,QUIMPERLE,4,0.9273148148148148
AURAY,QUIMPERLE,5,0.9087962962962963
AURAY,QUIMPERLE,6,0.8972222222222223
AURAY,QUIMPERLE,7,0.8726851851851852
AURAY,QUIMPERLE,8,0.8395833333333333
AURAY,QUIMPERLE,9,0.7879629629629629
AURAY,QUIMPERLE,10,0.718139534883721
AURAY,QUIMPERLE,11,0.6707943925233646
AURAY,QUIMPERLE,12,0.49389671361502346
AURAY,QUIMPERLE,13,0.4733490566037736
AURAY,QUIMPERLE,14,0.4561611374407583
AURAY,QUIMPERLE,15,0.4561611374407583
AURAY,QUIMPERLE,16,0.42047619047619045
AURAY,QUIMPERLE,17,0.404066985645933
AURAY,QUIMPERLE,18,0.3894230769230769
AURAY,QUIMPERLE,19,0.3717391304347826
AURAY,QUIMPERLE,20,0.3567961165048544
AURAY,QUIMPERLE,21,0.33980582524271846
AURAY,QUIMPERLE,22,0.3302439024390244
AURAY,QUIMPERLE,23,0.31268292682926824
AURAY,QUIMPERLE,24,0.2933823529411765
