origine,destination,delta_days,proba_open
PARIS (intramuros),AGDE,0,0.85
PARIS (intramuros),AGDE,1,0.8339285714285715
PARIS (intramuros),AGDE,2,0.775
PARIS (intramuros),AGDE,3,0.7517857142857143
PARIS (intramuros),AGDE,4,0.37678571428571433
PARIS (intramuros),AGDE,5,0.4035714285714286
PARIS (intramuros),AGDE,6,0.39821428571428574
PARIS (intramuros),AGDE,7,0.37678571428571433
PARIS (intramuros),AGDE,8,0.46071428571428574
PARIS (intramuros),AGDE,9,0.44642857142857145
PARIS (intramuros),AGDE,10,0.48928571428571427
PARIS (intramuros),AGDE,11,0.3892857142857143
PARIS (intramuros),AGDE,12,0.26071428571428573
PARIS (intramuros),AGDE,13,0.2517857142857143
PARIS (intramuros),AGDE,14,0.24107142857142858
PARIS (intramuros),AGDE,15,0.02142857142857143
PARIS (intramuros),AGDE,16,0.0
PARIS (intramuros),AGDE,17,0.0
PARIS (intramuros),AGDE,18,0.007407407407407408
PARIS (intramuros),AGDE,19,0.023076923076923075
PARIS (intramuros),AGDE,20,0.03461538461538462
PARIS (intramuros),AGDE,21,0.011538461538461537
PARIS (intramuros),AGDE,22,0.0019230769230769232
PARIS (intramuros),AGDE,23,0.0
PARIS (intramuros),AGDE,24,0.0
PARIS (intramuros),AGDE,25,0.0019230769230769232
PARIS (intramuros),AGDE,26,0.004
PARIS (intramuros),AGDE,27,0.036000000000000004
PARIS (intramuros),AGDE,28,0.04
PARIS (intramuros),AGDE,29,0.038
PARIS (intramuros),AGDE,30,0.01
PARIS (intramuros),ARGELES SUR MER,0,0.85
PARIS (intramuros),ARGELES SUR MER,1,0.8285714285714285
PARIS (intramuros),ARGELES SUR MER,2,0.7571428571428571
PARIS (intramuros),ARGELES SUR MER,3,0.7678571428571429
PARIS (intramuros),ARGELES SUR MER,4,0.375
PARIS (intramuros),ARGELES SUR MER,5,0.41428571428571426
PARIS (intramuros),ARGELES SUR MER,6,0.3964285714285714
PARIS (intramuros),ARGELES SUR MER,7,0.37857142857142856
PARIS (intramuros),ARGELES SUR MER,8,0.4714285714285714
PARIS (intramuros),ARGELES SUR MER,9,0.4428571428571429
PARIS (intramuros),ARGELES SUR MER,10,0.48928571428571427
PARIS (intramuros),ARGELES SUR MER,11,0.39821428571428574
PARIS (intramuros),ARGELES SUR MER,12,0.26071428571428573
PARIS (intramuros),ARGELES SUR MER,13,0.25
PARIS (intramuros),ARGELES SUR MER,14,0.24285714285714285
PARIS (intramuros),ARGELES SUR MER,15,0.005357142857142858
PARIS (intramuros),ARGELES SUR MER,16,0.0
PARIS (intramuros),ARGELES SUR MER,17,0.0
PARIS (intramuros),ARGELES SUR MER,18,0.003703703703703704
PARIS (intramuros),ARGELES SUR MER,19,0.02692307692307692
PARIS (intramuros),ARGELES SUR MER,20,0.032692307692307694
PARIS (intramuros),ARGELES SUR MER,21,0.007692307692307693
PARIS (intramuros),ARGELES SUR MER,22,0.0
PARIS (intramuros),ARGELES SUR MER,23,0.0
PARIS (intramuros),ARGELES SUR MER,24,0.0
PARIS (intramuros),ARGELES SUR MER,25,0.0019230769230769232
PARIS (intramuros),ARGELES SUR MER,26,0.002
PARIS (intramuros),ARGELES SUR MER,27,0.038
PARIS (intramuros),ARGELES SUR MER,28,0.04
PARIS (intramuros),ARGELES SUR MER,29,0.034
PARIS (intramuros),ARGELES SUR MER,30,0.008
PARIS (intramuros),BANYULS SUR MER,0,0.8642857142857142
PARIS (intramuros),BANYULS SUR MER,1,0.8642857142857142
PARIS (intramuros),BANYULS SUR MER,2,0.7696428571428572
PARIS (intramuros),BANYULS SUR MER,3,0.7767857142857143
PARIS (intramuros),BANYULS SUR MER,4,0.3821428571428571
PARIS (intramuros),BANYULS SUR MER,5,0.4160714285714286
PARIS (intramuros),BANYULS SUR MER,6,0.39821428571428574
PARIS (intramuros),BANYULS SUR MER,7,0.37678571428571433
PARIS (intramuros),BANYULS SUR MER,8,0.4803571428571428
PARIS (intramuros),BANYULS SUR MER,9,0.4428571428571429
PARIS (intramuros),BANYULS SUR MER,10,0.49821428571428567
PARIS (intramuros),BANYULS SUR MER,11,0.4017857142857143
PARIS (intramuros),BANYULS SUR MER,12,0.2571428571428572
PARIS (intramuros),BANYULS SUR MER,13,0.24642857142857144
