origine,destination,delta_days,proba_open
LES AUBRAIS ORLEANS,AUTERIVE,0,0.9137931034482759
LES AUBRAIS ORLEANS,AUTERIVE,1,0.2413793103448276
LES AUBRAIS ORLEANS,AUTERIVE,2,0.20517241379310344
LES AUBRAIS ORLEANS,AUTERIVE,3,0.14655172413793102
LES AUBRAIS ORLEANS,AUTERIVE,4,0.07142857142857142
LES AUBRAIS ORLEANS,AUTERIVE,5,0.03888888888888889
LES AUBRAIS ORLEANS,AUTERIVE,6,0.028846153846153848
LES AUBRAIS ORLEANS,AUTERIVE,7,0.036538461538461534
LES AUBRAIS ORLEANS,AUTERIVE,8,0.036538461538461534
LES AUBRAIS ORLEANS,AUTERIVE,9,0.0
LES AUBRAIS ORLEANS,AUTERIVE,10,0.0
LES AUBRAIS ORLEANS,AUTERIVE,11,0.0
LES AUBRAIS ORLEANS,AUTERIVE,12,0.0
LES AUBRAIS ORLEANS,AUTERIVE,13,0.0
LES AUBRAIS ORLEANS,AUTERIVE,14,0.0
LES AUBRAIS ORLEANS,AUTERIVE,15,0.0
LES AUBRAIS ORLEANS,AUTERIVE,16,0.0
LES AUBRAIS ORLEANS,AUTERIVE,17,0.0
LES AUBRAIS ORLEANS,AUTERIVE,18,0.0
LES AUBRAIS ORLEANS,AUTERIVE,19,0.0
LES AUBRAIS ORLEANS,AUTERIVE,20,0.0
LES AUBRAIS ORLEANS,AUTERIVE,21,0.0
LES AUBRAIS ORLEANS,AUTERIVE,22,0.0
LES AUBRAIS ORLEANS,AUTERIVE,23,0.0
LES AUBRAIS ORLEANS,AUTERIVE,24,0.038461538461538464
LES AUBRAIS ORLEANS,AUTERIVE,25,0.038461538461538464
LES AUBRAIS ORLEANS,AUTERIVE,26,0.038461538461538464
LES AUBRAIS ORLEANS,AUTERIVE,27,0.038461538461538464
LES AUBRAIS ORLEANS,AUTERIVE,28,0.038461538461538464
LES AUBRAIS ORLEANS,AUTERIVE,29,0.038461538461538464
LES AUBRAIS ORLEANS,AUTERIVE,30,0.0038461538461538464
LES AUBRAIS ORLEANS,AX LES THERMES,0,0.9172413793103449
LES AUBRAIS ORLEANS,AX LES THERMES,1,0.25
LES AUBRAIS ORLEANS,AX LES THERMES,2,0.20517241379310344
LES AUBRAIS ORLEANS,AX LES THERMES,3,0.14655172413793102
LES AUBRAIS ORLEANS,AX LES THERMES,4,0.07678571428571428
LES AUBRAIS ORLEANS,AX LES THERMES,5,0.04259259259259259
LES AUBRAIS ORLEANS,AX LES THERMES,6,0.032692307692307694
