origine,destination,delta_days,proba_open
ANCENIS,LA BAULE ESCOUBLAC,0,0.4666666666666667
ANCENIS,LA BAULE ESCOUBLAC,1,0.38421052631578945
ANCENIS,LA BAULE ESCOUBLAC,2,0.25
ANCENIS,LA BAULE ESCOUBLAC,3,0.26666666666666666
ANCENIS,LA BAULE ESCOUBLAC,4,0.17051282051282052
ANCENIS,LA BAULE ESCOUBLAC,5,0.1358974358974359
ANCENIS,LA BAULE ESCOUBLAC,6,0.12692307692307692
ANCENIS,LA BAULE ESCOUBLAC,7,0.12179487179487179
ANCENIS,LA BAULE ESCOUBLAC,8,0.1131578947368421
ANCENIS,LA BAULE ESCOUBLAC,9,0.12435897435897435
ANCENIS,LA BAULE ESCOUBLAC,10,0.11025641025641025
ANCENIS,LA BAULE ESCOUBLAC,11,0.12179487179487179
ANCENIS,LA BAULE ESCOUBLAC,12,0.13846153846153847
ANCENIS,LA BAULE ESCOUBLAC,13,0.12948717948717947
ANCENIS,LA BAULE ESCOUBLAC,14,0.1282051282051282
ANCENIS,LA BAULE ESCOUBLAC,15,0.13157894736842105
ANCENIS,LA BAULE ESCOUBLAC,16,0.13289473684210526
ANCENIS,LA BAULE ESCOUBLAC,17,0.13289473684210526
ANCENIS,LA BAULE ESCOUBLAC,18,0.12631578947368421
ANCENIS,LA BAULE ESCOUBLAC,19,0.10921052631578948
ANCENIS,LA BAULE ESCOUBLAC,20,0.10526315789473684
ANCENIS,LA BAULE ESCOUBLAC,21,0.10526315789473684
ANCENIS,LA BAULE ESCOUBLAC,22,0.10810810810810811
ANCENIS,LA BAULE ESCOUBLAC,23,0.11216216216216217
ANCENIS,LA BAULE ESCOUBLAC,24,0.12702702702702703
ANCENIS,LA BAULE ESCOUBLAC,25,0.13243243243243244
ANCENIS,LA BAULE ESCOUBLAC,26,0.13378378378378378
ANCENIS,LA BAULE ESCOUBLAC,27,0.13648648648648648
ANCENIS,LA BAULE ESCOUBLAC,28,0.1554054054054054
ANCENIS,LA BAULE ESCOUBLAC,29,0.15416666666666667
ANCENIS,LA BAULE ESCOUBLAC,30,0.034722222222222224
ANCENIS,LE CROISIC,0,0.5
ANCENIS,LE CROISIC,1,0.38421052631578945
ANCENIS,LE CROISIC,2,0.27051282051282055
ANCENIS,LE CROISIC,3,0.26794871794871794
ANCENIS,LE CROISIC,4,0.1641025641025641
ANCENIS,LE CROISIC,5,0.13717948717948716
ANCENIS,LE CROISIC,6,0.13333333333333333
ANCENIS,LE CROISIC,7,0.12564102564102564
ANCENIS,LE CROISIC,8,0.11973684210526316
ANCENIS,LE CROISIC,9,0.12948717948717947
ANCENIS,LE CROISIC,10,0.11794871794871795
ANCENIS,LE CROISIC,11,0.12435897435897435
ANCENIS,LE CROISIC,12,0.1282051282051282
ANCENIS,LE CROISIC,13,0.12435897435897435
ANCENIS,LE CROISIC,14,0.13205128205128205
ANCENIS,LE CROISIC,15,0.13289473684210526
